Ticker: AAPL  Created on: 12/6/2014 5:23:39 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 115.99, 116.08, 114.64, 115, 37892700, 115, 0, 1, 115.495, -999
20141204, 115.77, 117.2, 115.29, 115.49, 42044500, 115.49, 0, 1, 115.63, -999
20141203, 115.75, 116.35, 115.11, 115.93, 43063400, 115.93, 0, 1, 115.84, -999
20141202, 113.5, 115.75, 112.75, 114.63, 59075100, 114.63, 0, 1, 114.065, -999
20141201, 118.81, 119.25, 111.27, 115.07, 83814000, 115.07, 0, 1, 116.94, -999
20141128, 119.27, 119.4, 118.05, 118.93, 24814400, 118.93, 0, 1, 119.1, -999
20141126, 117.94, 119.1, 117.83, 119, 40768300, 119, 0, 1, 118.47, -999
20141125, 119.07, 119.75, 117.45, 117.6, 68840400, 117.6, 0, 1, 118.335, -999
20141124, 116.85, 118.77, 116.62, 118.63, 47450800, 118.63, 0, 1, 117.74, -999
20141121, 117.51, 117.57, 116.03, 116.47, 57179300, 116.47, 0, 1, 116.99, -999
20141120, 114.91, 116.86, 114.85, 116.31, 43395500, 116.31, 0, 1, 115.61, -999
20141119, 115.44, 115.74, 113.8, 114.67, 41869200, 114.67, 0, 1, 115.055, -999
20141118, 113.94, 115.69, 113.89, 115.47, 44224000, 115.47, 0, 1, 114.705, -999
20141117, 114.27, 117.28, 113.3, 113.99, 46746700, 113.99, 0, 1, 114.13, -999
20141114, 113.15, 114.19, 113.05, 114.18, 44063600, 114.18, 0, 1, 113.665, -999
20141113, 111.8, 113.45, 111.6, 112.82, 59522900, 112.82, 0, 1, 112.31, -999
20141112, 109.38, 111.43, 109.37, 111.25, 46942400, 111.25, 0, 1, 110.315, -999
20141111, 108.7, 109.75, 108.4, 109.7, 27442300, 109.7, 0, 1, 109.2, -999
20141110, 109.02, 109.33, 108.67, 108.83, 27195500, 108.83, 0, 1, 108.925, -999
20141107, 108.75, 109.32, 108.55, 109.01, 33691500, 109.01, 0, 1, 108.88, -999
20141106, 108.6, 108.79, 107.8, 108.7, 34968500, 108.7, 0, 1, 108.65, -999
20141105, 109.1, 109.3, 108.13, 108.86, 37435900, 108.39, 0, 1, 108.745, -999
20141104, 109.36, 109.49, 107.72, 108.6, 41574400, 108.13, 0, 1, 108.745, -999
20141103, 108.22, 110.3, 108.01, 109.4, 52282600, 108.93, 0, 1, 108.575, -999
20141031, 108.01, 108.04, 107.21, 108, 44639300, 107.53, 0, 1, 107.77, -999
20141030, 106.96, 107.35, 105.9, 106.98, 40654800, 106.52, 0, 1, 106.74, -999
20141029, 106.65, 107.37, 106.36, 107.34, 52687900, 106.88, 0, 1, 106.765, -999
20141028, 105.4, 106.74, 105.35, 106.74, 47939900, 106.28, 0, 1, 105.84, -999
20141027, 104.85, 105.48, 104.7, 105.11, 34187700, 104.66, 0, 1, 104.755, -999
20141024, 105.18, 105.49, 104.53, 105.22, 47053900, 104.77, 0, 1, 104.975, -999
20141023, 104.08, 105.05, 103.63, 104.83, 71074700, 104.38, 0, 1, 104.23, -999
20141022, 102.84, 104.11, 102.6, 102.99, 68263100, 102.55, 0, 1, 102.695, -999
20141021, 103.02, 103.02, 101.27, 102.47, 94623900, 102.03, 0, 1, 102.525, -999
20141020, 98.32, 99.96, 98.22, 99.76, 77517300, 99.33, 0, 1, 98.825, -999
20141017, 97.5, 99, 96.81, 97.67, 68179700, 97.25, 0, 1, 97.375, -999
20141016, 95.55, 97.72, 95.41, 96.26, 72154500, 95.84, 0, 1, 95.695, -999
20141015, 97.97, 99.15, 95.18, 97.54, 100933600, 97.12, 0, 1, 97.545, -999
20141014, 100.39, 100.52, 98.57, 98.75, 63688600, 98.32, 0, 1, 99.355, -999
20141013, 101.33, 101.78, 99.81, 99.81, 53583400, 99.38, 0, 1, 100.355, -999
20141010, 100.69, 102.03, 100.3, 100.73, 66331600, 100.3, 0, 1, 100.495, -999
20141009, 101.54, 102.38, 100.61, 101.02, 77376500, 100.58, 0, 1, 101.06, -999
20141008, 98.76, 101.11, 98.31, 100.8, 57404700, 100.36, 0, 1, 99.56, -999
20141007, 99.43, 100.12, 98.73, 98.75, 42094200, 98.32, 0, 1, 98.875, -999
20141006, 99.95, 100.65, 99.42, 99.62, 37051200, 99.19, 0, 1, 99.57, -999
20141003, 99.44, 100.21, 99.04, 99.62, 43469600, 99.19, 0, 1, 99.315, -999
20141002, 99.27, 100.22, 98.04, 99.9, 47757800, 99.47, 0, 1, 99.37, -999
20141001, 100.59, 100.69, 98.7, 99.18, 51491300, 98.75, 0, 1, 99.67, -999
20140930, 100.81, 101.54, 100.53, 100.75, 55264100, 100.32, 0, 1, 100.565, -999
20140929, 98.65, 100.44, 98.63, 100.11, 49766300, 99.68, 0, 1, 99.165, -999
20140926, 98.53, 100.75, 98.4, 100.75, 62370500, 100.32, 0, 1, 99.425, -999
20140925, 100.51, 100.71, 97.72, 97.87, 100092000, 97.45, 0, 1, 98.98, -999
20140924, 102.16, 102.85, 101.2, 101.75, 60171800, 101.31, 0, 1, 101.735, -999
20140923, 100.6, 102.94, 100.54, 102.64, 63402200, 102.2, 0, 1, 101.4, -999
20140922, 101.8, 102.14, 100.58, 101.06, 52788400, 100.62, 0, 1, 101.21, -999
20140919, 102.29, 102.35, 100.5, 100.96, 70902400, 100.52, 0, 1, 101.405, -999
20140918, 101.93, 102.35, 101.56, 101.79, 37299400, 101.35, 0, 1, 101.64, -999
20140917, 101.27, 101.8, 100.59, 101.58, 60926500, 101.14, 0, 1, 101.205, -999
20140916, 99.8, 101.26, 98.89, 100.86, 66908100, 100.42, 0, 1, 100.11, -999
20140915, 102.81, 103.05, 101.44, 101.63, 61316500, 101.19, 0, 1, 102, -999
20140912, 101.21, 102.19, 101.08, 101.66, 64096900, 101.22, 0, 1, 101.215, -999
20140911, 100.41, 101.44, 99.62, 101.43, 62353100, 100.99, 0, 1, 100.7, -999
20140910, 98.01, 101.11, 97.76, 101, 100869600, 100.56, 0, 1, 99.285, -999
20140909, 99.08, 103.08, 96.14, 97.99, 189846300, 97.57, 0, 1, 98.325, -999
20140908, 99.3, 99.31, 98.05, 98.36, 46356700, 97.94, 0, 1, 98.62, -999
20140905, 98.8, 99.39, 98.31, 98.97, 58457000, 98.54, 0, 1, 98.67, -999
20140904, 98.85, 100.09, 97.79, 98.12, 85718000, 97.7, 0, 1, 98.275, -999
20140903, 103.1, 103.2, 98.58, 98.94, 125421000, 98.51, 0, 1, 100.805, -999
20140902, 103.06, 103.74, 102.72, 103.3, 53564000, 102.85, 0, 1, 102.955, -999
20140829, 102.86, 102.9, 102.2, 102.5, 44595000, 102.06, 0, 1, 102.46, -999
20140828, 101.59, 102.78, 101.56, 102.25, 68460000, 101.81, 0, 1, 101.7, -999
20140827, 101.02, 102.57, 100.7, 102.13, 52369000, 101.69, 0, 1, 101.355, -999
20140826, 101.42, 101.5, 100.86, 100.89, 33152000, 100.45, 0, 1, 100.935, -999
20140825, 101.79, 102.17, 101.28, 101.54, 40270000, 101.1, 0, 1, 101.445, -999
20140822, 100.29, 101.47, 100.19, 101.32, 44184000, 100.88, 0, 1, 100.585, -999
20140821, 100.57, 100.94, 100.11, 100.58, 33478000, 100.15, 0, 1, 100.36, -999
20140820, 100.44, 101.09, 99.95, 100.57, 52699000, 100.14, 0, 1, 100.29, -999
20140819, 99.41, 100.68, 99.32, 100.53, 69399000, 100.1, 0, 1, 99.755, -999
20140818, 98.49, 99.37, 97.98, 99.16, 47572000, 98.73, 0, 1, 98.61, -999
20140815, 97.9, 98.19, 96.86, 97.98, 48951000, 97.56, 0, 1, 97.73, -999
20140814, 97.33, 97.57, 96.8, 97.5, 28116000, 97.08, 0, 1, 97.205, -999
20140813, 96.15, 97.24, 96.04, 97.24, 31916000, 96.82, 0, 1, 96.485, -999
20140812, 96.04, 96.88, 95.61, 95.97, 33795000, 95.56, 0, 1, 95.8, -999
