Ticker: ABC  Created on: 12/6/2014 5:23:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 92.38, 92.56, 91.86, 92.21, 740100, 92.21, 0, 1, 92.295, -999
20141204, 91.87, 92.65, 91.68, 91.95, 1444900, 91.95, 0, 1, 91.91, -999
20141203, 91.99, 92.39, 91.72, 91.99, 1533000, 91.99, 0, 1, 91.99, -999
20141202, 90.93, 92.51, 90.87, 92.04, 1769800, 92.04, 0, 1, 91.485, -999
20141201, 90.64, 91.4, 90.28, 90.84, 1586400, 90.84, 0, 1, 90.74, -999
20141128, 90.49, 91.59, 90.46, 91.05, 758300, 91.05, 0, 1, 90.77, -999
20141126, 90.22, 90.8, 89.5, 90.09, 974900, 90.09, 0, 1, 90.155, -999
20141125, 90.04, 90.45, 89.51, 90.32, 1205400, 90.32, 0, 1, 90.18, -999
20141124, 89.21, 90.1, 89.21, 90.04, 1309500, 90.04, 0, 1, 89.625, -999
20141121, 89, 89.03, 88.1, 88.74, 1635700, 88.74, 0, 1, 88.87, -999
20141120, 89.19, 89.31, 88.34, 88.9, 1411700, 88.9, 0, 1, 89.045, -999
20141119, 89.44, 89.94, 88.89, 89.32, 2207300, 89.32, 0, 1, 89.38, -999
20141118, 89, 89.97, 88.67, 89.76, 1611200, 89.76, 0, 1, 89.38, -999
20141117, 88.83, 89.7, 88.57, 89.01, 1624500, 89.01, 0, 1, 88.92, -999
20141114, 88.87, 89.24, 88.34, 88.83, 1635000, 88.83, 0, 1, 88.85, -999
20141113, 88.54, 89.48, 88.54, 89.08, 1563500, 89.08, 0, 1, 88.81, -999
20141112, 87.95, 88.78, 87.54, 88.71, 1323400, 88.42, 0, 1, 88.185, -999
20141111, 87.71, 88.44, 87.64, 87.93, 1214500, 87.64, 0, 1, 87.675, -999
20141110, 87.02, 87.86, 86.52, 87.71, 1297200, 87.42, 0, 1, 87.22, -999
20141107, 87.8, 87.8, 86.49, 86.73, 2199300, 86.45, 0, 1, 87.125, -999
20141106, 87.96, 88.11, 86.82, 87.4, 2317200, 87.11, 0, 1, 87.535, -999
20141105, 88.83, 89.23, 87.61, 87.81, 2050300, 87.52, 0, 1, 88.175, -999
20141104, 86.63, 88.22, 86.5, 88.19, 2796600, 87.9, 0, 1, 87.265, -999
20141103, 85.81, 86.96, 85.58, 86.9, 2569200, 86.62, 0, 1, 86.215, -999
20141031, 85.06, 85.99, 84.77, 85.41, 3248200, 85.13, 0, 1, 85.095, -999
20141030, 81.68, 85.12, 81.68, 84.84, 5081200, 84.56, 0, 1, 83.12, -999
20141029, 79.58, 80.19, 79.26, 79.74, 2529800, 79.48, 0, 1, 79.53, -999
20141028, 79.98, 79.99, 78.94, 79.65, 2253400, 79.39, 0, 1, 79.685, -999
20141027, 78.34, 79.99, 78.29, 79.45, 3260900, 79.19, 0, 1, 78.765, -999
20141024, 77.71, 78.33, 77.43, 78.28, 1425500, 78.02, 0, 1, 77.865, -999
20141023, 77.32, 77.9, 77.18, 77.44, 1979100, 77.19, 0, 1, 77.255, -999
20141022, 76.9, 77.2, 76.59, 76.63, 1946400, 76.38, 0, 1, 76.64, -999
20141021, 76.2, 76.86, 76.02, 76.62, 3045500, 76.37, 0, 1, 76.285, -999
20141020, 75.87, 76.02, 75.11, 75.49, 2599200, 75.24, 0, 1, 75.555, -999
20141017, 75.47, 76.18, 75.32, 75.84, 1590300, 75.59, 0, 1, 75.53, -999
20141016, 75.38, 75.87, 74.32, 75.02, 2415300, 74.77, 0, 1, 75.075, -999
20141015, 75.79, 76.41, 74.51, 76.02, 2385600, 75.77, 0, 1, 75.78, -999
20141014, 76.25, 77.34, 75.66, 76.63, 1645400, 76.38, 0, 1, 76.315, -999
20141013, 76.94, 77.19, 75.75, 75.84, 1534800, 75.59, 0, 1, 76.265, -999
20141010, 77.35, 78.11, 76.86, 76.9, 1407500, 76.65, 0, 1, 77, -999
20141009, 77.89, 78.46, 77.14, 77.2, 1499000, 76.95, 0, 1, 77.42, -999
20141008, 76.37, 77.98, 76.33, 77.89, 1419600, 77.64, 0, 1, 77.005, -999
20141007, 77.2, 77.24, 76.48, 76.5, 1070400, 76.25, 0, 1, 76.725, -999
20141006, 78.07, 78.58, 77.02, 77.52, 1328900, 77.27, 0, 1, 77.67, -999
20141003, 77.11, 78.21, 77.11, 77.89, 1578700, 77.64, 0, 1, 77.375, -999
20141002, 76.61, 77.25, 76.36, 76.87, 1470500, 76.62, 0, 1, 76.615, -999
20141001, 78.21, 78.21, 76.44, 76.69, 1491700, 76.44, 0, 1, 77.325, -999
20140930, 77.65, 78.02, 77.19, 77.3, 1373500, 77.05, 0, 1, 77.35, -999
20140929, 77.05, 77.84, 76.95, 77.63, 973100, 77.38, 0, 1, 77.215, -999
20140926, 77.41, 77.67, 76.86, 77.42, 910100, 77.17, 0, 1, 77.29, -999
20140925, 77.71, 78.02, 77.09, 77.49, 1738200, 77.24, 0, 1, 77.475, -999
20140924, 76.92, 78.12, 76.68, 78.04, 1749800, 77.78, 0, 1, 77.35, -999
20140923, 76.72, 77.15, 76.43, 76.79, 1196200, 76.54, 0, 1, 76.63, -999
20140922, 77.35, 77.56, 76.75, 77.18, 1283500, 76.93, 0, 1, 77.14, -999
20140919, 77.47, 78.12, 77.32, 77.33, 3064600, 77.08, 0, 1, 77.275, -999
20140918, 76.81, 77.23, 76.7, 77.13, 1121100, 76.88, 0, 1, 76.845, -999
20140917, 77.25, 77.29, 76.19, 76.53, 1691100, 76.28, 0, 1, 76.765, -999
20140916, 76.47, 77.44, 75.71, 77.11, 1988500, 76.86, 0, 1, 76.665, -999
20140915, 76.99, 77.1, 76.55, 76.84, 994400, 76.59, 0, 1, 76.79, -999
20140912, 77.35, 77.6, 76.61, 77.1, 1330000, 76.85, 0, 1, 77.1, -999
