Ticker: ABT  Created on: 12/6/2014 5:23:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 45.43, 45.53, 45.2, 45.3, 4179500, 45.3, 0, 1, 45.365, -999
20141204, 45.66, 45.95, 45.25, 45.49, 6377200, 45.49, 0, 1, 45.575, -999
20141203, 45.22, 45.81, 45.1, 45.68, 4888400, 45.68, 0, 1, 45.45, -999
20141202, 44.68, 45.62, 44.68, 45.22, 10935500, 45.22, 0, 1, 44.95, -999
20141201, 44.27, 44.57, 44.2, 44.32, 5336100, 44.32, 0, 1, 44.295, -999
20141128, 44.45, 44.76, 44.41, 44.51, 2440100, 44.51, 0, 1, 44.48, -999
20141126, 44.16, 44.43, 43.99, 44.25, 2876700, 44.25, 0, 1, 44.205, -999
20141125, 44.31, 44.38, 43.97, 44.16, 4651800, 44.16, 0, 1, 44.235, -999
20141124, 43.59, 44.4, 43.59, 44.32, 3798700, 44.32, 0, 1, 43.955, -999
20141121, 44.15, 44.19, 43.71, 43.81, 6495800, 43.81, 0, 1, 43.98, -999
20141120, 43.3, 43.84, 43.05, 43.78, 4862100, 43.78, 0, 1, 43.54, -999
20141119, 43.79, 43.79, 43.35, 43.43, 3768000, 43.43, 0, 1, 43.61, -999
20141118, 43.8, 43.88, 43.43, 43.7, 6724900, 43.7, 0, 1, 43.75, -999
20141117, 43.71, 43.95, 43.61, 43.71, 3871700, 43.71, 0, 1, 43.71, -999
20141114, 44.59, 44.59, 43.68, 43.81, 4206000, 43.81, 0, 1, 44.2, -999
20141113, 44.28, 44.77, 44.21, 44.59, 3488800, 44.59, 0, 1, 44.435, -999
20141112, 44.19, 44.3, 43.94, 44.23, 3486000, 44.23, 0, 1, 44.21, -999
20141111, 44.12, 44.63, 44.1, 44.25, 3192600, 44.25, 0, 1, 44.185, -999
20141110, 43.35, 44.1, 43.17, 44.09, 5318900, 44.09, 0, 1, 43.72, -999
20141107, 43.77, 43.81, 43.17, 43.37, 3992700, 43.37, 0, 1, 43.57, -999
20141106, 43.6, 43.84, 43.44, 43.69, 3770600, 43.69, 0, 1, 43.645, -999
20141105, 43.93, 43.99, 43.34, 43.66, 4193200, 43.66, 0, 1, 43.795, -999
20141104, 43.02, 43.64, 43.02, 43.61, 4187100, 43.61, 0, 1, 43.315, -999
20141103, 43.56, 43.69, 43.06, 43.29, 4404100, 43.29, 0, 1, 43.425, -999
20141031, 44.05, 44.06, 43.44, 43.59, 6124900, 43.59, 0, 1, 43.82, -999
