Ticker: ACN  Created on: 12/6/2014 5:23:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 86.31, 86.49, 86.08, 86.19, 2227600, 86.19, 0, 1, 86.25, -999
20141204, 86.41, 86.56, 85.93, 86.34, 1724400, 86.34, 0, 1, 86.375, -999
20141203, 86.4, 86.6, 85.78, 86.52, 1728400, 86.52, 0, 1, 86.46, -999
20141202, 85.85, 86.22, 85.25, 85.98, 2504200, 85.98, 0, 1, 85.915, -999
20141201, 85.88, 87.08, 85.61, 86, 2673000, 86, 0, 1, 85.94, -999
20141128, 85.29, 86.49, 85.19, 86.33, 1725100, 86.33, 0, 1, 85.81, -999
20141126, 85.28, 85.29, 84.81, 85.15, 1930100, 85.15, 0, 1, 85.215, -999
20141125, 84.8, 85.38, 84.78, 85.32, 3475200, 85.32, 0, 1, 85.06, -999
20141124, 83.99, 85, 83.99, 84.93, 2003200, 84.93, 0, 1, 84.46, -999
20141121, 84.32, 84.37, 83.71, 84.08, 2204300, 84.08, 0, 1, 84.2, -999
20141120, 83.48, 83.91, 83.16, 83.44, 1571300, 83.44, 0, 1, 83.46, -999
20141119, 84.06, 84.2, 83.46, 83.64, 2117400, 83.64, 0, 1, 83.85, -999
20141118, 84.65, 84.77, 84.08, 84.3, 2715500, 84.3, 0, 1, 84.475, -999
20141117, 84.43, 84.79, 84.13, 84.65, 1890200, 84.65, 0, 1, 84.54, -999
20141114, 84.27, 84.74, 84.05, 84.64, 2777200, 84.64, 0, 1, 84.455, -999
20141113, 84.03, 84.78, 83.8, 84.44, 2337200, 84.44, 0, 1, 84.235, -999
20141112, 83.83, 84.22, 83.57, 84.12, 1929600, 84.12, 0, 1, 83.975, -999
20141111, 84.13, 84.5, 83.78, 83.94, 1650300, 83.94, 0, 1, 84.035, -999
20141110, 83.16, 84.35, 83.16, 84.16, 2444500, 84.16, 0, 1, 83.66, -999
20141107, 83.24, 83.75, 82.72, 83.48, 2504900, 83.48, 0, 1, 83.36, -999
20141106, 82.19, 83.31, 82.11, 83.24, 2606900, 83.24, 0, 1, 82.715, -999
20141105, 81.5, 82.5, 81.35, 82.48, 3201700, 82.48, 0, 1, 81.99, -999
20141104, 80.89, 81.29, 80.78, 81.15, 2371300, 81.15, 0, 1, 81.02, -999
20141103, 81.03, 81.37, 80.67, 80.97, 2306800, 80.97, 0, 1, 81, -999
20141031, 81.08, 81.42, 80.94, 81.12, 3089700, 81.12, 0, 1, 81.1, -999
