Ticker: ADBE  Created on: 12/6/2014 5:23:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 73.16, 73.25, 72.36, 72.4, 3061700, 72.4, 0, 1, 72.78, -999
20141204, 73.09, 73.23, 72.4, 73.03, 1415200, 73.03, 0, 1, 73.06, -999
20141203, 73.64, 73.64, 72.89, 73.18, 1569100, 73.18, 0, 1, 73.41, -999
20141202, 74, 74, 73.08, 73.47, 1836900, 73.47, 0, 1, 73.735, -999
20141201, 73.64, 73.97, 73.2, 73.75, 2009600, 73.75, 0, 1, 73.695, -999
20141128, 73.13, 74.1, 73.05, 73.68, 978400, 73.68, 0, 1, 73.405, -999
20141126, 72.08, 73, 71.74, 72.98, 1467600, 72.98, 0, 1, 72.53, -999
20141125, 71.2, 72.52, 71.2, 72, 2842600, 72, 0, 1, 71.6, -999
20141124, 71.52, 71.55, 70.73, 71.22, 1821200, 71.22, 0, 1, 71.37, -999
20141121, 72, 72.55, 71.18, 71.32, 4554400, 71.32, 0, 1, 71.66, -999
20141120, 70.33, 70.55, 70.02, 70.44, 2250500, 70.44, 0, 1, 70.385, -999
20141119, 71.01, 71.06, 70.42, 70.82, 2193800, 70.82, 0, 1, 70.915, -999
20141118, 69.86, 71.08, 69.86, 70.83, 2833200, 70.83, 0, 1, 70.345, -999
20141117, 70.98, 71.25, 69.87, 69.97, 3443100, 69.97, 0, 1, 70.475, -999
20141114, 71.7, 72, 71.35, 71.42, 2470500, 71.42, 0, 1, 71.56, -999
20141113, 71.65, 72.08, 71.3, 71.72, 2560800, 71.72, 0, 1, 71.685, -999
20141112, 71.35, 71.73, 71.26, 71.41, 1581700, 71.41, 0, 1, 71.38, -999
20141111, 71.81, 72, 71.4, 71.7, 1876000, 71.7, 0, 1, 71.755, -999
20141110, 71.63, 72, 71.18, 71.7, 2388800, 71.7, 0, 1, 71.665, -999
20141107, 72.35, 72.4, 71.44, 71.6, 4303100, 71.6, 0, 1, 71.975, -999
20141106, 71.59, 72.37, 71.37, 72.1, 2345300, 72.1, 0, 1, 71.845, -999
20141105, 71.53, 72.04, 70.89, 71.37, 6146600, 71.37, 0, 1, 71.45, -999
20141104, 69.95, 71.1, 69.75, 71.07, 2996000, 71.07, 0, 1, 70.51, -999
20141103, 69.93, 70.27, 69.66, 69.91, 1889000, 69.91, 0, 1, 69.92, -999
20141031, 69.89, 70.25, 69.27, 70.12, 2949200, 70.12, 0, 1, 70.005, -999
20141030, 67.23, 68.61, 67.23, 68.57, 1891200, 68.57, 0, 1, 67.9, -999
20141029, 68.21, 68.81, 67.52, 67.93, 2054400, 67.93, 0, 1, 68.07, -999
20141028, 67.45, 68.51, 67.2, 68.37, 1951100, 68.37, 0, 1, 67.91, -999
20141027, 66.84, 67.34, 66.31, 67.03, 1490800, 67.03, 0, 1, 66.935, -999
20141024, 66.26, 67.08, 65.5, 67.01, 1391600, 67.01, 0, 1, 66.635, -999
20141023, 65.62, 66.4, 65.17, 65.92, 1783800, 65.92, 0, 1, 65.77, -999
20141022, 66.31, 66.49, 64.99, 65.04, 2363300, 65.04, 0, 1, 65.675, -999
20141021, 64.84, 66.56, 64.51, 66.43, 3222800, 66.43, 0, 1, 65.635, -999
20141020, 64.25, 64.73, 63.7, 64.68, 4266200, 64.68, 0, 1, 64.465, -999
20141017, 63.46, 65.13, 63.46, 64.52, 6540800, 64.52, 0, 1, 63.99, -999
20141016, 60.72, 63.72, 60.72, 62.86, 6640000, 62.86, 0, 1, 61.79, -999
20141015, 59.61, 62.65, 58.51, 62.19, 8333600, 62.19, 0, 1, 60.9, -999
20141014, 62.17, 62.3, 60.69, 60.88, 4189500, 60.88, 0, 1, 61.525, -999
20141013, 63.01, 63.35, 61.53, 61.68, 4822100, 61.68, 0, 1, 62.345, -999
20141010, 65.37, 65.58, 63.29, 63.29, 4640900, 63.29, 0, 1, 64.33, -999
20141009, 67.83, 67.96, 65.48, 65.66, 3376800, 65.66, 0, 1, 66.745, -999
20141008, 66, 68.09, 65.41, 67.99, 3562500, 67.99, 0, 1, 66.995, -999
20141007, 67.4, 67.63, 65.93, 65.96, 3308200, 65.96, 0, 1, 66.68, -999
20141006, 68.56, 68.8, 67.45, 67.67, 1586000, 67.67, 0, 1, 68.115, -999
20141003, 67.59, 68.67, 67.59, 68.4, 2873600, 68.4, 0, 1, 67.995, -999
20141002, 67.83, 67.95, 66.15, 67.06, 3936900, 67.06, 0, 1, 67.445, -999
20141001, 69.13, 69.13, 67.51, 67.54, 4650600, 67.54, 0, 1, 68.335, -999
20140930, 69.49, 69.5, 68.53, 69.19, 2887200, 69.19, 0, 1, 69.34, -999
20140929, 67.69, 69.49, 67.55, 69.22, 3379600, 69.22, 0, 1, 68.455, -999
20140926, 67.49, 68.42, 67.42, 68.36, 2286600, 68.36, 0, 1, 67.925, -999
20140925, 68.85, 69.02, 67.53, 67.71, 3622900, 67.71, 0, 1, 68.28, -999
20140924, 67.77, 69.25, 67.6, 69.03, 3879800, 69.03, 0, 1, 68.4, -999
20140923, 67.11, 68.07, 66.85, 67.79, 4414100, 67.79, 0, 1, 67.45, -999
20140922, 66.7, 67.22, 65.79, 67.2, 4122200, 67.2, 0, 1, 66.95, -999
20140919, 68.12, 68.2, 66.35, 66.94, 6790000, 66.94, 0, 1, 67.53, -999
20140918, 67.28, 68.15, 67.1, 67.91, 5173900, 67.91, 0, 1, 67.595, -999
20140917, 68.03, 69.09, 67.16, 67.3, 9463300, 67.3, 0, 1, 67.665, -999
20140916, 70.01, 70.96, 69.19, 70.73, 5965200, 70.73, 0, 1, 70.37, -999
20140915, 70.63, 70.96, 69.37, 70.27, 3867700, 70.27, 0, 1, 70.45, -999
20140912, 72.4, 72.49, 70.8, 70.98, 3145600, 70.98, 0, 1, 71.69, -999
20140911, 72.03, 72.57, 71.78, 72.42, 1708800, 72.42, 0, 1, 72.225, -999
20140910, 72.25, 72.75, 71.84, 72.33, 2213500, 72.33, 0, 1, 72.29, -999
20140909, 73.58, 73.58, 72.34, 72.42, 1648300, 72.42, 0, 1, 73, -999
20140908, 72.87, 73.55, 72.81, 73.39, 1373500, 73.39, 0, 1, 73.13, -999
20140905, 72.6, 73.13, 72.41, 73.13, 1736200, 73.13, 0, 1, 72.865, -999
20140904, 72.63, 73.2, 72.26, 72.46, 1976000, 72.46, 0, 1, 72.545, -999
20140903, 72.55, 72.8, 71.99, 72.43, 1971400, 72.43, 0, 1, 72.49, -999
20140902, 72.06, 72.59, 71.84, 72.1, 2161400, 72.1, 0, 1, 72.08, -999
20140829, 71.77, 72.1, 71.4, 71.9, 1659500, 71.9, 0, 1, 71.835, -999
20140828, 71.23, 71.72, 70.86, 71.37, 1062900, 71.37, 0, 1, 71.3, -999
20140827, 71.53, 72.09, 71.37, 71.55, 1705600, 71.55, 0, 1, 71.54, -999
20140826, 71.79, 72.25, 71.5, 71.53, 1848200, 71.53, 0, 1, 71.66, -999
20140825, 72.44, 72.57, 71.63, 71.82, 1709000, 71.82, 0, 1, 72.13, -999
20140822, 71.89, 72.29, 71.55, 72.04, 1443900, 72.04, 0, 1, 71.965, -999
20140821, 71.07, 71.9, 70.83, 71.73, 1886900, 71.73, 0, 1, 71.4, -999
20140820, 71.78, 72, 70.75, 71.02, 3395300, 71.02, 0, 1, 71.4, -999
20140819, 71.09, 72.08, 71.06, 72.05, 1997800, 72.05, 0, 1, 71.57, -999
20140818, 70.44, 71.1, 70.39, 71.06, 1707300, 71.06, 0, 1, 70.75, -999
20140815, 70.88, 70.91, 69.58, 70.07, 4311600, 70.07, 0, 1, 70.475, -999
20140814, 69.89, 70.07, 69.59, 70.05, 1318700, 70.05, 0, 1, 69.97, -999
