Ticker: ADI  Created on: 12/6/2014 5:23:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 56.75, 57.38, 56.31, 57.34, 2266400, 57.34, 0, 1, 57.045, -999
20141204, 56.46, 56.7, 55.99, 56.62, 3137500, 56.62, 0, 1, 56.54, -999
20141203, 54.95, 56.88, 54.95, 56.51, 6303000, 56.51, 0, 1, 55.73, -999
20141202, 54.54, 55.25, 54.28, 55.21, 2181800, 54.84, 0, 1, 54.69, -999
20141201, 54.48, 54.94, 54.19, 54.65, 2463400, 54.28, 0, 1, 54.38, -999
20141128, 54.95, 54.95, 54.32, 54.64, 1336800, 54.27, 0, 1, 54.61, -999
20141126, 52.53, 54.69, 52.51, 54.56, 5683400, 54.19, 0, 1, 53.36, -999
20141125, 51.74, 51.98, 51.5, 51.71, 2500100, 51.36, 0, 1, 51.55, -999
20141124, 51.96, 51.96, 51.27, 51.8, 1615600, 51.45, 0, 1, 51.705, -999
20141121, 51.95, 51.95, 51.15, 51.65, 1638800, 51.3, 0, 1, 51.625, -999
20141120, 50.35, 51.2, 50.35, 51.17, 1757700, 50.83, 0, 1, 50.59, -999
20141119, 51.42, 51.44, 50.5, 50.75, 1795000, 50.41, 0, 1, 50.915, -999
20141118, 50.31, 51.27, 50.23, 51.26, 2333300, 50.92, 0, 1, 50.615, -999
20141117, 50.34, 50.49, 49.81, 50.35, 1662900, 50.01, 0, 1, 50.175, -999
20141114, 50.34, 50.69, 49.84, 50.62, 1509900, 50.28, 0, 1, 50.31, -999
20141113, 50.43, 50.64, 49.95, 50.21, 1113400, 49.87, 0, 1, 50.15, -999
20141112, 50.02, 50.36, 49.81, 50.26, 1226400, 49.92, 0, 1, 49.97, -999
20141111, 50.39, 50.52, 49.88, 50.14, 1211800, 49.8, 0, 1, 50.095, -999
20141110, 50.16, 50.55, 49.98, 50.42, 1771600, 50.08, 0, 1, 50.12, -999
20141107, 50.4, 50.41, 49.7, 50.24, 1962600, 49.9, 0, 1, 50.15, -999
20141106, 50, 50.37, 49.42, 50.22, 2017900, 49.88, 0, 1, 49.94, -999
20141105, 49.78, 50.05, 49.18, 50.03, 1493500, 49.69, 0, 1, 49.735, -999
20141104, 49.6, 49.92, 49.33, 49.45, 1684500, 49.12, 0, 1, 49.36, -999
20141103, 49.72, 50.21, 49.48, 49.72, 3318900, 49.39, 0, 1, 49.555, -999
20141031, 48.71, 50.54, 48.48, 49.62, 6689200, 49.29, 0, 1, 49, -999
20141030, 47.29, 47.3, 46.38, 47, 3025800, 46.69, 0, 1, 46.99, -999
20141029, 46.93, 47.33, 46.4, 47.31, 2415400, 46.99, 0, 1, 46.96, -999
20141028, 46.77, 47.12, 46.33, 46.99, 1791000, 46.68, 0, 1, 46.725, -999
20141027, 46.68, 46.76, 46.22, 46.62, 1817800, 46.31, 0, 1, 46.495, -999
20141024, 46.7, 47.11, 46.25, 46.85, 1862800, 46.54, 0, 1, 46.62, -999
20141023, 46.57, 46.72, 46.21, 46.42, 2234000, 46.11, 0, 1, 46.34, -999
20141022, 46.9, 47.15, 46, 46.02, 2549900, 45.71, 0, 1, 46.305, -999
20141021, 45.89, 46.82, 45.51, 46.72, 2765700, 46.41, 0, 1, 46.15, -999
20141020, 44.75, 45.4, 44.61, 45.32, 1884400, 45.02, 0, 1, 44.885, -999
20141017, 44.99, 45.9, 44.86, 44.94, 3334900, 44.64, 0, 1, 44.815, -999
20141016, 43.44, 44.91, 43.2, 44.6, 3386200, 44.3, 0, 1, 43.87, -999
20141015, 42.76, 44.44, 42.59, 44.12, 4467400, 43.82, 0, 1, 43.29, -999
20141014, 43.93, 44.66, 43.38, 43.46, 4012100, 43.17, 0, 1, 43.55, -999
20141013, 43.43, 44.38, 42.86, 43.1, 4187800, 42.81, 0, 1, 43.12, -999
20141010, 44.3, 44.47, 42.57, 43.45, 10052700, 43.16, 0, 1, 43.73, -999
20141009, 47.75, 47.94, 46.34, 46.34, 6539900, 46.03, 0, 1, 46.89, -999
20141008, 46.1, 47.81, 46, 47.75, 3219000, 47.43, 0, 1, 46.765, -999
20141007, 46.79, 46.98, 46.12, 46.21, 3086700, 45.9, 0, 1, 46.345, -999
20141006, 47.8, 48.05, 47.03, 47.15, 2351400, 46.83, 0, 1, 47.315, -999
20141003, 47.97, 48.13, 47.5, 47.58, 1821800, 47.26, 0, 1, 47.615, -999
20141002, 48.24, 48.35, 47.24, 47.8, 3576600, 47.48, 0, 1, 47.86, -999
20141001, 49.35, 49.42, 48.17, 48.25, 2480500, 47.93, 0, 1, 48.64, -999
20140930, 49.82, 50.01, 49.45, 49.49, 3185500, 49.16, 0, 1, 49.49, -999
20140929, 49.69, 50, 49.52, 49.81, 1632900, 49.48, 0, 1, 49.585, -999
20140926, 49.73, 50.11, 49.62, 50.03, 1613600, 49.69, 0, 1, 49.71, -999
20140925, 49.94, 50.05, 49.55, 49.64, 3193900, 49.31, 0, 1, 49.625, -999
20140924, 49.72, 50.19, 49.6, 50, 2203700, 49.66, 0, 1, 49.69, -999
20140923, 49.46, 50.1, 49.25, 49.67, 3190000, 49.34, 0, 1, 49.4, -999
20140922, 49.75, 50.08, 49.37, 49.92, 3344700, 49.59, 0, 1, 49.67, -999
20140919, 50.64, 50.64, 49.81, 49.99, 2917300, 49.65, 0, 1, 50.145, -999
20140918, 49.79, 50.37, 49.57, 50.29, 1594600, 49.95, 0, 1, 49.87, -999
20140917, 49, 50.02, 49, 49.63, 1814300, 49.3, 0, 1, 49.15, -999
20140916, 48.65, 49.33, 48.64, 49.2, 2001400, 48.87, 0, 1, 48.76, -999
20140915, 49.23, 49.35, 48.65, 48.87, 1777300, 48.54, 0, 1, 48.885, -999
20140912, 49.68, 49.76, 48.9, 49.12, 2238000, 48.79, 0, 1, 49.235, -999
20140911, 49.32, 49.91, 49.26, 49.76, 2132400, 49.43, 0, 1, 49.375, -999
20140910, 49.69, 49.92, 49.47, 49.64, 2327000, 49.31, 0, 1, 49.5, -999
20140909, 49.93, 50.25, 49.75, 49.8, 1918400, 49.47, 0, 1, 49.7, -999
20140908, 50.07, 50.42, 49.86, 50.07, 2252700, 49.73, 0, 1, 49.9, -999
20140905, 50.4, 50.78, 50.13, 50.22, 1893500, 49.88, 0, 1, 50.14, -999
20140904, 50.25, 50.67, 50.25, 50.41, 1435400, 50.07, 0, 1, 50.16, -999
20140903, 50.39, 50.8, 50.09, 50.25, 1931600, 49.91, 0.37, 1, 50.15, -999
20140902, 51.1, 51.35, 50.4, 50.62, 2045500, 49.91, 0, 1, 50.505, -999
20140829, 51.67, 51.7, 50.91, 51.12, 1631500, 50.41, 0, 1, 51.04, -999
20140828, 50.95, 51.41, 50.71, 51.29, 2094900, 50.57, 0, 1, 50.76, -999
20140827, 51.65, 52.11, 49.99, 51.03, 4754300, 50.32, 0, 1, 50.985, -999
20140826, 52, 52.34, 51.76, 52.21, 2658900, 51.48, 0, 1, 51.74, -999
20140825, 52.75, 52.95, 51.85, 51.93, 1902700, 51.2, 0, 1, 51.975, -999
20140822, 52.67, 52.79, 52.34, 52.5, 900100, 51.77, 0, 1, 52.22, -999
20140821, 52.03, 52.58, 51.76, 52.54, 1181600, 51.81, 0, 1, 51.92, -999
20140820, 51.52, 52.29, 51.52, 52.17, 1357400, 51.44, 0, 1, 51.48, -999
20140819, 51.45, 51.92, 51.29, 51.72, 1105700, 51, 0, 1, 51.225, -999
20140818, 51.22, 51.51, 51.08, 51.34, 1016600, 50.62, 0, 1, 50.92, -999
