Ticker: ADM  Created on: 12/6/2014 5:23:40 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 52.75, 53.27, 52.68, 53.25, 2994600, 53.25, 0, 1, 53, -999
20141204, 53.27, 53.91, 52.55, 52.78, 3945200, 52.78, 0, 1, 53.025, -999
20141203, 53.33, 53.79, 53.2, 53.71, 4796000, 53.71, 0, 1, 53.52, -999
20141202, 52.74, 53.61, 52.74, 53.31, 4818400, 53.31, 0, 1, 53.025, -999
20141201, 52.66, 52.93, 51.87, 52.46, 4437600, 52.46, 0, 1, 52.56, -999
20141128, 53.38, 53.41, 52.66, 52.68, 3007600, 52.68, 0, 1, 53.03, -999
20141126, 53.03, 53.37, 52.93, 53.18, 1875600, 53.18, 0, 1, 53.105, -999
20141125, 52.86, 53.33, 52.62, 52.93, 2929900, 52.93, 0, 1, 52.895, -999
20141124, 52.74, 53.33, 52.61, 52.95, 2709500, 52.95, 0, 1, 52.845, -999
20141121, 53.06, 53.54, 52.41, 52.71, 3666000, 52.71, 0, 1, 52.885, -999
20141120, 51.94, 52.63, 51.82, 52.57, 2226300, 52.57, 0, 1, 52.255, -999
20141119, 52, 52.28, 51.79, 52.22, 2031600, 52.22, 0, 1, 52.11, -999
20141118, 51.91, 52.25, 51.78, 52.01, 2484500, 52.01, 0, 1, 51.96, -999
20141117, 51.26, 52.15, 51.15, 51.99, 2893900, 51.75, 0, 1, 51.505, -999
20141114, 50.92, 51.36, 50.78, 51.35, 2735800, 51.11, 0, 1, 51.015, -999
20141113, 51, 51.16, 50.33, 50.81, 2555500, 50.58, 0, 1, 50.79, -999
20141112, 50.98, 51, 50.46, 50.71, 2241900, 50.48, 0, 1, 50.73, -999
20141111, 50.91, 51.38, 50.81, 51.12, 2019900, 50.88, 0, 1, 50.895, -999
20141110, 50.69, 50.78, 50.37, 50.77, 2058900, 50.54, 0, 1, 50.615, -999
20141107, 49.89, 50.67, 49.89, 50.55, 2311500, 50.32, 0, 1, 50.105, -999
20141106, 50.35, 50.66, 49.94, 49.97, 3388400, 49.74, 0, 1, 50.045, -999
20141105, 50.45, 50.52, 49.85, 50.31, 4307000, 50.08, 0, 1, 50.265, -999
20141104, 49.05, 49.75, 48.6, 49.54, 5273600, 49.31, 0, 1, 49.18, -999
20141103, 47.24, 47.6, 47.05, 47.25, 3445200, 47.03, 0, 1, 47.135, -999
20141031, 47, 47.26, 46.67, 47, 3010500, 46.78, 0, 1, 46.89, -999
20141030, 45.73, 46.62, 45.62, 46.58, 2983100, 46.36, 0, 1, 46.045, -999
20141029, 45.77, 46.2, 45.44, 45.82, 2588600, 45.61, 0, 1, 45.69, -999
20141028, 44.98, 45.73, 44.81, 45.69, 3096000, 45.48, 0, 1, 45.23, -999
20141027, 45.51, 45.51, 44.42, 44.62, 3594200, 44.41, 0, 1, 44.96, -999
20141024, 45.58, 45.78, 45.18, 45.58, 2213700, 45.37, 0, 1, 45.475, -999
20141023, 46.27, 46.54, 45.41, 45.54, 2949900, 45.33, 0, 1, 45.8, -999
20141022, 45.84, 46.23, 45.69, 45.76, 2982500, 45.55, 0, 1, 45.695, -999
