Ticker: ADS  Created on: 12/6/2014 5:23:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 278.85, 280.07, 277.31, 278.24, 321800, 278.24, 0, 1, 278.545, -999
20141204, 281.37, 281.37, 277.24, 278.66, 459500, 278.66, 0, 1, 280.015, -999
20141203, 282.71, 284.97, 280.69, 281.45, 456100, 281.45, 0, 1, 282.08, -999
20141202, 282.65, 284.17, 279.07, 282.99, 433900, 282.99, 0, 1, 282.82, -999
20141201, 283.22, 284.45, 281.1, 281.61, 497100, 281.61, 0, 1, 282.415, -999
20141128, 286.12, 286.66, 283.47, 285.87, 206300, 285.87, 0, 1, 285.995, -999
20141126, 285.66, 285.66, 283.13, 284.37, 312600, 284.37, 0, 1, 285.015, -999
20141125, 287.17, 289, 284.25, 284.58, 467200, 284.58, 0, 1, 285.875, -999
20141124, 286.49, 287.53, 285.25, 286.2, 333700, 286.2, 0, 1, 286.345, -999
20141121, 287.68, 289.33, 284.4, 285.1, 501600, 285.1, 0, 1, 286.39, -999
20141120, 280, 284.94, 278.28, 284.83, 385300, 284.83, 0, 1, 282.415, -999
20141119, 280.96, 281.76, 278.73, 280.62, 410600, 280.62, 0, 1, 280.79, -999
20141118, 281.6, 283.04, 280.54, 282, 356500, 282, 0, 1, 281.8, -999
20141117, 285.46, 286, 279.5, 280.88, 501200, 280.88, 0, 1, 283.17, -999
20141114, 284.2, 286.56, 283.28, 285.46, 904500, 285.46, 0, 1, 284.83, -999
20141113, 284.46, 284.8, 281.26, 284.23, 382900, 284.23, 0, 1, 284.345, -999
20141112, 282.4, 284.91, 281.4, 283.23, 351100, 283.23, 0, 1, 282.815, -999
20141111, 284.59, 285.94, 282.66, 284.28, 362500, 284.28, 0, 1, 284.435, -999
20141110, 282.85, 285.59, 281.29, 284.99, 565100, 284.99, 0, 1, 283.92, -999
20141107, 285.6, 285.6, 282.25, 283.61, 353000, 283.61, 0, 1, 284.605, -999
20141106, 283.59, 285.06, 282.27, 284.98, 309100, 284.98, 0, 1, 284.285, -999
20141105, 279.6, 284.17, 278.85, 284.02, 504600, 284.02, 0, 1, 281.81, -999
20141104, 281.1, 281.75, 275.91, 278.11, 537000, 278.11, 0, 1, 279.605, -999
20141103, 283.46, 284.89, 280.95, 281.85, 475800, 281.85, 0, 1, 282.655, -999
20141031, 284.91, 286.8, 281.63, 283.35, 629000, 283.35, 0, 1, 284.13, -999
20141030, 274.67, 283.27, 274.4, 282.97, 521900, 282.97, 0, 1, 278.82, -999
20141029, 280.31, 280.83, 274.9, 276.6, 445100, 276.6, 0, 1, 278.455, -999
20141028, 274.2, 280.86, 273.1, 280.48, 443300, 280.48, 0, 1, 277.34, -999
20141027, 273, 273.71, 269.35, 273.06, 436700, 273.06, 0, 1, 273.03, -999
20141024, 273.63, 274.71, 271.45, 273.5, 373400, 273.5, 0, 1, 273.565, -999
20141023, 270.72, 276.62, 269.95, 273.24, 586600, 273.24, 0, 1, 271.98, -999
20141022, 270.18, 275.87, 267.38, 268.75, 1141000, 268.75, 0, 1, 269.465, -999
20141021, 263.66, 268.27, 262.69, 268.14, 756800, 268.14, 0, 1, 265.9, -999
