Ticker: AEE  Created on: 12/6/2014 5:23:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.25, 43.63, 42.82, 43.29, 1458700, 43.29, 0, 1, 43.27, -999
20141204, 43.87, 43.97, 43.32, 43.58, 1566500, 43.58, 0, 1, 43.725, -999
20141203, 43.48, 43.93, 43.35, 43.85, 1383700, 43.85, 0, 1, 43.665, -999
20141202, 42.95, 43.75, 42.78, 43.53, 1264400, 43.53, 0, 1, 43.24, -999
20141201, 42.86, 43.54, 42.58, 43.2, 1346900, 43.2, 0, 1, 43.03, -999
20141128, 42.81, 43.43, 42.71, 43.11, 612600, 43.11, 0, 1, 42.96, -999
20141126, 42.58, 42.71, 42.19, 42.58, 1095100, 42.58, 0, 1, 42.58, -999
20141125, 42.57, 42.57, 42.06, 42.39, 1591700, 42.39, 0, 1, 42.48, -999
20141124, 42.8, 42.94, 42.41, 42.48, 1060900, 42.48, 0, 1, 42.64, -999
20141121, 43.06, 43.13, 42.42, 42.83, 1131200, 42.83, 0, 1, 42.945, -999
20141120, 42.88, 42.96, 42.52, 42.66, 1251200, 42.66, 0, 1, 42.77, -999
20141119, 43.12, 43.22, 42.77, 43.04, 1062300, 43.04, 0, 1, 43.08, -999
20141118, 43.1, 43.61, 42.89, 43.33, 1668700, 43.33, 0, 1, 43.215, -999
20141117, 42.16, 43.11, 42.16, 43.06, 1337400, 43.06, 0, 1, 42.61, -999
20141114, 42.29, 42.41, 42.07, 42.21, 1518100, 42.21, 0, 1, 42.25, -999
20141113, 42.67, 42.99, 42.26, 42.39, 1311300, 42.39, 0, 1, 42.53, -999
20141112, 42.95, 42.99, 42.38, 42.72, 2007900, 42.72, 0, 1, 42.835, -999
20141111, 43.36, 43.54, 43.08, 43.31, 933300, 43.31, 0, 1, 43.335, -999
20141110, 43.16, 43.37, 42.91, 43.32, 1362100, 43.32, 0, 1, 43.24, -999
20141107, 42.42, 43.35, 42.32, 43.31, 1272300, 43.31, 0, 1, 42.865, -999
20141106, 44.12, 44.22, 41.89, 42.42, 2067000, 42.42, 0, 1, 43.27, -999
20141105, 42.56, 43.43, 42.46, 43.4, 2445100, 43.4, 0, 1, 42.98, -999
20141104, 43.02, 43.16, 42.26, 42.4, 1100500, 42.4, 0, 1, 42.71, -999
20141103, 42.44, 43.28, 42.3, 43.04, 1743500, 43.04, 0, 1, 42.74, -999
20141031, 42.63, 42.71, 42.15, 42.34, 1879400, 42.34, 0, 1, 42.485, -999
20141030, 41.5, 42.61, 41.35, 42.58, 1836200, 42.58, 0, 1, 42.04, -999
20141029, 41.65, 41.82, 40.9, 41.41, 1043600, 41.41, 0, 1, 41.53, -999
20141028, 41.3, 41.67, 41.12, 41.67, 836500, 41.67, 0, 1, 41.485, -999
20141027, 41.23, 41.3, 40.92, 41.23, 861900, 41.23, 0, 1, 41.23, -999
20141024, 41.11, 41.32, 40.9, 41.24, 731000, 41.24, 0, 1, 41.175, -999
20141023, 40.95, 41.28, 40.68, 41.01, 1424300, 41.01, 0, 1, 40.98, -999
20141022, 40.69, 41, 40.36, 40.7, 1123500, 40.7, 0, 1, 40.695, -999
20141021, 40.49, 40.66, 40.28, 40.48, 1426200, 40.48, 0, 1, 40.485, -999
20141020, 39.73, 40.49, 39.66, 40.46, 1505900, 40.46, 0, 1, 40.095, -999
20141017, 39.75, 39.8, 39.03, 39.67, 1574100, 39.67, 0, 1, 39.71, -999
20141016, 39.69, 39.8, 39.01, 39.58, 2216500, 39.58, 0, 1, 39.635, -999
20141015, 40.29, 40.66, 39.23, 40.1, 2564600, 40.1, 0, 1, 40.195, -999
20141014, 40.09, 41.28, 39.91, 40.72, 2826500, 40.72, 0, 1, 40.405, -999
20141013, 39.54, 40.62, 39.54, 40.03, 2636500, 40.03, 0, 1, 39.785, -999
20141010, 39.24, 39.8, 39.18, 39.57, 2148000, 39.57, 0, 1, 39.405, -999
20141009, 40.07, 40.39, 39.03, 39.04, 2159500, 39.04, 0, 1, 39.555, -999
20141008, 39.31, 40.17, 39.2, 40.14, 1563400, 40.14, 0, 1, 39.725, -999
20141007, 39.11, 39.67, 39.08, 39.29, 1666800, 39.29, 0, 1, 39.2, -999
20141006, 38.92, 39.23, 38.88, 39.15, 2357100, 39.15, 0, 1, 39.035, -999
