Ticker: AES  Created on: 12/6/2014 5:23:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 13.62, 13.78, 13.56, 13.68, 5064700, 13.68, 0, 1, 13.65, -999
20141204, 13.82, 13.87, 13.61, 13.74, 3588100, 13.74, 0, 1, 13.78, -999
20141203, 13.81, 14, 13.47, 13.81, 10515900, 13.81, 0, 1, 13.81, -999
20141202, 13.51, 13.91, 13.4, 13.84, 6607700, 13.84, 0, 1, 13.675, -999
20141201, 13.8, 13.89, 13.65, 13.65, 4832800, 13.65, 0, 1, 13.725, -999
20141128, 13.79, 13.9, 13.78, 13.87, 2976500, 13.87, 0, 1, 13.83, -999
20141126, 13.9, 13.98, 13.79, 13.82, 3397000, 13.82, 0, 1, 13.86, -999
20141125, 14.03, 14.05, 13.85, 13.92, 6541500, 13.92, 0, 1, 13.975, -999
20141124, 14.14, 14.18, 14.03, 14.08, 4227300, 14.08, 0, 1, 14.11, -999
20141121, 14.07, 14.12, 13.94, 14.1, 3721700, 14.1, 0, 1, 14.085, -999
20141120, 13.86, 13.95, 13.82, 13.93, 5416700, 13.93, 0, 1, 13.895, -999
20141119, 13.68, 13.92, 13.54, 13.92, 5654900, 13.92, 0, 1, 13.8, -999
20141118, 13.75, 13.92, 13.72, 13.74, 5609900, 13.74, 0, 1, 13.745, -999
20141117, 13.43, 13.76, 13.34, 13.76, 6114000, 13.76, 0, 1, 13.595, -999
20141114, 13.65, 13.68, 13.47, 13.47, 5097700, 13.47, 0, 1, 13.56, -999
20141113, 13.48, 13.77, 13.46, 13.69, 8959100, 13.69, 0, 1, 13.585, -999
20141112, 13.37, 13.75, 13.26, 13.44, 12079400, 13.44, 0, 1, 13.405, -999
20141111, 13.62, 13.65, 13.47, 13.49, 5532900, 13.49, 0, 1, 13.555, -999
20141110, 13.42, 13.64, 13.41, 13.63, 4698900, 13.63, 0, 1, 13.525, -999
20141107, 13.09, 13.47, 13.04, 13.46, 7497000, 13.46, 0, 1, 13.275, -999
20141106, 13.54, 13.54, 13.01, 13.06, 11404800, 13.06, 0, 1, 13.3, -999
20141105, 13.89, 13.99, 13.73, 13.95, 14820700, 13.95, 0, 1, 13.92, -999
20141104, 14.11, 14.14, 13.69, 13.76, 4371600, 13.76, 0, 1, 13.935, -999
20141103, 14.15, 14.25, 14.06, 14.12, 4977600, 14.12, 0, 1, 14.135, -999
20141031, 14.07, 14.09, 13.9, 14.07, 3945700, 14.07, 0, 1, 14.07, -999
20141030, 13.4, 13.97, 13.39, 13.95, 4384000, 13.95, 0.05, 1, 13.675, -999
20141029, 13.67, 13.69, 13.25, 13.41, 4776100, 13.36, 0, 1, 13.515, -999
20141028, 13.43, 13.6, 13.35, 13.6, 4499500, 13.55, 0, 1, 13.49, -999
20141027, 13.71, 13.72, 13.33, 13.42, 5125800, 13.37, 0, 1, 13.54, -999
20141024, 13.59, 13.76, 13.49, 13.73, 4252000, 13.68, 0, 1, 13.635, -999
20141023, 13.83, 13.85, 13.58, 13.59, 3982500, 13.54, 0, 1, 13.685, -999
20141022, 13.48, 13.71, 13.45, 13.63, 5524600, 13.58, 0, 1, 13.53, -999
20141021, 13.44, 13.59, 13.4, 13.51, 4427500, 13.46, 0, 1, 13.45, -999
20141020, 13.3, 13.41, 13.14, 13.36, 5166900, 13.31, 0, 1, 13.305, -999
20141017, 13.01, 13.34, 12.94, 13.29, 11090900, 13.24, 0, 1, 13.125, -999
20141016, 12.7, 13.1, 12.59, 12.98, 8196700, 12.93, 0, 1, 12.815, -999
20141015, 13.06, 13.14, 12.38, 12.84, 7362500, 12.79, 0, 1, 12.925, -999
20141014, 13.2, 13.52, 13.13, 13.21, 6423300, 13.16, 0, 1, 13.18, -999
20141013, 13.21, 13.42, 13.1, 13.14, 5525400, 13.09, 0, 1, 13.15, -999
20141010, 13.52, 13.69, 13.22, 13.25, 7317800, 13.2, 0, 1, 13.36, -999
20141009, 13.99, 14.06, 13.42, 13.47, 6476400, 13.42, 0, 1, 13.705, -999
20141008, 14.22, 14.32, 13.81, 14.04, 7524600, 13.99, 0, 1, 14.105, -999
20141007, 14.25, 14.45, 14.15, 14.24, 3847000, 14.19, 0, 1, 14.22, -999
20141006, 14.21, 14.38, 14.18, 14.3, 3192900, 14.25, 0, 1, 14.23, -999
20141003, 14.16, 14.2, 14.03, 14.14, 3760000, 14.09, 0, 1, 14.125, -999
20141002, 14.2, 14.32, 13.98, 14.14, 4880200, 14.09, 0, 1, 14.145, -999
20141001, 14.19, 14.4, 14.13, 14.2, 4295400, 14.15, 0, 1, 14.17, -999
20140930, 14.25, 14.34, 14.05, 14.18, 3619200, 14.13, 0, 1, 14.19, -999
20140929, 14.15, 14.26, 14.07, 14.21, 2456800, 14.16, 0, 1, 14.155, -999
20140926, 14.15, 14.29, 14.1, 14.22, 2715900, 14.17, 0, 1, 14.16, -999
20140925, 14.4, 14.47, 14.15, 14.15, 3789800, 14.1, 0, 1, 14.25, -999
20140924, 14.51, 14.53, 14.39, 14.46, 2328300, 14.41, 0, 1, 14.46, -999
20140923, 14.52, 14.56, 14.42, 14.51, 2833700, 14.46, 0, 1, 14.49, -999
20140922, 14.65, 14.68, 14.5, 14.55, 2966800, 14.5, 0, 1, 14.575, -999
20140919, 14.56, 14.73, 14.49, 14.7, 4797600, 14.65, 0, 1, 14.605, -999
20140918, 14.44, 14.58, 14.39, 14.47, 2682600, 14.42, 0, 1, 14.43, -999
20140917, 14.6, 14.67, 14.39, 14.47, 2931700, 14.42, 0, 1, 14.51, -999
20140916, 14.4, 14.63, 14.35, 14.57, 2893700, 14.52, 0, 1, 14.46, -999
20140915, 14.42, 14.5, 14.33, 14.4, 2658200, 14.35, 0, 1, 14.385, -999
20140912, 14.47, 14.55, 14.35, 14.41, 3701700, 14.36, 0, 1, 14.415, -999
20140911, 14.48, 14.57, 14.44, 14.52, 4485200, 14.47, 0, 1, 14.475, -999
20140910, 14.75, 14.81, 14.45, 14.48, 4106300, 14.43, 0, 1, 14.59, -999
20140909, 14.89, 14.9, 14.72, 14.74, 3120000, 14.69, 0, 1, 14.79, -999
20140908, 14.84, 15.02, 14.82, 14.94, 3945100, 14.88, 0, 1, 14.86, -999
20140905, 14.68, 14.89, 14.62, 14.89, 3000000, 14.83, 0, 1, 14.755, -999
20140904, 14.57, 14.71, 14.48, 14.68, 4481800, 14.63, 0, 1, 14.6, -999
20140903, 14.96, 14.99, 14.52, 14.56, 6911300, 14.51, 0, 1, 14.735, -999
20140902, 15.17, 15.21, 14.87, 14.95, 3803700, 14.89, 0, 1, 15.03, -999
20140829, 15.1, 15.2, 15.03, 15.18, 1828500, 15.12, 0, 1, 15.11, -999
20140828, 14.99, 15.11, 14.95, 15.1, 1851500, 15.04, 0, 1, 15.015, -999
20140827, 15.06, 15.1, 14.97, 15.04, 2335700, 14.98, 0, 1, 15.02, -999
20140826, 15.18, 15.18, 15.02, 15.03, 2702300, 14.97, 0, 1, 15.075, -999
20140825, 15.12, 15.17, 14.99, 15.16, 1898400, 15.1, 0, 1, 15.11, -999
20140822, 15.03, 15.09, 14.88, 15.02, 2929500, 14.96, 0, 1, 14.995, -999
20140821, 15.06, 15.21, 15.03, 15.07, 2241100, 15.01, 0, 1, 15.035, -999
20140820, 14.85, 15.08, 14.79, 15.05, 4216100, 14.99, 0, 1, 14.92, -999
20140819, 14.81, 14.92, 14.75, 14.9, 2418400, 14.84, 0, 1, 14.825, -999
20140818, 14.86, 14.99, 14.73, 14.75, 2504500, 14.7, 0, 1, 14.78, -999
20140815, 14.94, 14.99, 14.72, 14.81, 2811900, 14.75, 0, 1, 14.845, -999
20140814, 14.68, 14.93, 14.68, 14.91, 2037700, 14.85, 0, 1, 14.765, -999
20140813, 14.59, 14.79, 14.59, 14.68, 3471400, 14.63, 0, 1, 14.61, -999
20140812, 14.56, 14.69, 14.5, 14.59, 3826900, 14.54, 0, 1, 14.55, -999
20140811, 14.76, 14.91, 14.54, 14.56, 4825200, 14.51, 0, 1, 14.635, -999
20140808, 14.44, 14.75, 14.42, 14.75, 4125800, 14.7, 0, 1, 14.57, -999
20140807, 14.01, 14.45, 14.01, 14.39, 4431200, 14.34, 0, 1, 14.175, -999
20140806, 14.41, 14.45, 14.24, 14.36, 6789600, 14.31, 0, 1, 14.36, -999
