Ticker: AET  Created on: 12/6/2014 5:23:26 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 89.41, 90.67, 89.21, 90.62, 2065200, 90.62, 0, 1, 90.015, -999
20141204, 89.4, 89.68, 88.36, 89.19, 2576700, 89.19, 0, 1, 89.295, -999
20141203, 88.41, 89.82, 88.41, 89.68, 2429200, 89.68, 0, 1, 89.045, -999
20141202, 87.59, 88.45, 87.36, 88.34, 2954200, 88.34, 0, 1, 87.965, -999
20141201, 87.7, 88, 86.88, 87.54, 2354100, 87.54, 0, 1, 87.62, -999
20141128, 87.1, 87.85, 87.09, 87.24, 819300, 87.24, 0, 1, 87.17, -999
20141126, 86.89, 87.31, 86.51, 86.91, 1348500, 86.91, 0, 1, 86.9, -999
20141125, 86.91, 87.41, 86.51, 86.61, 2055600, 86.61, 0, 1, 86.76, -999
20141124, 86.61, 87.37, 85.9, 86.94, 1674800, 86.94, 0, 1, 86.775, -999
20141121, 86.8, 87.14, 86.26, 86.36, 2334200, 86.36, 0, 1, 86.58, -999
20141120, 85.08, 86.3, 84.92, 85.85, 2137100, 85.85, 0, 1, 85.465, -999
20141119, 87.03, 87.05, 85.45, 85.55, 1841500, 85.55, 0, 1, 86.29, -999
20141118, 86.25, 88.11, 86.25, 87.16, 2534400, 87.16, 0, 1, 86.705, -999
20141117, 83.81, 86.27, 83.75, 86.22, 2891600, 86.22, 0, 1, 85.015, -999
20141114, 84.6, 84.77, 83.53, 83.81, 1539000, 83.81, 0, 1, 84.205, -999
20141113, 84.55, 84.98, 83.99, 84.56, 1653500, 84.56, 0, 1, 84.555, -999
20141112, 83.97, 84.72, 83.36, 84.52, 1697700, 84.52, 0, 1, 84.245, -999
20141111, 83.95, 84.85, 83.76, 84.5, 1685100, 84.5, 0, 1, 84.225, -999
20141110, 82.43, 84.02, 82.43, 84.02, 1885800, 84.02, 0, 1, 83.225, -999
20141107, 84.21, 84.74, 81.93, 82.29, 3375700, 82.29, 0, 1, 83.25, -999
20141106, 84.47, 85, 84.15, 84.7, 1448900, 84.7, 0, 1, 84.585, -999
20141105, 84.36, 84.7, 83.9, 84.26, 2629000, 84.26, 0, 1, 84.31, -999
20141104, 82.19, 84.05, 82.12, 83.71, 3518900, 83.71, 0, 1, 82.95, -999
20141103, 82.78, 83.5, 82, 82.25, 1961700, 82.25, 0, 1, 82.515, -999
20141031, 81.38, 82.55, 81.01, 82.51, 3498500, 82.51, 0, 1, 81.945, -999
20141030, 79.72, 81.38, 79.43, 80.6, 2921300, 80.6, 0, 1, 80.16, -999
20141029, 77.56, 80.1, 77.56, 79.75, 4033800, 79.75, 0, 1, 78.655, -999
20141028, 78.45, 78.49, 76.17, 77.23, 6559100, 77.23, 0, 1, 77.84, -999
20141027, 78.53, 79.65, 78.53, 79.18, 2946700, 79.18, 0, 1, 78.855, -999
20141024, 79, 79.1, 77.92, 78.69, 2034700, 78.69, 0, 1, 78.845, -999
20141023, 78.98, 79.3, 78.52, 78.75, 1876000, 78.75, 0, 1, 78.865, -999
20141022, 78.82, 79.21, 77.7, 78.09, 2457900, 78.09, 0, 1, 78.455, -999
20141021, 77.26, 78.59, 77.16, 78.39, 2340400, 78.39, 0, 1, 77.825, -999
