Ticker: AIZ  Created on: 12/6/2014 5:23:40 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 69.09, 69.62, 68.66, 68.79, 629000, 68.79, 0, 1, 68.94, -999
20141204, 68.45, 69.25, 68.45, 69, 706200, 69, 0, 1, 68.725, -999
20141203, 67.94, 69.78, 67.72, 68.64, 1266500, 68.64, 0, 1, 68.29, -999
20141202, 67.43, 67.98, 67.29, 67.84, 513600, 67.84, 0, 1, 67.635, -999
20141201, 67.16, 67.66, 66.95, 67.35, 585600, 67.35, 0, 1, 67.255, -999
20141128, 67.53, 68, 67.16, 67.59, 179600, 67.59, 0, 1, 67.56, -999
20141126, 67.7, 67.86, 67.38, 67.59, 451600, 67.59, 0, 1, 67.645, -999
20141125, 68.17, 68.38, 67.69, 67.94, 569900, 67.67, 0, 1, 67.92, -999
20141124, 68.67, 68.79, 68.17, 68.35, 686800, 68.08, 0, 1, 68.375, -999
20141121, 68.65, 68.73, 68.08, 68.69, 2001800, 68.42, 0, 1, 68.535, -999
20141120, 67.42, 68.25, 67.42, 67.97, 737600, 67.7, 0, 1, 67.56, -999
20141119, 67.93, 68, 67.62, 67.7, 434700, 67.43, 0, 1, 67.68, -999
20141118, 68, 68.28, 67.83, 67.99, 515200, 67.72, 0, 1, 67.86, -999
20141117, 67.59, 68.18, 67.36, 67.94, 624000, 67.67, 0, 1, 67.63, -999
20141114, 67.67, 68.02, 67.3, 67.59, 679300, 67.32, 0, 1, 67.495, -999
20141113, 68.16, 68.24, 67.54, 67.84, 529000, 67.57, 0, 1, 67.865, -999
20141112, 67.5, 68.44, 67.5, 68.14, 543100, 67.87, 0, 1, 67.685, -999
20141111, 68.05, 68.18, 67.68, 67.81, 258700, 67.54, 0, 1, 67.795, -999
20141110, 68.11, 68.22, 67.62, 68, 391000, 67.73, 0, 1, 67.92, -999
20141107, 68.28, 68.56, 67.81, 67.97, 430700, 67.7, 0, 1, 67.99, -999
20141106, 68.46, 68.48, 67.51, 68.42, 480900, 68.15, 0, 1, 68.305, -999
20141105, 68.84, 69.13, 68.45, 68.59, 441600, 68.32, 0, 1, 68.58, -999
20141104, 68.61, 68.98, 68.28, 68.67, 387800, 68.4, 0, 1, 68.505, -999
20141103, 68.43, 69.26, 68.39, 68.63, 618600, 68.36, 0, 1, 68.395, -999
20141031, 68.32, 68.43, 67.84, 68.22, 626500, 67.95, 0, 1, 68.135, -999
20141030, 67.15, 67.82, 66.15, 67.7, 539800, 67.43, 0, 1, 67.29, -999
20141029, 66.93, 67.44, 66.55, 67.23, 503500, 66.96, 0, 1, 66.945, -999
20141028, 66.6, 67.09, 66.23, 66.74, 662500, 66.47, 0, 1, 66.535, -999
20141027, 65.39, 66.6, 65.1, 66.5, 448700, 66.24, 0, 1, 65.815, -999
20141024, 64.47, 65.6, 64.47, 65.59, 370600, 65.33, 0, 1, 64.9, -999
20141023, 64.86, 65.02, 64.4, 64.54, 382400, 64.28, 0, 1, 64.57, -999
20141022, 64.44, 64.99, 64.07, 64.11, 327900, 63.86, 0, 1, 64.15, -999
20141021, 63.06, 64.47, 62.93, 64.37, 349600, 64.11, 0, 1, 63.585, -999
20141020, 62.33, 62.87, 62.06, 62.77, 413400, 62.52, 0, 1, 62.425, -999
20141017, 62.05, 62.79, 61.9, 62.32, 571800, 62.07, 0, 1, 62.06, -999
20141016, 60.2, 61.91, 60.16, 61.66, 606300, 61.41, 0, 1, 60.805, -999
20141015, 60.99, 61.55, 60.34, 61.09, 1043400, 60.85, 0, 1, 60.92, -999
20141014, 61.06, 62.22, 60.83, 61.69, 517300, 61.44, 0, 1, 61.25, -999
20141013, 61.19, 61.83, 60.77, 60.81, 507000, 60.57, 0, 1, 60.88, -999
20141010, 61.98, 62.68, 61.4, 61.41, 626600, 61.17, 0, 1, 61.575, -999
20141009, 63.58, 63.74, 62.01, 62.05, 861600, 61.8, 0, 1, 62.69, -999
20141008, 62.8, 63.78, 62.51, 63.7, 723200, 63.45, 0, 1, 63.125, -999
20141007, 63.33, 63.52, 62.66, 62.69, 456800, 62.44, 0, 1, 62.885, -999
20141006, 64.54, 64.62, 63.5, 63.74, 453800, 63.49, 0, 1, 64.015, -999
20141003, 63.93, 64.45, 63.67, 64.32, 681500, 64.06, 0, 1, 63.995, -999
20141002, 63, 63.54, 62.29, 63.45, 660400, 63.2, 0, 1, 63.1, -999
20141001, 64.11, 64.24, 63.02, 63.03, 554700, 62.78, 0, 1, 63.445, -999
20140930, 64.57, 64.87, 64.04, 64.3, 427600, 64.04, 0, 1, 64.305, -999
20140929, 65.14, 65.25, 64.33, 64.63, 422900, 64.37, 0, 1, 64.755, -999
20140926, 64.81, 65.52, 64.64, 65.3, 339000, 65.04, 0, 1, 64.925, -999
20140925, 65.29, 65.55, 64.66, 64.82, 541400, 64.56, 0, 1, 64.925, -999
20140924, 64.85, 65.66, 64.77, 65.47, 293300, 65.21, 0, 1, 65.03, -999
20140923, 65.44, 65.7, 64.86, 64.86, 317900, 64.6, 0, 1, 65.02, -999
20140922, 66.13, 66.21, 65.56, 65.72, 311700, 65.46, 0, 1, 65.795, -999
20140919, 66.01, 66.49, 65.82, 66.32, 725500, 66.06, 0, 1, 66.035, -999
20140918, 65.52, 65.8, 65.29, 65.77, 374600, 65.51, 0, 1, 65.515, -999
20140917, 65.42, 65.7, 65.04, 65.3, 473500, 65.04, 0, 1, 65.23, -999
20140916, 65.24, 65.66, 65.19, 65.42, 276600, 65.16, 0, 1, 65.2, -999
20140915, 64.77, 65.57, 64.32, 65.18, 622900, 64.92, 0, 1, 64.845, -999
20140912, 64.73, 65.26, 64.37, 64.68, 741600, 64.42, 0, 1, 64.575, -999
20140911, 65.13, 65.38, 64.72, 64.77, 372000, 64.51, 0, 1, 64.82, -999
20140910, 65.65, 66, 65.08, 65.42, 418200, 65.16, 0, 1, 65.405, -999
20140909, 66.5, 66.5, 65.51, 65.66, 528300, 65.4, 0, 1, 65.95, -999
20140908, 66.79, 67, 66.24, 66.66, 321000, 66.4, 0, 1, 66.595, -999
20140905, 66.43, 67.07, 66.05, 66.66, 525300, 66.4, 0, 1, 66.415, -999
20140904, 66.45, 66.86, 66.2, 66.42, 607000, 66.16, 0, 1, 66.305, -999
20140903, 67.2, 67.23, 66.35, 66.41, 443000, 66.15, 0, 1, 66.675, -999
20140902, 66.78, 67.28, 66.58, 66.84, 322800, 66.57, 0, 1, 66.675, -999
20140829, 66.74, 66.98, 66.49, 66.75, 351200, 66.48, 0, 1, 66.61, -999
20140828, 66.21, 66.73, 65.96, 66.58, 236800, 66.32, 0, 1, 66.265, -999
20140827, 66.36, 66.66, 66.24, 66.53, 270700, 66.27, 0, 1, 66.315, -999
20140826, 66.04, 66.54, 66.01, 66.43, 225500, 66.17, 0, 1, 66.105, -999
20140825, 65.46, 66.24, 65.26, 65.99, 315700, 65.73, 0, 1, 65.595, -999
20140822, 65.69, 65.7, 64.95, 64.99, 613400, 64.73, 0, 1, 65.21, -999
20140821, 65.45, 65.86, 65.17, 65.78, 299100, 65.52, 0.27, 1, 65.485, -999
20140820, 65.66, 65.9, 65.47, 65.67, 324400, 65.14, 0, 1, 65.4, -999
20140819, 66.2, 66.38, 65.79, 65.83, 392000, 65.3, 0, 1, 65.75, -999
20140818, 65.28, 66.2, 65.06, 66.18, 561000, 65.65, 0, 1, 65.465, -999
20140815, 65.27, 65.5, 64.49, 64.91, 340100, 64.39, 0, 1, 64.83, -999
20140814, 64.73, 65.22, 64.71, 65.2, 356700, 64.67, 0, 1, 64.7, -999
20140813, 64.22, 64.82, 64.03, 64.73, 286300, 64.21, 0, 1, 64.215, -999
20140812, 63.75, 64.31, 63.7, 64.03, 317800, 63.51, 0, 1, 63.63, -999
20140811, 64.23, 64.76, 63.78, 63.84, 381200, 63.32, 0, 1, 63.775, -999
20140808, 63.43, 64.23, 63.17, 64.19, 404300, 63.67, 0, 1, 63.55, -999
20140807, 64.01, 64.37, 63.23, 63.49, 461500, 62.98, 0, 1, 63.495, -999
20140806, 63.2, 64.07, 63.14, 63.78, 337900, 63.27, 0, 1, 63.235, -999
20140805, 63.77, 64.03, 63.24, 63.44, 663100, 62.93, 0, 1, 63.35, -999
20140804, 63.69, 63.97, 63.2, 63.73, 519700, 63.22, 0, 1, 63.455, -999
20140801, 63.09, 63.7, 63.02, 63.48, 496900, 62.97, 0, 1, 63.03, -999
20140731, 64.48, 64.58, 63.27, 63.36, 593400, 62.85, 0, 1, 63.665, -999
20140730, 65.24, 65.51, 64.33, 64.67, 376400, 64.15, 0, 1, 64.695, -999
20140729, 66.38, 66.45, 65.19, 65.2, 566600, 64.67, 0, 1, 65.525, -999
20140728, 65.81, 66.51, 65.69, 66.39, 510400, 65.85, 0, 1, 65.83, -999
20140725, 65.54, 66.17, 65.44, 65.91, 524600, 65.38, 0, 1, 65.46, -999
20140724, 66.64, 66.99, 64.89, 65.79, 689800, 65.26, 0, 1, 65.95, -999
