Ticker: AKAM  Created on: 12/6/2014 5:23:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 64.22, 64.43, 63.6, 64.01, 859300, 64.01, 0, 1, 64.115, -999
20141204, 63.33, 64.32, 63.02, 64.23, 1425100, 64.23, 0, 1, 63.78, -999
20141203, 63.45, 63.55, 62.58, 63.24, 1476400, 63.24, 0, 1, 63.345, -999
20141202, 63.22, 63.69, 62.79, 63.23, 1052700, 63.23, 0, 1, 63.225, -999
20141201, 64.16, 64.2, 62.96, 63.06, 1568500, 63.06, 0, 1, 63.61, -999
20141128, 64.28, 65.39, 63.9, 64.61, 789100, 64.61, 0, 1, 64.445, -999
20141126, 64.23, 64.57, 63.77, 64.21, 841100, 64.21, 0, 1, 64.22, -999
20141125, 64.15, 64.62, 63.96, 64.02, 1202600, 64.02, 0, 1, 64.085, -999
20141124, 63.9, 64.38, 63.7, 64.15, 1164900, 64.15, 0, 1, 64.025, -999
20141121, 63.89, 63.97, 63.23, 63.73, 1691500, 63.73, 0, 1, 63.81, -999
20141120, 61, 63.15, 60.67, 63.12, 1695900, 63.12, 0, 1, 62.06, -999
20141119, 62.14, 62.14, 61.42, 61.57, 882400, 61.57, 0, 1, 61.855, -999
20141118, 61.99, 62.63, 61.92, 62.16, 893200, 62.16, 0, 1, 62.075, -999
20141117, 62.56, 63.42, 61.88, 62.03, 1686800, 62.03, 0, 1, 62.295, -999
20141114, 60.5, 63.05, 60.33, 62.93, 2975700, 62.93, 0, 1, 61.715, -999
20141113, 60.99, 61.27, 60.18, 60.45, 828600, 60.45, 0, 1, 60.72, -999
20141112, 60.88, 61.28, 60.33, 60.78, 738000, 60.78, 0, 1, 60.83, -999
20141111, 61.09, 61.31, 60.73, 61.05, 686400, 61.05, 0, 1, 61.07, -999
20141110, 60.32, 61.19, 60.12, 61.07, 1537700, 61.07, 0, 1, 60.695, -999
20141107, 59.7, 60.18, 59.43, 60.14, 1140100, 60.14, 0, 1, 59.92, -999
20141106, 59.26, 59.66, 58.49, 59.63, 1291800, 59.63, 0, 1, 59.445, -999
20141105, 59.92, 59.99, 58.57, 59.02, 1404300, 59.02, 0, 1, 59.47, -999
20141104, 59.61, 60.09, 58.99, 59.63, 1158600, 59.63, 0, 1, 59.62, -999
20141103, 60.18, 60.91, 59.61, 59.72, 1181800, 59.72, 0, 1, 59.95, -999
20141031, 60.98, 61.27, 60, 60.3, 3739700, 60.3, 0, 1, 60.64, -999
20141030, 55.92, 59.86, 55.78, 59.83, 4408900, 59.83, 0, 1, 57.875, -999
20141029, 57.09, 57.35, 55.98, 56.21, 3960300, 56.21, 0, 1, 56.65, -999
20141028, 55.66, 57.41, 55.41, 57.15, 2360300, 57.15, 0, 1, 56.405, -999
20141027, 55.08, 55.36, 54.37, 55.29, 1287700, 55.29, 0, 1, 55.185, -999
20141024, 54.73, 55.31, 54.14, 55.28, 1104200, 55.28, 0, 1, 55.005, -999
20141023, 54.58, 55.03, 54.36, 54.53, 1553900, 54.53, 0, 1, 54.555, -999
20141022, 55.03, 55.34, 53.93, 53.95, 1534000, 53.95, 0, 1, 54.49, -999
20141021, 54.41, 55.38, 54.29, 55.01, 2214600, 55.01, 0, 1, 54.71, -999
20141020, 53.66, 54.4, 53.52, 53.99, 2337600, 53.99, 0, 1, 53.825, -999
20141017, 54, 54.43, 53.31, 53.84, 2222700, 53.84, 0, 1, 53.92, -999
20141016, 52.28, 54.05, 51.74, 53.38, 5585800, 53.38, 0, 1, 52.83, -999
20141015, 54.99, 55.42, 53.85, 54.63, 3556900, 54.63, 0, 1, 54.81, -999
20141014, 56.08, 57.27, 55.61, 55.65, 2074900, 55.65, 0, 1, 55.865, -999
20141013, 56.34, 57.21, 55.5, 55.55, 1538900, 55.55, 0, 1, 55.945, -999
20141010, 58.06, 58.8, 56.53, 56.55, 1551900, 56.55, 0, 1, 57.305, -999
20141009, 58.81, 59.48, 58.02, 58.25, 1317200, 58.25, 0, 1, 58.53, -999
20141008, 57.5, 59.26, 57.2, 59.07, 1528100, 59.07, 0, 1, 58.285, -999
20141007, 58.91, 59.03, 57.63, 57.65, 1438100, 57.65, 0, 1, 58.28, -999
20141006, 59.82, 60.36, 59.03, 59.15, 1000400, 59.15, 0, 1, 59.485, -999
20141003, 58.45, 60.1, 58.45, 59.74, 1633900, 59.74, 0, 1, 59.095, -999
20141002, 58.23, 58.83, 57.44, 58.09, 1556800, 58.09, 0, 1, 58.16, -999
20141001, 59.51, 59.71, 57.9, 58.24, 1742800, 58.24, 0, 1, 58.875, -999
20140930, 60.11, 60.24, 59.37, 59.8, 1067400, 59.8, 0, 1, 59.955, -999
20140929, 58.93, 59.9, 58.57, 59.74, 1370300, 59.74, 0, 1, 59.335, -999
20140926, 60.04, 60.15, 59.52, 59.83, 1196300, 59.83, 0, 1, 59.935, -999
20140925, 61.48, 61.85, 59.5, 59.51, 1872900, 59.51, 0, 1, 60.495, -999
20140924, 60.62, 61.75, 60.18, 61.51, 1278200, 61.51, 0, 1, 61.065, -999
20140923, 61.23, 61.47, 60.62, 60.64, 1085900, 60.64, 0, 1, 60.935, -999
20140922, 62.23, 62.23, 60.7, 61.41, 1759200, 61.41, 0, 1, 61.82, -999
20140919, 64.38, 64.74, 62.01, 62.42, 3408100, 62.42, 0, 1, 63.4, -999
20140918, 62.5, 64.37, 62.28, 64.35, 2470100, 64.35, 0, 1, 63.425, -999
20140917, 61.91, 63.18, 61.91, 62.31, 1846200, 62.31, 0, 1, 62.11, -999
20140916, 61.22, 62.53, 61.02, 62.16, 1587400, 62.16, 0, 1, 61.69, -999
20140915, 62.41, 62.77, 61, 61.35, 1874900, 61.35, 0, 1, 61.88, -999
20140912, 62.36, 62.88, 62.11, 62.47, 1626300, 62.47, 0, 1, 62.415, -999
20140911, 62.01, 62.63, 61.59, 62.32, 1092000, 62.32, 0, 1, 62.165, -999
