Ticker: ALLE  Created on: 12/6/2014 5:23:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.81, 55.61, 54.59, 55.55, 861100, 55.55, 0, 1, 55.18, -999
20141204, 54.72, 54.99, 54.4, 54.59, 570900, 54.59, 0, 1, 54.655, -999
20141203, 54.56, 55.08, 54.41, 54.69, 1397500, 54.69, 0, 1, 54.625, -999
20141202, 53.79, 54.42, 53.64, 54.36, 315000, 54.36, 0, 1, 54.075, -999
20141201, 53.79, 53.98, 53.25, 53.7, 466700, 53.7, 0, 1, 53.745, -999
20141128, 53.09, 54.16, 53.09, 53.85, 343200, 53.85, 0, 1, 53.47, -999
20141126, 53.6, 53.8, 52.9, 53.06, 537700, 53.06, 0, 1, 53.33, -999
20141125, 53.94, 53.97, 53.28, 53.57, 453300, 53.57, 0, 1, 53.755, -999
20141124, 54.25, 54.49, 53.88, 53.95, 482200, 53.95, 0, 1, 54.1, -999
20141121, 54.8, 54.88, 54.02, 54.2, 488700, 54.2, 0, 1, 54.5, -999
20141120, 53.62, 54.36, 53.52, 54.09, 220800, 54.09, 0, 1, 53.855, -999
20141119, 53.94, 54.32, 53.54, 54, 758000, 54, 0, 1, 53.97, -999
20141118, 52.91, 54.05, 52.68, 53.87, 629300, 53.87, 0, 1, 53.39, -999
20141117, 52.19, 52.92, 52.11, 52.84, 529600, 52.84, 0, 1, 52.515, -999
20141114, 52, 52.51, 51.79, 52.27, 372900, 52.27, 0, 1, 52.135, -999
20141113, 52.57, 52.68, 51.88, 52.12, 375500, 52.12, 0, 1, 52.345, -999
20141112, 52.31, 52.67, 52.01, 52.5, 631100, 52.5, 0, 1, 52.405, -999
20141111, 52.81, 53.39, 52.37, 52.52, 582100, 52.52, 0, 1, 52.665, -999
20141110, 53.11, 53.11, 52.57, 52.68, 562600, 52.68, 0, 1, 52.895, -999
20141107, 53.44, 53.56, 52.9, 52.96, 1249500, 52.96, 0, 1, 53.2, -999
20141106, 53.33, 53.51, 52.87, 53.42, 1041500, 53.42, 0, 1, 53.375, -999
20141105, 53.43, 53.58, 52.74, 53.05, 539900, 53.05, 0, 1, 53.24, -999
20141104, 53.39, 53.84, 53.09, 53.12, 1120800, 53.12, 0, 1, 53.255, -999
20141103, 53.16, 53.59, 52.91, 53.43, 811100, 53.43, 0, 1, 53.295, -999
20141031, 53.62, 54.57, 52.87, 53.09, 2535400, 53.09, 0, 1, 53.355, -999
20141030, 50.18, 53.05, 49.24, 52.64, 1203500, 52.64, 0, 1, 51.41, -999
20141029, 50.51, 51.37, 49.66, 50.29, 1184500, 50.29, 0, 1, 50.4, -999
20141028, 49.42, 50.25, 49.08, 50.2, 730600, 50.2, 0, 1, 49.81, -999
20141027, 48.87, 49.31, 48.55, 49.15, 584000, 49.15, 0, 1, 49.01, -999
20141024, 48.49, 49.17, 48.07, 49.12, 414700, 49.12, 0, 1, 48.805, -999
20141023, 47.7, 48.78, 47.26, 48.45, 733300, 48.45, 0, 1, 48.075, -999
20141022, 48.24, 48.51, 47, 47.1, 696000, 47.1, 0, 1, 47.67, -999
20141021, 47.17, 48.47, 47.17, 48.23, 657200, 48.23, 0, 1, 47.7, -999
20141020, 46.58, 47.17, 46.57, 46.9, 602400, 46.9, 0, 1, 46.74, -999
20141017, 46.73, 47.57, 46.32, 46.75, 756800, 46.75, 0, 1, 46.74, -999
