Ticker: ALL  Created on: 12/6/2014 5:23:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 68.46, 68.98, 68.4, 68.68, 2185000, 68.68, 0, 1, 68.57, -999
20141204, 68.12, 68.66, 68.06, 68.39, 2551100, 68.39, 0, 1, 68.255, -999
20141203, 68.19, 68.43, 67.7, 68.07, 2425500, 68.07, 0, 1, 68.13, -999
20141202, 67.51, 68.14, 67.51, 68.11, 1902800, 68.11, 0, 1, 67.81, -999
20141201, 68.07, 68.08, 67.61, 67.61, 1925300, 67.61, 0, 1, 67.84, -999
20141128, 67.7, 68.47, 67.7, 68.15, 1097100, 68.15, 0, 1, 67.925, -999
20141126, 67.66, 67.75, 67.41, 67.52, 1494500, 67.52, 0, 1, 67.59, -999
20141125, 67.61, 67.91, 67.36, 67.58, 1593400, 67.58, 0, 1, 67.595, -999
20141124, 67.65, 68.09, 67.61, 67.92, 1592500, 67.64, 0, 1, 67.645, -999
20141121, 67.89, 67.91, 67.26, 67.4, 2686500, 67.12, 0, 1, 67.505, -999
20141120, 66.94, 67.48, 66.88, 67.29, 1635500, 67.01, 0, 1, 66.975, -999
20141119, 66.99, 67.4, 66.68, 67.37, 1877600, 67.09, 0, 1, 67.04, -999
20141118, 66.88, 67.15, 66.59, 66.79, 1802600, 66.51, 0, 1, 66.695, -999
20141117, 66.11, 66.74, 66.11, 66.66, 1172100, 66.39, 0, 1, 66.25, -999
20141114, 67.01, 67.01, 66.43, 66.58, 1559600, 66.31, 0, 1, 66.66, -999
20141113, 67.17, 67.32, 66.71, 66.92, 1962900, 66.64, 0, 1, 66.905, -999
20141112, 66.44, 67.21, 66.42, 67.17, 1991200, 66.89, 0, 1, 66.665, -999
20141111, 66.71, 66.97, 66.55, 66.63, 2059200, 66.36, 0, 1, 66.535, -999
20141110, 66.75, 66.88, 66.47, 66.76, 2025300, 66.48, 0, 1, 66.615, -999
20141107, 66.11, 66.41, 65.91, 66.25, 2125000, 65.98, 0, 1, 66.045, -999
20141106, 65.69, 66.24, 65.6, 66.13, 2538900, 65.86, 0, 1, 65.775, -999
