Ticker: AMZN  Created on: 12/6/2014 5:23:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 316.8, 316.93, 310.84, 312.63, 3257700, 312.63, 0, 1, 314.715, -999
20141204, 315.53, 318.59, 313.47, 316.93, 3290300, 316.93, 0, 1, 316.23, -999
20141203, 325.73, 326.77, 314.36, 316.5, 5681000, 316.5, 0, 1, 321.115, -999
20141202, 327.5, 327.93, 323.25, 326.31, 2783500, 326.31, 0, 1, 326.905, -999
20141201, 338.12, 340.64, 325.93, 326, 4918100, 326, 0, 1, 332.06, -999
20141128, 336.03, 341.26, 336.03, 338.64, 3051800, 338.64, 0, 1, 337.335, -999
20141126, 333.78, 334.65, 331.75, 333.57, 1983600, 333.57, 0, 1, 333.675, -999
20141125, 335.27, 336.33, 331.28, 335.04, 2561200, 335.04, 0, 1, 335.155, -999
20141124, 334.78, 337.39, 333.6, 335.64, 2753700, 335.64, 0, 1, 335.21, -999
20141121, 335.42, 338.33, 331.47, 332.63, 4466000, 332.63, 0, 1, 334.025, -999
20141120, 324, 332.67, 323.33, 330.54, 3435000, 330.54, 0, 1, 327.27, -999
20141119, 327.25, 328.4, 324.02, 326.54, 3280800, 326.54, 0, 1, 326.895, -999
20141118, 323.99, 329.56, 323.25, 324.93, 3549500, 324.93, 0, 1, 324.46, -999
20141117, 326.44, 328, 318.03, 323.05, 4784600, 323.05, 0, 1, 324.745, -999
20141114, 317.12, 332.88, 316.4, 327.82, 8876300, 327.82, 0, 1, 322.47, -999
20141113, 312, 317.89, 311.51, 316.48, 3685700, 316.48, 0, 1, 314.24, -999
20141112, 310.75, 312.58, 308.79, 311.51, 2181700, 311.51, 0, 1, 311.13, -999
20141111, 305.94, 312.38, 303.65, 312.01, 3803600, 312.01, 0, 1, 308.975, -999
20141110, 300, 305.8, 300, 305.11, 2804400, 305.11, 0, 1, 302.555, -999
20141107, 297.82, 299.99, 296.29, 299.86, 2647400, 299.86, 0, 1, 298.84, -999
20141106, 296.69, 297, 292.29, 296.64, 3758100, 296.64, 0, 1, 296.665, -999
20141105, 303.01, 304, 294.16, 296.52, 4674500, 296.52, 0, 1, 299.765, -999
20141104, 303.99, 304.25, 300.17, 302.81, 3427400, 302.81, 0, 1, 303.4, -999
20141103, 306.24, 308.01, 303.24, 305.72, 3242500, 305.72, 0, 1, 305.98, -999
20141031, 305.15, 305.72, 301.5, 305.46, 4550700, 305.46, 0, 1, 305.305, -999
20141030, 293.98, 299.74, 292.36, 299.07, 4048200, 299.07, 0, 1, 296.525, -999
20141029, 299.11, 299.61, 293.07, 294.12, 4881900, 294.12, 0, 1, 296.615, -999
20141028, 289.76, 298, 289.76, 295.59, 5572600, 295.59, 0, 1, 292.675, -999
20141027, 285.7, 290.42, 285.02, 289.97, 5950600, 289.97, 0, 1, 287.835, -999
