Ticker: AON  Created on: 12/6/2014 5:23:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 94.87, 95.81, 94.54, 95.1, 1601200, 95.1, 0, 1, 94.985, -999
20141204, 93.49, 95.42, 93.49, 94.64, 3012200, 94.64, 0, 1, 94.065, -999
20141203, 92.53, 93.85, 92.11, 93.76, 1422700, 93.76, 0, 1, 93.145, -999
20141202, 92.25, 92.72, 92.18, 92.62, 910500, 92.62, 0, 1, 92.435, -999
20141201, 92.28, 92.73, 91.84, 92.42, 1243100, 92.42, 0, 1, 92.35, -999
20141128, 91.8, 92.7, 91.48, 92.49, 678900, 92.49, 0, 1, 92.145, -999
20141126, 92.14, 92.14, 91.27, 91.8, 734600, 91.8, 0, 1, 91.97, -999
20141125, 92.5, 92.5, 91.9, 91.93, 1338800, 91.93, 0, 1, 92.215, -999
20141124, 91.64, 92.4, 91.4, 92.31, 1038900, 92.31, 0, 1, 91.975, -999
20141121, 91.22, 91.52, 90.41, 91.39, 1636800, 91.39, 0, 1, 91.305, -999
20141120, 89.76, 90.95, 89.76, 90.32, 1126500, 90.32, 0, 1, 90.04, -999
20141119, 90.29, 90.75, 90.04, 90.39, 1032100, 90.39, 0, 1, 90.34, -999
20141118, 90.44, 90.95, 90.17, 90.59, 945400, 90.59, 0, 1, 90.515, -999
20141117, 90.45, 90.73, 90.16, 90.47, 988400, 90.47, 0, 1, 90.46, -999
20141114, 89.81, 90.69, 89.56, 89.85, 881000, 89.85, 0, 1, 89.83, -999
20141113, 90.26, 90.93, 89.84, 89.91, 1017000, 89.91, 0, 1, 90.085, -999
20141112, 90.15, 90.6, 89.61, 90.38, 874000, 90.38, 0, 1, 90.265, -999
20141111, 90.5, 91, 89.8, 90.18, 1039300, 90.18, 0, 1, 90.34, -999
20141110, 89.48, 90.71, 89.45, 90.71, 1090700, 90.71, 0, 1, 90.095, -999
20141107, 89, 89.88, 88.81, 89.82, 1495300, 89.82, 0, 1, 89.41, -999
20141106, 88.51, 89.18, 88.35, 89.18, 1389700, 89.18, 0, 1, 88.845, -999
20141105, 88.8, 88.84, 88.17, 88.67, 927900, 88.67, 0, 1, 88.735, -999
20141104, 87.26, 88.53, 86.8, 88.45, 1575200, 88.45, 0, 1, 87.855, -999
20141103, 86.19, 87.32, 85.88, 87.18, 1470900, 87.18, 0, 1, 86.685, -999
20141031, 83.53, 86.06, 83.53, 86, 2073100, 86, 0, 1, 84.765, -999
20141030, 82.56, 83.78, 82.36, 83.09, 1780000, 83.09, 0.25, 1, 82.825, -999
