Ticker: APC  Created on: 12/6/2014 5:23:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 79.06, 79.93, 77.5, 79.07, 6725100, 79.07, 0, 1, 79.065, -999
20141204, 79.5, 79.97, 78.26, 79.38, 5686000, 79.38, 0, 1, 79.44, -999
20141203, 79.83, 81.89, 79.62, 80.67, 5694300, 80.67, 0, 1, 80.25, -999
20141202, 77.72, 80.47, 76.9, 79.15, 7562900, 79.15, 0, 1, 78.435, -999
20141201, 78.76, 79.9, 76.85, 78.73, 13155100, 78.73, 0, 1, 78.745, -999
20141128, 81.93, 82.28, 78.66, 79.15, 9903200, 79.15, 0, 1, 80.54, -999
20141126, 88.95, 89.53, 87.8, 88.46, 4505400, 88.46, 0, 1, 88.705, -999
20141125, 92.85, 92.98, 89.51, 89.98, 5161800, 89.98, 0, 1, 91.415, -999
20141124, 92.72, 93.72, 91.68, 92.48, 5590400, 92.48, 0, 1, 92.6, -999
20141121, 94.37, 94.75, 92.5, 93.28, 6589000, 93.28, 0, 1, 93.825, -999
20141120, 90.64, 93.12, 90.31, 92.47, 4821100, 92.47, 0, 1, 91.555, -999
20141119, 89.83, 90.82, 88.69, 90.26, 3006200, 90.26, 0, 1, 90.045, -999
20141118, 88.57, 90.27, 88.31, 89.39, 3473300, 89.39, 0, 1, 88.98, -999
20141117, 89.7, 90, 88.41, 88.97, 3948700, 88.97, 0, 1, 89.335, -999
20141114, 90.25, 90.68, 88.56, 90.19, 4014600, 90.19, 0, 1, 90.22, -999
20141113, 90.45, 91.38, 88.4, 89.46, 5525700, 89.46, 0, 1, 89.955, -999
20141112, 92.39, 93.46, 91.26, 91.42, 5133000, 91.42, 0, 1, 91.905, -999
20141111, 93.55, 93.83, 91.68, 93.01, 3854100, 93.01, 0, 1, 93.28, -999
20141110, 95.04, 95.94, 92.06, 92.34, 8547300, 92.34, 0, 1, 93.69, -999
20141107, 93.83, 95.22, 93.61, 94.31, 5184100, 94.31, 0, 1, 94.07, -999
20141106, 90.17, 93.54, 89.97, 93.51, 4073800, 93.51, 0, 1, 91.84, -999
20141105, 90.5, 92.1, 89.32, 91.32, 5457000, 91.32, 0, 1, 90.91, -999
20141104, 89.72, 90.09, 87.79, 89.12, 9634400, 89.12, 0, 1, 89.42, -999
20141103, 92.53, 94.32, 90.62, 90.74, 5730500, 90.74, 0, 1, 91.635, -999
20141031, 88.29, 92.5, 87.38, 91.78, 6642700, 91.78, 0, 1, 90.035, -999
20141030, 90.87, 91.17, 89.01, 89.46, 6245000, 89.46, 0, 1, 90.165, -999
20141029, 93.9, 95.98, 89.93, 91.32, 8894100, 91.32, 0, 1, 92.61, -999
20141028, 88.83, 90.47, 88.07, 90.35, 5597100, 90.35, 0, 1, 89.59, -999
20141027, 88.59, 89.22, 87.33, 88.32, 6597200, 88.32, 0, 1, 88.455, -999
