Ticker: APD  Created on: 12/6/2014 5:23:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 145.93, 147.53, 145.82, 146.73, 787800, 146.73, 0, 1, 146.33, -999
20141204, 144.99, 146.31, 144.23, 145.8, 826000, 145.8, 0, 1, 145.395, -999
20141203, 143.65, 145.7, 143.42, 145.38, 942700, 145.38, 0, 1, 144.515, -999
20141202, 143.86, 144.45, 143.34, 143.81, 992200, 143.81, 0, 1, 143.835, -999
20141201, 143.63, 144.56, 142.97, 144.09, 955700, 144.09, 0, 1, 143.86, -999
20141128, 144.83, 145, 143.41, 143.83, 551100, 143.83, 0, 1, 144.33, -999
20141126, 144.88, 145.29, 143.87, 145.21, 925100, 145.21, 0, 1, 145.045, -999
20141125, 144.86, 146.46, 144.86, 145.35, 1748300, 145.35, 0, 1, 145.105, -999
20141124, 145.15, 145.62, 144.26, 144.75, 1054400, 144.75, 0, 1, 144.95, -999
20141121, 143.91, 145.39, 143.63, 145.15, 1694500, 145.15, 0, 1, 144.53, -999
20141120, 141.25, 142.79, 140.98, 142.68, 1123500, 142.68, 0, 1, 141.965, -999
20141119, 139.9, 142.49, 139.83, 142.14, 1847900, 142.14, 0, 1, 141.02, -999
20141118, 136, 139.24, 135.79, 138.9, 1238700, 138.9, 0, 1, 137.45, -999
20141117, 134.85, 135.89, 134.5, 135.81, 1411000, 135.81, 0, 1, 135.33, -999
20141114, 135.23, 136.2, 134.45, 134.71, 728600, 134.71, 0, 1, 134.97, -999
20141113, 134.98, 135.87, 134.63, 135.53, 821000, 135.53, 0, 1, 135.255, -999
20141112, 135, 135.35, 134.5, 134.79, 1410500, 134.79, 0, 1, 134.895, -999
20141111, 134.93, 135.35, 134.49, 134.92, 802500, 134.92, 0, 1, 134.925, -999
20141110, 135, 135.14, 134.26, 134.9, 678900, 134.9, 0, 1, 134.95, -999
20141107, 135.37, 135.74, 134.4, 134.94, 971600, 134.94, 0, 1, 135.155, -999
20141106, 134.33, 135.16, 133.44, 135.01, 1181500, 135.01, 0, 1, 134.67, -999
20141105, 135, 135.09, 133.57, 133.97, 1479800, 133.97, 0, 1, 134.485, -999
20141104, 135, 135.17, 133.07, 133.67, 1935200, 133.67, 0, 1, 134.335, -999
20141103, 134.61, 136.23, 133.32, 135.39, 1699600, 135.39, 0, 1, 135, -999
20141031, 134.39, 135.42, 133.15, 134.66, 2853600, 134.66, 0, 1, 134.525, -999
20141030, 131, 136.08, 131, 133.58, 3141900, 133.58, 0, 1, 132.29, -999
20141029, 129.73, 129.75, 126.83, 128.85, 3736400, 128.85, 0, 1, 129.29, -999
20141028, 129.12, 130.26, 128.64, 129.72, 1539000, 129.72, 0, 1, 129.42, -999
20141027, 130.43, 130.43, 127.83, 128.55, 2026200, 128.55, 0, 1, 129.49, -999
20141024, 129.5, 131.99, 128.89, 131.5, 1308600, 131.5, 0, 1, 130.5, -999
20141023, 130.96, 131.09, 129.07, 129.52, 1572200, 129.52, 0, 1, 130.24, -999
20141022, 131.39, 132.46, 129.48, 129.6, 1462900, 129.6, 0, 1, 130.495, -999
20141021, 129.8, 131.7, 129.52, 130.75, 2203500, 130.75, 0, 1, 130.275, -999
20141020, 128.93, 129.97, 128.37, 129.97, 1321800, 129.97, 0, 1, 129.45, -999
20141017, 128.8, 129.73, 127.92, 129.01, 2040200, 129.01, 0, 1, 128.905, -999
20141016, 125.23, 129.21, 124.56, 127.71, 3022800, 127.71, 0, 1, 126.47, -999
20141015, 119.24, 126.86, 118.24, 126.27, 3643000, 126.27, 0, 1, 122.755, -999
20141014, 119.6, 122.7, 118.2, 121.01, 2945700, 121.01, 0, 1, 120.305, -999
20141013, 122.66, 123.34, 118.79, 119.03, 2333000, 119.03, 0, 1, 120.845, -999
20141010, 122.54, 123.93, 121.44, 122.96, 2628000, 122.96, 0, 1, 122.75, -999
20141009, 126.5, 126.62, 122.16, 123.31, 2650400, 123.31, 0, 1, 124.905, -999
20141008, 125.8, 126.91, 123.44, 126.7, 2303500, 126.7, 0, 1, 126.25, -999
20141007, 127.85, 127.97, 125.66, 125.85, 2101200, 125.85, 0, 1, 126.85, -999
20141006, 128.96, 128.97, 127.94, 128.67, 1338400, 128.67, 0, 1, 128.815, -999
20141003, 129.07, 129.5, 127.68, 128.56, 1359900, 128.56, 0, 1, 128.815, -999
20141002, 126.34, 128.22, 124.49, 127.42, 2432200, 127.42, 0, 1, 126.88, -999
20141001, 129.44, 129.71, 126.2, 126.48, 3023800, 126.48, 0, 1, 127.96, -999
20140930, 133.11, 133.3, 130.18, 130.18, 1801500, 130.18, 0, 1, 131.645, -999
20140929, 132.99, 133.87, 132.83, 133.13, 1140300, 133.13, 0.77, 1, 133.06, -999
20140926, 133, 135.28, 133, 134.77, 1290500, 134, 0, 1, 133.5, -999
20140925, 134.85, 135.12, 132.79, 133.02, 1805900, 132.26, 0, 1, 133.555, -999
20140924, 133.8, 136, 133.31, 135.68, 1776100, 134.9, 0, 1, 134.35, -999
