Ticker: AVB  Created on: 12/6/2014 5:23:43 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 161.2, 161.27, 159.3, 160.62, 889300, 160.62, 0, 1, 160.91, -999
20141204, 161.92, 162.22, 161.14, 162.02, 600300, 162.02, 0, 1, 161.97, -999
20141203, 162.17, 162.22, 160.5, 161.58, 530900, 161.58, 0, 1, 161.875, -999
20141202, 161.44, 162.47, 160.77, 162.16, 546300, 162.16, 0, 1, 161.8, -999
20141201, 160.82, 163.57, 160.32, 161.72, 702200, 161.72, 0, 1, 161.27, -999
20141128, 160.9, 162.55, 160.3, 160.79, 455600, 160.79, 0, 1, 160.845, -999
20141126, 157.86, 160.78, 157.86, 160.41, 862900, 160.41, 0, 1, 159.135, -999
20141125, 157.49, 158.01, 156.98, 157.13, 1159800, 157.13, 0, 1, 157.31, -999
20141124, 158.24, 158.43, 157.32, 157.65, 703600, 157.65, 0, 1, 157.945, -999
20141121, 157.64, 158.16, 157.01, 157.43, 849600, 157.43, 0, 1, 157.535, -999
20141120, 156.76, 157.2, 156.1, 157.2, 349900, 157.2, 0, 1, 156.98, -999
20141119, 157.75, 158.56, 156.7, 156.87, 408400, 156.87, 0, 1, 157.31, -999
20141118, 157.82, 158.58, 156.97, 158.25, 521800, 158.25, 0, 1, 158.035, -999
20141117, 156.81, 158.36, 156.44, 158.16, 452400, 158.16, 0, 1, 157.485, -999
20141114, 158.36, 158.64, 156.42, 156.75, 528800, 156.75, 0, 1, 157.555, -999
20141113, 157.47, 158.64, 156.6, 158.35, 484900, 158.35, 0, 1, 157.91, -999
20141112, 158.08, 158.33, 156.4, 156.93, 594400, 156.93, 0, 1, 157.505, -999
20141111, 158.73, 158.77, 157.33, 158.22, 387300, 158.22, 0, 1, 158.475, -999
20141110, 157.15, 159.09, 156.95, 159.03, 585300, 159.03, 0, 1, 158.09, -999
20141107, 156.78, 158.26, 156.03, 157.3, 917400, 157.3, 0, 1, 157.04, -999
20141106, 158.32, 159.01, 156.89, 157.2, 620400, 157.2, 0, 1, 157.76, -999
20141105, 159.49, 159.49, 157.16, 158.11, 855400, 158.11, 0, 1, 158.8, -999
20141104, 158.67, 159.75, 157.16, 159.61, 805000, 159.61, 0, 1, 159.14, -999
20141103, 156.14, 158.21, 155.9, 158.13, 939300, 158.13, 0, 1, 157.135, -999
20141031, 154.5, 155.85, 153.56, 155.84, 1073200, 155.84, 0, 1, 155.17, -999
20141030, 151.72, 153.63, 151.38, 153.56, 541000, 153.56, 0, 1, 152.64, -999
20141029, 151.59, 152.82, 151.23, 152.4, 850300, 152.4, 0, 1, 151.995, -999
20141028, 150.15, 152.39, 150, 151.56, 985900, 151.56, 0, 1, 150.855, -999
20141027, 151.41, 152.57, 151.14, 152.46, 893500, 152.46, 0, 1, 151.935, -999
