Ticker: AVGO  Created on: 12/6/2014 5:23:43 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 103.84, 105, 101.73, 103.99, 2941200, 103.99, 0, 1, 103.915, -999
20141204, 101.55, 103.78, 99.51, 103.07, 6185500, 103.07, 0, 1, 102.31, -999
20141203, 93.03, 95.51, 93.03, 95.13, 2938900, 95.13, 0, 1, 94.08, -999
20141202, 90.69, 92.41, 89.72, 92.2, 1976100, 92.2, 0, 1, 91.445, -999
20141201, 93.05, 93.36, 90.02, 90.95, 1707400, 90.95, 0, 1, 92, -999
20141128, 94.13, 94.43, 92.67, 93.4, 870000, 93.4, 0, 1, 93.765, -999
20141126, 91.58, 93.86, 91.58, 93.78, 1614300, 93.78, 0, 1, 92.68, -999
20141125, 91.84, 92.56, 91.07, 91.15, 2592300, 91.15, 0, 1, 91.495, -999
20141124, 90.55, 91.35, 90.38, 91.14, 1187600, 91.14, 0, 1, 90.845, -999
20141121, 91.7, 91.73, 89.45, 90.21, 1746100, 90.21, 0, 1, 90.955, -999
20141120, 88.84, 90.92, 88.02, 89.93, 1508800, 89.93, 0, 1, 89.385, -999
20141119, 91.51, 92, 89.1, 89.25, 1876300, 89.25, 0, 1, 90.38, -999
20141118, 88.35, 91.77, 88.34, 91.41, 2002500, 91.41, 0, 1, 89.88, -999
20141117, 88.78, 89.05, 87.59, 88.52, 1120000, 88.52, 0, 1, 88.65, -999
20141114, 87.56, 89.05, 86.31, 89.02, 1295500, 89.02, 0, 1, 88.29, -999
20141113, 87.07, 88.37, 86.53, 87.45, 1228100, 87.45, 0, 1, 87.26, -999
20141112, 85.91, 87.29, 85.61, 87.05, 1039600, 87.05, 0, 1, 86.48, -999
20141111, 85.84, 86.29, 85.38, 86.16, 792700, 86.16, 0, 1, 86, -999
20141110, 84.92, 86.08, 83.5, 85.91, 1436400, 85.91, 0, 1, 85.415, -999
20141107, 87.84, 87.93, 84.74, 85.04, 1975100, 85.04, 0, 1, 86.44, -999
20141106, 86.44, 87.89, 86.34, 87.63, 1711400, 87.63, 0, 1, 87.035, -999
20141105, 85.79, 86.79, 84.81, 86.71, 1478900, 86.71, 0, 1, 86.25, -999
20141104, 85.9, 86.56, 84.86, 85.36, 1828800, 85.36, 0, 1, 85.63, -999
20141103, 86.44, 87.88, 86.09, 86.34, 1594100, 86.34, 0, 1, 86.39, -999
20141031, 85.11, 87.92, 84.5, 86.25, 2546100, 86.25, 0, 1, 85.68, -999
20141030, 83.84, 84.57, 81.18, 82.39, 1997600, 82.39, 0, 1, 83.115, -999
20141029, 84.57, 85.14, 83.56, 84.88, 1421400, 84.88, 0, 1, 84.725, -999
20141028, 82.16, 84.24, 81.58, 84.2, 1823000, 84.2, 0, 1, 83.18, -999
20141027, 81.51, 81.96, 80.12, 81.57, 1497700, 81.57, 0, 1, 81.54, -999
20141024, 81.7, 82.41, 80.77, 81.85, 1126900, 81.85, 0, 1, 81.775, -999
20141023, 82.14, 82.9, 81.12, 81.38, 1820500, 81.38, 0, 1, 81.76, -999
20141022, 82.48, 82.99, 80.73, 80.86, 1730700, 80.86, 0, 1, 81.67, -999
20141021, 78.99, 82.46, 78.96, 82.38, 2411200, 82.38, 0, 1, 80.685, -999
20141020, 76.67, 78.06, 75.8, 77.99, 1437000, 77.99, 0, 1, 77.33, -999
20141017, 77.42, 79.7, 76.83, 77.15, 4160700, 77.15, 0, 1, 77.285, -999
20141016, 70.67, 76.09, 70.5, 75.6, 3398500, 75.6, 0, 1, 73.135, -999
20141015, 70.26, 73.45, 69.86, 72.55, 3195500, 72.55, 0, 1, 71.405, -999
20141014, 72.06, 72.91, 69.06, 72.02, 6903400, 72.02, 0, 1, 72.04, -999
20141013, 70.8, 72.13, 68.8, 69.04, 6524000, 69.04, 0, 1, 69.92, -999
20141010, 77.75, 77.78, 68.75, 71.36, 10598100, 71.36, 0, 1, 74.555, -999
20141009, 82.92, 83.3, 80.58, 80.6, 1888000, 80.6, 0, 1, 81.76, -999
20141008, 81, 83.76, 79.3, 83.3, 2768100, 83.3, 0, 1, 82.15, -999
20141007, 82.42, 82.68, 80.97, 81.03, 1526600, 81.03, 0, 1, 81.725, -999
20141006, 84.07, 84.51, 82.54, 82.88, 1953600, 82.88, 0, 1, 83.475, -999
20141003, 83.62, 84.45, 83.05, 83.47, 2065000, 83.47, 0, 1, 83.545, -999
20141002, 85.08, 85.4, 80.84, 83.21, 3427800, 83.21, 0, 1, 84.145, -999
20141001, 87.12, 87.12, 84.84, 85.54, 2225700, 85.54, 0, 1, 86.33, -999
20140930, 87.61, 87.92, 86.2, 87, 1488500, 87, 0, 1, 87.305, -999
20140929, 86.41, 87.31, 86.07, 87.11, 982600, 87.11, 0, 1, 86.76, -999
20140926, 86.55, 87.66, 86.46, 87.5, 983400, 87.5, 0, 1, 87.025, -999
20140925, 88.84, 88.84, 85.77, 86.46, 1794000, 86.46, 0, 1, 87.65, -999
20140924, 87.69, 89.05, 87.35, 89.02, 1450300, 89.02, 0, 1, 88.355, -999
20140923, 87.01, 87.95, 86.38, 87.56, 2082900, 87.56, 0, 1, 87.285, -999
20140922, 88.64, 89.17, 86.42, 87.18, 2386900, 87.18, 0, 1, 87.91, -999
20140919, 90.13, 90.88, 88.9, 89.1, 4183400, 89.1, 0, 1, 89.615, -999
20140918, 88.18, 89.53, 88.03, 89.52, 1816500, 89.52, 0, 1, 88.85, -999
20140917, 87.97, 88.43, 87.37, 87.74, 1565300, 87.74, 0.32, 1, 87.855, -999
20140916, 86.37, 88.27, 85.67, 87.92, 2114600, 87.6, 0, 1, 86.985, -999
20140915, 88.14, 88.24, 86.27, 86.71, 1599800, 86.39, 0, 1, 87.265, -999
20140912, 89.01, 89.07, 87.4, 87.85, 1824400, 87.53, 0, 1, 88.27, -999
20140911, 88.91, 89.11, 87.82, 89.07, 1788800, 88.75, 0, 1, 88.83, -999
20140910, 88.28, 89.1, 87.72, 89, 1885500, 88.68, 0, 1, 88.48, -999
20140909, 88.38, 89.11, 87.96, 88.41, 2189600, 88.09, 0, 1, 88.235, -999
20140908, 88.07, 89.67, 87.52, 88.19, 2894900, 87.87, 0, 1, 87.97, -999
20140905, 86.36, 88.06, 86.25, 87.88, 2659400, 87.56, 0, 1, 86.96, -999
20140904, 85.53, 87.25, 85.47, 86.09, 2806100, 85.78, 0, 1, 85.655, -999
20140903, 85.27, 86.19, 84.5, 85.39, 3268100, 85.08, 0, 1, 85.175, -999
20140902, 82.97, 85.14, 82.4, 85.02, 4160400, 84.71, 0, 1, 83.84, -999
20140829, 81.82, 84.8, 76.5, 82.09, 6293400, 81.79, 0, 1, 81.805, -999
20140828, 75.54, 76.49, 74.95, 76.36, 1858700, 76.08, 0, 1, 75.81, -999
20140827, 76, 76.51, 75.51, 76.16, 1343400, 75.88, 0, 1, 75.94, -999
20140826, 75.86, 76.15, 75.27, 75.96, 1354400, 75.68, 0, 1, 75.77, -999
