Ticker: AZO  Created on: 12/6/2014 5:23:42 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 588.12, 592.41, 587.39, 587.95, 274400, 587.95, 0, 1, 588.035, -999
20141204, 588, 592.9, 586.09, 588.07, 299500, 588.07, 0, 1, 588.035, -999
20141203, 585.46, 593, 585.46, 590.55, 354400, 590.55, 0, 1, 588.005, -999
20141202, 571.52, 586.45, 571.52, 585.49, 452300, 585.49, 0, 1, 578.505, -999
20141201, 575.98, 579.52, 571.27, 575.72, 405400, 575.72, 0, 1, 575.85, -999
20141128, 570, 583, 566.08, 577.71, 121200, 577.71, 0, 1, 573.855, -999
20141126, 570, 572.99, 566.65, 568.55, 144200, 568.55, 0, 1, 569.275, -999
20141125, 573.66, 573.66, 566.35, 568.98, 243500, 568.98, 0, 1, 571.32, -999
20141124, 569.16, 571.61, 566.41, 571.38, 174900, 571.38, 0, 1, 570.27, -999
20141121, 574.14, 574.82, 568.6, 569.21, 239400, 569.21, 0, 1, 571.675, -999
20141120, 564.95, 569.5, 564.95, 567.5, 176500, 567.5, 0, 1, 566.225, -999
20141119, 570.63, 572.17, 567.12, 568.51, 139100, 568.51, 0, 1, 569.57, -999
20141118, 567.99, 573.09, 565.28, 568.59, 194900, 568.59, 0, 1, 568.29, -999
20141117, 567.75, 572.02, 567.18, 568.06, 209500, 568.06, 0, 1, 567.905, -999
20141114, 570.61, 574.09, 564.01, 567.11, 241200, 567.11, 0, 1, 568.86, -999
20141113, 569.53, 576, 569.53, 573.72, 348000, 573.72, 0, 1, 571.625, -999
20141112, 571, 571.26, 566.42, 568.8, 236800, 568.8, 0, 1, 569.9, -999
20141111, 566.43, 572.8, 565.59, 570.87, 254000, 570.87, 0, 1, 568.65, -999
20141110, 564.01, 568.04, 563.05, 566.39, 217000, 566.39, 0, 1, 565.2, -999
20141107, 566.11, 567.28, 559.56, 562.23, 322200, 562.23, 0, 1, 564.17, -999
20141106, 557.74, 566.53, 554.51, 566.05, 397100, 566.05, 0, 1, 561.895, -999
20141105, 559.11, 563.15, 554.29, 559.15, 340600, 559.15, 0, 1, 559.13, -999
20141104, 552.19, 557.95, 550.29, 554.36, 230200, 554.36, 0, 1, 553.275, -999
20141103, 556, 556, 545, 552.18, 1341000, 552.18, 0, 1, 554.09, -999
20141031, 554.89, 556.65, 551.02, 553.52, 295800, 553.52, 0, 1, 554.205, -999
20141030, 547.3, 553.7, 547.3, 551.46, 250100, 551.46, 0, 1, 549.38, -999
