Ticker: BAC  Created on: 12/6/2014 5:23:45 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 17.41, 17.71, 17.35, 17.68, 130760700, 17.68, 0, 1, 17.545, -999
20141204, 17.24, 17.34, 17.13, 17.21, 49412800, 17.21, 0, 1, 17.225, -999
20141203, 17.1, 17.3, 17.06, 17.29, 70104200, 17.29, 0, 1, 17.195, -999
20141202, 16.87, 17.15, 16.86, 17.15, 62301200, 17.1, 0, 1, 16.985, -999
20141201, 16.92, 16.94, 16.73, 16.79, 61173100, 16.74, 0, 1, 16.83, -999
20141128, 17.07, 17.15, 17.03, 17.04, 27834900, 16.99, 0, 1, 17.03, -999
20141126, 17.12, 17.15, 17.04, 17.11, 27310300, 17.06, 0, 1, 17.09, -999
20141125, 17.23, 17.26, 17.08, 17.1, 44786300, 17.05, 0, 1, 17.14, -999
20141124, 17.16, 17.28, 17.08, 17.18, 52785700, 17.13, 0, 1, 17.145, -999
20141121, 17.15, 17.19, 17.06, 17.12, 63000000, 17.07, 0, 1, 17.11, -999
20141120, 16.96, 17.01, 16.83, 17, 49652100, 16.95, 0, 1, 16.955, -999
20141119, 17.15, 17.15, 17.01, 17.06, 49441600, 17.01, 0, 1, 17.08, -999
20141118, 17.07, 17.22, 17.06, 17.14, 39490700, 17.09, 0, 1, 17.08, -999
20141117, 17.06, 17.14, 16.97, 17.09, 43393300, 17.04, 0, 1, 17.05, -999
20141114, 17.17, 17.25, 17.1, 17.14, 41144600, 17.09, 0, 1, 17.13, -999
20141113, 17.29, 17.3, 17.12, 17.22, 50586300, 17.17, 0, 1, 17.23, -999
20141112, 17.24, 17.3, 17.07, 17.29, 48669100, 17.24, 0, 1, 17.24, -999
20141111, 17.37, 17.46, 17.3, 17.32, 62236000, 17.27, 0, 1, 17.32, -999
20141110, 17.36, 17.4, 17.3, 17.37, 54261100, 17.32, 0, 1, 17.34, -999
20141107, 17.31, 17.38, 17.22, 17.36, 53907800, 17.31, 0, 1, 17.31, -999
20141106, 17.34, 17.4, 17.28, 17.36, 57339200, 17.31, 0, 1, 17.325, -999
20141105, 17.32, 17.37, 17.21, 17.34, 58608200, 17.29, 0, 1, 17.305, -999
20141104, 17.22, 17.3, 17.02, 17.21, 53515400, 17.16, 0, 1, 17.19, -999
20141103, 17.18, 17.35, 17.1, 17.27, 64050700, 17.22, 0, 1, 17.2, -999
20141031, 17.17, 17.22, 17.1, 17.16, 82788900, 17.11, 0, 1, 17.14, -999
20141030, 16.96, 17.12, 16.84, 17.03, 72579100, 16.98, 0, 1, 16.97, -999
20141029, 16.77, 17.02, 16.71, 16.99, 99875700, 16.94, 0, 1, 16.855, -999
20141028, 16.62, 16.8, 16.61, 16.8, 71580600, 16.75, 0, 1, 16.685, -999
20141027, 16.68, 16.69, 16.5, 16.59, 51500000, 16.54, 0, 1, 16.61, -999
20141024, 16.63, 16.72, 16.56, 16.72, 41951400, 16.67, 0, 1, 16.65, -999
20141023, 16.58, 16.73, 16.52, 16.6, 68436600, 16.55, 0, 1, 16.565, -999
20141022, 16.59, 16.7, 16.37, 16.4, 85199800, 16.35, 0, 1, 16.47, -999
20141021, 16.43, 16.61, 16.31, 16.6, 78287300, 16.55, 0, 1, 16.49, -999
20141020, 16.2, 16.33, 16.16, 16.26, 76510700, 16.21, 0, 1, 16.205, -999
20141017, 16.25, 16.41, 16.16, 16.21, 94339200, 16.16, 0, 1, 16.205, -999
20141016, 15.61, 16.25, 15.52, 16.08, 148199400, 16.03, 0, 1, 15.82, -999
20141015, 16.23, 16.24, 15.43, 15.76, 216591800, 15.71, 0, 1, 15.97, -999
20141014, 16.51, 16.63, 16.36, 16.52, 97451900, 16.47, 0, 1, 16.49, -999
20141013, 16.48, 16.67, 16.4, 16.4, 92674100, 16.35, 0, 1, 16.415, -999
20141010, 16.52, 16.77, 16.36, 16.48, 129552700, 16.43, 0, 1, 16.475, -999
20141009, 17.04, 17.11, 16.55, 16.59, 121363100, 16.54, 0, 1, 16.79, -999
