Ticker: BA  Created on: 12/6/2014 5:23:50 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 131.72, 132.62, 131.53, 132.21, 2495300, 132.21, 0, 1, 131.965, -999
20141204, 131.97, 132.52, 130.92, 131.32, 2785500, 131.32, 0, 1, 131.645, -999
20141203, 132.65, 133.28, 131.43, 131.97, 4627500, 131.97, 0, 1, 132.31, -999
20141202, 132.5, 132.96, 131.75, 132.28, 2900200, 132.28, 0, 1, 132.39, -999
20141201, 134.31, 134.4, 132.2, 132.39, 3473700, 132.39, 0, 1, 133.35, -999
20141128, 135.51, 135.78, 134.04, 134.36, 2090000, 134.36, 0, 1, 134.935, -999
20141126, 134.95, 135.3, 134.39, 134.78, 2660100, 134.78, 0, 1, 134.865, -999
20141125, 134.74, 135.6, 134.74, 134.81, 4301600, 134.81, 0, 1, 134.775, -999
20141124, 133.45, 134.74, 133.44, 134.61, 4161500, 134.61, 0, 1, 134.03, -999
20141121, 132.72, 133.36, 132.51, 132.78, 4226700, 132.78, 0, 1, 132.75, -999
20141120, 130.94, 132.4, 130.71, 131.7, 4052800, 131.7, 0, 1, 131.32, -999
20141119, 130.59, 132.74, 130.25, 131.61, 5036700, 131.61, 0, 1, 131.1, -999
20141118, 128.55, 131.33, 128.04, 130.66, 5701200, 130.66, 0, 1, 129.605, -999
20141117, 128.7, 129.17, 127.55, 128.42, 3752900, 128.42, 0, 1, 128.56, -999
20141114, 128.53, 129.78, 127.85, 128.86, 6235200, 128.86, 0, 1, 128.695, -999
20141113, 125.74, 128.96, 125.74, 128.53, 5813500, 128.53, 0, 1, 127.135, -999
20141112, 124.51, 126.19, 124.47, 125.87, 3074700, 125.87, 0, 1, 125.19, -999
20141111, 124.58, 125.73, 124.45, 125.36, 3053500, 125.36, 0, 1, 124.97, -999
20141110, 124.87, 124.99, 123.8, 124.64, 2622700, 124.64, 0, 1, 124.755, -999
20141107, 124.93, 124.94, 124.17, 124.45, 2366700, 124.45, 0, 1, 124.69, -999
20141106, 124.48, 124.8, 123.37, 124.58, 2341900, 124.58, 0, 1, 124.53, -999
20141105, 126.01, 126.25, 124.2, 124.22, 3334000, 124.22, 0, 1, 125.115, -999
20141104, 125.94, 126.71, 125.26, 125.84, 3684600, 125.11, 0, 1, 125.525, -999
20141103, 125.35, 126.25, 124.89, 126.03, 3902700, 125.3, 0, 1, 125.325, -999
20141031, 125.03, 125.89, 124.73, 124.91, 4665300, 124.19, 0, 1, 124.61, -999
20141030, 122.52, 124.12, 122.01, 123.82, 2569600, 123.1, 0, 1, 122.81, -999
20141029, 124.48, 124.48, 122.56, 123.08, 3241700, 122.37, 0, 1, 123.425, -999
20141028, 122.5, 123.79, 121.96, 123.61, 4159000, 122.89, 0, 1, 122.695, -999
20141027, 122.13, 122.23, 121.26, 122.12, 2940300, 121.41, 0, 1, 121.77, -999
20141024, 122.2, 122.84, 121.26, 122.24, 4013300, 121.53, 0, 1, 121.865, -999
20141023, 121.27, 122.88, 121.06, 122.03, 7799700, 121.32, 0, 1, 121.295, -999
20141022, 127.99, 128, 121.34, 121.45, 13844400, 120.75, 0, 1, 124.37, -999
