Ticker: BBT  Created on: 12/6/2014 5:23:47 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 38.11, 38.94, 38.11, 38.78, 4418500, 38.78, 0, 1, 38.445, -999
20141204, 37.94, 37.97, 37.57, 37.92, 3322000, 37.92, 0, 1, 37.93, -999
20141203, 37.39, 37.99, 37.29, 37.96, 3225500, 37.96, 0, 1, 37.675, -999
20141202, 37.13, 37.48, 37.05, 37.41, 3692800, 37.41, 0, 1, 37.27, -999
20141201, 37.43, 37.51, 36.78, 37.05, 3926900, 37.05, 0, 1, 37.24, -999
20141128, 38, 38.08, 37.58, 37.59, 1921000, 37.59, 0, 1, 37.795, -999
20141126, 38.05, 38.12, 37.72, 37.9, 3190300, 37.9, 0, 1, 37.975, -999
20141125, 38.11, 38.14, 37.68, 38.02, 2831500, 38.02, 0, 1, 38.065, -999
20141124, 37.65, 38.09, 37.55, 38.07, 2801600, 38.07, 0, 1, 37.86, -999
20141121, 38.01, 38.06, 37.34, 37.51, 6494800, 37.51, 0, 1, 37.76, -999
20141120, 37.29, 37.76, 37.25, 37.73, 3171700, 37.73, 0, 1, 37.51, -999
20141119, 37.42, 37.63, 37.19, 37.58, 3310300, 37.58, 0, 1, 37.5, -999
20141118, 37.33, 37.62, 37.3, 37.44, 2450300, 37.44, 0, 1, 37.385, -999
20141117, 37.42, 37.43, 37.09, 37.34, 2978500, 37.34, 0, 1, 37.38, -999
20141114, 37.58, 37.71, 37.35, 37.43, 3439600, 37.43, 0, 1, 37.505, -999
20141113, 37.49, 37.73, 37.42, 37.58, 5318000, 37.58, 0, 1, 37.535, -999
20141112, 37.11, 37.82, 37.1, 37.67, 7083600, 37.67, 0, 1, 37.39, -999
20141111, 38.48, 38.54, 38.27, 38.33, 1550900, 38.33, 0, 1, 38.405, -999
20141110, 38.05, 38.51, 38.03, 38.44, 2660700, 38.44, 0, 1, 38.245, -999
20141107, 38.07, 38.3, 37.92, 38.18, 2955500, 38.18, 0, 1, 38.125, -999
20141106, 37.95, 38.3, 37.65, 38.26, 2728500, 38.26, 0, 1, 38.105, -999
20141105, 37.87, 37.99, 37.63, 37.91, 4206200, 37.91, 0, 1, 37.89, -999
20141104, 37.94, 37.96, 37.61, 37.92, 2569200, 37.68, 0, 1, 37.81, -999
20141103, 37.94, 38.09, 37.71, 37.89, 4552200, 37.65, 0, 1, 37.795, -999
