Ticker: BBY  Created on: 12/6/2014 5:23:49 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 36.05, 36.1, 35.31, 35.63, 5088800, 35.63, 0, 1, 35.84, -999
20141204, 36.75, 36.91, 35.9, 36.08, 5701700, 36.08, 0, 1, 36.415, -999
20141203, 37.25, 37.5, 35.17, 36.04, 15177500, 36.04, 0, 1, 36.645, -999
20141202, 37.36, 38.02, 37.01, 37.2, 7263900, 37.2, 0, 1, 37.28, -999
20141201, 38.87, 39.01, 36.86, 37.26, 10433000, 37.26, 0, 1, 38.065, -999
20141128, 39.06, 39.79, 38.47, 39.41, 7155400, 39.41, 0, 1, 39.235, -999
20141126, 38.41, 38.78, 38.38, 38.75, 5010900, 38.75, 0, 1, 38.58, -999
20141125, 39, 39.42, 38.38, 38.41, 7597000, 38.41, 0, 1, 38.705, -999
20141124, 38.28, 39.02, 38.02, 38.9, 7393100, 38.9, 0, 1, 38.59, -999
20141121, 38.67, 38.82, 37.98, 38.03, 8816500, 38.03, 0, 1, 38.35, -999
20141120, 38.54, 38.69, 37.02, 38.02, 26040300, 38.02, 0, 1, 38.28, -999
20141119, 35.2, 36.35, 34.9, 35.54, 13669800, 35.54, 0, 1, 35.37, -999
20141118, 35.22, 35.44, 34.37, 34.9, 6418400, 34.9, 0, 1, 35.06, -999
20141117, 35.66, 35.96, 35.16, 35.29, 4881500, 35.29, 0, 1, 35.475, -999
20141114, 35.54, 35.75, 35.15, 35.49, 3062600, 35.49, 0, 1, 35.515, -999
20141113, 35.46, 35.6, 35.05, 35.49, 4115300, 35.49, 0, 1, 35.475, -999
20141112, 34.84, 35.5, 34.58, 35.2, 3494600, 35.2, 0, 1, 35.02, -999
20141111, 34.88, 35.19, 34.6, 34.83, 3705100, 34.83, 0, 1, 34.855, -999
20141110, 35.06, 35.65, 34.57, 34.71, 3860500, 34.71, 0, 1, 34.885, -999
20141107, 35.16, 35.64, 34.67, 35.18, 4360400, 35.18, 0, 1, 35.17, -999
20141106, 34.68, 35.35, 34.39, 35.21, 4707000, 35.21, 0, 1, 34.945, -999
20141105, 34.63, 34.86, 34.01, 34.64, 4166700, 34.64, 0, 1, 34.635, -999
20141104, 34.38, 34.64, 33.99, 34.36, 2875200, 34.36, 0, 1, 34.37, -999
20141103, 34.14, 34.63, 33.66, 34.41, 4209300, 34.41, 0, 1, 34.275, -999
20141031, 34.3, 34.68, 33.94, 34.14, 6809900, 34.14, 0, 1, 34.22, -999
20141030, 32.1, 33.75, 31.94, 33.62, 4943500, 33.62, 0, 1, 32.86, -999
20141029, 32.7, 32.79, 32.11, 32.35, 2967500, 32.35, 0, 1, 32.525, -999
20141028, 33.03, 33.07, 32.38, 32.66, 4416800, 32.66, 0, 1, 32.845, -999
20141027, 32.96, 33.17, 32.53, 32.99, 2888000, 32.99, 0, 1, 32.975, -999
20141024, 33.37, 33.49, 32.67, 33.11, 3795400, 33.11, 0, 1, 33.24, -999
20141023, 33.14, 33.49, 32.92, 33.12, 5842500, 33.12, 0, 1, 33.13, -999
20141022, 32.8, 33.5, 32.71, 32.84, 5739900, 32.84, 0, 1, 32.82, -999
20141021, 32.42, 32.85, 32.26, 32.6, 3238600, 32.6, 0, 1, 32.51, -999
20141020, 31.37, 32.35, 31.37, 32.19, 3589300, 32.19, 0, 1, 31.78, -999
20141017, 31.62, 32.18, 31.03, 31.34, 4519500, 31.34, 0, 1, 31.48, -999
20141016, 30.49, 31.78, 30.35, 31.28, 4218300, 31.28, 0, 1, 30.885, -999
20141015, 29.5, 31.05, 28.8, 30.89, 7277000, 30.89, 0, 1, 30.195, -999
20141014, 29.86, 30.78, 29.69, 30.04, 4668100, 30.04, 0, 1, 29.95, -999
20141013, 30.48, 30.56, 29.64, 29.72, 5330700, 29.72, 0, 1, 30.1, -999
20141010, 30.77, 31.3, 30.28, 30.49, 4385600, 30.49, 0, 1, 30.63, -999
20141009, 32.15, 32.44, 30.74, 30.86, 7430700, 30.86, 0, 1, 31.505, -999
20141008, 30.39, 31.53, 30.17, 31.51, 9366600, 31.51, 0, 1, 30.95, -999
20141007, 32.08, 32.12, 30.11, 30.23, 12995100, 30.23, 0, 1, 31.155, -999
20141006, 33.37, 33.44, 32.18, 32.2, 4963400, 32.2, 0, 1, 32.785, -999
20141003, 33.27, 33.74, 33.12, 33.37, 3954900, 33.37, 0, 1, 33.32, -999
20141002, 32.53, 32.81, 31.68, 32.72, 3765700, 32.72, 0, 1, 32.625, -999
20141001, 33.34, 33.55, 32.46, 32.62, 5176800, 32.62, 0, 1, 32.98, -999
