Ticker: BCR  Created on: 12/6/2014 5:23:46 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 172.15, 174.46, 172.02, 172.37, 649900, 172.37, 0, 1, 172.26, -999
20141204, 171.9, 173.84, 171.44, 172.47, 516300, 172.47, 0, 1, 172.185, -999
20141203, 171.33, 174.13, 170.52, 172.4, 954900, 172.4, 0, 1, 171.865, -999
20141202, 170.25, 171.65, 170.25, 170.99, 527800, 170.99, 0, 1, 170.62, -999
20141201, 167.24, 170.58, 166.54, 170.04, 788000, 170.04, 0, 1, 168.64, -999
20141128, 168, 169.19, 167.19, 167.35, 223700, 167.35, 0, 1, 167.675, -999
20141126, 167.18, 167.93, 166.59, 167.17, 326900, 167.17, 0, 1, 167.175, -999
20141125, 167.9, 167.92, 166.1, 166.45, 628300, 166.45, 0, 1, 167.175, -999
20141124, 166.97, 167.75, 166.68, 167.65, 239900, 167.65, 0, 1, 167.31, -999
20141121, 168.92, 169.09, 166.24, 166.5, 611700, 166.5, 0, 1, 167.71, -999
20141120, 166.31, 167.2, 165.3, 167.11, 295700, 167.11, 0, 1, 166.71, -999
20141119, 166.24, 166.99, 166.02, 166.67, 461400, 166.67, 0, 1, 166.455, -999
20141118, 165, 167.66, 164.98, 167.36, 477900, 167.36, 0, 1, 166.18, -999
20141117, 164.17, 164.83, 163.87, 164.81, 476300, 164.81, 0, 1, 164.49, -999
20141114, 165.17, 165.91, 163.53, 164.04, 257600, 164.04, 0, 1, 164.605, -999
20141113, 165.21, 166.63, 164.39, 165.59, 419900, 165.59, 0, 1, 165.4, -999
20141112, 163.49, 165.31, 162.68, 165.21, 271000, 165.21, 0, 1, 164.35, -999
20141111, 163.87, 164.67, 162.85, 164.27, 300500, 164.27, 0, 1, 164.07, -999
20141110, 162.5, 163.87, 161.79, 163.87, 479700, 163.87, 0, 1, 163.185, -999
20141107, 164.7, 164.96, 161.89, 162.38, 344600, 162.38, 0, 1, 163.54, -999
20141106, 165, 165.46, 164.27, 164.97, 448100, 164.97, 0, 1, 164.985, -999
20141105, 164.28, 164.76, 163.47, 164.58, 661200, 164.58, 0, 1, 164.43, -999
20141104, 162.72, 163.75, 162.59, 163.62, 312500, 163.62, 0, 1, 163.17, -999
20141103, 163.84, 164.3, 162.62, 162.87, 446900, 162.87, 0, 1, 163.355, -999
20141031, 162.75, 164.91, 162.34, 163.97, 1625900, 163.97, 0, 1, 163.36, -999
20141030, 158.93, 161.1, 158.93, 160.99, 571700, 160.99, 0, 1, 159.96, -999
20141029, 160.34, 161.52, 158.49, 159.68, 695800, 159.68, 0, 1, 160.01, -999
20141028, 158.73, 160.23, 158.55, 160.23, 615500, 160.23, 0, 1, 159.48, -999
20141027, 156.95, 158.98, 156.48, 158.67, 883300, 158.67, 0, 1, 157.81, -999
20141024, 155.1, 157.84, 155.1, 156.97, 759000, 156.97, 0, 1, 156.035, -999
20141023, 150, 156.18, 149.89, 154.23, 1008800, 154.23, 0, 1, 152.115, -999
20141022, 149.32, 149.97, 147.9, 147.98, 829100, 147.98, 0, 1, 148.65, -999
20141021, 147.84, 149.49, 147.84, 149.22, 402500, 149.22, 0, 1, 148.53, -999
20141020, 145.38, 146.9, 145.38, 146.72, 410900, 146.72, 0, 1, 146.05, -999
20141017, 145.79, 146.33, 144.42, 145.27, 533200, 145.27, 0, 1, 145.53, -999
20141016, 146.27, 147.51, 144.39, 144.77, 666800, 144.77, 0.22, 1, 145.52, -999
20141015, 149.36, 150.23, 145.56, 147.79, 966200, 147.57, 0, 1, 148.465, -999
20141014, 150.22, 153.58, 150.22, 150.72, 783100, 150.5, 0, 1, 150.36, -999
20141013, 149.69, 151.33, 148.49, 149.76, 584000, 149.54, 0, 1, 149.615, -999
20141010, 148.94, 151.76, 148.94, 149.89, 755000, 149.67, 0, 1, 149.305, -999
20141009, 151.52, 151.98, 148.8, 148.88, 520800, 148.66, 0, 1, 150.09, -999
20141008, 148.02, 151.49, 147.42, 151.49, 576600, 151.26, 0, 1, 149.64, -999
20141007, 148.04, 149.45, 147.28, 147.92, 625100, 147.7, 0, 1, 147.87, -999
20141006, 147.33, 149.94, 147.04, 149.24, 803700, 149.02, 0, 1, 148.175, -999
20141003, 145.43, 146.64, 145.25, 146.26, 565300, 146.04, 0, 1, 145.735, -999
20141002, 142.61, 144.96, 142.23, 144.78, 457000, 144.56, 0, 1, 143.585, -999
20141001, 142.84, 143.01, 141.49, 142.23, 438400, 142.02, 0, 1, 142.43, -999
20140930, 143.21, 144.07, 142.67, 142.71, 488500, 142.5, 0, 1, 142.855, -999
20140929, 142.76, 143.72, 142.52, 143.37, 446700, 143.16, 0, 1, 142.96, -999
20140926, 144.03, 144.5, 143.41, 143.6, 379900, 143.39, 0, 1, 143.71, -999
20140925, 145.28, 145.73, 143.7, 144.06, 362600, 143.85, 0, 1, 144.565, -999
20140924, 144.88, 145.96, 144.54, 145.39, 635800, 145.17, 0, 1, 145.025, -999
