Ticker: BDX  Created on: 12/6/2014 5:23:47 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 140.61, 140.74, 138.71, 139.15, 852800, 139.15, 0, 1, 139.88, -999
20141204, 140.54, 142.56, 139.88, 140.68, 1193800, 140.68, 0, 1, 140.61, -999
20141203, 140.77, 140.8, 139.9, 140.37, 868500, 140.37, 0, 1, 140.57, -999
20141202, 141.12, 141.64, 140.22, 141.02, 1307400, 141.02, 0, 1, 141.07, -999
20141201, 140.03, 141.56, 138.81, 141.15, 1311900, 141.15, 0, 1, 140.59, -999
20141128, 141.52, 142.33, 139.97, 140.33, 868800, 140.33, 0, 1, 140.925, -999
20141126, 136.85, 141.68, 136.79, 141.26, 2971100, 141.26, 0, 1, 139.055, -999
20141125, 131.03, 135.27, 131.03, 134.73, 2154700, 134.73, 0, 1, 132.88, -999
20141124, 130.83, 131.14, 129.96, 131.11, 697500, 131.11, 0, 1, 130.97, -999
20141121, 131.57, 131.79, 129.99, 130.38, 1280200, 130.38, 0, 1, 130.975, -999
20141120, 130.12, 130.42, 129.04, 130.4, 970600, 130.4, 0, 1, 130.26, -999
20141119, 131.01, 131.07, 129.39, 130.11, 1094300, 130.11, 0, 1, 130.56, -999
20141118, 129.54, 131.15, 129.25, 130.94, 1072300, 130.94, 0, 1, 130.24, -999
20141117, 129.2, 130.12, 128.89, 129.54, 813500, 129.54, 0, 1, 129.37, -999
20141114, 129.08, 129.69, 128.71, 129.2, 795600, 129.2, 0, 1, 129.14, -999
20141113, 129.75, 129.78, 128.99, 129.31, 763900, 129.31, 0, 1, 129.53, -999
20141112, 128.22, 129.43, 128.22, 129.35, 1001000, 129.35, 0, 1, 128.785, -999
20141111, 128.3, 128.93, 127.74, 128.76, 740700, 128.76, 0, 1, 128.53, -999
20141110, 125.8, 128.33, 125.58, 128.3, 986300, 128.3, 0, 1, 127.05, -999
20141107, 128.04, 128.2, 125.35, 125.54, 1293600, 125.54, 0, 1, 126.79, -999
20141106, 127.51, 127.98, 126.49, 127.93, 942100, 127.93, 0, 1, 127.72, -999
20141105, 126.81, 128.36, 126.81, 127.22, 1360100, 127.22, 0, 1, 127.015, -999
20141104, 129.5, 131.15, 125.94, 126.34, 1563500, 126.34, 0, 1, 127.92, -999
20141103, 128.54, 128.68, 126.87, 127.42, 1090100, 127.42, 0, 1, 127.98, -999
20141031, 129.34, 129.34, 127.87, 128.7, 1320900, 128.7, 0, 1, 129.02, -999
20141030, 126.24, 127.56, 125.57, 127.52, 1150200, 127.52, 0, 1, 126.88, -999
20141029, 126.45, 127.13, 126.01, 126.77, 776900, 126.77, 0, 1, 126.61, -999
20141028, 126.54, 126.71, 125.77, 126.52, 939100, 126.52, 0, 1, 126.53, -999
20141027, 125.54, 126.23, 125.43, 125.8, 854000, 125.8, 0, 1, 125.67, -999
20141024, 125.07, 125.87, 124.98, 125.73, 902500, 125.73, 0, 1, 125.4, -999
20141023, 125.04, 125.53, 124.68, 125, 1130800, 125, 0, 1, 125.02, -999
20141022, 123.75, 124.86, 123.26, 123.72, 1931300, 123.72, 0, 1, 123.735, -999
20141021, 123.48, 124.18, 122.56, 123.31, 2124700, 123.31, 0, 1, 123.395, -999
20141020, 122, 123.02, 121.65, 122.66, 1908300, 122.66, 0, 1, 122.33, -999
20141017, 121.41, 122.48, 120.76, 121.73, 1938300, 121.73, 0, 1, 121.57, -999
20141016, 122.8, 123.64, 120.29, 120.78, 2742600, 120.78, 0, 1, 121.79, -999
20141015, 123.45, 125.1, 121.11, 124.53, 2987800, 124.53, 0, 1, 123.99, -999
20141014, 126.33, 127.59, 125.02, 125.07, 1854000, 125.07, 0, 1, 125.7, -999
20141013, 127.73, 128.02, 125.83, 125.83, 1763900, 125.83, 0, 1, 126.78, -999
20141010, 127.11, 128.86, 127.11, 127.87, 2268900, 127.87, 0, 1, 127.49, -999
20141009, 129.46, 130.21, 127.59, 127.94, 2846500, 127.94, 0, 1, 128.7, -999
20141008, 127.23, 129.92, 127.2, 129.9, 2845800, 129.9, 0, 1, 128.565, -999
