Ticker: BEN  Created on: 12/6/2014 5:24:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.01, 58.61, 57.86, 58.3, 1463600, 58.3, 0, 1, 58.155, -999
20141204, 57.97, 58, 57.26, 57.96, 1444200, 57.96, 0, 1, 57.965, -999
20141203, 57.57, 58.09, 57.38, 58.03, 1119800, 58.03, 0, 1, 57.8, -999
20141202, 57.22, 57.73, 56.88, 57.62, 1155300, 57.62, 0, 1, 57.42, -999
20141201, 56.83, 57.27, 56.36, 57.06, 1800900, 57.06, 0, 1, 56.945, -999
20141128, 57.22, 57.22, 56.79, 56.86, 660800, 56.86, 0, 1, 57.04, -999
20141126, 57.24, 57.24, 56.68, 57.04, 905100, 57.04, 0, 1, 57.14, -999
20141125, 57.04, 57.27, 56.63, 57.12, 1483000, 57.12, 0, 1, 57.08, -999
20141124, 57.26, 57.45, 56.81, 57.04, 952300, 57.04, 0, 1, 57.15, -999
20141121, 56.94, 57.19, 56.77, 56.99, 1255200, 56.99, 0, 1, 56.965, -999
20141120, 55.97, 56.84, 55.96, 56.56, 1195700, 56.56, 0, 1, 56.265, -999
20141119, 56.41, 56.5, 55.79, 56.42, 1081500, 56.42, 0, 1, 56.415, -999
20141118, 56.3, 56.64, 56.05, 56.38, 709500, 56.38, 0, 1, 56.34, -999
20141117, 56.33, 56.37, 55.98, 56.22, 780900, 56.22, 0, 1, 56.275, -999
20141114, 56.69, 56.89, 56.34, 56.38, 840300, 56.38, 0, 1, 56.535, -999
20141113, 57.08, 57.26, 56.5, 56.8, 810100, 56.8, 0, 1, 56.94, -999
20141112, 56.69, 57.04, 56.54, 56.97, 849700, 56.97, 0, 1, 56.83, -999
20141111, 56.61, 57.05, 56.57, 56.99, 1330600, 56.99, 0, 1, 56.8, -999
20141110, 56.97, 57.05, 56.47, 56.57, 1461100, 56.57, 0, 1, 56.77, -999
20141107, 56.3, 57.03, 56.04, 56.98, 1722900, 56.98, 0, 1, 56.64, -999
20141106, 56.07, 56.35, 55.89, 56.31, 1050000, 56.31, 0, 1, 56.19, -999
20141105, 55.98, 56.19, 55.7, 55.87, 1329500, 55.87, 0, 1, 55.925, -999
