Ticker: BF.B  Created on: 12/6/2014 5:23:53 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 91.05, 91.58, 90.37, 91.27, 715900, 91.27, 0, 1, 91.16, -999
20141204, 91.86, 92.71, 90.43, 90.93, 948600, 90.93, 0, 1, 91.395, -999
20141203, 93.5, 93.6, 91.16, 92.25, 1240400, 92.25, 0, 1, 92.875, -999
20141202, 95.85, 96.22, 95.14, 96, 611700, 96, 0, 1, 95.925, -999
20141201, 97.96, 97.97, 95.33, 95.58, 496500, 95.27, 0, 1, 96.615, -999
20141128, 95.84, 97.31, 95.49, 97.05, 235800, 96.74, 0, 1, 96.29, -999
20141126, 95.51, 95.58, 94.85, 95.11, 351600, 94.8, 0, 1, 95.155, -999
20141125, 95, 95.75, 94.44, 95.33, 475400, 95.02, 0, 1, 95.01, -999
20141124, 94.79, 95.32, 94.01, 94.81, 296700, 94.5, 0, 1, 94.645, -999
20141121, 95.18, 95.29, 93.81, 94.14, 1509900, 93.83, 0, 1, 94.505, -999
20141120, 93.59, 94.29, 93.43, 93.87, 286900, 93.57, 0, 1, 93.58, -999
20141119, 93.91, 94.26, 93.31, 94.09, 328100, 93.78, 0, 1, 93.845, -999
20141118, 94.04, 94.42, 93.45, 94.08, 293700, 93.77, 0, 1, 93.905, -999
20141117, 93.33, 94.09, 92.98, 94.04, 234900, 93.73, 0, 1, 93.53, -999
20141114, 94.12, 94.24, 92.84, 93.34, 201200, 93.04, 0, 1, 93.58, -999
20141113, 94.49, 94.75, 93.66, 94.24, 278500, 93.93, 0, 1, 94.21, -999
20141112, 93.54, 94.27, 93.33, 93.94, 218200, 93.64, 0, 1, 93.59, -999
20141111, 93.99, 94.63, 93.56, 94.15, 246200, 93.84, 0, 1, 93.915, -999
20141110, 93.33, 94.17, 93.13, 94.09, 237600, 93.78, 0, 1, 93.555, -999
20141107, 92.88, 93.59, 92.48, 93.59, 240300, 93.29, 0, 1, 93.085, -999
20141106, 93.23, 93.43, 92.42, 93.31, 333900, 93.01, 0, 1, 93.12, -999
20141105, 93.12, 93.48, 92.5, 92.94, 322400, 92.64, 0, 1, 92.88, -999
20141104, 92.73, 93.37, 92.34, 92.62, 293900, 92.32, 0, 1, 92.525, -999
20141103, 92.46, 93.14, 92.4, 92.74, 399400, 92.44, 0, 1, 92.45, -999
20141031, 92, 92.67, 91.21, 92.67, 583200, 92.37, 0, 1, 92.185, -999
20141030, 90.07, 91.26, 89.91, 90.88, 295800, 90.59, 0, 1, 90.33, -999
20141029, 90.67, 91.4, 89.71, 90.47, 369900, 90.18, 0, 1, 90.425, -999
20141028, 89.93, 90.95, 89.59, 90.95, 438300, 90.66, 0, 1, 90.295, -999
20141027, 88.85, 89.76, 88.71, 89.51, 332200, 89.22, 0, 1, 89.035, -999
20141024, 88, 89.06, 87.53, 89, 280900, 88.71, 0, 1, 88.355, -999
20141023, 89.53, 89.53, 87.88, 88.04, 441100, 87.75, 0, 1, 88.64, -999
20141022, 88.38, 89.02, 87.71, 88.43, 465400, 88.14, 0, 1, 88.26, -999
20141021, 86.98, 88.1, 86.81, 88.08, 438200, 87.79, 0, 1, 87.385, -999
20141020, 87, 87.33, 86.36, 86.98, 363800, 86.7, 0, 1, 86.85, -999
20141017, 84, 86.2, 83.73, 85.72, 721500, 85.44, 0, 1, 84.72, -999
20141016, 88.14, 88.14, 82.19, 83.84, 500600, 83.57, 0, 1, 85.855, -999
20141015, 84.17, 84.7, 81.89, 83.61, 699200, 83.34, 0, 1, 83.755, -999
20141014, 85.49, 86.05, 84.38, 84.65, 489200, 84.38, 0, 1, 84.935, -999
20141013, 86.61, 86.65, 84.96, 85.02, 601200, 84.74, 0, 1, 85.675, -999
20141010, 88.79, 89.32, 86.74, 86.74, 555700, 86.46, 0, 1, 87.625, -999
20141009, 89.18, 89.78, 88.39, 88.46, 488600, 88.17, 0, 1, 88.675, -999
20141008, 87.57, 89.2, 87.29, 89.14, 359400, 88.85, 0, 1, 88.21, -999
20141007, 88.21, 88.93, 87.66, 87.67, 371300, 87.39, 0, 1, 87.8, -999
20141006, 89.3, 89.76, 88.12, 88.7, 247900, 88.41, 0, 1, 88.855, -999
20141003, 87.92, 89.4, 87.92, 89.28, 1096500, 88.99, 0, 1, 88.455, -999
20141002, 88.21, 88.4, 87.43, 87.84, 384100, 87.56, 0, 1, 87.885, -999
20141001, 90.23, 90.35, 88.2, 88.62, 416500, 88.33, 0, 1, 89.28, -999
