Ticker: BIIB  Created on: 12/6/2014 5:23:49 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 341.99, 345.93, 339.71, 340.87, 1370300, 340.87, 0, 1, 341.43, -999
20141204, 345.88, 350.89, 337.54, 341.18, 2533600, 341.18, 0, 1, 343.53, -999
20141203, 328.52, 347.74, 328.52, 347.34, 4668700, 347.34, 0, 1, 337.93, -999
20141202, 335.65, 336.65, 323.41, 328.27, 6201300, 328.27, 0, 1, 331.96, -999
20141201, 306.43, 310.47, 306.11, 308.44, 1140500, 308.44, 0, 1, 307.435, -999
20141128, 307.58, 310.21, 305.97, 307.69, 849100, 307.69, 0, 1, 307.635, -999
20141126, 305, 305.83, 301.39, 304.92, 1085800, 304.92, 0, 1, 304.96, -999
20141125, 307, 307.64, 302.45, 305.4, 1932200, 305.4, 0, 1, 306.2, -999
20141124, 305.61, 308.84, 304.78, 306.74, 1388200, 306.74, 0, 1, 306.175, -999
20141121, 305.28, 305.28, 301.32, 303.55, 1828000, 303.55, 0, 1, 304.415, -999
20141120, 300.1, 303.98, 297.83, 299.1, 1771900, 299.1, 0, 1, 299.6, -999
20141119, 304.6, 305.5, 302.1, 303.61, 1956800, 303.61, 0, 1, 304.105, -999
20141118, 305.68, 306.98, 303.02, 305.56, 1643200, 305.56, 0, 1, 305.62, -999
20141117, 305, 308.65, 301.86, 302.42, 1390100, 302.42, 0, 1, 303.71, -999
20141114, 317.96, 318.02, 300.35, 305.43, 2557100, 305.43, 0, 1, 311.695, -999
20141113, 322.25, 322.25, 314.33, 317.98, 1126200, 317.98, 0, 1, 320.115, -999
20141112, 323.8, 323.8, 319.55, 321.02, 757000, 321.02, 0, 1, 322.41, -999
20141111, 327.71, 330.37, 322.65, 324.59, 847500, 324.59, 0, 1, 326.15, -999
20141110, 320.19, 327.9, 319, 327.87, 1203400, 327.87, 0, 1, 324.03, -999
20141107, 324.66, 325, 319.62, 320.75, 1102800, 320.75, 0, 1, 322.705, -999
20141106, 320.86, 324.3, 320.27, 323.47, 1377000, 323.47, 0, 1, 322.165, -999
20141105, 324.57, 324.86, 318.5, 319.55, 1016100, 319.55, 0, 1, 322.06, -999
20141104, 319.9, 323.88, 319.03, 322.06, 1130700, 322.06, 0, 1, 320.98, -999
20141103, 320.78, 323.2, 319.66, 321.25, 1196100, 321.25, 0, 1, 321.015, -999
20141031, 330, 330.5, 318.66, 321.08, 1699600, 321.08, 0, 1, 325.54, -999
20141030, 315.09, 323.72, 313.91, 321, 1084300, 321, 0, 1, 318.045, -999
20141029, 317.94, 320.99, 312.56, 315.06, 1509000, 315.06, 0, 1, 316.5, -999
20141028, 321.21, 321.22, 314.9, 318.03, 1642000, 318.03, 0, 1, 319.62, -999
20141027, 321.89, 323.12, 317, 319.98, 1114800, 319.98, 0, 1, 320.935, -999
20141024, 315.72, 322, 315.3, 321.67, 1262900, 321.67, 0, 1, 318.695, -999
20141023, 314, 319.35, 311, 316.06, 2126200, 316.06, 0, 1, 315.03, -999
