Ticker: BK  Created on: 12/6/2014 5:26:14 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.58, 41.51, 40.48, 41.11, 4766600, 41.11, 0, 1, 40.845, -999
20141204, 40.26, 40.5, 40.1, 40.38, 3025600, 40.38, 0, 1, 40.32, -999
20141203, 40.21, 40.81, 40.17, 40.4, 3918800, 40.4, 0, 1, 40.305, -999
20141202, 39.76, 40.33, 39.7, 40.28, 3771900, 40.28, 0, 1, 40.02, -999
20141201, 39.95, 39.95, 39.29, 39.58, 2785800, 39.58, 0, 1, 39.765, -999
20141128, 40.2, 40.27, 39.98, 40.03, 1661700, 40.03, 0, 1, 40.115, -999
20141126, 40.05, 40.22, 39.98, 40.21, 1714300, 40.21, 0, 1, 40.13, -999
20141125, 40.35, 40.4, 39.91, 40.1, 2927400, 40.1, 0, 1, 40.225, -999
20141124, 40.16, 40.32, 39.93, 40.04, 2681400, 40.04, 0, 1, 40.1, -999
20141121, 40.37, 40.39, 39.98, 40.09, 4516300, 40.09, 0, 1, 40.23, -999
20141120, 39.5, 40.03, 39.43, 39.96, 3809200, 39.96, 0, 1, 39.73, -999
20141119, 39.54, 39.87, 39.33, 39.79, 4779400, 39.79, 0, 1, 39.665, -999
20141118, 39.73, 39.87, 39.62, 39.69, 4472100, 39.69, 0, 1, 39.71, -999
20141117, 39.48, 39.81, 39.27, 39.73, 4143500, 39.73, 0, 1, 39.605, -999
20141114, 39.61, 40.03, 39.59, 39.67, 4762800, 39.67, 0, 1, 39.64, -999
20141113, 39.74, 39.79, 39.18, 39.59, 4965900, 39.59, 0, 1, 39.665, -999
20141112, 39.23, 39.83, 39.16, 39.74, 3626400, 39.74, 0, 1, 39.485, -999
20141111, 39.41, 39.58, 39.3, 39.45, 3383400, 39.45, 0, 1, 39.43, -999
20141110, 38.89, 39.53, 38.87, 39.5, 4151900, 39.5, 0, 1, 39.195, -999
20141107, 38.81, 39.01, 38.48, 38.91, 2325000, 38.91, 0, 1, 38.86, -999
20141106, 38.77, 38.85, 38.58, 38.77, 4853500, 38.77, 0, 1, 38.77, -999
20141105, 38.87, 38.93, 38.44, 38.67, 3386100, 38.67, 0, 1, 38.77, -999
20141104, 38.37, 38.76, 38.31, 38.7, 4877800, 38.7, 0, 1, 38.535, -999
20141103, 38.76, 38.87, 38.32, 38.47, 4562600, 38.47, 0, 1, 38.615, -999
20141031, 38.5, 38.97, 38.4, 38.72, 6841400, 38.72, 0, 1, 38.61, -999
20141030, 37.72, 38.16, 37.59, 37.97, 6373100, 37.97, 0, 1, 37.845, -999
20141029, 37.23, 37.82, 37.05, 37.7, 8251400, 37.7, 0, 1, 37.465, -999
20141028, 37.65, 37.81, 36.59, 37.12, 9006300, 37.12, 0, 1, 37.385, -999
20141027, 37.04, 37.59, 36.77, 37.4, 7265800, 37.4, 0, 1, 37.22, -999
20141024, 36.38, 37.13, 36.36, 37.12, 5457400, 37.12, 0.17, 1, 36.75, -999
20141023, 36.82, 36.89, 36.41, 36.48, 5428000, 36.31, 0, 1, 36.565, -999
20141022, 36.86, 36.87, 36.38, 36.38, 6020300, 36.21, 0, 1, 36.535, -999
20141021, 36.68, 36.85, 36.59, 36.8, 6060600, 36.63, 0, 1, 36.655, -999
20141020, 36.44, 36.5, 36.13, 36.36, 4123400, 36.19, 0, 1, 36.315, -999
20141017, 36.55, 36.71, 35.83, 36.36, 6930700, 36.19, 0, 1, 36.37, -999
20141016, 35.3, 36.47, 35.08, 36.16, 7112800, 35.99, 0, 1, 35.645, -999
20141015, 36.06, 36.15, 35.06, 35.95, 7507300, 35.78, 0, 1, 35.92, -999
20141014, 36.41, 36.96, 36.34, 36.55, 8455100, 36.38, 0, 1, 36.395, -999
20141013, 37.04, 37.15, 36.33, 36.35, 3650000, 36.18, 0, 1, 36.61, -999
20141010, 37.32, 37.7, 36.89, 36.89, 5096100, 36.72, 0, 1, 37.02, -999
20141009, 38.48, 38.49, 37.28, 37.31, 7214500, 37.14, 0, 1, 37.81, -999
20141008, 37.98, 38.58, 37.83, 38.56, 5160000, 38.38, 0, 1, 38.18, -999
20141007, 38.53, 38.53, 37.87, 37.88, 4214800, 37.7, 0, 1, 38.115, -999
20141006, 38.94, 39.09, 38.59, 38.78, 2846300, 38.6, 0, 1, 38.77, -999
20141003, 38.47, 38.85, 38.39, 38.7, 4255400, 38.52, 0, 1, 38.495, -999
20141002, 38.19, 38.29, 37.78, 38.21, 3856400, 38.03, 0, 1, 38.11, -999
20141001, 38.7, 38.7, 38.15, 38.22, 3441500, 38.04, 0, 1, 38.37, -999
20140930, 38.57, 38.86, 37.46, 38.73, 5619300, 38.55, 0, 1, 38.56, -999
20140929, 38.51, 38.78, 38.38, 38.61, 3137200, 38.43, 0, 1, 38.47, -999
20140926, 38.78, 39.02, 38.55, 38.94, 3197500, 38.76, 0, 1, 38.77, -999
20140925, 39, 39.09, 38.63, 38.65, 5376500, 38.47, 0, 1, 38.735, -999
20140924, 38.9, 39.23, 38.78, 39.22, 4971600, 39.04, 0, 1, 38.97, -999
20140923, 39.33, 39.49, 38.96, 38.96, 5692600, 38.78, 0, 1, 39.055, -999
20140922, 39.55, 39.71, 39.3, 39.34, 3840000, 39.16, 0, 1, 39.355, -999
20140919, 40.39, 40.51, 39.68, 39.68, 9264500, 39.5, 0, 1, 39.945, -999
20140918, 40.5, 40.8, 40.24, 40.25, 9829200, 40.06, 0, 1, 40.28, -999
20140917, 40.22, 40.55, 40.05, 40.26, 5066900, 40.07, 0, 1, 40.145, -999
20140916, 39.71, 40.24, 39.67, 40.17, 5906500, 39.98, 0, 1, 39.845, -999
20140915, 39.59, 39.93, 39.56, 39.92, 5870500, 39.73, 0, 1, 39.66, -999
20140912, 39.41, 39.93, 39.35, 39.9, 7545600, 39.71, 0, 1, 39.56, -999
20140911, 38.97, 39.41, 38.94, 39.37, 10345000, 39.19, 0, 1, 39.08, -999
20140910, 38.9, 39.2, 38.89, 39.13, 4213500, 38.95, 0, 1, 38.925, -999
20140909, 39.24, 39.33, 38.75, 38.79, 5067800, 38.61, 0, 1, 38.925, -999
20140908, 39.43, 39.67, 39.3, 39.44, 5503000, 39.26, 0, 1, 39.345, -999
20140905, 39.36, 39.56, 39.22, 39.47, 5198900, 39.29, 0, 1, 39.325, -999
20140904, 39.61, 39.91, 39.41, 39.47, 4526600, 39.29, 0, 1, 39.45, -999
20140903, 39.84, 39.85, 39.43, 39.52, 3013400, 39.34, 0, 1, 39.59, -999
20140902, 39.3, 39.66, 39.21, 39.65, 3655200, 39.47, 0, 1, 39.385, -999
20140829, 39.03, 39.19, 38.91, 39.18, 3926600, 39, 0, 1, 39.015, -999
