Ticker: BLK  Created on: 12/6/2014 5:23:49 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 362.81, 364.96, 361.77, 364.4, 479400, 364.4, 0, 1, 363.605, -999
20141204, 355.41, 360.99, 354.34, 360.71, 581900, 360.71, 0, 1, 358.06, -999
20141203, 355.38, 357.57, 355.2, 356.89, 456600, 356.89, 0, 1, 356.135, -999
20141202, 356.09, 357.63, 353.57, 355.83, 571700, 355.83, 0, 1, 355.96, -999
20141201, 356.72, 357.74, 353.88, 355.03, 584500, 355.03, 0, 1, 355.875, -999
20141128, 359.26, 360.84, 357.7, 359.08, 286300, 357.15, 0, 1, 358.205, -999
20141126, 358.16, 358.34, 355.11, 357.61, 306900, 355.69, 0, 1, 356.925, -999
20141125, 356.65, 358.81, 354.51, 357.02, 544900, 355.1, 0, 1, 355.875, -999
20141124, 357.33, 358.65, 354.36, 355.79, 457600, 353.88, 0, 1, 355.605, -999
20141121, 352.62, 356.61, 351.67, 355.91, 842500, 354, 0, 1, 353.31, -999
20141120, 343.62, 348.96, 343.46, 347.54, 305300, 345.67, 0, 1, 344.645, -999
20141119, 347, 347.22, 343.2, 346.36, 325400, 344.5, 0, 1, 345.75, -999
20141118, 347.38, 348.71, 346.75, 347.94, 379900, 346.07, 0, 1, 346.725, -999
20141117, 346.38, 348.23, 345.65, 346.98, 286700, 345.12, 0, 1, 345.75, -999
20141114, 349.97, 350.1, 347.33, 347.71, 234900, 345.84, 0, 1, 347.905, -999
20141113, 350.32, 350.8, 346.1, 348.58, 395800, 346.71, 0, 1, 348.515, -999
20141112, 349.3, 350.98, 347.84, 349.9, 456700, 348.02, 0, 1, 348.66, -999
20141111, 351.56, 352.55, 350.23, 351.19, 323200, 349.3, 0, 1, 350.43, -999
20141110, 351.5, 351.92, 350.04, 350.7, 542900, 348.82, 0, 1, 350.16, -999
20141107, 348.26, 352.55, 346.16, 351.48, 732300, 349.59, 0, 1, 348.925, -999
20141106, 345.29, 348.25, 344.25, 347.63, 481700, 345.76, 0, 1, 345.525, -999
20141105, 345.75, 347.36, 343.82, 344.25, 691900, 342.4, 0, 1, 344.075, -999
20141104, 338.38, 342.89, 337.44, 341.53, 753700, 339.69, 0, 1, 339.035, -999
20141103, 342.94, 344, 337.05, 338.8, 669800, 336.98, 0, 1, 339.96, -999
20141031, 336.03, 342.22, 335.38, 341.11, 761400, 339.28, 0, 1, 337.655, -999
20141030, 330.02, 334.31, 330, 333.23, 601500, 331.44, 0, 1, 330.73, -999
20141029, 328.95, 332.83, 326.88, 331.99, 681700, 330.21, 0, 1, 329.58, -999
20141028, 327.17, 329.39, 325.86, 329.38, 406500, 327.61, 0, 1, 327.39, -999
20141027, 323.37, 325.26, 322.07, 324.79, 426000, 323.04, 0, 1, 323.205, -999
20141024, 321.63, 325.36, 321.43, 324.87, 378200, 323.12, 0, 1, 322.375, -999
20141023, 320.46, 324.2, 319.84, 322.08, 540400, 320.35, 0, 1, 320.405, -999
