Ticker: BLL  Created on: 12/6/2014 5:23:45 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 69.68, 69.95, 69.14, 69.44, 885200, 69.44, 0, 1, 69.56, -999
20141204, 69.49, 70.5, 69.06, 69.81, 1975400, 69.81, 0, 1, 69.65, -999
20141203, 67.85, 69.78, 67.53, 69.49, 1917900, 69.49, 0, 1, 68.67, -999
20141202, 67.48, 67.97, 67.17, 67.8, 1280300, 67.8, 0, 1, 67.64, -999
20141201, 67.05, 67.86, 66.57, 67.39, 1492800, 67.39, 0, 1, 67.22, -999
20141128, 66.6, 67.6, 66.6, 67.07, 643900, 67.07, 0, 1, 66.835, -999
20141126, 65.77, 66.35, 65.52, 66.29, 706600, 66.29, 0, 1, 66.03, -999
20141125, 65, 65.94, 64.81, 65.61, 876600, 65.48, 0, 1, 65.24, -999
20141124, 64.86, 65.32, 64.81, 64.97, 852300, 64.84, 0, 1, 64.85, -999
20141121, 65.71, 65.89, 64.54, 64.71, 1203200, 64.58, 0, 1, 65.145, -999
20141120, 64.44, 64.99, 64.09, 64.84, 1124600, 64.71, 0, 1, 64.575, -999
20141119, 65, 65, 64.36, 64.5, 990600, 64.37, 0, 1, 64.685, -999
20141118, 64.41, 65.38, 64.41, 64.93, 1018500, 64.8, 0, 1, 64.605, -999
20141117, 64, 64.63, 64, 64.41, 771100, 64.28, 0, 1, 64.14, -999
20141114, 65.1, 65.23, 64.13, 64.24, 1117900, 64.11, 0, 1, 64.605, -999
20141113, 65.45, 66.01, 64.92, 65.16, 1638400, 65.03, 0, 1, 65.24, -999
20141112, 65.84, 65.93, 65.02, 65.55, 715000, 65.42, 0, 1, 65.63, -999
20141111, 65.89, 66.28, 65.56, 65.89, 671900, 65.76, 0, 1, 65.825, -999
20141110, 64.81, 65.91, 64.81, 65.9, 926300, 65.77, 0, 1, 65.29, -999
20141107, 64.82, 65.36, 64.8, 64.97, 819200, 64.84, 0, 1, 64.83, -999
20141106, 64.48, 65.05, 64.36, 64.69, 867600, 64.56, 0, 1, 64.52, -999
20141105, 64.23, 64.56, 64.12, 64.5, 885000, 64.37, 0, 1, 64.3, -999
20141104, 63.53, 64.39, 63.39, 63.93, 1594300, 63.8, 0, 1, 63.665, -999
20141103, 64.23, 64.53, 63.13, 63.39, 1998200, 63.26, 0, 1, 63.745, -999
20141031, 63.92, 64.53, 63.45, 64.43, 1867200, 64.3, 0, 1, 64.11, -999
20141030, 64.04, 64.92, 62.9, 63.3, 2292900, 63.17, 0, 1, 63.605, -999
20141029, 66.6, 67.03, 65.71, 66.59, 2528500, 66.46, 0, 1, 66.53, -999
