Ticker: BMS  Created on: 12/6/2014 5:23:48 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.07, 41.46, 40.06, 41.2, 2827900, 41.2, 0, 1, 40.635, -999
20141204, 40.78, 41.43, 40.1, 40.1, 31073700, 40.1, 0, 1, 40.44, -999
20141203, 40.64, 40.81, 40.27, 40.7, 1274600, 40.7, 0, 1, 40.67, -999
20141202, 39.97, 40.72, 39.64, 40.59, 2304700, 40.59, 0, 1, 40.28, -999
20141201, 39.86, 40.43, 39.72, 40.07, 1040100, 40.07, 0, 1, 39.965, -999
20141128, 39.76, 40.25, 39.76, 39.94, 252200, 39.94, 0, 1, 39.85, -999
20141126, 39.69, 39.85, 39.48, 39.74, 421000, 39.74, 0, 1, 39.715, -999
20141125, 39.8, 39.93, 39.59, 39.73, 519600, 39.73, 0, 1, 39.765, -999
20141124, 39.58, 39.84, 39.53, 39.7, 546800, 39.7, 0, 1, 39.64, -999
20141121, 39.56, 39.82, 39.32, 39.52, 865300, 39.52, 0, 1, 39.54, -999
20141120, 38.83, 39.3, 38.83, 39.22, 412600, 39.22, 0, 1, 39.025, -999
20141119, 38.97, 39.2, 38.8, 39.03, 549300, 39.03, 0, 1, 39, -999
20141118, 38.85, 39.2, 38.82, 39.05, 630200, 39.05, 0, 1, 38.95, -999
20141117, 38.45, 38.94, 38.37, 38.82, 488400, 38.82, 0, 1, 38.635, -999
20141114, 38.99, 39.18, 38.42, 38.46, 605300, 38.46, 0, 1, 38.725, -999
20141113, 38.83, 39.13, 38.72, 39.04, 730200, 39.04, 0, 1, 38.935, -999
20141112, 38.99, 39.18, 38.7, 39.06, 549900, 38.79, 0, 1, 38.89, -999
20141111, 39.35, 39.47, 39.01, 39.1, 411500, 38.83, 0, 1, 39.09, -999
20141110, 39.2, 39.6, 39.14, 39.3, 689800, 39.03, 0, 1, 39.115, -999
20141107, 38.93, 39.24, 38.85, 39.21, 858900, 38.94, 0, 1, 38.935, -999
20141106, 38.85, 39.1, 38.57, 38.83, 722700, 38.56, 0, 1, 38.705, -999
20141105, 38.38, 38.85, 38.28, 38.8, 664200, 38.53, 0, 1, 38.455, -999
20141104, 38.06, 38.39, 37.91, 38.19, 749600, 37.93, 0, 1, 37.995, -999
20141103, 38.46, 38.82, 37.95, 38.06, 960600, 37.8, 0, 1, 38.13, -999
20141031, 38.4, 38.53, 38.06, 38.47, 1122500, 38.2, 0, 1, 38.3, -999
20141030, 37.67, 38.46, 37.63, 38.14, 1079700, 37.88, 0, 1, 37.775, -999
20141029, 38.68, 38.7, 37.69, 37.96, 2452600, 37.7, 0, 1, 38.19, -999
20141028, 38.63, 38.84, 38.3, 38.8, 860100, 38.53, 0, 1, 38.58, -999
20141027, 38.25, 38.83, 37.69, 38.46, 1459600, 38.19, 0, 1, 38.22, -999
20141024, 38.72, 39.19, 38.61, 38.96, 712600, 38.69, 0, 1, 38.705, -999
20141023, 35.1, 39.28, 34.34, 38.79, 1627800, 38.52, 0, 1, 36.81, -999
20141022, 39.87, 39.89, 38.8, 38.86, 1151100, 38.59, 0, 1, 39.23, -999
20141021, 38.84, 39.84, 38.63, 39.77, 716200, 39.5, 0, 1, 39.17, -999
20141020, 38.05, 38.65, 38.05, 38.65, 595400, 38.38, 0, 1, 38.215, -999
20141017, 37.92, 38.3, 37.83, 38.11, 828600, 37.85, 0, 1, 37.885, -999
20141016, 37.13, 37.75, 36.98, 37.66, 812100, 37.4, 0, 1, 37.265, -999
20141015, 37, 37.72, 36.7, 37.58, 770600, 37.32, 0, 1, 37.16, -999
20141014, 37.27, 37.72, 37.15, 37.43, 688300, 37.17, 0, 1, 37.22, -999
20141013, 37.98, 38.17, 37.14, 37.17, 792800, 36.91, 0, 1, 37.445, -999
20141010, 37.99, 38.38, 37.92, 38.11, 1273100, 37.85, 0, 1, 37.92, -999
20141009, 38.46, 38.71, 37.83, 37.9, 647600, 37.64, 0, 1, 38.05, -999
20141008, 37.6, 38.5, 37.53, 38.45, 772900, 38.18, 0, 1, 37.89, -999
20141007, 38.27, 38.29, 37.55, 37.56, 748700, 37.3, 0, 1, 37.785, -999
20141006, 38.59, 38.65, 38.24, 38.39, 454300, 38.12, 0, 1, 38.355, -999
20141003, 38.15, 38.61, 38.09, 38.5, 738600, 38.23, 0, 1, 38.19, -999
20141002, 37.76, 38.14, 37.66, 37.99, 699100, 37.73, 0, 1, 37.745, -999
20141001, 38, 38.09, 37.56, 37.69, 880400, 37.43, 0, 1, 37.715, -999
20140930, 38.27, 38.37, 37.72, 38.02, 641700, 37.76, 0, 1, 38.015, -999
20140929, 37.95, 38.47, 37.9, 38.28, 560700, 38.02, 0, 1, 37.985, -999
20140926, 38.01, 38.11, 37.85, 38.04, 401500, 37.78, 0, 1, 37.895, -999
20140925, 38.4, 38.44, 37.97, 38.02, 404200, 37.76, 0, 1, 38.08, -999
20140924, 38.15, 38.56, 38.1, 38.46, 447300, 38.19, 0, 1, 38.17, -999
20140923, 38.67, 38.7, 38.25, 38.27, 487800, 38.01, 0, 1, 38.34, -999
20140922, 39.2, 39.28, 38.76, 38.78, 477200, 38.51, 0, 1, 38.855, -999
20140919, 39.18, 39.31, 39.08, 39.17, 947800, 38.9, 0, 1, 39.04, -999
20140918, 39.16, 39.28, 38.95, 39.01, 310700, 38.74, 0, 1, 38.95, -999
20140917, 39.29, 39.39, 38.95, 39.05, 340700, 38.78, 0, 1, 39.035, -999
20140916, 39.29, 39.39, 39.09, 39.27, 324400, 39, 0, 1, 39.145, -999
20140915, 39.44, 39.59, 39.33, 39.36, 541100, 39.09, 0, 1, 39.265, -999
20140912, 39.99, 39.99, 39.39, 39.48, 438700, 39.21, 0, 1, 39.6, -999
20140911, 39.59, 40.12, 39.52, 39.97, 598900, 39.69, 0, 1, 39.64, -999
20140910, 39.81, 39.81, 39.3, 39.56, 589500, 39.29, 0, 1, 39.55, -999
20140909, 39.98, 40.06, 39.67, 39.82, 573500, 39.54, 0, 1, 39.76, -999
20140908, 40.63, 40.82, 40.18, 40.23, 606500, 39.95, 0, 1, 40.29, -999
20140905, 40.54, 40.84, 40.28, 40.83, 502600, 40.55, 0, 1, 40.545, -999
20140904, 40.78, 40.92, 40.6, 40.68, 453700, 40.4, 0, 1, 40.59, -999
20140903, 40.81, 40.9, 40.51, 40.71, 470600, 40.43, 0, 1, 40.62, -999
20140902, 40.71, 40.92, 40.63, 40.72, 388200, 40.44, 0, 1, 40.575, -999
20140829, 40.54, 40.78, 40.5, 40.74, 538800, 40.46, 0, 1, 40.5, -999
20140828, 40.13, 40.42, 40.13, 40.34, 277500, 40.06, 0, 1, 40.095, -999
20140827, 40.34, 40.53, 40.2, 40.35, 454400, 40.07, 0, 1, 40.205, -999
20140826, 40.5, 40.6, 40.23, 40.29, 412300, 40.01, 0, 1, 40.255, -999
20140825, 40.53, 40.73, 40.42, 40.52, 369000, 40.24, 0, 1, 40.385, -999
20140822, 40.55, 40.57, 40.25, 40.49, 427600, 40.21, 0, 1, 40.38, -999
20140821, 40.19, 40.58, 40.03, 40.51, 549600, 40.23, 0, 1, 40.21, -999
20140820, 40.21, 40.26, 39.98, 40.09, 381700, 39.81, 0, 1, 40.01, -999
20140819, 39.85, 40.26, 39.81, 40.21, 526000, 39.93, 0, 1, 39.89, -999
20140818, 39.86, 39.89, 39.62, 39.79, 525900, 39.51, 0, 1, 39.685, -999
20140815, 39.64, 39.86, 39.36, 39.69, 615900, 39.42, 0.27, 1, 39.53, -999
20140814, 39.88, 39.97, 39.7, 39.87, 499900, 39.33, 0, 1, 39.605, -999
20140813, 39.91, 39.98, 39.74, 39.86, 594200, 39.32, 0, 1, 39.615, -999
20140812, 39.6, 39.88, 39.57, 39.85, 448300, 39.31, 0, 1, 39.455, -999
20140811, 39.91, 40, 39.57, 39.63, 473400, 39.09, 0, 1, 39.5, -999
20140808, 39.36, 39.98, 39.13, 39.84, 553700, 39.3, 0, 1, 39.33, -999
20140807, 39.94, 39.94, 39.29, 39.38, 603700, 38.84, 0, 1, 39.39, -999
20140806, 39.37, 39.84, 39.32, 39.77, 536000, 39.23, 0, 1, 39.3, -999
20140805, 39.08, 39.48, 39.01, 39.45, 771000, 38.91, 0, 1, 38.995, -999
20140804, 39.22, 39.36, 38.9, 39.27, 437500, 38.73, 0, 1, 38.975, -999
20140801, 38.89, 39.3, 38.84, 39.1, 571600, 38.57, 0, 1, 38.73, -999
20140731, 39.16, 39.29, 38.97, 39.01, 736800, 38.48, 0, 1, 38.82, -999
20140730, 39.61, 39.89, 39.2, 39.39, 529100, 38.85, 0, 1, 39.23, -999
20140729, 40.09, 40.28, 39.6, 39.64, 621600, 39.1, 0, 1, 39.595, -999
20140728, 39.78, 40.16, 39.64, 40.12, 625600, 39.57, 0, 1, 39.675, -999
20140725, 39.61, 39.92, 39.59, 39.78, 514100, 39.24, 0, 1, 39.425, -999
20140724, 40.63, 40.63, 39.85, 39.93, 465100, 39.39, 0, 1, 40.01, -999
20140723, 39.67, 40.05, 39.59, 39.84, 632700, 39.3, 0, 1, 39.485, -999
20140722, 40.49, 40.49, 39.78, 39.84, 615500, 39.3, 0, 1, 39.895, -999
20140721, 40.22, 40.49, 40, 40.33, 597700, 39.78, 0, 1, 40, -999
20140718, 40.1, 40.54, 40.03, 40.53, 1036100, 39.98, 0, 1, 40.04, -999
20140717, 40.61, 40.63, 39.97, 40.02, 597200, 39.47, 0, 1, 40.04, -999
20140716, 40.85, 40.98, 40.54, 40.81, 492100, 40.25, 0, 1, 40.55, -999
20140715, 40.59, 40.92, 40.52, 40.75, 476000, 40.19, 0, 1, 40.39, -999
20140714, 40.59, 40.78, 40.5, 40.61, 439500, 40.06, 0, 1, 40.325, -999
20140711, 40.41, 40.62, 40.3, 40.46, 747000, 39.91, 0, 1, 40.16, -999
20140710, 39.95, 40.54, 39.77, 40.37, 866300, 39.82, 0, 1, 39.885, -999
20140709, 40.31, 40.39, 40, 40.15, 1000500, 39.6, 0, 1, 39.955, -999
20140708, 40.1, 40.45, 40.01, 40.33, 861200, 39.78, 0, 1, 39.94, -999
20140707, 40.36, 40.53, 40.2, 40.28, 734200, 39.73, 0, 1, 40.045, -999
20140703, 40.29, 40.42, 40.27, 40.37, 474100, 39.82, 0, 1, 40.055, -999
20140702, 40.84, 40.85, 40.16, 40.28, 598700, 39.73, 0, 1, 40.285, -999
20140701, 40.7, 41.02, 40.62, 40.86, 515700, 40.3, 0, 1, 40.5, -999
20140630, 40.76, 40.95, 40.44, 40.66, 702900, 40.11, 0, 1, 40.435, -999
20140627, 40.43, 41, 40.43, 40.74, 926700, 40.18, 0, 1, 40.305, -999
20140626, 40.54, 40.67, 40.24, 40.56, 371400, 40.01, 0, 1, 40.275, -999
20140625, 40.62, 40.86, 40.43, 40.55, 445000, 40, 0, 1, 40.31, -999
20140624, 40.59, 41.05, 40.55, 40.63, 380700, 40.08, 0, 1, 40.335, -999
