Ticker: BMY  Created on: 12/6/2014 5:23:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.96, 60.87, 58.79, 60.65, 11441100, 60.65, 0, 1, 59.805, -999
20141204, 59.06, 59.43, 58.6, 58.89, 4422200, 58.89, 0, 1, 58.975, -999
20141203, 59.26, 59.76, 58.92, 59.03, 4643500, 59.03, 0, 1, 59.145, -999
20141202, 59.18, 59.51, 58.88, 59.24, 4496000, 59.24, 0, 1, 59.21, -999
20141201, 59.21, 60.43, 58.85, 59.05, 7099000, 59.05, 0, 1, 59.13, -999
20141128, 58.79, 59.72, 58.79, 59.05, 3236100, 59.05, 0, 1, 58.92, -999
20141126, 58.69, 58.9, 58.36, 58.86, 3746700, 58.86, 0, 1, 58.775, -999
20141125, 58.82, 58.86, 58.09, 58.52, 5774800, 58.52, 0, 1, 58.67, -999
20141124, 58.92, 59, 58.5, 58.87, 3260700, 58.87, 0, 1, 58.895, -999
20141121, 59.47, 59.5, 58.66, 58.8, 5924500, 58.8, 0, 1, 59.135, -999
20141120, 58.42, 58.77, 58.29, 58.61, 5233600, 58.61, 0, 1, 58.515, -999
20141119, 58.58, 58.83, 58.22, 58.81, 6554200, 58.81, 0, 1, 58.695, -999
20141118, 58.3, 58.98, 58.16, 58.7, 6699600, 58.7, 0, 1, 58.5, -999
20141117, 57.73, 58.57, 57.72, 58.43, 4704100, 58.43, 0, 1, 58.08, -999
20141114, 57.54, 58.02, 57.35, 57.95, 5014900, 57.95, 0, 1, 57.745, -999
20141113, 58.22, 58.32, 57.43, 57.8, 7531100, 57.8, 0, 1, 58.01, -999
20141112, 58.68, 58.79, 58.28, 58.61, 3837400, 58.61, 0, 1, 58.645, -999
20141111, 58.68, 59.17, 58.51, 58.72, 4120500, 58.72, 0, 1, 58.7, -999
20141110, 58.16, 58.83, 57.72, 58.81, 4850300, 58.81, 0, 1, 58.485, -999
20141107, 58.26, 58.4, 58.01, 58.32, 4590200, 58.32, 0, 1, 58.29, -999
20141106, 57.65, 58.81, 57.52, 58.46, 9610800, 58.46, 0, 1, 58.055, -999
20141105, 57.97, 58.34, 57.38, 57.82, 4629100, 57.82, 0, 1, 57.895, -999
20141104, 57.72, 58.39, 57.59, 57.84, 6774400, 57.84, 0, 1, 57.78, -999
20141103, 58.31, 58.77, 57.35, 57.8, 11951400, 57.8, 0, 1, 58.055, -999
20141031, 58.52, 58.88, 57.32, 58.19, 18998900, 58.19, 0, 1, 58.355, -999
20141030, 55.72, 59.03, 55.61, 58.98, 28341200, 58.98, 0, 1, 57.35, -999
20141029, 54.15, 54.19, 53.62, 54.16, 6607000, 54.16, 0, 1, 54.155, -999
20141028, 53.78, 54.7, 53.76, 54.2, 10166800, 54.2, 0, 1, 53.99, -999
20141027, 53.67, 54, 53.09, 53.53, 7450700, 53.53, 0, 1, 53.6, -999
20141024, 52.56, 54.36, 52.48, 53.63, 9029200, 53.63, 0, 1, 53.095, -999
20141023, 52, 52.89, 52, 52.5, 7481400, 52.5, 0, 1, 52.25, -999
20141022, 52.01, 52.31, 51.67, 51.84, 6227200, 51.84, 0, 1, 51.925, -999
20141021, 51.01, 52.11, 50.76, 51.95, 6774300, 51.95, 0, 1, 51.48, -999
20141020, 50.38, 50.63, 50.06, 50.56, 5871000, 50.56, 0, 1, 50.47, -999
20141017, 49.57, 50.78, 49.41, 50.42, 9481500, 50.42, 0, 1, 49.995, -999
20141016, 48.87, 49.65, 48.56, 49.22, 7188200, 49.22, 0, 1, 49.045, -999
20141015, 48.36, 49.13, 47.55, 48.96, 7472400, 48.96, 0, 1, 48.66, -999
20141014, 49.35, 49.68, 48.61, 48.92, 4967600, 48.92, 0, 1, 49.135, -999
20141013, 50.24, 50.42, 48.97, 49.09, 5052500, 49.09, 0, 1, 49.665, -999
20141010, 49.77, 51.01, 49.77, 50.28, 8427700, 50.28, 0, 1, 50.025, -999
20141009, 50.19, 50.65, 49.47, 49.5, 6586600, 49.5, 0, 1, 49.845, -999
20141008, 49.94, 50.25, 49.12, 50.21, 6968100, 50.21, 0, 1, 50.075, -999
20141007, 50.66, 50.79, 49.75, 49.77, 6974800, 49.77, 0, 1, 50.215, -999
20141006, 51.07, 51.22, 50.54, 51.11, 5303400, 51.11, 0, 1, 51.09, -999
20141003, 50.51, 50.99, 50.4, 50.85, 5499300, 50.85, 0, 1, 50.68, -999
20141002, 50.53, 50.9, 50.01, 50.21, 5891400, 50.21, 0, 1, 50.37, -999
20141001, 51.01, 51.01, 50.25, 50.53, 6088900, 50.53, 0.36, 1, 50.77, -999
20140930, 51.7, 51.96, 51.14, 51.18, 6067000, 50.82, 0, 1, 51.26, -999
20140929, 50.8, 52.17, 50.7, 51.71, 6319400, 51.35, 0, 1, 51.075, -999
20140926, 51.78, 51.85, 50.64, 51.1, 5708800, 50.74, 0, 1, 51.26, -999
20140925, 51.92, 51.99, 51.47, 51.62, 6014100, 51.26, 0, 1, 51.59, -999
20140924, 51.35, 52.11, 51.33, 51.96, 7454000, 51.59, 0, 1, 51.47, -999
20140923, 51.28, 51.64, 50.83, 51.29, 4113300, 50.93, 0, 1, 51.105, -999
20140922, 51.5, 51.8, 51.45, 51.67, 4684800, 51.31, 0, 1, 51.405, -999
20140919, 51.44, 51.77, 51.38, 51.51, 7082700, 51.15, 0, 1, 51.295, -999
20140918, 51.05, 51.43, 50.92, 51.12, 4909500, 50.76, 0, 1, 50.905, -999
20140917, 51.09, 51.14, 50.58, 50.88, 5208400, 50.52, 0, 1, 50.805, -999
20140916, 49.98, 51.17, 49.7, 51.15, 7004500, 50.79, 0, 1, 50.385, -999
20140915, 50.19, 50.37, 49.75, 49.95, 3911700, 49.6, 0, 1, 49.895, -999
