Ticker: BRCM  Created on: 12/6/2014 5:23:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.54, 43.93, 43.15, 43.9, 6108600, 43.9, 0, 1, 43.72, -999
20141204, 43.29, 43.73, 43.05, 43.48, 6687900, 43.48, 0, 1, 43.385, -999
20141203, 42.92, 43.43, 42.73, 43.25, 4266200, 43.25, 0, 1, 43.085, -999
20141202, 42.73, 43.02, 42.56, 42.92, 4044500, 42.92, 0, 1, 42.825, -999
20141201, 42.65, 43.09, 42.4, 42.8, 3864000, 42.8, 0, 1, 42.725, -999
20141128, 43.29, 43.35, 42.85, 43.13, 2091900, 43.13, 0, 1, 43.21, -999
20141126, 42.32, 43.16, 42.23, 43.12, 6178900, 43.12, 0, 1, 42.72, -999
20141125, 42.55, 42.68, 42.25, 42.39, 3857700, 42.27, 0, 1, 42.41, -999
20141124, 42.23, 42.61, 42.19, 42.51, 4865800, 42.39, 0, 1, 42.31, -999
20141121, 42.53, 42.53, 41.78, 42.18, 6557000, 42.06, 0, 1, 42.295, -999
20141120, 41.76, 42.16, 41.57, 41.96, 3233700, 41.84, 0, 1, 41.8, -999
20141119, 42.52, 42.54, 41.84, 41.89, 3444000, 41.77, 0, 1, 42.145, -999
20141118, 42.06, 42.74, 42.01, 42.55, 4926200, 42.43, 0, 1, 42.245, -999
20141117, 41.92, 42.33, 41.83, 42.18, 4268400, 42.06, 0, 1, 41.99, -999
20141114, 41.97, 42.22, 41.46, 42.11, 5738000, 41.99, 0, 1, 41.98, -999
20141113, 41.82, 42.48, 41.74, 41.79, 7526200, 41.67, 0, 1, 41.745, -999
20141112, 41.18, 41.26, 40.86, 41.15, 3667600, 41.03, 0, 1, 41.105, -999
20141111, 41.16, 41.42, 41.1, 41.21, 3723200, 41.09, 0, 1, 41.125, -999
20141110, 41, 41.59, 40.86, 41.35, 4513500, 41.23, 0, 1, 41.115, -999
20141107, 41.54, 41.68, 40.8, 41.01, 5248600, 40.89, 0, 1, 41.215, -999
20141106, 41.6, 41.76, 41.22, 41.5, 5216400, 41.38, 0, 1, 41.49, -999
20141105, 41.72, 41.91, 41.37, 41.75, 4513800, 41.63, 0, 1, 41.675, -999
20141104, 41.59, 41.9, 41.45, 41.55, 5574800, 41.43, 0, 1, 41.51, -999
20141103, 41.88, 42.33, 41.44, 41.8, 7108900, 41.68, 0, 1, 41.78, -999
20141031, 41.18, 42.38, 41.18, 41.88, 10280700, 41.76, 0, 1, 41.47, -999
20141030, 40.32, 40.72, 39.73, 40.69, 5510200, 40.57, 0, 1, 40.445, -999
20141029, 40.36, 40.77, 40.06, 40.33, 5122200, 40.22, 0, 1, 40.29, -999
20141028, 39.99, 40.47, 39.83, 40.42, 4335400, 40.31, 0, 1, 40.15, -999
20141027, 39.68, 40, 39.43, 39.86, 3630900, 39.75, 0, 1, 39.715, -999
20141024, 39.45, 39.92, 39.15, 39.7, 4076500, 39.59, 0, 1, 39.52, -999
20141023, 39.71, 39.95, 39.17, 39.37, 7438200, 39.26, 0, 1, 39.485, -999
20141022, 40.16, 40.68, 39.35, 39.37, 13820100, 39.26, 0, 1, 39.71, -999
20141021, 36.55, 37.4, 36.5, 37.33, 7257500, 37.22, 0, 1, 36.885, -999
20141020, 35.75, 36.32, 35.48, 36.3, 4023500, 36.2, 0, 1, 35.975, -999
20141017, 36.26, 36.52, 35.68, 35.77, 7869000, 35.67, 0, 1, 35.965, -999
20141016, 34.79, 35.67, 34.73, 35.31, 7145000, 35.21, 0, 1, 35, -999
