Ticker: BSX  Created on: 12/6/2014 5:23:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 12.78, 12.92, 12.75, 12.91, 6528100, 12.91, 0, 1, 12.845, -999
20141204, 13.04, 13.04, 12.76, 12.78, 7583600, 12.78, 0, 1, 12.91, -999
20141203, 12.96, 13.06, 12.94, 13.04, 7927700, 13.04, 0, 1, 13, -999
20141202, 12.89, 13, 12.83, 12.94, 6727700, 12.94, 0, 1, 12.915, -999
20141201, 12.79, 13.04, 12.73, 12.89, 9980200, 12.89, 0, 1, 12.84, -999
20141128, 12.84, 12.94, 12.81, 12.87, 5447200, 12.87, 0, 1, 12.855, -999
20141126, 12.92, 13.01, 12.79, 12.81, 10995600, 12.81, 0, 1, 12.865, -999
20141125, 13.11, 13.22, 12.75, 12.86, 13598700, 12.86, 0, 1, 12.985, -999
20141124, 13.01, 13.15, 12.97, 13.14, 8030000, 13.14, 0, 1, 13.075, -999
20141121, 13.11, 13.14, 12.89, 12.94, 13105600, 12.94, 0, 1, 13.025, -999
20141120, 13.05, 13.05, 12.8, 12.95, 13982600, 12.95, 0, 1, 13, -999
20141119, 13.67, 13.68, 13.04, 13.09, 21932800, 13.09, 0, 1, 13.38, -999
20141118, 13.37, 13.76, 13.35, 13.68, 27529600, 13.68, 0, 1, 13.525, -999
20141117, 13.32, 13.43, 13.28, 13.38, 11966500, 13.38, 0, 1, 13.35, -999
20141114, 13.41, 13.52, 13.29, 13.36, 9229300, 13.36, 0, 1, 13.385, -999
20141113, 13.44, 13.55, 13.33, 13.41, 9621100, 13.41, 0, 1, 13.425, -999
20141112, 13.39, 13.46, 13.31, 13.41, 15560200, 13.41, 0, 1, 13.4, -999
20141111, 13.45, 13.48, 13.26, 13.41, 12611300, 13.41, 0, 1, 13.43, -999
20141110, 13.3, 13.46, 13.3, 13.45, 16469700, 13.45, 0, 1, 13.375, -999
20141107, 13.32, 13.36, 13.23, 13.24, 12553200, 13.24, 0, 1, 13.28, -999
20141106, 13.39, 13.42, 13.32, 13.36, 15675200, 13.36, 0, 1, 13.375, -999
20141105, 13.46, 13.46, 13.3, 13.33, 18702800, 13.33, 0, 1, 13.395, -999
20141104, 13.24, 13.3, 13.18, 13.26, 10239500, 13.26, 0, 1, 13.25, -999
20141103, 13.31, 13.35, 13.23, 13.3, 10502500, 13.3, 0, 1, 13.305, -999
20141031, 13.27, 13.38, 13.26, 13.28, 18025000, 13.28, 0, 1, 13.275, -999
20141030, 13.12, 13.22, 13.06, 13.18, 10052900, 13.18, 0, 1, 13.15, -999
20141029, 13.21, 13.3, 13.12, 13.14, 12750000, 13.14, 0, 1, 13.175, -999
20141028, 13.13, 13.27, 13.1, 13.21, 13080100, 13.21, 0, 1, 13.17, -999
20141027, 12.96, 13.15, 12.93, 13.1, 11774100, 13.1, 0, 1, 13.03, -999
20141024, 12.75, 13.06, 12.71, 12.99, 12397300, 12.99, 0, 1, 12.87, -999
20141023, 12.47, 12.73, 12.47, 12.71, 21460100, 12.71, 0, 1, 12.59, -999
20141022, 12.49, 12.65, 12.25, 12.32, 40322200, 12.32, 0, 1, 12.405, -999
20141021, 11.72, 12.05, 11.7, 12.03, 13140100, 12.03, 0, 1, 11.875, -999
20141020, 11.37, 11.61, 11.35, 11.61, 6051500, 11.61, 0, 1, 11.49, -999
20141017, 11.47, 11.56, 11.3, 11.37, 13678300, 11.37, 0, 1, 11.42, -999
20141016, 11.19, 11.52, 11.1, 11.45, 10614200, 11.45, 0, 1, 11.32, -999
20141015, 11.43, 11.5, 11.11, 11.44, 12214300, 11.44, 0, 1, 11.435, -999
20141014, 11.85, 11.94, 11.55, 11.56, 10881600, 11.56, 0, 1, 11.705, -999
20141013, 11.89, 12.05, 11.74, 11.74, 11006300, 11.74, 0, 1, 11.815, -999
20141010, 11.95, 12.2, 11.88, 11.92, 12127000, 11.92, 0, 1, 11.935, -999
20141009, 12.09, 12.21, 11.87, 11.92, 22081400, 11.92, 0, 1, 12.005, -999
20141008, 11.79, 12.15, 11.74, 12.14, 14098800, 12.14, 0, 1, 11.965, -999
20141007, 11.82, 11.94, 11.73, 11.78, 10541400, 11.78, 0, 1, 11.8, -999
20141006, 11.97, 12, 11.75, 11.93, 11060300, 11.93, 0, 1, 11.95, -999
20141003, 11.89, 11.98, 11.82, 11.93, 6024900, 11.93, 0, 1, 11.91, -999
20141002, 11.82, 11.9, 11.66, 11.85, 10095700, 11.85, 0, 1, 11.835, -999
20141001, 11.81, 11.85, 11.67, 11.8, 11237200, 11.8, 0, 1, 11.805, -999
20140930, 11.93, 11.95, 11.76, 11.81, 9022000, 11.81, 0, 1, 11.87, -999
20140929, 11.9, 12.04, 11.85, 11.92, 7170900, 11.92, 0, 1, 11.91, -999
20140926, 11.95, 12.08, 11.89, 12.03, 6205500, 12.03, 0, 1, 11.99, -999
20140925, 12.08, 12.15, 11.85, 11.95, 12174400, 11.95, 0, 1, 12.015, -999
20140924, 12.17, 12.26, 12.07, 12.15, 9327100, 12.15, 0, 1, 12.16, -999
20140923, 12.27, 12.28, 12.15, 12.17, 7891800, 12.17, 0, 1, 12.22, -999
