Ticker: BTU  Created on: 12/6/2014 5:25:39 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 8.83, 9.19, 8.76, 8.89, 11378700, 8.89, 0, 1, 8.86, -999
20141204, 9.18, 9.19, 8.73, 8.88, 19098200, 8.88, 0, 1, 9.03, -999
20141203, 9.4, 9.93, 9.15, 9.19, 19872700, 9.19, 0, 1, 9.295, -999
20141202, 9.43, 9.74, 9.3, 9.42, 14422100, 9.42, 0, 1, 9.425, -999
20141201, 10.02, 10.04, 9.29, 9.35, 22794900, 9.35, 0, 1, 9.685, -999
20141128, 10.49, 10.5, 10.03, 10.11, 11416300, 10.11, 0, 1, 10.3, -999
20141126, 11.05, 11.06, 10.73, 10.83, 7360000, 10.83, 0, 1, 10.94, -999
20141125, 11.14, 11.21, 10.87, 10.99, 16992800, 10.99, 0, 1, 11.065, -999
20141124, 11.41, 11.55, 11.03, 11.16, 9128300, 11.16, 0, 1, 11.285, -999
20141121, 11.48, 11.82, 11.3, 11.44, 12080700, 11.44, 0, 1, 11.46, -999
20141120, 10.65, 11.18, 10.62, 11.14, 9857000, 11.14, 0, 1, 10.895, -999
20141119, 11.16, 11.16, 10.61, 10.79, 13542400, 10.79, 0, 1, 10.975, -999
20141118, 11.48, 11.58, 11.18, 11.26, 7878400, 11.26, 0, 1, 11.37, -999
20141117, 11.38, 11.74, 11.14, 11.52, 14657500, 11.52, 0, 1, 11.45, -999
20141114, 10.89, 11.59, 10.89, 11.39, 14055400, 11.39, 0, 1, 11.14, -999
20141113, 11.56, 11.63, 10.85, 11.03, 10644000, 11.03, 0, 1, 11.295, -999
20141112, 10.99, 11.83, 10.88, 11.6, 20430500, 11.6, 0, 1, 11.295, -999
20141111, 11.33, 11.39, 11.02, 11.13, 8513800, 11.13, 0, 1, 11.23, -999
20141110, 11.8, 11.96, 11.21, 11.4, 14203100, 11.4, 0, 1, 11.6, -999
20141107, 10.88, 11.81, 10.81, 11.64, 20956000, 11.64, 0, 1, 11.26, -999
20141106, 10.94, 11.25, 10.8, 10.84, 17024000, 10.84, 0, 1, 10.89, -999
20141105, 10.5, 10.93, 10.26, 10.78, 17380000, 10.78, 0, 1, 10.64, -999
20141104, 10.44, 10.44, 10.05, 10.29, 15292400, 10.29, 0, 1, 10.365, -999
20141103, 10.5, 10.84, 10.37, 10.52, 11306000, 10.44, 0, 1, 10.47, -999
20141031, 10.27, 10.48, 9.98, 10.43, 9721400, 10.35, 0, 1, 10.31, -999
20141030, 10.29, 10.45, 10.15, 10.25, 8276400, 10.17, 0, 1, 10.23, -999
20141029, 10.5, 10.61, 10.15, 10.35, 9261800, 10.27, 0, 1, 10.385, -999
20141028, 10.22, 10.57, 10.15, 10.44, 17229400, 10.36, 0, 1, 10.29, -999
20141027, 10.2, 10.31, 9.91, 10.01, 11955400, 9.93, 0, 1, 10.065, -999
20141024, 10.44, 10.59, 10.29, 10.4, 9491400, 10.32, 0, 1, 10.38, -999
20141023, 10.38, 10.66, 10.28, 10.43, 9903900, 10.35, 0, 1, 10.365, -999
20141022, 10.84, 11.05, 10.27, 10.31, 12075700, 10.23, 0, 1, 10.535, -999
20141021, 10.62, 10.98, 10.45, 10.85, 14263600, 10.76, 0, 1, 10.69, -999
20141020, 11.24, 11.75, 10.31, 10.46, 17860900, 10.38, 0, 1, 10.81, -999
20141017, 11.49, 11.52, 10.76, 11.03, 14841200, 10.94, 0, 1, 11.215, -999
20141016, 10.45, 11.56, 10.38, 11.29, 18512000, 11.2, 0, 1, 10.825, -999
20141015, 10.46, 11.01, 10.06, 10.88, 22441200, 10.79, 0, 1, 10.625, -999
20141014, 10.42, 11.27, 10.22, 10.8, 15771300, 10.71, 0, 1, 10.565, -999
20141013, 10.3, 10.7, 10.16, 10.3, 15322600, 10.22, 0, 1, 10.26, -999
20141010, 10.18, 10.48, 10, 10.11, 13452700, 10.03, 0, 1, 10.105, -999
20141009, 11.15, 11.16, 10.15, 10.24, 18696500, 10.16, 0, 1, 10.655, -999
20141008, 10.95, 11.32, 10.58, 11.28, 14354100, 11.19, 0, 1, 11.07, -999
20141007, 11.25, 11.39, 10.91, 10.95, 8757100, 10.86, 0, 1, 11.055, -999
20141006, 11.21, 11.48, 11.03, 11.32, 10648600, 11.23, 0, 1, 11.22, -999
20141003, 11.67, 11.74, 11.05, 11.16, 16778300, 11.07, 0, 1, 11.37, -999
20141002, 11.86, 11.93, 11.26, 11.68, 13403900, 11.59, 0, 1, 11.725, -999
20141001, 12.31, 12.41, 11.74, 11.93, 12838000, 11.83, 0, 1, 12.07, -999
20140930, 11.98, 12.53, 11.92, 12.38, 16974100, 12.28, 0, 1, 12.13, -999
20140929, 12.01, 12.22, 11.88, 12.03, 9698300, 11.93, 0, 1, 11.97, -999
20140926, 12.25, 12.37, 12.01, 12.08, 8682700, 11.98, 0, 1, 12.115, -999
20140925, 12.63, 12.63, 12.15, 12.29, 13659000, 12.19, 0, 1, 12.41, -999
20140924, 12.94, 12.94, 12.5, 12.72, 11258000, 12.62, 0, 1, 12.78, -999
20140923, 13.02, 13.29, 12.85, 12.86, 13968700, 12.76, 0, 1, 12.89, -999
20140922, 13.19, 13.25, 12.65, 12.65, 14086300, 12.55, 0, 1, 12.87, -999
