Ticker: BWA  Created on: 12/6/2014 5:23:51 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.09, 58.24, 57.32, 57.47, 1156400, 57.47, 0, 1, 57.78, -999
20141204, 58.73, 58.73, 57.81, 58.03, 1197400, 58.03, 0, 1, 58.38, -999
20141203, 57.51, 58.82, 57.4, 58.75, 1507000, 58.75, 0, 1, 58.13, -999
20141202, 56.9, 57.37, 56.67, 57.25, 1336500, 57.25, 0, 1, 57.075, -999
20141201, 56.47, 56.98, 55.99, 56.82, 1585700, 56.82, 0, 1, 56.645, -999
20141128, 57.21, 57.24, 56.47, 56.56, 892500, 56.56, 0, 1, 56.885, -999
20141126, 56.98, 57.19, 56.45, 56.95, 1435900, 56.95, 0, 1, 56.965, -999
20141125, 58.24, 58.53, 57.15, 57.18, 1388100, 57.05, 0, 1, 57.645, -999
20141124, 58.44, 58.89, 57.63, 58.13, 1098200, 58, 0, 1, 58.22, -999
20141121, 58.27, 58.75, 58.12, 58.22, 1911500, 58.09, 0, 1, 58.18, -999
20141120, 56.63, 58.01, 56.48, 57.68, 1570900, 57.55, 0, 1, 57.09, -999
20141119, 57.19, 57.22, 56.43, 57.09, 2178400, 56.96, 0, 1, 57.075, -999
20141118, 56.27, 57.61, 56.27, 57.24, 2380900, 57.11, 0, 1, 56.69, -999
20141117, 55.15, 56.31, 54.99, 55.97, 1807300, 55.84, 0, 1, 55.495, -999
20141114, 55.24, 55.31, 54.71, 55.18, 3074500, 55.05, 0, 1, 55.145, -999
20141113, 55.45, 55.69, 55.18, 55.3, 2987600, 55.17, 0, 1, 55.31, -999
20141112, 55.19, 55.58, 55.07, 55.25, 3547200, 55.12, 0, 1, 55.155, -999
20141111, 56.16, 56.59, 55.39, 55.5, 3174500, 55.37, 0, 1, 55.765, -999
20141110, 57.41, 57.41, 55.76, 56.25, 3398600, 56.12, 0, 1, 56.765, -999
20141107, 58.68, 58.88, 57.35, 57.68, 1659800, 57.55, 0, 1, 58.115, -999
20141106, 57.39, 58.79, 57.34, 58.75, 1937400, 58.62, 0, 1, 58.005, -999
20141105, 56.26, 57.35, 56.01, 57.32, 1757000, 57.19, 0, 1, 56.725, -999
20141104, 56.68, 57, 55.27, 55.71, 1520500, 55.58, 0, 1, 56.13, -999
20141103, 56.49, 57.64, 56.49, 57.07, 2225500, 56.94, 0, 1, 56.715, -999
20141031, 55.52, 57.08, 55.22, 57.02, 3359400, 56.89, 0, 1, 56.205, -999
20141030, 54.38, 54.88, 52.8, 54.37, 6740600, 54.25, 0, 1, 54.315, -999
20141029, 57.37, 58, 56.38, 56.86, 1848600, 56.73, 0, 1, 57.05, -999
20141028, 55.62, 57.25, 55.41, 57.12, 1262300, 56.99, 0, 1, 56.305, -999
20141027, 55.89, 55.89, 54.8, 55.27, 1625500, 55.14, 0, 1, 55.515, -999
20141024, 56.73, 56.73, 55.73, 56.3, 1683400, 56.17, 0, 1, 56.45, -999
20141023, 56.18, 57.15, 56, 56.52, 1765400, 56.39, 0, 1, 56.285, -999
20141022, 56.52, 56.62, 55.59, 55.72, 1505300, 55.59, 0, 1, 56.055, -999
20141021, 55.19, 56.44, 54.99, 56.44, 1467500, 56.31, 0, 1, 55.75, -999
