Ticker: BXP  Created on: 12/6/2014 5:23:51 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 131.07, 131.45, 129.32, 131.39, 772500, 131.39, 0, 1, 131.23, -999
20141204, 131.25, 131.79, 130.41, 131.52, 872400, 131.52, 0, 1, 131.385, -999
20141203, 131.25, 131.43, 130.34, 131.08, 1191400, 131.08, 0, 1, 131.165, -999
20141202, 129.91, 131.72, 129.14, 131.49, 808100, 131.49, 0, 1, 130.7, -999
20141201, 129.48, 130.73, 129.18, 129.98, 951800, 129.98, 0, 1, 129.73, -999
20141128, 129.58, 131.15, 128.85, 129.64, 484400, 129.64, 0, 1, 129.61, -999
20141126, 128.73, 129.64, 128.48, 129.22, 823000, 129.22, 0, 1, 128.975, -999
20141125, 128.25, 129.1, 127.81, 128.54, 949300, 128.54, 0, 1, 128.395, -999
20141124, 128.83, 128.98, 127.91, 128.37, 707000, 128.37, 0, 1, 128.6, -999
20141121, 127.74, 128.39, 127.27, 128.38, 1665300, 128.38, 0, 1, 128.06, -999
20141120, 127.08, 127.88, 126.45, 127.01, 846100, 127.01, 0, 1, 127.045, -999
20141119, 127.43, 128.83, 127.07, 127.91, 1046900, 127.91, 0, 1, 127.67, -999
20141118, 126.69, 127.9, 126.26, 127.77, 849200, 127.77, 0, 1, 127.23, -999
20141117, 126.58, 127.24, 126.24, 126.43, 721800, 126.43, 0, 1, 126.505, -999
20141114, 127.64, 128.11, 126.04, 126.34, 624300, 126.34, 0, 1, 126.99, -999
20141113, 126.81, 127.94, 126.38, 127.84, 847400, 127.84, 0, 1, 127.325, -999
20141112, 128.29, 128.3, 126.47, 126.8, 776000, 126.8, 0, 1, 127.545, -999
20141111, 128.47, 128.52, 127.05, 127.64, 643300, 127.64, 0, 1, 128.055, -999
20141110, 127.67, 128.41, 127.4, 128.29, 722300, 128.29, 0, 1, 127.98, -999
20141107, 127.75, 128.31, 126.76, 127.82, 1416800, 127.82, 0, 1, 127.785, -999
20141106, 128.94, 129.39, 127.68, 127.92, 1173700, 127.92, 0, 1, 128.43, -999
20141105, 129.19, 129.61, 128.01, 128.85, 804000, 128.85, 0, 1, 129.02, -999
20141104, 128.81, 129.33, 127.97, 129.03, 943900, 129.03, 0, 1, 128.92, -999
20141103, 127.07, 128.69, 126.61, 128.69, 1484600, 128.69, 0, 1, 127.88, -999
20141031, 126, 126.92, 125.43, 126.75, 1159000, 126.75, 0, 1, 126.375, -999
20141030, 124.14, 125.6, 123.88, 125.57, 859600, 125.57, 0, 1, 124.855, -999
20141029, 124.63, 125.57, 122.88, 124.74, 1320800, 124.74, 0, 1, 124.685, -999
20141028, 122.85, 123.12, 121.91, 123.12, 789500, 123.12, 0, 1, 122.985, -999
20141027, 122, 123.02, 121.41, 122.9, 841900, 122.9, 0, 1, 122.45, -999
20141024, 121.92, 122.45, 121.33, 121.85, 755300, 121.85, 0, 1, 121.885, -999
20141023, 122.2, 122.69, 121.45, 121.9, 1057900, 121.9, 0, 1, 122.05, -999
20141022, 122.3, 122.8, 121.62, 121.77, 792200, 121.77, 0, 1, 122.035, -999
20141021, 121.29, 122.16, 120.44, 122.11, 829900, 122.11, 0, 1, 121.7, -999
20141020, 119.68, 120.94, 119.37, 120.92, 594400, 120.92, 0, 1, 120.3, -999
20141017, 118.89, 119.8, 117.57, 119.56, 1167500, 119.56, 0, 1, 119.225, -999
20141016, 118.51, 119.37, 117.46, 118.44, 1239100, 118.44, 0, 1, 118.475, -999
20141015, 120.26, 121.03, 118.11, 119.48, 1443100, 119.48, 0, 1, 119.87, -999
20141014, 119.67, 122.31, 119.3, 120.67, 947500, 120.67, 0, 1, 120.17, -999
20141013, 119.03, 120.79, 119.03, 119.3, 739500, 119.3, 0, 1, 119.165, -999
20141010, 119.14, 120.71, 119.04, 119.34, 818400, 119.34, 0, 1, 119.24, -999
20141009, 118.5, 119.85, 118.08, 118.78, 1214000, 118.78, 0, 1, 118.64, -999
20141008, 115.59, 118.62, 115.3, 118.59, 1397400, 118.59, 0, 1, 117.09, -999
20141007, 115.9, 116.71, 115.06, 115.1, 916700, 115.1, 0, 1, 115.5, -999
20141006, 116.54, 117.17, 115.89, 116.35, 624300, 116.35, 0, 1, 116.445, -999
20141003, 116.33, 116.82, 115.6, 116.44, 878200, 116.44, 0, 1, 116.385, -999
20141002, 115.76, 116.57, 115.44, 115.99, 829500, 115.99, 0, 1, 115.875, -999
20141001, 115.44, 117.03, 115.31, 115.98, 988200, 115.98, 0, 1, 115.71, -999
20140930, 115.9, 116.31, 114.86, 115.76, 1036500, 115.76, 0, 1, 115.83, -999
20140929, 115.67, 115.89, 114.32, 115.87, 1054600, 115.87, 0, 1, 115.77, -999
20140926, 112.84, 115.67, 112.75, 115.25, 984500, 115.25, 0.65, 1, 114.045, -999
20140925, 115.41, 115.53, 113.61, 113.66, 1379000, 113.01, 0, 1, 114.21, -999
20140924, 115.27, 117.03, 114.89, 115.11, 847800, 114.45, 0, 1, 114.86, -999
20140923, 116.18, 116.62, 115.3, 115.46, 739000, 114.8, 0, 1, 115.49, -999
20140922, 116.8, 117.57, 116.39, 116.48, 535600, 115.81, 0, 1, 116.305, -999
20140919, 117.99, 117.99, 116.99, 117.21, 984600, 116.54, 0, 1, 117.265, -999
20140918, 118.93, 118.93, 117.04, 117.36, 749300, 116.69, 0, 1, 117.81, -999
20140917, 117.26, 118.67, 117.09, 117.94, 1113500, 117.27, 0, 1, 117.265, -999
20140916, 114.99, 116.77, 114.44, 116.31, 781400, 115.64, 0, 1, 115.315, -999
20140915, 115.55, 116.05, 114.16, 114.86, 686300, 114.2, 0, 1, 114.875, -999
20140912, 119, 119.01, 114.55, 115.3, 1078900, 114.64, 0, 1, 116.82, -999
20140911, 118.91, 119.59, 118.53, 119.28, 452800, 118.6, 0, 1, 118.755, -999
20140910, 120.98, 121.04, 118.9, 119.05, 602900, 118.37, 0, 1, 119.675, -999
20140909, 122.33, 122.82, 121.11, 121.4, 357900, 120.71, 0, 1, 121.52, -999
20140908, 122.91, 123.33, 122.23, 122.66, 318500, 121.96, 0, 1, 122.435, -999
20140905, 120.78, 122.89, 120.78, 122.79, 571000, 122.09, 0, 1, 121.435, -999
20140904, 121.77, 122.37, 120.31, 120.67, 624100, 119.98, 0, 1, 120.875, -999
20140903, 121.73, 122.3, 121.23, 121.85, 520600, 121.15, 0, 1, 121.44, -999
20140902, 121.27, 121.89, 121.03, 121.23, 565300, 120.54, 0, 1, 120.905, -999
20140829, 121.27, 121.52, 120.67, 121.42, 814900, 120.73, 0, 1, 121, -999
20140828, 121.29, 121.67, 120.73, 121.07, 437900, 120.38, 0, 1, 120.835, -999
20140827, 121.35, 122.22, 121.18, 121.49, 449600, 120.8, 0, 1, 121.075, -999
20140826, 121.36, 121.96, 121.04, 121.14, 454200, 120.45, 0, 1, 120.905, -999
20140825, 122.72, 122.72, 120.83, 121.38, 422700, 120.69, 0, 1, 121.705, -999
20140822, 122.85, 123.34, 121.22, 121.98, 335000, 121.28, 0, 1, 122.065, -999
20140821, 123.41, 124.04, 122.71, 122.99, 470500, 122.29, 0, 1, 122.85, -999
20140820, 122.58, 123.8, 121.89, 123.41, 405600, 122.7, 0, 1, 122.64, -999
20140819, 122.55, 123.15, 121.79, 122.94, 381800, 122.24, 0, 1, 122.395, -999
20140818, 121.24, 122.5, 120.89, 122.42, 533900, 121.72, 0, 1, 121.48, -999
20140815, 121.34, 121.66, 120.31, 120.54, 598400, 119.85, 0, 1, 120.595, -999
20140814, 121.77, 122, 120.87, 120.93, 450100, 120.24, 0, 1, 121.005, -999
20140813, 120.75, 122.18, 120.54, 121.48, 453900, 120.79, 0, 1, 120.77, -999
20140812, 120.51, 120.97, 120.1, 120.51, 360900, 119.82, 0, 1, 120.165, -999
20140811, 120.61, 121.38, 120.16, 120.65, 482500, 119.96, 0, 1, 120.285, -999
20140808, 119.8, 120.12, 118.46, 120.05, 515600, 119.36, 0, 1, 119.58, -999
20140807, 119.17, 119.8, 118.43, 118.67, 456300, 117.99, 0, 1, 118.58, -999
20140806, 118.21, 119.23, 118.07, 118.96, 637100, 118.28, 0, 1, 118.245, -999
20140805, 119.18, 119.64, 117.76, 118.31, 710600, 117.63, 0, 1, 118.405, -999
20140804, 118.82, 120.24, 118.08, 119.82, 542600, 119.13, 0, 1, 118.975, -999
20140801, 119.52, 120.07, 118.72, 118.78, 518900, 118.1, 0, 1, 118.81, -999
20140731, 120.71, 121.29, 119.38, 119.45, 715100, 118.77, 0, 1, 119.74, -999
20140730, 120.35, 121.91, 120.25, 120.98, 700400, 120.29, 0, 1, 120.32, -999
20140729, 121.26, 121.35, 119.88, 120.51, 568700, 119.82, 0, 1, 120.54, -999
20140728, 120.47, 122, 120.37, 121.45, 604500, 120.76, 0, 1, 120.615, -999
20140725, 120.8, 121.25, 119.79, 120.08, 655200, 119.39, 0, 1, 120.095, -999
20140724, 121.54, 121.79, 120.72, 121.29, 601400, 120.6, 0, 1, 121.07, -999
20140723, 121.85, 121.85, 121.06, 121.21, 531400, 120.52, 0, 1, 121.185, -999
20140722, 121.55, 121.9, 121.35, 121.68, 659900, 120.98, 0, 1, 121.265, -999
20140721, 121.2, 121.6, 120.88, 121, 473800, 120.31, 0, 1, 120.755, -999
20140718, 120.7, 121.84, 120.45, 121.69, 543900, 120.99, 0, 1, 120.845, -999
20140717, 120.7, 121.11, 120.19, 120.32, 560000, 119.63, 0, 1, 120.165, -999
20140716, 120.55, 121.17, 120.24, 120.79, 418100, 120.1, 0, 1, 120.325, -999
20140715, 120.39, 120.72, 119.65, 120.45, 415000, 119.76, 0, 1, 120.075, -999
20140714, 119.52, 120.44, 119.19, 120.37, 660700, 119.68, 0, 1, 119.6, -999
20140711, 119.69, 119.69, 118.91, 119.42, 458500, 118.74, 0, 1, 119.215, -999
20140710, 117.93, 120.19, 117.93, 119.69, 736800, 119.01, 0, 1, 118.47, -999
20140709, 118.69, 118.9, 117.74, 118.63, 474900, 117.95, 0, 1, 118.32, -999
20140708, 118.53, 118.9, 118.19, 118.6, 526300, 117.92, 0, 1, 118.225, -999
20140707, 117.53, 118.8, 117.11, 118.56, 1041200, 117.88, 0, 1, 117.705, -999
20140703, 117.81, 117.99, 116.97, 117.38, 728200, 116.71, 0, 1, 117.26, -999
20140702, 118.17, 118.61, 117.59, 117.94, 630400, 117.27, 0, 1, 117.72, -999
20140701, 118.35, 119.12, 117.64, 118.52, 767100, 117.84, 0, 1, 118.095, -999
20140630, 118.23, 118.59, 117.33, 118.18, 694800, 117.5, 0, 1, 117.865, -999
20140627, 117.38, 118.53, 116.98, 118.53, 845800, 117.85, 0, 1, 117.615, -999
20140626, 117.45, 117.69, 116.86, 117.31, 656300, 116.64, 0.65, 1, 117.045, -999
20140625, 118.32, 118.88, 117.83, 118.32, 798600, 117, 0, 1, 117.66, -999
20140624, 118.02, 118.74, 117.54, 118.74, 979900, 117.41, 0, 1, 117.715, -999
20140623, 118.24, 118.88, 117.9, 118.25, 698000, 116.93, 0, 1, 117.585, -999
20140620, 118.15, 118.56, 117.15, 118.39, 1021400, 117.07, 0, 1, 117.61, -999
20140619, 117.19, 118.07, 116.64, 118.03, 856300, 116.71, 0, 1, 116.95, -999
20140618, 115.23, 117.19, 114.66, 116.95, 845700, 115.64, 0, 1, 115.435, -999
20140617, 115.59, 115.64, 114.4, 114.99, 1095900, 113.7, 0, 1, 114.645, -999
20140616, 116.98, 117.47, 115.64, 116, 878800, 114.7, 0, 1, 115.84, -999
20140613, 116.62, 117.25, 115.72, 116.81, 1082000, 115.5, 0, 1, 116.06, -999
20140612, 113.62, 117.04, 113.62, 116.25, 1363700, 114.95, 0, 1, 114.285, -999
20140611, 117.88, 118.14, 116.77, 117, 938200, 115.69, 0, 1, 116.785, -999
20140610, 119.4, 119.91, 117.71, 117.95, 905100, 116.63, 0, 1, 118.015, -999
20140609, 121.9, 122.4, 119.19, 119.74, 838100, 118.4, 0, 1, 120.15, -999
20140606, 121.94, 122, 121.3, 121.9, 668600, 120.54, 0, 1, 121.24, -999
20140605, 120.35, 122.03, 119.98, 121.95, 769400, 120.59, 0, 1, 120.47, -999
20140604, 119.73, 120.62, 119.18, 120.31, 529500, 118.96, 0, 1, 119.345, -999
20140603, 120.59, 120.81, 119.83, 119.99, 416600, 118.65, 0, 1, 119.62, -999
20140602, 120.47, 121.43, 120.2, 120.9, 507300, 119.55, 0, 1, 120.01, -999
20140530, 119.54, 120.68, 119.51, 120.68, 1143100, 119.33, 0, 1, 119.435, -999
20140529, 119.21, 119.6, 118.78, 119.48, 377900, 118.14, 0, 1, 118.675, -999
20140528, 120.13, 120.13, 118.45, 119.3, 465000, 117.97, 0, 1, 119.05, -999
20140527, 119, 120.44, 118.83, 120.43, 600200, 119.08, 0, 1, 119.04, -999
20140523, 118.67, 119.27, 118.36, 118.91, 676400, 117.58, 0, 1, 118.125, -999
20140522, 119.13, 119.41, 118.06, 118.26, 446800, 116.94, 0, 1, 118.035, -999
20140521, 120.9, 121.05, 119.09, 119.15, 505400, 117.82, 0, 1, 119.36, -999
20140520, 119.74, 120.33, 119.45, 119.8, 826600, 118.46, 0, 1, 119.1, -999
20140519, 119.88, 120.2, 118.7, 120, 776100, 118.66, 0, 1, 119.27, -999
20140516, 118.7, 120.18, 118.23, 120.14, 757500, 118.8, 0, 1, 118.75, -999
20140515, 118.68, 119.2, 117.6, 119.17, 865200, 117.84, 0, 1, 118.26, -999
20140514, 118.94, 119.11, 117.93, 118.78, 493600, 117.45, 0, 1, 118.195, -999
20140513, 120, 120.54, 118.3, 118.76, 585300, 117.43, 0, 1, 118.715, -999
20140512, 119.53, 119.99, 119.06, 119.79, 583600, 118.45, 0, 1, 118.99, -999
20140509, 119.66, 120.16, 118.64, 119.43, 683400, 118.09, 0, 1, 118.875, -999
20140508, 118.66, 119.5, 118.52, 119.06, 496000, 117.73, 0, 1, 118.195, -999
20140507, 117.74, 118.94, 117.22, 118.7, 688600, 117.37, 0, 1, 117.555, -999
20140506, 117.63, 117.9, 116.91, 117.06, 854200, 115.75, 0, 1, 116.69, -999
20140505, 117.49, 118.17, 117.23, 117.8, 711900, 116.48, 0, 1, 116.985, -999
20140502, 117.93, 118.97, 117.2, 117.85, 1194600, 116.53, 0, 1, 117.23, -999
20140501, 117.33, 118.37, 116.47, 118.23, 813800, 116.91, 0, 1, 117.12, -999
20140430, 118.29, 118.98, 116.56, 117.14, 1110400, 115.83, 0, 1, 117.06, -999
20140429, 118.32, 118.41, 117.22, 117.53, 600100, 116.22, 0, 1, 117.27, -999
20140428, 118.1, 118.46, 117.11, 118.3, 673300, 116.98, 0, 1, 117.54, -999
20140425, 118.12, 118.38, 116.98, 117.37, 455200, 116.06, 0, 1, 117.09, -999
20140424, 117.52, 118.36, 117.02, 118.22, 583400, 116.9, 0, 1, 117.21, -999
20140423, 118.02, 118.5, 116.96, 117.37, 835200, 116.06, 0, 1, 117.04, -999
20140422, 117.33, 118.26, 117.06, 118.01, 618900, 116.69, 0, 1, 117.01, -999
20140421, 118, 118.24, 117.12, 117.59, 677100, 116.28, 0, 1, 117.14, -999
20140417, 116.54, 117.49, 116.2, 117.43, 690700, 116.12, 0, 1, 116.33, -999
20140416, 117.11, 117.55, 115.89, 116.89, 1182500, 115.58, 0, 1, 116.345, -999
20140415, 115.48, 117.07, 115.35, 116.79, 1086800, 115.48, 0, 1, 115.48, -999
20140414, 115.84, 116.47, 114.24, 115.44, 775600, 114.15, 0, 1, 114.995, -999
20140411, 113.96, 116, 113.86, 115.35, 1291000, 114.06, 0, 1, 114.01, -999
20140410, 116.61, 117.28, 114.23, 114.45, 965200, 113.17, 0, 1, 114.89, -999
20140409, 117.28, 117.49, 116.01, 116.26, 969200, 114.96, 0, 1, 116.12, -999
20140408, 116.57, 117.41, 115.97, 117.26, 719700, 115.95, 0, 1, 116.26, -999
20140407, 116.2, 117.45, 115.64, 116.57, 1302800, 115.27, 0, 1, 115.735, -999
20140404, 114.79, 117, 114.79, 116.31, 782700, 115.01, 0, 1, 114.9, -999
20140403, 115.69, 115.92, 114.84, 115.5, 612600, 114.21, 0, 1, 114.95, -999
20140402, 115.36, 116.25, 114.9, 115.5, 787200, 114.21, 0, 1, 114.785, -999
20140401, 114.58, 115.76, 113.82, 115.71, 884100, 114.42, 0, 1, 114.5, -999
20140331, 114.2, 115.2, 113.2, 114.53, 685000, 113.25, 0, 1, 113.725, -999
20140328, 113.38, 114.19, 113.38, 113.89, 522600, 112.62, 0, 1, 113, -999
20140327, 111.63, 113.11, 111.39, 113.04, 776500, 111.78, 0.65, 1, 111.705, -999
20140326, 113.8, 113.92, 112.17, 112.34, 955000, 110.44, 0, 1, 112.12, -999
20140325, 113.61, 114.05, 112.88, 113.64, 482200, 111.72, 0, 1, 112.665, -999
20140324, 113.97, 114.14, 112.18, 113.16, 745800, 111.25, 0, 1, 112.61, -999
20140321, 113.87, 114.59, 112.67, 113.95, 1095000, 112.02, 0, 1, 112.945, -999
20140320, 111.45, 112.88, 110.49, 112.84, 891700, 110.93, 0, 1, 111.19, -999
20140319, 113.38, 114.44, 111.37, 112, 1119700, 110.11, 0, 1, 111.745, -999
