Ticker: CAG  Created on: 12/6/2014 5:24:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 36.4, 36.99, 36.4, 36.99, 2702100, 36.99, 0, 1, 36.695, -999
20141204, 36.63, 36.79, 36.38, 36.51, 1851600, 36.51, 0, 1, 36.57, -999
20141203, 36.68, 36.89, 36.31, 36.65, 3331600, 36.65, 0, 1, 36.665, -999
20141202, 36.42, 36.93, 36.41, 36.82, 2715900, 36.82, 0, 1, 36.62, -999
20141201, 36.35, 36.85, 36.29, 36.41, 1823800, 36.41, 0, 1, 36.38, -999
20141128, 35.98, 36.58, 35.92, 36.52, 1305500, 36.52, 0, 1, 36.25, -999
20141126, 35.49, 35.86, 35.49, 35.85, 1527900, 35.85, 0, 1, 35.67, -999
20141125, 35.5, 35.71, 35.45, 35.51, 3566100, 35.51, 0, 1, 35.505, -999
20141124, 35.62, 35.74, 35.42, 35.45, 1771300, 35.45, 0, 1, 35.535, -999
20141121, 35.75, 35.84, 35.43, 35.51, 2049800, 35.51, 0, 1, 35.63, -999
20141120, 35.47, 35.75, 35.45, 35.54, 2108800, 35.54, 0, 1, 35.505, -999
20141119, 35.62, 35.91, 35.4, 35.57, 3492000, 35.57, 0, 1, 35.595, -999
20141118, 34.97, 35.66, 34.75, 35.65, 4326700, 35.65, 0, 1, 35.31, -999
20141117, 34.71, 34.95, 34.7, 34.95, 1916400, 34.95, 0, 1, 34.83, -999
20141114, 34.72, 34.89, 34.59, 34.73, 1608900, 34.73, 0, 1, 34.725, -999
20141113, 34.67, 34.94, 34.58, 34.73, 1991400, 34.73, 0, 1, 34.7, -999
20141112, 34.2, 34.7, 34.07, 34.65, 2955600, 34.65, 0, 1, 34.425, -999
20141111, 34.43, 34.43, 34.11, 34.2, 1988400, 34.2, 0, 1, 34.315, -999
20141110, 34.63, 34.74, 34.39, 34.53, 2327800, 34.53, 0, 1, 34.58, -999
20141107, 34.5, 34.92, 34.23, 34.62, 4221400, 34.62, 0, 1, 34.56, -999
20141106, 34.39, 34.75, 34.36, 34.75, 3816500, 34.75, 0, 1, 34.57, -999
20141105, 34.63, 34.63, 34.15, 34.37, 2964500, 34.37, 0, 1, 34.5, -999
20141104, 34.48, 34.52, 34.31, 34.35, 2805900, 34.35, 0, 1, 34.415, -999
20141103, 34.22, 34.48, 34.17, 34.45, 2538100, 34.45, 0, 1, 34.335, -999
20141031, 34.29, 34.37, 34.15, 34.35, 3275100, 34.35, 0, 1, 34.32, -999
20141030, 33.6, 34.06, 33.4, 33.93, 3508300, 33.93, 0, 1, 33.765, -999
20141029, 34.06, 34.06, 33.2, 33.57, 4220800, 33.57, 0.25, 1, 33.815, -999
20141028, 34.17, 34.4, 34.1, 34.32, 2510700, 34.07, 0, 1, 34.12, -999
20141027, 34.15, 34.24, 33.97, 34.06, 1473300, 33.81, 0, 1, 33.98, -999
20141024, 34.07, 34.23, 33.98, 34.2, 1710200, 33.95, 0, 1, 34.01, -999
20141023, 34.23, 34.25, 33.86, 34.02, 2192600, 33.77, 0, 1, 34, -999
20141022, 34.03, 34.49, 34, 34.16, 2261700, 33.91, 0, 1, 33.97, -999
20141021, 34.27, 34.3, 33.86, 34.04, 4097200, 33.79, 0, 1, 34.03, -999
20141020, 33.53, 34.34, 33.53, 34.27, 6484600, 34.02, 0, 1, 33.775, -999
20141017, 33.44, 33.69, 33.07, 33.65, 4656900, 33.4, 0, 1, 33.42, -999
20141016, 33.25, 33.62, 33.01, 33.29, 4533000, 33.05, 0, 1, 33.15, -999
