Ticker: CAH  Created on: 12/6/2014 5:23:56 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 82.15, 82.57, 81.99, 82.23, 819800, 82.23, 0, 1, 82.19, -999
20141204, 82.01, 82.26, 81.37, 82.23, 1182500, 82.23, 0, 1, 82.12, -999
20141203, 82.17, 82.48, 81.79, 81.95, 1161600, 81.95, 0, 1, 82.06, -999
20141202, 82, 82.4, 81.81, 82.13, 1577900, 82.13, 0, 1, 82.065, -999
20141201, 81.81, 82.2, 81.43, 82, 1490900, 82, 0, 1, 81.905, -999
20141128, 81.76, 82.68, 81.71, 82.19, 642500, 82.19, 0, 1, 81.975, -999
20141126, 81.21, 81.7, 80.8, 81.5, 1231100, 81.5, 0, 1, 81.355, -999
20141125, 80.94, 81.17, 80.26, 80.98, 1531200, 80.98, 0, 1, 80.96, -999
20141124, 80.02, 81.07, 79.68, 80.97, 1842000, 80.97, 0, 1, 80.495, -999
20141121, 79.81, 80, 79.3, 79.55, 1809100, 79.55, 0, 1, 79.68, -999
20141120, 79.3, 79.49, 78.58, 78.87, 2319600, 78.87, 0, 1, 79.085, -999
20141119, 81.03, 81.04, 79.62, 79.73, 1836600, 79.73, 0, 1, 80.38, -999
20141118, 80.29, 81.23, 80.11, 81.01, 1219600, 81.01, 0, 1, 80.65, -999
20141117, 80.42, 80.86, 80.11, 80.36, 1555000, 80.36, 0, 1, 80.39, -999
20141114, 80.66, 80.97, 80.2, 80.35, 1622900, 80.35, 0, 1, 80.505, -999
20141113, 80.37, 81.01, 80.28, 80.66, 2233800, 80.66, 0, 1, 80.515, -999
20141112, 79.32, 80.41, 79.3, 80.24, 2618700, 80.24, 0, 1, 79.78, -999
20141111, 79.12, 80.06, 79.12, 79.6, 1485400, 79.6, 0, 1, 79.36, -999
20141110, 78.45, 79.11, 78.15, 79.09, 2082300, 79.09, 0, 1, 78.77, -999
20141107, 79.76, 79.81, 77.98, 78.27, 2255100, 78.27, 0, 1, 79.015, -999
20141106, 79.27, 79.81, 78.86, 79.6, 1544900, 79.6, 0, 1, 79.435, -999
20141105, 79.81, 79.99, 78.51, 78.91, 1605800, 78.91, 0, 1, 79.36, -999
