Ticker: CA  Created on: 12/6/2014 5:23:53 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 30.95, 31.1, 30.69, 30.82, 2695800, 30.82, 0, 1, 30.885, -999
20141204, 31.36, 31.4, 30.87, 30.88, 4525800, 30.88, 0, 1, 31.12, -999
20141203, 30.98, 31.41, 30.78, 31.37, 3528700, 31.37, 0, 1, 31.175, -999
20141202, 30.85, 31.12, 30.84, 31.01, 2913500, 31.01, 0, 1, 30.93, -999
20141201, 30.97, 31.24, 30.87, 30.89, 3057900, 30.89, 0, 1, 30.93, -999
20141128, 30.99, 31.24, 30.9, 31.15, 1215400, 31.15, 0, 1, 31.07, -999
20141126, 30.86, 31.01, 30.75, 30.86, 2538200, 30.86, 0, 1, 30.86, -999
20141125, 31.14, 31.19, 30.74, 30.86, 3764700, 30.86, 0, 1, 31, -999
20141124, 30.6, 30.99, 30.6, 30.99, 2935400, 30.99, 0, 1, 30.795, -999
20141121, 30.58, 30.85, 30.28, 30.63, 3331200, 30.63, 0, 1, 30.605, -999
20141120, 29.85, 30.19, 29.82, 30.1, 1817300, 30.1, 0, 1, 29.975, -999
20141119, 29.88, 30.11, 29.75, 30.02, 2667600, 30.02, 0, 1, 29.95, -999
20141118, 29.87, 30.16, 29.83, 30.01, 3428100, 30.01, 0, 1, 29.94, -999
20141117, 29.82, 30.12, 29.76, 30.07, 2004500, 29.82, 0, 1, 29.82, -999
20141114, 29.88, 30, 29.67, 29.95, 1947700, 29.7, 0, 1, 29.79, -999
20141113, 29.66, 30.11, 29.66, 29.81, 2599300, 29.56, 0, 1, 29.61, -999
20141112, 29.46, 29.67, 29.29, 29.63, 2640500, 29.38, 0, 1, 29.42, -999
20141111, 29.87, 29.98, 29.45, 29.58, 2486600, 29.33, 0, 1, 29.6, -999
20141110, 30.05, 30.22, 29.85, 29.93, 1910400, 29.68, 0, 1, 29.865, -999
20141107, 29.75, 30.07, 29.66, 30.05, 2706600, 29.8, 0, 1, 29.775, -999
20141106, 29.51, 29.75, 29.41, 29.68, 1758800, 29.43, 0, 1, 29.47, -999
20141105, 29.48, 29.61, 29.33, 29.47, 1956100, 29.22, 0, 1, 29.35, -999
20141104, 29.06, 29.46, 29.03, 29.38, 2233800, 29.14, 0, 1, 29.1, -999
20141103, 29.05, 29.38, 29.05, 29.17, 2413800, 28.93, 0, 1, 28.99, -999
20141031, 29.29, 29.29, 28.94, 29.06, 2597800, 28.82, 0, 1, 29.055, -999
20141030, 28.28, 28.69, 28.28, 28.63, 2619900, 28.39, 0, 1, 28.335, -999
20141029, 28.71, 28.83, 28.28, 28.49, 2189800, 28.25, 0, 1, 28.48, -999
20141028, 28.14, 28.63, 28.06, 28.63, 2952400, 28.39, 0, 1, 28.265, -999
20141027, 28.42, 28.65, 28.05, 28.09, 3880000, 27.86, 0, 1, 28.14, -999
20141024, 27.85, 28.45, 27.74, 28.43, 3795400, 28.19, 0, 1, 28.02, -999
20141023, 27.55, 28.09, 26.96, 27.75, 7994800, 27.52, 0, 1, 27.535, -999
20141022, 27.55, 27.72, 27.33, 27.41, 6123000, 27.18, 0, 1, 27.365, -999
20141021, 26.57, 27.62, 26.57, 27.56, 4721700, 27.33, 0, 1, 26.95, -999
