Ticker: CBS  Created on: 12/6/2014 5:23:58 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.83, 56.1, 54.63, 55.09, 9203400, 55.09, 0, 1, 54.96, -999
20141204, 54.92, 55.02, 54.45, 54.85, 4472300, 54.85, 0, 1, 54.885, -999
20141203, 54.33, 55.49, 53.98, 55.23, 6460500, 55.23, 0, 1, 54.78, -999
20141202, 54.64, 54.88, 54.27, 54.31, 3630900, 54.31, 0, 1, 54.475, -999
20141201, 54.56, 54.85, 54.04, 54.47, 4607800, 54.47, 0, 1, 54.515, -999
20141128, 54.43, 54.91, 54.07, 54.88, 2562600, 54.88, 0, 1, 54.655, -999
20141126, 54.73, 54.85, 54.07, 54.2, 4249500, 54.2, 0, 1, 54.465, -999
20141125, 53.67, 55.04, 53.48, 54.65, 7780200, 54.65, 0, 1, 54.16, -999
20141124, 53.78, 53.93, 53.33, 53.53, 6153500, 53.53, 0, 1, 53.655, -999
20141121, 54.06, 54.11, 53.24, 53.55, 9347800, 53.55, 0, 1, 53.805, -999
20141120, 53.05, 54.06, 52.93, 53.67, 7456900, 53.67, 0, 1, 53.36, -999
20141119, 52.35, 53.36, 52.17, 53.34, 6380200, 53.34, 0, 1, 52.845, -999
20141118, 52.4, 52.7, 52, 52.54, 7083600, 52.54, 0, 1, 52.47, -999
20141117, 53.28, 53.49, 52.82, 52.88, 6850900, 52.88, 0, 1, 53.08, -999
20141114, 52.06, 53.44, 51.96, 53.41, 8434100, 53.41, 0, 1, 52.735, -999
20141113, 51.76, 52.63, 51.63, 51.87, 5012700, 51.87, 0, 1, 51.815, -999
20141112, 51.59, 51.7, 51.11, 51.57, 7316900, 51.57, 0, 1, 51.58, -999
20141111, 52.05, 52.3, 51.57, 51.84, 5418800, 51.84, 0, 1, 51.945, -999
20141110, 51.66, 52.41, 51.36, 52.13, 8670100, 52.13, 0, 1, 51.895, -999
20141107, 51.77, 51.79, 50.91, 51.31, 13100500, 51.31, 0, 1, 51.54, -999
20141106, 53.71, 53.71, 50.52, 52.13, 15307600, 52.13, 0, 1, 52.92, -999
20141105, 53.02, 53.15, 51.7, 52.5, 11518900, 52.5, 0, 1, 52.76, -999
20141104, 53.4, 53.4, 51.32, 51.99, 14822600, 51.99, 0, 1, 52.695, -999
20141103, 54.65, 54.65, 54.13, 54.43, 5734100, 54.43, 0, 1, 54.54, -999
20141031, 54.85, 54.86, 53.47, 54.22, 6397100, 54.22, 0, 1, 54.535, -999
20141030, 53.81, 54.14, 53.47, 53.89, 3618500, 53.89, 0, 1, 53.85, -999
20141029, 53.93, 54.13, 53.46, 54.06, 3599800, 54.06, 0, 1, 53.995, -999
20141028, 53.74, 54.1, 53.59, 54.07, 4010700, 54.07, 0, 1, 53.905, -999
20141027, 53.42, 53.9, 53.2, 53.52, 3191900, 53.52, 0, 1, 53.47, -999
20141024, 53.36, 53.81, 53, 53.52, 3821700, 53.52, 0, 1, 53.44, -999
20141023, 53.49, 54.1, 53.1, 53.75, 5384300, 53.75, 0, 1, 53.62, -999
20141022, 54.51, 54.54, 52.74, 52.91, 7743700, 52.91, 0, 1, 53.71, -999
20141021, 53.71, 54.61, 53.64, 54.24, 6745400, 54.24, 0, 1, 53.975, -999
20141020, 52.97, 53.75, 52.88, 53.47, 8752300, 53.47, 0, 1, 53.22, -999
