Ticker: CB  Created on: 12/6/2014 5:24:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 103.68, 104.27, 103.41, 103.75, 784800, 103.75, 0, 1, 103.715, -999
20141204, 103.51, 103.87, 103.21, 103.61, 711500, 103.61, 0, 1, 103.56, -999
20141203, 103.32, 103.69, 103.09, 103.43, 888900, 103.43, 0, 1, 103.375, -999
20141202, 102.2, 103.54, 102.2, 103.38, 986000, 103.38, 0, 1, 102.79, -999
20141201, 102.88, 103.78, 102.67, 103.16, 693300, 103.16, 0, 1, 103.02, -999
20141128, 102.77, 103.78, 102.77, 103.05, 489200, 103.05, 0, 1, 102.91, -999
20141126, 102.44, 102.65, 102.2, 102.55, 745200, 102.55, 0, 1, 102.495, -999
20141125, 102.74, 102.9, 102.05, 102.39, 1142700, 102.39, 0, 1, 102.565, -999
20141124, 102.73, 103, 102.41, 102.76, 651200, 102.76, 0, 1, 102.745, -999
20141121, 103.21, 103.55, 102.24, 102.44, 1464900, 102.44, 0, 1, 102.825, -999
20141120, 101.67, 102.79, 101.58, 102.61, 832200, 102.61, 0, 1, 102.14, -999
20141119, 102.07, 102.36, 101.36, 102.18, 679300, 102.18, 0, 1, 102.125, -999
20141118, 101.51, 102.2, 101.25, 101.74, 644500, 101.74, 0, 1, 101.625, -999
20141117, 101.21, 101.7, 101.06, 101.55, 583800, 101.55, 0, 1, 101.38, -999
20141114, 101.6, 102.06, 100.99, 101.25, 619800, 101.25, 0, 1, 101.425, -999
20141113, 101.88, 101.94, 101.19, 101.47, 717800, 101.47, 0, 1, 101.675, -999
20141112, 101.31, 101.62, 100.95, 101.52, 664100, 101.52, 0, 1, 101.415, -999
20141111, 101.82, 102.15, 101.37, 101.49, 552800, 101.49, 0, 1, 101.655, -999
20141110, 101.62, 101.97, 101.18, 101.87, 1078100, 101.87, 0, 1, 101.745, -999
20141107, 100.4, 101.15, 100.19, 101.14, 875900, 101.14, 0, 1, 100.77, -999
20141106, 100.3, 100.72, 100.05, 100.6, 634700, 100.6, 0, 1, 100.45, -999
20141105, 100.01, 100.35, 99.62, 100.35, 597200, 100.35, 0, 1, 100.18, -999
20141104, 98.99, 99.9, 98.99, 99.6, 1070700, 99.6, 0, 1, 99.295, -999
20141103, 99.26, 99.49, 98.67, 98.9, 914400, 98.9, 0, 1, 99.08, -999
20141031, 99.56, 99.62, 98.89, 99.36, 1171100, 99.36, 0, 1, 99.46, -999
20141030, 97.56, 98.78, 97.47, 98.41, 976300, 98.41, 0, 1, 97.985, -999
20141029, 97.95, 98.58, 97.28, 97.84, 1059600, 97.84, 0, 1, 97.895, -999
20141028, 98.17, 98.31, 97.48, 97.95, 1067400, 97.95, 0, 1, 98.06, -999
20141027, 96.42, 97.95, 96.11, 97.61, 2033100, 97.61, 0, 1, 97.015, -999
20141024, 94.12, 96.54, 94.04, 96.43, 1810800, 96.43, 0, 1, 95.275, -999
20141023, 94.96, 95, 94.07, 94.26, 1294600, 94.26, 0, 1, 94.61, -999
20141022, 93.83, 94.97, 93.79, 94.15, 1217900, 94.15, 0, 1, 93.99, -999
20141021, 93.28, 94.11, 92.77, 94.02, 1080800, 94.02, 0, 1, 93.65, -999
20141020, 92.87, 93.11, 92.52, 92.97, 945800, 92.97, 0, 1, 92.92, -999
20141017, 92.11, 93.21, 91.58, 92.89, 1176400, 92.89, 0, 1, 92.5, -999
20141016, 90.64, 91.83, 90.53, 91.41, 983900, 91.41, 0, 1, 91.025, -999
20141015, 92.23, 92.24, 90.37, 91.94, 1560600, 91.94, 0, 1, 92.085, -999
20141014, 93.1, 93.75, 92.62, 92.89, 1522400, 92.89, 0, 1, 92.995, -999
20141013, 93.11, 94.14, 92.54, 92.57, 1210000, 92.57, 0, 1, 92.84, -999
20141010, 93, 94.39, 92.62, 93.41, 2198200, 93.41, 0, 1, 93.205, -999
20141009, 94.04, 94.28, 92.64, 92.66, 1947500, 92.66, 0, 1, 93.35, -999
20141008, 92.15, 94.1, 92.03, 94.04, 1990500, 94.04, 0, 1, 93.095, -999
20141007, 92.77, 92.95, 92.06, 92.06, 1309900, 92.06, 0, 1, 92.415, -999
20141006, 93.38, 93.8, 92.91, 93.08, 1019600, 93.08, 0, 1, 93.23, -999
20141003, 92.23, 93.31, 91.89, 93.24, 1474300, 93.24, 0, 1, 92.735, -999
20141002, 90.81, 91.88, 90.69, 91.51, 1111200, 91.51, 0, 1, 91.16, -999
