Ticker: CCE  Created on: 12/6/2014 5:24:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.59, 44.27, 43.56, 44.2, 2452600, 44.2, 0, 1, 43.895, -999
20141204, 43.81, 44.05, 43.54, 43.63, 1815500, 43.63, 0, 1, 43.72, -999
20141203, 44.6, 44.7, 43.36, 43.9, 3896100, 43.9, 0, 1, 44.25, -999
20141202, 43.49, 44.56, 43.44, 44.53, 2900400, 44.53, 0, 1, 44.01, -999
20141201, 43.63, 44.03, 43.5, 43.51, 1700300, 43.51, 0, 1, 43.57, -999
20141128, 43.89, 44.12, 43.73, 43.94, 761800, 43.94, 0, 1, 43.915, -999
20141126, 43.95, 44.1, 43.68, 43.8, 983700, 43.8, 0, 1, 43.875, -999
20141125, 43.98, 44.22, 43.85, 43.87, 2154100, 43.87, 0, 1, 43.925, -999
20141124, 43.73, 44.33, 43.73, 43.85, 2299400, 43.85, 0, 1, 43.79, -999
20141121, 44.45, 44.45, 43.63, 43.72, 2418500, 43.72, 0, 1, 44.085, -999
20141120, 43.4, 44.55, 43.34, 43.97, 3717400, 43.97, 0, 1, 43.685, -999
20141119, 43.27, 43.65, 43.21, 43.57, 2453700, 43.57, 0, 1, 43.42, -999
20141118, 43.28, 43.8, 43.08, 43.63, 2435400, 43.38, 0, 1, 43.33, -999
20141117, 42.39, 43.31, 42.28, 43.25, 1592800, 43, 0, 1, 42.695, -999
20141114, 42.62, 42.71, 42.04, 42.29, 1362500, 42.05, 0, 1, 42.335, -999
20141113, 42.94, 43.11, 42.45, 42.73, 882600, 42.49, 0, 1, 42.715, -999
20141112, 42.4, 42.96, 42.16, 42.86, 1349100, 42.61, 0, 1, 42.505, -999
20141111, 42.75, 42.85, 42.43, 42.55, 1313900, 42.31, 0, 1, 42.53, -999
20141110, 42.72, 42.81, 42.39, 42.62, 1043800, 42.38, 0, 1, 42.55, -999
20141107, 42.81, 42.98, 42.51, 42.72, 1530000, 42.48, 0, 1, 42.645, -999
20141106, 42.3, 42.96, 42.13, 42.86, 1954900, 42.61, 0, 1, 42.455, -999
20141105, 43.06, 43.06, 42, 42.19, 2286500, 41.95, 0, 1, 42.505, -999
20141104, 42.93, 42.93, 42.27, 42.49, 1966900, 42.25, 0, 1, 42.59, -999
20141103, 43.4, 43.52, 42.84, 42.96, 1640300, 42.71, 0, 1, 43.055, -999
20141031, 43.37, 43.68, 43.13, 43.35, 1982200, 43.1, 0, 1, 43.235, -999
20141030, 42.96, 43.34, 42.81, 43.13, 1441400, 42.88, 0, 1, 42.92, -999
20141029, 43.27, 43.37, 42.71, 43, 1485600, 42.75, 0, 1, 43.01, -999
20141028, 42.65, 43.32, 42.42, 43.31, 1916600, 43.06, 0, 1, 42.855, -999
20141027, 42.16, 42.68, 41.93, 42.38, 2528400, 42.14, 0, 1, 42.15, -999
20141024, 42.31, 42.58, 41.53, 42.38, 2818600, 42.14, 0, 1, 42.225, -999
20141023, 42.41, 43.36, 42.08, 42.2, 4602800, 41.96, 0, 1, 42.185, -999
20141022, 41.63, 41.86, 41.11, 41.32, 3832500, 41.08, 0, 1, 41.355, -999
20141021, 41.57, 41.97, 41.39, 41.65, 2726800, 41.41, 0, 1, 41.49, -999
20141020, 41.05, 42.11, 40.96, 41.91, 2548300, 41.67, 0, 1, 41.36, -999
20141017, 40.39, 41.37, 40.2, 41.11, 2238200, 40.87, 0, 1, 40.63, -999
20141016, 39.26, 40.4, 39.05, 40.01, 4718800, 39.78, 0, 1, 39.52, -999
20141015, 40, 40.23, 39.22, 40.01, 4338300, 39.78, 0, 1, 39.89, -999
20141014, 40.48, 40.74, 39.93, 40.49, 5900800, 40.26, 0, 1, 40.37, -999
20141013, 41.59, 41.62, 40.4, 40.44, 2809400, 40.21, 0, 1, 40.9, -999
20141010, 42.04, 42.22, 41.53, 41.54, 3206900, 41.3, 0, 1, 41.67, -999
20141009, 43.33, 43.46, 41.99, 42.04, 2587900, 41.8, 0, 1, 42.565, -999
20141008, 42.61, 43.36, 42.43, 43.33, 3696100, 43.08, 0, 1, 42.845, -999
20141007, 43.63, 43.69, 42.5, 42.55, 3844900, 42.31, 0, 1, 42.97, -999
20141006, 44.63, 44.85, 43.66, 43.84, 1585600, 43.59, 0, 1, 44.11, -999
20141003, 43.67, 44.2, 43.43, 44.08, 3247200, 43.83, 0, 1, 43.75, -999
