Ticker: CCI  Created on: 12/6/2014 5:24:12 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 79.93, 80.08, 79.05, 79.27, 3138000, 79.27, 0, 1, 79.6, -999
20141204, 79.98, 80.14, 79.73, 79.95, 1784500, 79.95, 0, 1, 79.965, -999
20141203, 80.12, 80.41, 79.64, 79.9, 1951100, 79.9, 0, 1, 80.01, -999
20141202, 80.71, 81.21, 79.59, 80.06, 5063600, 80.06, 0, 1, 80.385, -999
20141201, 82.81, 83.19, 82.15, 82.25, 3144800, 82.25, 0, 1, 82.53, -999
20141128, 82.46, 83.58, 82.46, 83.09, 1355000, 83.09, 0, 1, 82.775, -999
20141126, 82.56, 82.84, 82.14, 82.51, 2255800, 82.51, 0, 1, 82.535, -999
20141125, 82.17, 82.56, 81.77, 82.38, 2860000, 82.38, 0, 1, 82.275, -999
20141124, 81.91, 82.36, 81.73, 82.17, 5980900, 82.17, 0, 1, 82.04, -999
20141121, 81.76, 81.85, 81.21, 81.7, 2810800, 81.7, 0, 1, 81.73, -999
20141120, 80.97, 81.33, 80.6, 80.98, 3473800, 80.98, 0, 1, 80.975, -999
20141119, 80.42, 81, 80.27, 80.77, 1961000, 80.77, 0, 1, 80.595, -999
20141118, 80.19, 80.73, 79.34, 80.52, 1640500, 80.52, 0, 1, 80.355, -999
20141117, 80.05, 80.3, 79.86, 80.12, 1537800, 80.12, 0, 1, 80.085, -999
20141114, 80.17, 80.45, 79.92, 80.39, 1615600, 80.39, 0, 1, 80.28, -999
20141113, 80.57, 81.24, 80.14, 80.21, 3152900, 80.21, 0, 1, 80.39, -999
20141112, 79.21, 80.63, 78.88, 80.51, 4824800, 80.51, 0, 1, 79.86, -999
20141111, 80.09, 80.09, 79.4, 79.61, 2158600, 79.61, 0, 1, 79.85, -999
20141110, 79.21, 80.01, 78.95, 79.91, 3299300, 79.91, 0, 1, 79.56, -999
20141107, 79.8, 80, 79.06, 79.8, 2793100, 79.8, 0, 1, 79.8, -999
20141106, 79.43, 80.04, 79.35, 79.86, 4319700, 79.86, 0, 1, 79.645, -999
20141105, 79.15, 79.41, 78.27, 79.34, 8780700, 79.34, 0, 1, 79.245, -999
20141104, 78.95, 79.17, 77.69, 78.16, 4830700, 78.16, 0, 1, 78.555, -999
20141103, 78.71, 79.82, 78.28, 78.99, 5068400, 78.99, 0, 1, 78.85, -999
20141031, 81.49, 82.39, 76.16, 78.12, 27304700, 78.12, 0, 1, 79.805, -999
20141030, 82.09, 83.5, 82.09, 83.24, 3886200, 83.24, 0, 1, 82.665, -999
20141029, 83.54, 84.28, 82.44, 82.5, 3540900, 82.5, 0, 1, 83.02, -999
20141028, 84.91, 84.97, 83.2, 83.54, 3509700, 83.54, 0, 1, 84.225, -999
20141027, 84.82, 84.82, 83.97, 84.41, 2052600, 84.41, 0, 1, 84.615, -999
20141024, 84.31, 84.94, 84.09, 84.75, 1587300, 84.75, 0, 1, 84.53, -999
20141023, 83.95, 84.65, 83.39, 84.29, 4482400, 84.29, 0, 1, 84.12, -999
20141022, 84.53, 84.9, 83.52, 83.57, 3538200, 83.57, 0, 1, 84.05, -999
20141021, 83.11, 84.92, 82.94, 84.52, 7060100, 84.52, 0, 1, 83.815, -999
20141020, 80.58, 82.51, 80.45, 82.46, 1966700, 82.46, 0, 1, 81.52, -999
20141017, 79.79, 81.13, 79.74, 80.84, 2202700, 80.84, 0, 1, 80.315, -999
20141016, 78.76, 79.63, 78.29, 79.25, 2425400, 79.25, 0, 1, 79.005, -999
20141015, 80.18, 80.78, 77.88, 79.54, 5851100, 79.54, 0, 1, 79.86, -999
20141014, 79.76, 82.03, 79.75, 80.8, 4050900, 80.8, 0, 1, 80.28, -999
20141013, 79.37, 79.73, 78.44, 78.47, 2057400, 78.47, 0, 1, 78.92, -999
20141010, 80.55, 80.96, 79.25, 79.33, 2346300, 79.33, 0, 1, 79.94, -999
20141009, 81.58, 81.76, 79.98, 80.52, 4145600, 80.52, 0, 1, 81.05, -999
20141008, 81, 81.67, 80.49, 81.5, 3698200, 81.5, 0, 1, 81.25, -999
20141007, 81.1, 81.44, 80.66, 80.69, 2280500, 80.69, 0, 1, 80.895, -999
20141006, 81.48, 81.67, 81, 81.25, 1995100, 81.25, 0, 1, 81.365, -999
20141003, 80.73, 81.46, 80.41, 81.21, 3001200, 81.21, 0, 1, 80.97, -999
20141002, 80.05, 80.55, 79.36, 80.5, 2273400, 80.5, 0, 1, 80.275, -999
20141001, 80.77, 80.84, 79.51, 79.98, 2787500, 79.98, 0, 1, 80.375, -999
20140930, 79.87, 80.79, 79.76, 80.53, 2462800, 80.53, 0, 1, 80.2, -999
20140929, 79.32, 79.94, 79.08, 79.81, 1251700, 79.81, 0, 1, 79.565, -999
20140926, 79.25, 79.93, 78.88, 79.8, 1872500, 79.8, 0, 1, 79.525, -999
20140925, 79.37, 79.62, 78.39, 78.95, 3847100, 78.95, 0, 1, 79.16, -999
20140924, 79.34, 79.98, 79.16, 79.75, 2328200, 79.75, 0, 1, 79.545, -999
20140923, 78.59, 79.87, 78.44, 79.38, 2296800, 79.38, 0, 1, 78.985, -999
20140922, 79.42, 79.63, 78.52, 78.58, 1702500, 78.58, 0, 1, 79, -999
20140919, 80.49, 80.73, 79.68, 79.74, 2890000, 79.74, 0, 1, 80.115, -999
20140918, 80.1, 80.65, 79.54, 80.18, 3052700, 80.18, 0, 1, 80.14, -999
20140917, 79.14, 80.04, 78.92, 79.72, 3432700, 79.72, 0.35, 1, 79.43, -999
20140916, 78.2, 79.26, 78.09, 79.22, 1553500, 78.87, 0, 1, 78.535, -999
20140915, 78.85, 79.04, 78.02, 78.39, 1151500, 78.04, 0, 1, 78.445, -999
20140912, 80.25, 80.3, 78.42, 78.79, 3436500, 78.44, 0, 1, 79.345, -999
20140911, 79.83, 80.53, 79.55, 80.45, 1896300, 80.09, 0, 1, 79.96, -999
20140910, 79.45, 80, 79.07, 79.92, 1643700, 79.57, 0, 1, 79.51, -999
20140909, 80.33, 80.33, 79.18, 79.7, 1320000, 79.35, 0, 1, 79.84, -999
20140908, 80.71, 81, 80.19, 80.53, 791000, 80.17, 0, 1, 80.44, -999
20140905, 80.17, 80.76, 79.93, 80.64, 1267600, 80.28, 0, 1, 80.225, -999
20140904, 79.94, 80.65, 79.8, 80.24, 1145900, 79.89, 0, 1, 79.915, -999
20140903, 79.59, 80.29, 79.52, 79.97, 1147900, 79.62, 0, 1, 79.605, -999
20140902, 79.77, 79.8, 79.22, 79.53, 1180000, 79.18, 0, 1, 79.475, -999
20140829, 79.95, 79.95, 79.42, 79.51, 991200, 79.16, 0, 1, 79.555, -999
20140828, 79.62, 79.93, 79.25, 79.75, 907200, 79.4, 0, 1, 79.51, -999
20140827, 79.69, 80.18, 79.55, 79.72, 1630200, 79.37, 0, 1, 79.53, -999
20140826, 79.67, 79.89, 79.27, 79.57, 1478500, 79.22, 0, 1, 79.445, -999
20140825, 79.7, 79.85, 78.96, 79.56, 1426100, 79.21, 0, 1, 79.455, -999
20140822, 79.85, 80.25, 79.2, 79.48, 2151200, 79.13, 0, 1, 79.49, -999
20140821, 78.5, 80.52, 78.39, 80, 4409400, 79.65, 0, 1, 79.075, -999
20140820, 78.25, 78.67, 77.42, 78.55, 902400, 78.2, 0, 1, 78.225, -999
20140819, 78.59, 78.73, 78.18, 78.34, 1040100, 77.99, 0, 1, 78.29, -999
20140818, 78.9, 78.97, 78.36, 78.53, 1804100, 78.18, 0, 1, 78.54, -999
20140815, 78.17, 78.71, 77.82, 78.46, 2420400, 78.11, 0, 1, 78.14, -999
20140814, 77.9, 78.2, 77.56, 78.1, 1115200, 77.75, 0, 1, 77.825, -999
20140813, 77.54, 77.72, 76.99, 77.65, 2200600, 77.31, 0, 1, 77.425, -999
20140812, 77.58, 77.9, 77.22, 77.52, 2017400, 77.18, 0, 1, 77.38, -999
20140811, 77.45, 78.56, 77.28, 77.77, 2105700, 77.43, 0, 1, 77.44, -999
20140808, 76.69, 77.45, 76.36, 77.43, 2739400, 77.09, 0, 1, 76.89, -999
20140807, 76.16, 76.8, 75.83, 76.6, 3341100, 76.26, 0, 1, 76.21, -999
20140806, 73.92, 76.85, 73.92, 75.96, 4620000, 75.62, 0, 1, 74.77, -999
20140805, 72.61, 73.2, 72.61, 72.85, 1611500, 72.53, 0, 1, 72.57, -999
20140804, 73.65, 73.65, 72.53, 73.07, 1710400, 72.75, 0, 1, 73.2, -999
20140801, 74.24, 75.02, 73.41, 73.47, 1708000, 73.15, 0, 1, 73.695, -999
20140731, 74.3, 74.72, 73.76, 74.18, 2825400, 73.85, 0, 1, 74.075, -999
20140730, 74.74, 75.25, 73.93, 74.5, 1822700, 74.17, 0, 1, 74.455, -999
20140729, 75.19, 75.69, 74.29, 74.39, 2034300, 74.06, 0, 1, 74.625, -999
20140728, 73.29, 75.02, 73.17, 74.95, 2529800, 74.62, 0, 1, 73.955, -999
20140725, 73.25, 74.31, 73.01, 73.21, 5582300, 72.89, 0, 1, 73.07, -999
20140724, 76.5, 76.5, 73.45, 73.83, 5461400, 73.5, 0, 1, 75, -999
20140723, 75.46, 76.81, 75.46, 76.6, 2461300, 76.26, 0, 1, 75.86, -999
20140722, 75.44, 76.22, 75.21, 75.54, 1908100, 75.21, 0, 1, 75.325, -999
20140721, 74.63, 75.27, 74.46, 75.08, 1701500, 74.75, 0, 1, 74.69, -999
20140718, 74.27, 75.38, 74.12, 75, 2162600, 74.67, 0, 1, 74.47, -999
20140717, 74.41, 74.69, 73.84, 73.91, 1393700, 73.58, 0, 1, 73.995, -999
20140716, 74.5, 74.72, 73.97, 74.68, 2505000, 74.35, 0, 1, 74.425, -999
20140715, 74.99, 74.99, 73.72, 74.15, 1886000, 73.82, 0, 1, 74.405, -999
20140714, 74.79, 75.23, 74.75, 74.85, 984900, 74.52, 0, 1, 74.655, -999
20140711, 74.5, 74.88, 74.44, 74.6, 1397100, 74.27, 0, 1, 74.385, -999
20140710, 73.68, 74.92, 73.57, 74.49, 2965800, 74.16, 0, 1, 73.92, -999
20140709, 73.98, 74.43, 73.82, 74.17, 1724700, 73.84, 0, 1, 73.91, -999
20140708, 74, 74.4, 73.58, 73.95, 953100, 73.62, 0, 1, 73.81, -999
20140707, 74.05, 74.47, 73.89, 73.92, 1342600, 73.59, 0, 1, 73.82, -999
20140703, 75.55, 75.55, 73.54, 74.16, 823300, 73.83, 0, 1, 74.69, -999
20140702, 74.36, 74.5, 73.69, 74.09, 1405100, 73.76, 0, 1, 74.06, -999
20140701, 74.53, 74.86, 74.12, 74.67, 1822200, 74.34, 0, 1, 74.435, -999
20140630, 74.06, 74.47, 73.97, 74.26, 1860700, 73.93, 0, 1, 73.995, -999
20140627, 74.12, 74.91, 73.89, 74.24, 1740900, 73.91, 0, 1, 74.015, -999
20140626, 74.49, 74.76, 74.11, 74.31, 698800, 73.98, 0, 1, 74.235, -999
20140625, 74.12, 74.92, 73.73, 74.49, 1271800, 74.16, 0, 1, 74.14, -999
20140624, 73.78, 75.2, 73.78, 74.21, 1251600, 73.88, 0, 1, 73.83, -999
20140623, 73.98, 74.14, 73.63, 74.06, 993800, 73.73, 0, 1, 73.855, -999
20140620, 74.06, 74.56, 73.56, 74.03, 1690200, 73.7, 0, 1, 73.88, -999
20140619, 73.89, 74.03, 73.53, 73.99, 1355700, 73.66, 0, 1, 73.775, -999
20140618, 72.43, 73.7, 72.43, 73.59, 1770800, 73.26, 0.35, 1, 72.845, -999
20140617, 73.23, 73.58, 72.81, 73.26, 1667800, 72.59, 0, 1, 72.91, -999
20140616, 73.59, 73.81, 72.75, 73.26, 2425700, 72.59, 0, 1, 73.09, -999
20140613, 74.09, 74.38, 73.02, 73.8, 2095200, 73.12, 0, 1, 73.605, -999
20140612, 74.6, 74.85, 73.93, 74.35, 2125800, 73.67, 0, 1, 74.135, -999
20140611, 75.11, 75.34, 74.63, 74.84, 959900, 74.15, 0, 1, 74.63, -999
20140610, 75.41, 75.7, 74.99, 75.38, 1494900, 74.69, 0, 1, 75.05, -999
20140609, 75.65, 76.04, 75.56, 75.77, 1375200, 75.07, 0, 1, 75.36, -999
20140606, 76.03, 76.17, 75.58, 75.9, 1567700, 75.2, 0, 1, 75.615, -999
20140605, 75.65, 75.85, 74.99, 75.76, 2907700, 75.06, 0, 1, 75.355, -999
20140604, 75.65, 76.13, 75.41, 75.47, 1878500, 74.78, 0, 1, 75.215, -999
20140603, 76.31, 76.43, 75.4, 75.61, 1786800, 74.92, 0, 1, 75.615, -999
20140602, 76.84, 77.11, 76.18, 76.29, 2014500, 75.59, 0, 1, 76.215, -999
20140530, 76.51, 76.85, 76.42, 76.73, 2073700, 76.03, 0, 1, 76.27, -999
20140529, 76.68, 76.9, 76.03, 76.63, 1217500, 75.93, 0, 1, 76.305, -999
20140528, 76.09, 76.71, 76, 76.61, 839300, 75.91, 0, 1, 76, -999
20140527, 76.17, 76.7, 75.76, 76.42, 1173600, 75.72, 0, 1, 75.945, -999
20140523, 76.43, 76.6, 75.54, 76, 1722300, 75.3, 0, 1, 75.865, -999
20140522, 76.63, 76.82, 76.28, 76.39, 1599200, 75.69, 0, 1, 76.16, -999
20140521, 76.12, 76.79, 76.05, 76.56, 1711400, 75.86, 0, 1, 75.99, -999
20140520, 76.27, 76.66, 75.61, 75.94, 1105000, 75.24, 0, 1, 75.755, -999
20140519, 76.74, 76.88, 76.18, 76.37, 1485100, 75.67, 0, 1, 76.205, -999
20140516, 76.77, 77.42, 76.41, 76.8, 1579900, 76.1, 0, 1, 76.435, -999
20140515, 76.94, 77.09, 76.15, 76.82, 1639900, 76.12, 0, 1, 76.53, -999
20140514, 77.33, 77.51, 76.95, 77.28, 1820300, 76.57, 0, 1, 76.95, -999
20140513, 77.32, 77.6, 77.02, 77.23, 2123500, 76.52, 0, 1, 76.92, -999
20140512, 77.42, 77.61, 76.9, 77.34, 1661600, 76.63, 0, 1, 77.025, -999
20140509, 77.21, 77.5, 76.83, 77.24, 2207100, 76.53, 0, 1, 76.87, -999
20140508, 77.58, 77.95, 77.07, 77.2, 1911300, 76.49, 0, 1, 77.035, -999
20140507, 77.02, 77.82, 77, 77.7, 3237300, 76.99, 0, 1, 77.005, -999
20140506, 76.22, 76.82, 76.14, 76.7, 2502900, 76, 0, 1, 76.11, -999
20140505, 74.25, 76.5, 74.21, 76.46, 2591100, 75.76, 0, 1, 75.005, -999
20140502, 73.4, 75.65, 73.35, 74.57, 3503300, 73.89, 0, 1, 73.645, -999
20140501, 72.86, 73.59, 72.63, 73.54, 1842000, 72.87, 0, 1, 72.865, -999
20140430, 71.83, 72.78, 71.54, 72.73, 2586000, 72.06, 0, 1, 71.945, -999
20140429, 72.02, 72.49, 71.55, 71.8, 2174200, 71.14, 0, 1, 71.58, -999
20140428, 73.13, 73.14, 71.29, 71.73, 2530000, 71.07, 0, 1, 72.1, -999
20140425, 73.51, 73.57, 72.64, 72.78, 1935200, 72.11, 0, 1, 72.81, -999
20140424, 74.81, 75.04, 73.12, 73.84, 4182600, 73.16, 0, 1, 73.985, -999
20140423, 74.84, 74.97, 74.08, 74.85, 3159000, 74.16, 0, 1, 74.5, -999
20140422, 74.62, 75.27, 74.51, 75.01, 1697900, 74.32, 0, 1, 74.47, -999
20140421, 74.18, 74.75, 73.95, 74.75, 1915400, 74.06, 0, 1, 74.12, -999
20140417, 73.93, 74.46, 73.61, 73.92, 2176800, 73.24, 0, 1, 73.585, -999
20140416, 74.09, 74.52, 73.96, 74, 2745900, 73.32, 0, 1, 73.705, -999
20140415, 73.2, 73.5, 72.9, 73.5, 2037600, 72.83, 0, 1, 73.015, -999
20140414, 72.65, 73.91, 72.49, 73.04, 1852700, 72.37, 0, 1, 72.51, -999
20140411, 73.06, 73.22, 72, 72.1, 2326100, 71.44, 0, 1, 72.25, -999
20140410, 74.38, 75.33, 73.35, 73.37, 3138900, 72.7, 0, 1, 73.54, -999
20140409, 74.65, 75.18, 74.04, 74.45, 1660500, 73.77, 0, 1, 74.21, -999
20140408, 74.07, 75.17, 74.07, 74.61, 2701800, 73.93, 0, 1, 74, -999
20140407, 74.64, 75.05, 74.09, 74.4, 3359500, 73.72, 0, 1, 74.18, -999
20140404, 75.38, 75.48, 74.4, 74.75, 2842000, 74.06, 0, 1, 74.72, -999
20140403, 74.9, 75.2, 74.39, 75.06, 1302400, 74.37, 0, 1, 74.635, -999
20140402, 74.6, 75.22, 74.52, 74.63, 1535900, 73.95, 0, 1, 74.275, -999
20140401, 74.13, 74.9, 74, 74.76, 1734700, 74.07, 0, 1, 74.1, -999
20140331, 75.08, 75.16, 73.71, 73.78, 2511100, 73.1, 0, 1, 74.09, -999
20140328, 75.18, 75.54, 74.44, 74.61, 1432700, 73.93, 0, 1, 74.555, -999
20140327, 73.51, 75.33, 73.32, 75.18, 2612100, 74.49, 0, 1, 74, -999
20140326, 74.07, 74.44, 73.41, 73.42, 1312300, 72.75, 0, 1, 73.41, -999
20140325, 74.28, 74.77, 73.16, 73.69, 1828500, 73.01, 0, 1, 73.645, -999
20140324, 74.05, 74.71, 72.81, 74.13, 1745800, 73.45, 0, 1, 73.75, -999
20140321, 74.65, 74.82, 73.4, 73.7, 3586200, 73.02, 0, 1, 73.835, -999
20140320, 73.51, 74.52, 73.15, 74.17, 1223800, 73.49, 0, 1, 73.5, -999
20140319, 74.98, 75.33, 73.38, 73.67, 1469600, 72.99, 0, 1, 73.985, -999
20140318, 74.8, 75.31, 74.56, 74.82, 1279800, 74.13, 0.35, 1, 74.465, -999
20140317, 75, 75.47, 74.73, 74.88, 1926800, 73.85, 0, 1, 74.425, -999
20140314, 75.01, 75.86, 74.88, 74.94, 1227800, 73.91, 0, 1, 74.46, -999
20140313, 75.85, 75.93, 74.96, 75.18, 2190000, 74.14, 0, 1, 74.995, -999
20140312, 74.91, 75.8, 74.82, 75.74, 2186200, 74.69, 0, 1, 74.8, -999
20140311, 74.72, 75.43, 74.56, 75.11, 1930300, 74.07, 0, 1, 74.395, -999
20140310, 74.54, 75.1, 74.22, 74.74, 2257100, 73.71, 0, 1, 74.125, -999
20140307, 74.92, 74.97, 73.12, 74.63, 3121700, 73.6, 0, 1, 74.26, -999
20140306, 74.53, 75.08, 74.37, 74.9, 2542100, 73.87, 0, 1, 74.2, -999
20140305, 74.91, 74.91, 73.83, 74.51, 3293400, 73.48, 0, 1, 74.195, -999
20140304, 75.41, 75.89, 74.34, 74.8, 2912200, 73.77, 0, 1, 74.59, -999
20140303, 75.08, 75.44, 74.03, 74.75, 2232800, 73.72, 0, 1, 74.4, -999
