Ticker: CCL  Created on: 12/6/2014 5:23:57 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.89, 44.74, 43.81, 44.62, 4399800, 44.62, 0, 1, 44.255, -999
20141204, 43.07, 43.59, 42.89, 43.58, 3975200, 43.58, 0, 1, 43.325, -999
20141203, 42.63, 43.16, 42.4, 43.03, 5087000, 43.03, 0, 1, 42.83, -999
20141202, 42.84, 43.02, 42.51, 42.84, 5449800, 42.84, 0, 1, 42.84, -999
20141201, 43.75, 43.78, 41.86, 42.39, 6841600, 42.39, 0, 1, 43.07, -999
20141128, 43.55, 44.44, 43.44, 44.16, 4318300, 44.16, 0, 1, 43.855, -999
20141126, 42.13, 42.17, 41.85, 42.12, 1642900, 42.12, 0, 1, 42.125, -999
20141125, 42.2, 42.4, 41.94, 42.26, 2882900, 42.26, 0, 1, 42.23, -999
20141124, 41.96, 42.06, 41.81, 41.99, 2569500, 41.99, 0, 1, 41.975, -999
20141121, 41.72, 41.87, 41.45, 41.57, 3728700, 41.57, 0, 1, 41.645, -999
20141120, 41.43, 41.78, 41.38, 41.6, 2137100, 41.6, 0, 1, 41.515, -999
20141119, 41.76, 41.88, 41.52, 41.59, 4427100, 41.59, 0, 1, 41.675, -999
20141118, 41.61, 42.5, 41.56, 42.27, 3545700, 42.02, 0, 1, 41.815, -999
20141117, 41.52, 41.64, 41.19, 41.51, 2669400, 41.26, 0, 1, 41.39, -999
20141114, 40.8, 41.57, 40.66, 41.5, 2872100, 41.25, 0, 1, 41.025, -999
20141113, 40.76, 41.14, 40.55, 40.9, 3638300, 40.66, 0, 1, 40.71, -999
20141112, 40.32, 40.52, 40.12, 40.43, 2837900, 40.19, 0, 1, 40.255, -999
20141111, 40.82, 40.83, 40.4, 40.63, 3509800, 40.39, 0, 1, 40.605, -999
20141110, 40.33, 40.37, 40.01, 40.31, 3043700, 40.07, 0, 1, 40.2, -999
20141107, 39.92, 40.4, 39.88, 40.4, 4076800, 40.16, 0, 1, 40.04, -999
20141106, 40.09, 40.57, 39.93, 40.57, 4279300, 40.33, 0, 1, 40.21, -999
20141105, 40.16, 40.2, 39.67, 39.99, 2906700, 39.75, 0, 1, 39.955, -999
20141104, 40.28, 40.28, 39.61, 39.97, 2510000, 39.73, 0, 1, 40.005, -999
20141103, 40.15, 40.35, 39.94, 40.07, 2839700, 39.83, 0, 1, 39.99, -999
20141031, 40.42, 40.52, 39.91, 40.15, 3735400, 39.91, 0, 1, 40.165, -999
20141030, 39.01, 40.1, 39.01, 40.07, 5302600, 39.83, 0, 1, 39.42, -999
20141029, 39.26, 39.59, 39, 39.38, 4039100, 39.15, 0, 1, 39.205, -999
20141028, 38.62, 39.09, 38.28, 39.09, 3785500, 38.86, 0, 1, 38.74, -999
20141027, 38.38, 38.63, 38.07, 38.33, 3205800, 38.1, 0, 1, 38.24, -999
20141024, 37.49, 38.6, 37.44, 38.52, 4473400, 38.29, 0, 1, 37.89, -999
20141023, 37.65, 38.28, 37.25, 37.83, 7430300, 37.61, 0, 1, 37.63, -999
20141022, 37.4, 38.44, 37.36, 37.76, 5696800, 37.54, 0, 1, 37.47, -999
20141021, 36.85, 38.01, 36.61, 38, 8699800, 37.78, 0, 1, 37.315, -999
20141020, 35.36, 36.14, 35.25, 35.92, 6960800, 35.71, 0, 1, 35.535, -999
20141017, 34.1, 35.37, 34.02, 34.92, 10288600, 34.71, 0, 1, 34.405, -999
20141016, 34.02, 35.11, 33.89, 34.69, 9474400, 34.48, 0, 1, 34.25, -999
20141015, 34.41, 34.99, 33.11, 34.41, 16257500, 34.21, 0, 1, 34.31, -999
20141014, 34.63, 35.34, 34.4, 34.64, 9873200, 34.44, 0, 1, 34.535, -999
20141013, 35.82, 35.82, 33.74, 33.88, 9915600, 33.68, 0, 1, 34.75, -999
20141010, 35.64, 36.33, 35.43, 35.51, 6236500, 35.3, 0, 1, 35.47, -999
20141009, 37.43, 37.71, 35.65, 35.67, 10500800, 35.46, 0, 1, 36.445, -999
20141008, 37.44, 37.74, 36.66, 37.67, 6118600, 37.45, 0, 1, 37.445, -999
20141007, 38.85, 38.89, 37.32, 37.34, 9767100, 37.12, 0, 1, 37.985, -999
20141006, 39.91, 40.12, 39.47, 39.5, 6188700, 39.27, 0, 1, 39.59, -999
20141003, 38.94, 39.72, 38.82, 39.58, 3655500, 39.35, 0, 1, 39.145, -999
20141002, 39.1, 39.12, 37.67, 38.58, 9583500, 38.35, 0, 1, 38.725, -999
20141001, 40, 40.05, 39.06, 39.14, 4786400, 38.91, 0, 1, 39.455, -999
20140930, 40.33, 40.5, 40.15, 40.17, 3092800, 39.93, 0, 1, 40.13, -999
20140929, 40.57, 40.73, 40.3, 40.4, 3584100, 40.16, 0, 1, 40.365, -999
20140926, 40.5, 40.96, 40.42, 40.87, 2590800, 40.63, 0, 1, 40.565, -999
20140925, 40.91, 41.19, 40.46, 40.46, 4341200, 40.22, 0, 1, 40.565, -999
20140924, 40.5, 41.16, 40.28, 41.12, 6976300, 40.88, 0, 1, 40.69, -999
20140923, 42.04, 42.31, 39.93, 40.51, 14964600, 40.27, 0, 1, 41.155, -999
20140922, 40.46, 40.53, 40.22, 40.34, 5160600, 40.1, 0, 1, 40.28, -999
20140919, 40.62, 41.16, 40.43, 40.72, 8677200, 40.48, 0, 1, 40.55, -999
20140918, 39.83, 40.12, 39.82, 40.11, 3395000, 39.87, 0, 1, 39.85, -999
20140917, 39.5, 39.87, 39.43, 39.71, 3042000, 39.48, 0, 1, 39.49, -999
20140916, 39.14, 39.66, 39.06, 39.5, 3078500, 39.27, 0, 1, 39.205, -999
20140915, 39.1, 39.43, 38.98, 39.41, 3266500, 39.18, 0, 1, 39.14, -999
20140912, 39.39, 39.39, 39, 39.18, 2506500, 38.95, 0, 1, 39.17, -999
20140911, 38.73, 39.29, 38.71, 39.28, 2766200, 39.05, 0, 1, 38.89, -999
20140910, 38.69, 38.9, 38.5, 38.87, 2840900, 38.64, 0, 1, 38.665, -999
20140909, 39.07, 39.19, 38.57, 38.68, 3434000, 38.45, 0, 1, 38.76, -999
20140908, 38.96, 39.17, 38.79, 39.12, 2441800, 38.89, 0, 1, 38.925, -999
20140905, 38.92, 39.35, 38.74, 39.33, 3093000, 39.1, 0, 1, 39.01, -999
20140904, 38.42, 39.34, 38.41, 39.09, 4097400, 38.86, 0, 1, 38.64, -999
20140903, 38.08, 38.38, 38.08, 38.21, 2290700, 37.98, 0, 1, 38.03, -999
20140902, 37.73, 38.02, 37.6, 37.95, 2956500, 37.73, 0, 1, 37.73, -999
20140829, 37.35, 37.9, 37.11, 37.88, 2926200, 37.66, 0, 1, 37.505, -999
20140828, 37.47, 37.56, 37.23, 37.27, 2045800, 37.05, 0, 1, 37.26, -999
20140827, 37.92, 38.12, 37.74, 37.88, 3123500, 37.66, 0, 1, 37.79, -999
20140826, 37.85, 38.06, 37.7, 38.01, 2317400, 37.79, 0, 1, 37.82, -999
20140825, 38, 38.05, 37.68, 37.8, 2131300, 37.58, 0, 1, 37.79, -999
20140822, 37.75, 38, 37.66, 37.91, 1847200, 37.69, 0, 1, 37.72, -999
20140821, 37.92, 38.06, 37.71, 37.77, 2047600, 37.55, 0, 1, 37.735, -999
20140820, 37.56, 37.78, 37.46, 37.74, 1345900, 37.52, 0.25, 1, 37.54, -999
20140819, 38.08, 38.08, 37.75, 37.8, 2334500, 37.33, 0, 1, 37.705, -999
20140818, 37.83, 37.94, 37.73, 37.86, 1518800, 37.39, 0, 1, 37.61, -999
20140815, 37.69, 37.85, 37.1, 37.34, 1854900, 36.87, 0, 1, 37.28, -999
20140814, 37.27, 37.49, 37.05, 37.49, 2539000, 37.02, 0, 1, 37.145, -999
20140813, 37.13, 37.15, 36.95, 37.02, 1879100, 36.56, 0, 1, 36.845, -999
20140812, 37.15, 37.31, 36.87, 36.95, 2503900, 36.49, 0, 1, 36.82, -999
20140811, 36.88, 37.04, 36.74, 36.86, 3171300, 36.4, 0, 1, 36.64, -999
20140808, 36.43, 36.63, 36.3, 36.45, 2922000, 35.99, 0, 1, 36.21, -999
20140807, 37.34, 37.35, 36.29, 36.32, 4366100, 35.87, 0, 1, 36.605, -999
20140806, 35.85, 36.53, 35.76, 36.24, 3881700, 35.79, 0, 1, 35.82, -999
20140805, 36.16, 36.18, 35.7, 35.99, 4869900, 35.54, 0, 1, 35.85, -999
20140804, 36.21, 36.42, 35.95, 36.31, 3277300, 35.86, 0, 1, 36.035, -999
20140801, 36.14, 36.69, 36.1, 36.44, 4361800, 35.98, 0, 1, 36.06, -999
20140731, 36.34, 36.78, 36.18, 36.22, 4670300, 35.77, 0, 1, 36.055, -999
20140730, 36.71, 36.79, 36.32, 36.56, 3407100, 36.1, 0, 1, 36.405, -999
20140729, 36.61, 36.71, 36.28, 36.33, 3297900, 35.88, 0, 1, 36.245, -999
20140728, 36.33, 36.7, 36.27, 36.5, 5700000, 36.04, 0, 1, 36.185, -999
20140725, 36.83, 36.9, 36.62, 36.68, 2561800, 36.22, 0, 1, 36.525, -999
20140724, 37.01, 37.52, 37.01, 37.21, 4785900, 36.75, 0, 1, 36.88, -999
20140723, 36.38, 36.62, 36.2, 36.5, 2718500, 36.04, 0, 1, 36.21, -999
20140722, 36.47, 36.49, 36.22, 36.36, 2533600, 35.91, 0, 1, 36.19, -999
20140721, 36.25, 36.36, 35.88, 36.25, 2999500, 35.8, 0, 1, 36.025, -999
20140718, 36.2, 36.69, 36.17, 36.52, 2744300, 36.06, 0, 1, 36.13, -999
20140717, 36.49, 36.56, 35.96, 36.05, 2762900, 35.6, 0, 1, 36.045, -999
20140716, 36.94, 37.01, 36.62, 36.74, 3152700, 36.28, 0, 1, 36.61, -999
20140715, 36.86, 36.97, 36.58, 36.61, 3239900, 36.15, 0, 1, 36.505, -999
