Ticker: CELG  Created on: 12/6/2014 5:23:58 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 113.99, 114.51, 113.5, 114.13, 2500100, 114.13, 0, 1, 114.06, -999
20141204, 113.79, 114.63, 112.93, 113.63, 3101900, 113.63, 0, 1, 113.71, -999
20141203, 115.92, 116.23, 113.76, 114.23, 3567400, 114.23, 0, 1, 115.075, -999
20141202, 114, 116.65, 113.69, 115.2, 4966500, 115.2, 0, 1, 114.6, -999
20141201, 113.71, 114.84, 112.5, 113.43, 4415900, 113.43, 0, 1, 113.57, -999
20141128, 113.45, 114.5, 112.8, 113.69, 2544000, 113.69, 0, 1, 113.57, -999
20141126, 111.46, 112.82, 109.2, 112.61, 3269800, 112.61, 0, 1, 112.035, -999
20141125, 111.31, 111.97, 110.09, 111.07, 3964800, 111.07, 0, 1, 111.19, -999
20141124, 108.89, 111, 108.5, 110.98, 4122700, 110.98, 0, 1, 109.935, -999
20141121, 108.25, 109.21, 107.89, 108.2, 3973300, 108.2, 0, 1, 108.225, -999
20141120, 105.76, 107.92, 105.6, 107.35, 3862700, 107.35, 0, 1, 106.555, -999
20141119, 106.42, 107.71, 105.5, 106.98, 2914500, 106.98, 0, 1, 106.7, -999
20141118, 104.68, 107.03, 104.28, 106.78, 3254400, 106.78, 0, 1, 105.73, -999
20141117, 103.27, 105.64, 103.26, 104.36, 3243500, 104.36, 0, 1, 103.815, -999
20141114, 107.65, 107.65, 102.13, 104.05, 7860800, 104.05, 0, 1, 105.85, -999
20141113, 108.28, 109.17, 106.54, 107.43, 3268100, 107.43, 0, 1, 107.855, -999
20141112, 108.01, 108.5, 106.73, 108.25, 3440800, 108.25, 0, 1, 108.13, -999
20141111, 108, 108.78, 107.4, 107.85, 3361300, 107.85, 0, 1, 107.925, -999
20141110, 106.78, 108.25, 106, 108.01, 3502100, 108.01, 0, 1, 107.395, -999
20141107, 107.44, 107.5, 105.31, 106.45, 4714300, 106.45, 0, 1, 106.945, -999
20141106, 105.7, 107.22, 105.23, 107.14, 4077800, 107.14, 0, 1, 106.42, -999
20141105, 107.2, 107.74, 104.5, 105.15, 4487500, 105.15, 0, 1, 106.175, -999
20141104, 106.65, 107, 105.04, 105.75, 5134700, 105.75, 0, 1, 106.2, -999
20141103, 106.53, 107.57, 106.05, 107.41, 5246900, 107.41, 0, 1, 106.97, -999
20141031, 108.74, 109.25, 106.67, 107.09, 5797700, 107.09, 0, 1, 107.915, -999
20141030, 104.7, 107.35, 104.18, 106.94, 5766300, 106.94, 0, 1, 105.82, -999
20141029, 105.32, 106.28, 104.02, 105.14, 5588200, 105.14, 0, 1, 105.23, -999
