Ticker: CERN  Created on: 12/6/2014 5:23:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 64.11, 64.43, 63.85, 64.04, 756200, 64.04, 0, 1, 64.075, -999
20141204, 64.06, 64.58, 63.58, 63.88, 605700, 63.88, 0, 1, 63.97, -999
20141203, 64.17, 64.37, 63.62, 64.24, 785300, 64.24, 0, 1, 64.205, -999
20141202, 64.37, 64.68, 64.15, 64.4, 780400, 64.4, 0, 1, 64.385, -999
20141201, 64.48, 64.63, 64.11, 64.31, 1109800, 64.31, 0, 1, 64.395, -999
20141128, 64.09, 64.73, 63.67, 64.4, 593800, 64.4, 0, 1, 64.245, -999
20141126, 63.36, 64.03, 63.07, 63.7, 1306600, 63.7, 0, 1, 63.53, -999
20141125, 64.14, 64.66, 62.96, 63.01, 2306800, 63.01, 0, 1, 63.575, -999
20141124, 63.81, 64.2, 63.32, 64.17, 934300, 64.17, 0, 1, 63.99, -999
20141121, 64.47, 64.5, 63.5, 63.6, 1674500, 63.6, 0, 1, 64.035, -999
20141120, 63.58, 63.82, 63.01, 63.35, 1000600, 63.35, 0, 1, 63.465, -999
20141119, 64.29, 64.32, 63.44, 63.57, 1109400, 63.57, 0, 1, 63.93, -999
20141118, 64.14, 64.63, 64.05, 64.3, 893400, 64.3, 0, 1, 64.22, -999
20141117, 64.3, 64.75, 64.02, 64.14, 880700, 64.14, 0, 1, 64.22, -999
20141114, 64.54, 64.56, 63.93, 64.31, 974900, 64.31, 0, 1, 64.425, -999
20141113, 63.66, 64.62, 63.66, 64.53, 1679500, 64.53, 0, 1, 64.095, -999
20141112, 62.91, 63.93, 62.66, 63.82, 1177900, 63.82, 0, 1, 63.365, -999
20141111, 63.24, 63.69, 62.78, 63.06, 961600, 63.06, 0, 1, 63.15, -999
20141110, 62.97, 63.44, 62.53, 63.42, 1304500, 63.42, 0, 1, 63.195, -999
20141107, 63.94, 63.96, 62.7, 63.01, 1695900, 63.01, 0, 1, 63.475, -999
20141106, 63.52, 63.95, 63.26, 63.88, 1094200, 63.88, 0, 1, 63.7, -999
20141105, 63.56, 63.56, 62.83, 63.2, 1049400, 63.2, 0, 1, 63.38, -999
20141104, 63.2, 63.89, 63.11, 63.48, 1318200, 63.48, 0, 1, 63.34, -999
20141103, 63.32, 63.75, 63.05, 63.26, 1582500, 63.26, 0, 1, 63.29, -999
20141031, 63.89, 63.89, 62.98, 63.34, 2126500, 63.34, 0, 1, 63.615, -999
20141030, 62.26, 62.73, 61.84, 62.65, 1505300, 62.65, 0, 1, 62.455, -999
20141029, 63.33, 63.39, 61.55, 62.29, 2271700, 62.29, 0, 1, 62.81, -999
20141028, 62.61, 63.42, 62.37, 63.31, 1714200, 63.31, 0, 1, 62.96, -999
20141027, 61.14, 62.74, 60.92, 62.63, 2255500, 62.63, 0, 1, 61.885, -999
20141024, 60.21, 61.17, 59.16, 61.12, 2461800, 61.12, 0, 1, 60.665, -999
20141023, 58.87, 60.28, 58.63, 59.7, 2752400, 59.7, 0, 1, 59.285, -999
20141022, 59.16, 59.4, 58.24, 58.3, 2003700, 58.3, 0, 1, 58.73, -999
20141021, 58.51, 59.39, 58.23, 59.18, 1881500, 59.18, 0, 1, 58.845, -999
20141020, 56.96, 58.34, 56.88, 58.32, 1305600, 58.32, 0, 1, 57.64, -999
20141017, 56.89, 57.5, 56.17, 57.19, 1940700, 57.19, 0, 1, 57.04, -999
20141016, 56.17, 57.19, 55.78, 56.65, 2149500, 56.65, 0, 1, 56.41, -999
20141015, 56.36, 57.4, 55.75, 57.03, 2536000, 57.03, 0, 1, 56.695, -999
20141014, 57.31, 57.76, 56.71, 56.98, 1148300, 56.98, 0, 1, 57.145, -999
20141013, 57.12, 57.9, 56.47, 56.89, 1341500, 56.89, 0, 1, 57.005, -999
20141010, 57.92, 58.53, 57.33, 57.33, 1635000, 57.33, 0, 1, 57.625, -999
20141009, 59.14, 59.3, 57.93, 58.11, 1384500, 58.11, 0, 1, 58.625, -999
20141008, 58.03, 59.3, 57.79, 59.22, 1515300, 59.22, 0, 1, 58.625, -999
20141007, 59.05, 59.13, 58.02, 58.04, 1281800, 58.04, 0, 1, 58.545, -999
20141006, 59.97, 60.2, 58.82, 59.24, 1458400, 59.24, 0, 1, 59.605, -999
20141003, 59.4, 60.38, 59.05, 59.8, 3001300, 59.8, 0, 1, 59.6, -999
20141002, 58.49, 59.49, 58.38, 59.14, 1525100, 59.14, 0, 1, 58.815, -999
20141001, 59.22, 59.46, 58.31, 58.38, 1659900, 58.38, 0, 1, 58.8, -999
20140930, 59.48, 60.14, 59.2, 59.57, 2291300, 59.57, 0, 1, 59.525, -999
20140929, 58.19, 59.72, 58.01, 59.69, 1499300, 59.69, 0, 1, 58.94, -999
