Ticker: CF  Created on: 12/6/2014 5:24:00 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 271.15, 271.97, 267.53, 268.33, 488500, 268.33, 0, 1, 269.74, -999
20141204, 269, 271.83, 267.13, 269.96, 548900, 269.96, 0, 1, 269.48, -999
20141203, 268.17, 273.99, 267.57, 269.99, 760700, 269.99, 0, 1, 269.08, -999
20141202, 266.68, 270.93, 265.02, 268.22, 534300, 268.22, 0, 1, 267.45, -999
20141201, 267.72, 270.99, 264.68, 267.11, 653700, 267.11, 0, 1, 267.415, -999
20141128, 269.84, 271.41, 267.07, 268.15, 544700, 268.15, 0, 1, 268.995, -999
20141126, 272.2, 273.3, 266.5, 271.64, 583200, 271.64, 0, 1, 271.92, -999
20141125, 276.35, 278.09, 272.56, 272.56, 815400, 272.56, 0, 1, 274.455, -999
20141124, 278.2, 278.84, 275.43, 277.13, 655000, 277.13, 0, 1, 277.665, -999
20141121, 277.82, 280.28, 275.06, 278.38, 975100, 278.38, 0, 1, 278.1, -999
20141120, 272.45, 274.8, 270.38, 273.07, 540200, 273.07, 0, 1, 272.76, -999
20141119, 275.34, 278.64, 270.07, 272.03, 685100, 272.03, 0, 1, 273.685, -999
20141118, 270.56, 273.36, 267.89, 269.69, 625300, 269.69, 0, 1, 270.125, -999
20141117, 265.85, 271.95, 265.78, 270.01, 562500, 270.01, 0, 1, 267.93, -999
20141114, 266.99, 268.95, 263.87, 266.11, 620300, 266.11, 0, 1, 266.55, -999
20141113, 265.71, 268.7, 265.62, 267.12, 590100, 267.12, 0, 1, 266.415, -999
20141112, 265.2, 267.66, 263.44, 266.38, 670600, 266.38, 0, 1, 265.79, -999
20141111, 254.4, 268.79, 254.4, 266.81, 1251200, 265.31, 0, 1, 259.855, -999
20141110, 251.98, 256.23, 248.09, 254.4, 1007000, 252.97, 0, 1, 252.475, -999
20141107, 252.54, 255.5, 249.67, 250.92, 762500, 249.51, 0, 1, 251.025, -999
20141106, 242.54, 256.16, 241.03, 251.52, 1236600, 250.11, 0, 1, 246.325, -999
20141105, 253.71, 257.69, 251.97, 253.63, 1166200, 252.2, 0, 1, 252.955, -999
20141104, 255, 256.77, 251.45, 252.47, 924400, 251.05, 0, 1, 253.025, -999
20141103, 261.25, 261.72, 255.02, 256.1, 760500, 254.66, 0, 1, 257.955, -999
20141031, 262.52, 265.18, 257.2, 260, 809100, 258.54, 0, 1, 260.53, -999
20141030, 255.39, 261.17, 254.58, 259.24, 621000, 257.78, 0, 1, 256.585, -999
20141029, 260.51, 261.65, 254.62, 257.39, 955300, 255.94, 0, 1, 258.225, -999
20141028, 256.6, 260.66, 256.3, 260.34, 613500, 258.88, 0, 1, 257.74, -999
20141027, 258.06, 258.06, 253.09, 255.02, 744900, 253.59, 0, 1, 255.825, -999
20141024, 256.97, 261.38, 255.3, 260.41, 625700, 258.95, 0, 1, 257.96, -999
20141023, 258.76, 267.71, 254.57, 255.7, 613800, 254.26, 0, 1, 256.51, -999
20141022, 253.45, 258.3, 253.02, 254.53, 925400, 253.1, 0, 1, 253.275, -999
20141021, 250.48, 253.79, 248.55, 252.91, 742000, 251.49, 0, 1, 250.985, -999
20141020, 245.63, 249.7, 244.11, 248.3, 745300, 246.9, 0, 1, 246.265, -999
20141017, 247.01, 252.72, 243.48, 244.96, 2285800, 243.58, 0, 1, 245.295, -999
20141016, 249.17, 257.23, 247.3, 253.85, 932800, 252.42, 0, 1, 250.795, -999
20141015, 250, 256.58, 239.46, 254.27, 1449400, 252.84, 0, 1, 251.42, -999
20141014, 251.55, 253.87, 243.81, 252.64, 1121400, 251.22, 0, 1, 251.385, -999
20141013, 265.97, 267.57, 252.3, 252.82, 864300, 251.4, 0, 1, 258.685, -999
20141010, 269.68, 272.2, 262.99, 266.11, 948500, 264.61, 0, 1, 267.145, -999
20141009, 281.21, 281.21, 268.89, 271.05, 1015300, 269.53, 0, 1, 275.37, -999
20141008, 282.68, 283.03, 270.28, 280.28, 1292700, 278.7, 0, 1, 280.69, -999
20141007, 272.5, 290.29, 272.5, 282.76, 1585800, 281.17, 0, 1, 276.835, -999
20141006, 276.61, 276.61, 271.33, 273.11, 619600, 271.57, 0, 1, 274.09, -999
20141003, 276.78, 279, 274.91, 275.02, 772900, 273.47, 0, 1, 275.125, -999
20141002, 267.36, 276.39, 263.82, 275.96, 1118100, 274.41, 0, 1, 270.885, -999
20141001, 279.16, 281.95, 269.24, 269.25, 1311300, 267.74, 0, 1, 273.45, -999
20140930, 278.23, 279.82, 276, 279.22, 1131200, 277.65, 0, 1, 277.94, -999
20140929, 275.75, 280.34, 274, 278.62, 1314600, 277.05, 0, 1, 276.4, -999
20140926, 270.75, 280.08, 269.86, 277.86, 993500, 276.3, 0, 1, 273.525, -999
20140925, 271.98, 273.55, 269.32, 271.05, 784800, 269.53, 0, 1, 270.755, -999
20140924, 267.86, 274.8, 266.18, 272.33, 1290200, 270.8, 0, 1, 269.33, -999
20140923, 267.25, 275.14, 260.33, 269.37, 3564400, 267.86, 0, 1, 267.555, -999
20140922, 258.22, 258.77, 254.76, 255.78, 726500, 254.34, 0, 1, 256.28, -999
20140919, 261.02, 262.51, 258.38, 258.38, 1072400, 256.93, 0, 1, 258.975, -999
20140918, 257.73, 260.25, 256.7, 259.71, 556200, 258.25, 0, 1, 257.99, -999
20140917, 254.82, 257.97, 254.5, 256.31, 611900, 254.87, 0, 1, 254.845, -999
20140916, 251.5, 255.5, 251.24, 254.46, 504700, 253.03, 0, 1, 252.265, -999
20140915, 250.5, 252.44, 250.06, 252.04, 589600, 250.62, 0, 1, 250.56, -999
