Ticker: CHK  Created on: 12/6/2014 5:24:01 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 19.34, 19.67, 19.14, 19.29, 10932800, 19.29, 0, 1, 19.315, -999
20141204, 19.63, 19.88, 19.28, 19.5, 8899000, 19.5, 0, 1, 19.565, -999
20141203, 19.96, 20.28, 19.67, 19.9, 14480100, 19.9, 0, 1, 19.93, -999
20141202, 19.8, 20.29, 19.49, 19.85, 11501200, 19.85, 0, 1, 19.825, -999
20141201, 19.99, 20.3, 19.49, 20.07, 20045400, 20.07, 0, 1, 20.03, -999
20141128, 21.76, 21.78, 20.24, 20.26, 14288300, 20.26, 0, 1, 21.01, -999
20141126, 23.52, 23.55, 22.9, 23.04, 10396800, 23.04, 0, 1, 23.28, -999
20141125, 24.1, 24.3, 23.4, 23.7, 9974000, 23.7, 0, 1, 23.9, -999
20141124, 23.92, 24.22, 23.73, 24.06, 8262100, 24.06, 0, 1, 23.99, -999
20141121, 24.4, 24.43, 23.82, 24.16, 13412000, 24.16, 0, 1, 24.28, -999
20141120, 23.02, 24.13, 23.02, 23.95, 9860700, 23.95, 0, 1, 23.485, -999
20141119, 23.34, 23.43, 22.86, 23.05, 11028300, 23.05, 0, 1, 23.195, -999
20141118, 23.43, 23.48, 22.73, 23.06, 9034300, 23.06, 0, 1, 23.245, -999
20141117, 23.46, 23.72, 22.81, 23.38, 13842800, 23.38, 0, 1, 23.42, -999
20141114, 22.83, 23.3, 22.45, 23.21, 11698700, 23.21, 0, 1, 23.02, -999
20141113, 23.17, 23.17, 22.39, 22.71, 14330600, 22.71, 0, 1, 22.94, -999
20141112, 23.14, 23.59, 22.96, 23.41, 11261600, 23.41, 0, 1, 23.275, -999
20141111, 22.9, 23.72, 22.77, 23.43, 11104100, 23.43, 0, 1, 23.165, -999
20141110, 23.81, 24.22, 22.62, 22.9, 10927300, 22.9, 0, 1, 23.355, -999
20141107, 22.73, 24.11, 22.73, 23.41, 17391500, 23.41, 0, 1, 23.07, -999
20141106, 22.41, 22.86, 21.71, 22.76, 13362700, 22.76, 0, 1, 22.585, -999
20141105, 22.42, 23.15, 22.05, 22.76, 15950600, 22.76, 0, 1, 22.59, -999
20141104, 21.46, 21.62, 20.95, 21.29, 10429900, 21.29, 0, 1, 21.375, -999
20141103, 22.44, 22.84, 21.75, 21.79, 14199600, 21.79, 0, 1, 22.115, -999
20141031, 21.57, 22.22, 21.22, 22.18, 9481400, 22.18, 0, 1, 21.875, -999
20141030, 21.5, 21.64, 20.97, 21.35, 8140900, 21.35, 0, 1, 21.425, -999
20141029, 21.8, 22.19, 21.32, 21.59, 7609200, 21.59, 0, 1, 21.695, -999
20141028, 20.94, 21.65, 20.75, 21.6, 7308900, 21.6, 0, 1, 21.27, -999
20141027, 21.02, 21.09, 20.35, 20.79, 11017200, 20.79, 0, 1, 20.905, -999
20141024, 21.63, 21.74, 21.26, 21.6, 10028100, 21.6, 0, 1, 21.615, -999
20141023, 21.88, 22.28, 21.74, 21.79, 13924100, 21.79, 0, 1, 21.835, -999
20141022, 22.08, 22.58, 21.55, 21.57, 25912800, 21.57, 0, 1, 21.825, -999
20141021, 20.78, 21.73, 20.73, 21.66, 16580300, 21.66, 0, 1, 21.22, -999
20141020, 20.16, 20.75, 20.05, 20.64, 10404000, 20.64, 0, 1, 20.4, -999
20141017, 20.99, 21.21, 19.99, 20.16, 20884000, 20.16, 0, 1, 20.575, -999
20141016, 19.55, 21, 19.19, 20.79, 38739800, 20.79, 0, 1, 20.17, -999
20141015, 16.96, 17.9, 16.69, 17.77, 23731600, 17.77, 0, 1, 17.365, -999
20141014, 18.03, 18.32, 17.39, 17.49, 17325300, 17.49, 0, 1, 17.76, -999
20141013, 18.9, 19.22, 17.8, 17.83, 18287500, 17.83, 0, 1, 18.365, -999
20141010, 19.03, 19.61, 18.42, 18.97, 23194200, 18.97, 0.088, 1, 19, -999
20141009, 20.42, 20.49, 19.13, 19.18, 23464000, 19.09, 0, 1, 19.755, -999
20141008, 20.82, 20.89, 20.12, 20.63, 21215600, 20.54, 0, 1, 20.68, -999
20141007, 21.21, 21.42, 20.88, 20.93, 10313500, 20.83, 0, 1, 21.02, -999
20141006, 21.69, 21.88, 21.27, 21.33, 13937700, 21.23, 0, 1, 21.46, -999
20141003, 22.29, 22.3, 21.48, 21.75, 14443300, 21.65, 0, 1, 21.97, -999
20141002, 22.27, 22.36, 21.43, 22.23, 13222200, 22.13, 0, 1, 22.2, -999
