Ticker: CINF  Created on: 12/6/2014 5:24:03 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 51.45, 51.85, 51.4, 51.53, 316000, 51.53, 0, 1, 51.49, -999
20141204, 51.24, 51.45, 51.19, 51.4, 513500, 51.4, 0, 1, 51.32, -999
20141203, 51.42, 51.59, 51.2, 51.37, 450600, 51.37, 0, 1, 51.395, -999
20141202, 50.74, 51.33, 50.74, 51.28, 406500, 51.28, 0, 1, 51.01, -999
20141201, 50.75, 51.05, 50.67, 50.81, 418400, 50.81, 0, 1, 50.78, -999
20141128, 51, 51.34, 50.88, 50.95, 229200, 50.95, 0, 1, 50.975, -999
20141126, 50.5, 50.88, 50.37, 50.88, 407600, 50.88, 0, 1, 50.69, -999
20141125, 51.25, 51.5, 50.34, 50.46, 1300100, 50.46, 0, 1, 50.855, -999
20141124, 51.89, 51.89, 51.24, 51.31, 465000, 51.31, 0, 1, 51.6, -999
20141121, 51.33, 51.33, 50.87, 51.09, 521600, 51.09, 0, 1, 51.21, -999
20141120, 50.67, 51.04, 50.67, 50.9, 548500, 50.9, 0, 1, 50.785, -999
20141119, 50.82, 50.95, 50.43, 50.78, 764700, 50.78, 0, 1, 50.8, -999
20141118, 50.99, 51.33, 50.78, 50.96, 500100, 50.96, 0, 1, 50.975, -999
20141117, 50.8, 51.04, 50.72, 50.98, 347800, 50.98, 0, 1, 50.89, -999
20141114, 51.23, 51.48, 50.91, 51.04, 315700, 51.04, 0, 1, 51.135, -999
20141113, 51.39, 51.67, 51.17, 51.37, 327600, 51.37, 0, 1, 51.38, -999
20141112, 51.09, 51.39, 50.82, 51.27, 370100, 51.27, 0, 1, 51.18, -999
20141111, 51.34, 51.43, 51, 51.18, 453300, 51.18, 0, 1, 51.26, -999
20141110, 51.18, 51.43, 51.11, 51.43, 316700, 51.43, 0, 1, 51.305, -999
20141107, 51.1, 51.29, 50.86, 51.11, 527900, 51.11, 0, 1, 51.105, -999
20141106, 51.1, 51.22, 50.76, 51.18, 309200, 51.18, 0, 1, 51.14, -999
20141105, 51.12, 51.12, 50.76, 51.11, 507300, 51.11, 0, 1, 51.115, -999
20141104, 50.56, 50.94, 50.5, 50.91, 522800, 50.91, 0, 1, 50.735, -999
20141103, 49.7, 50.77, 49.7, 50.6, 695700, 50.6, 0, 1, 50.15, -999
20141031, 50.49, 50.62, 50.14, 50.47, 834100, 50.47, 0, 1, 50.48, -999
20141030, 49.43, 50.02, 49.1, 49.92, 472700, 49.92, 0, 1, 49.675, -999
20141029, 49.24, 49.6, 48.95, 49.44, 777400, 49.44, 0, 1, 49.34, -999
20141028, 49.11, 49.33, 48.95, 49.31, 497300, 49.31, 0, 1, 49.21, -999
20141027, 48.52, 49.05, 48.41, 49.01, 405800, 49.01, 0, 1, 48.765, -999
20141024, 48.31, 48.77, 48.27, 48.74, 529000, 48.74, 0, 1, 48.525, -999
20141023, 48.6, 48.71, 48.22, 48.3, 519100, 48.3, 0, 1, 48.45, -999
20141022, 48.25, 48.57, 48.08, 48.12, 574500, 48.12, 0, 1, 48.185, -999
20141021, 47.39, 48.27, 47.36, 48.21, 682300, 48.21, 0, 1, 47.8, -999
20141020, 46.6, 47.15, 46.56, 47.15, 597100, 47.15, 0, 1, 46.875, -999
20141017, 46.39, 46.9, 46.02, 46.81, 1632400, 46.81, 0, 1, 46.6, -999
20141016, 45.46, 46.24, 45.12, 46.08, 608100, 46.08, 0, 1, 45.77, -999
20141015, 46.27, 46.33, 45.09, 46.11, 857500, 46.11, 0, 1, 46.19, -999
20141014, 46.46, 46.96, 46.41, 46.59, 897700, 46.59, 0, 1, 46.525, -999
20141013, 46.83, 47.15, 46.39, 46.41, 626700, 46.41, 0, 1, 46.62, -999
20141010, 46.7, 47.4, 46.56, 46.75, 677300, 46.75, 0, 1, 46.725, -999
20141009, 47.53, 47.69, 46.64, 46.69, 728100, 46.69, 0, 1, 47.11, -999
20141008, 46.86, 47.63, 46.55, 47.59, 567000, 47.59, 0, 1, 47.225, -999
20141007, 47.15, 47.35, 46.77, 46.77, 584900, 46.77, 0, 1, 46.96, -999
20141006, 47.79, 48.05, 47.31, 47.46, 416800, 47.46, 0, 1, 47.625, -999
20141003, 47.17, 47.67, 46.92, 47.63, 631000, 47.63, 0, 1, 47.4, -999
20141002, 46.53, 47.03, 46.41, 46.84, 491900, 46.84, 0, 1, 46.685, -999
20141001, 46.91, 47.02, 46.54, 46.62, 572100, 46.62, 0, 1, 46.765, -999
20140930, 47.32, 47.77, 46.93, 47.05, 598900, 47.05, 0, 1, 47.185, -999
20140929, 48.69, 48.69, 46.82, 47.33, 523800, 47.33, 0, 1, 48.01, -999
20140926, 47.08, 47.41, 46.8, 47.22, 391200, 47.22, 0, 1, 47.15, -999
20140925, 47.58, 47.75, 46.95, 46.97, 738300, 46.97, 0, 1, 47.275, -999
20140924, 47.45, 47.83, 47.34, 47.76, 510600, 47.76, 0, 1, 47.605, -999
20140923, 47.98, 48.06, 47.37, 47.37, 451100, 47.37, 0, 1, 47.675, -999
20140922, 48.33, 48.62, 48.01, 48.07, 425600, 48.07, 0, 1, 48.2, -999
20140919, 48.43, 48.54, 48.04, 48.38, 1172600, 48.38, 0, 1, 48.405, -999
20140918, 48.02, 48.37, 47.93, 48.23, 368900, 48.23, 0, 1, 48.125, -999
20140917, 48.12, 48.19, 47.83, 47.99, 321900, 47.99, 0, 1, 48.055, -999
20140916, 47.74, 48.11, 47.69, 47.94, 463100, 47.94, 0, 1, 47.84, -999
20140915, 47.68, 48.05, 47.48, 47.91, 409300, 47.91, 0.44, 1, 47.795, -999
20140912, 48.24, 48.29, 47.95, 48.04, 480700, 47.6, 0, 1, 47.92, -999
20140911, 47.95, 48.3, 47.95, 48.25, 379900, 47.81, 0, 1, 47.88, -999
20140910, 48.11, 48.35, 47.97, 48.15, 297600, 47.71, 0, 1, 47.91, -999
20140909, 48.36, 48.47, 48, 48.06, 339700, 47.62, 0, 1, 47.99, -999
20140908, 48.64, 48.86, 48.18, 48.49, 517700, 48.05, 0, 1, 48.345, -999
20140905, 48.12, 48.68, 48.09, 48.66, 608400, 48.21, 0, 1, 48.165, -999
20140904, 48.12, 48.38, 48.01, 48.15, 531000, 47.71, 0, 1, 47.915, -999
20140903, 48.51, 48.59, 48.04, 48.06, 817100, 47.62, 0, 1, 48.065, -999
20140902, 48.28, 48.55, 48.15, 48.28, 497400, 47.84, 0, 1, 48.06, -999
20140829, 48.23, 48.28, 47.97, 48.09, 873800, 47.65, 0, 1, 47.94, -999
20140828, 48.23, 48.39, 48.15, 48.23, 551900, 47.79, 0, 1, 48.01, -999
20140827, 48.43, 48.61, 48.38, 48.46, 481800, 48.02, 0, 1, 48.225, -999
20140826, 48.62, 48.81, 48.5, 48.52, 352700, 48.08, 0, 1, 48.35, -999
20140825, 48.55, 48.69, 48.26, 48.62, 352200, 48.17, 0, 1, 48.36, -999
20140822, 48.61, 48.64, 48.23, 48.24, 369000, 47.8, 0, 1, 48.205, -999
20140821, 48.1, 48.57, 47.9, 48.55, 457700, 48.11, 0, 1, 48.105, -999
20140820, 47.85, 48.32, 47.85, 48.09, 368200, 47.65, 0, 1, 47.75, -999
20140819, 47.95, 48.04, 47.79, 48.01, 295700, 47.57, 0, 1, 47.76, -999
20140818, 48.03, 48.35, 47.8, 47.92, 452800, 47.48, 0, 1, 47.755, -999
20140815, 47.89, 48.04, 47.47, 47.84, 618200, 47.4, 0, 1, 47.645, -999
20140814, 47.45, 47.83, 47.39, 47.82, 319900, 47.38, 0, 1, 47.415, -999
20140813, 47.4, 47.5, 47.13, 47.36, 519400, 46.93, 0, 1, 47.165, -999
20140812, 47.02, 47.38, 46.89, 47.18, 310500, 46.75, 0, 1, 46.885, -999
20140811, 47.12, 47.22, 46.8, 47.03, 341800, 46.6, 0, 1, 46.86, -999
20140808, 46.54, 46.92, 46.26, 46.9, 309300, 46.47, 0, 1, 46.505, -999
20140807, 46.79, 46.84, 46.27, 46.32, 456100, 45.9, 0, 1, 46.345, -999
20140806, 46.16, 46.68, 46.04, 46.53, 374000, 46.1, 0, 1, 46.13, -999
20140805, 46.4, 46.63, 46.04, 46.24, 564700, 45.82, 0, 1, 46.11, -999
20140804, 46.03, 46.49, 45.8, 46.47, 702900, 46.04, 0, 1, 46.035, -999
20140801, 45.82, 46.23, 45.69, 45.92, 1428200, 45.5, 0, 1, 45.66, -999
20140731, 46.32, 46.83, 45.79, 46.02, 1279700, 45.6, 0, 1, 45.96, -999
20140730, 47.28, 47.78, 46.51, 46.59, 723900, 46.16, 0, 1, 46.72, -999
20140729, 47.91, 48, 47.41, 47.42, 668100, 46.99, 0, 1, 47.45, -999
20140728, 47.63, 47.96, 47.51, 47.9, 344900, 47.46, 0, 1, 47.545, -999
20140725, 47.85, 47.87, 47.56, 47.71, 386000, 47.27, 0, 1, 47.56, -999
20140724, 48.18, 48.29, 47.94, 48.03, 404500, 47.59, 0, 1, 47.885, -999
20140723, 47.79, 48.17, 47.67, 48.04, 402900, 47.6, 0, 1, 47.695, -999
20140722, 48.59, 48.59, 47.68, 47.91, 729700, 47.47, 0, 1, 48.03, -999
20140721, 48.21, 48.69, 48.02, 48.49, 687500, 48.05, 0, 1, 48.13, -999
20140718, 47.98, 48.36, 47.62, 48.3, 1679200, 47.86, 0, 1, 47.92, -999
20140717, 47.98, 48.23, 47.77, 47.81, 498900, 47.37, 0, 1, 47.675, -999
20140716, 48.28, 48.4, 48.01, 48.19, 500900, 47.75, 0, 1, 48.015, -999
20140715, 48.25, 48.47, 48.01, 48.2, 640700, 47.76, 0, 1, 48.005, -999
20140714, 47.81, 48.25, 47.77, 48.12, 405100, 47.68, 0, 1, 47.745, -999
20140711, 47.62, 47.79, 47.49, 47.64, 513900, 47.2, 0, 1, 47.41, -999
20140710, 47.56, 47.8, 47.46, 47.74, 486300, 47.3, 0, 1, 47.43, -999
20140709, 48.21, 48.48, 47.81, 47.99, 569900, 47.55, 0, 1, 47.88, -999
20140708, 48.27, 48.38, 48.09, 48.18, 527000, 47.74, 0, 1, 48.005, -999
20140707, 48.42, 48.47, 48.13, 48.36, 503600, 47.92, 0, 1, 48.17, -999
20140703, 48.31, 48.58, 48.26, 48.49, 282500, 48.05, 0, 1, 48.18, -999
20140702, 48.29, 48.45, 48.03, 48.26, 545800, 47.82, 0, 1, 48.055, -999
20140701, 48.04, 48.52, 48.01, 48.38, 551700, 47.94, 0, 1, 47.99, -999
20140630, 48, 48.38, 47.76, 48.04, 484100, 47.6, 0, 1, 47.8, -999
20140627, 47.69, 48.14, 47.67, 47.88, 514900, 47.44, 0, 1, 47.565, -999
20140626, 48.14, 48.17, 47.67, 47.89, 357300, 47.45, 0, 1, 47.795, -999
20140625, 48.27, 48.44, 48.12, 48.18, 384900, 47.74, 0, 1, 48.005, -999
20140624, 48.43, 48.68, 48.26, 48.29, 326500, 47.85, 0, 1, 48.14, -999
20140623, 48.87, 48.96, 48.46, 48.65, 341800, 48.2, 0, 1, 48.535, -999
20140620, 48.91, 49.07, 48.71, 48.79, 689800, 48.34, 0, 1, 48.625, -999
20140619, 48.69, 48.83, 48.38, 48.74, 412000, 48.29, 0, 1, 48.49, -999
20140618, 48.54, 48.8, 48.28, 48.73, 500300, 48.28, 0, 1, 48.41, -999
20140617, 48.24, 48.69, 48.21, 48.57, 613000, 48.13, 0, 1, 48.185, -999
20140616, 48.42, 48.6, 48.27, 48.37, 532800, 47.93, 0.44, 1, 48.175, -999
20140613, 48.95, 49.03, 48.68, 48.89, 546400, 48.01, 0, 1, 48.48, -999
20140612, 48.88, 49.01, 48.77, 48.91, 376400, 48.03, 0, 1, 48.455, -999
20140611, 49.04, 49.15, 48.88, 48.95, 273100, 48.07, 0, 1, 48.555, -999
20140610, 49.13, 49.27, 49.02, 49.2, 285500, 48.31, 0, 1, 48.72, -999
20140609, 49.25, 49.43, 49.13, 49.26, 293900, 48.37, 0, 1, 48.81, -999
20140606, 49.35, 49.44, 49.19, 49.29, 314800, 48.4, 0, 1, 48.875, -999
20140605, 48.85, 49.12, 48.69, 49.12, 418200, 48.23, 0, 1, 48.54, -999
20140604, 48.56, 49.21, 48.55, 48.84, 479000, 47.96, 0, 1, 48.26, -999
20140603, 48.56, 48.73, 48.34, 48.55, 760800, 47.67, 0, 1, 48.115, -999
20140602, 49.1, 49.19, 48.6, 48.67, 539100, 47.79, 0, 1, 48.445, -999
20140530, 48.81, 49.15, 48.57, 49.02, 478400, 48.13, 0, 1, 48.47, -999
20140529, 48.86, 48.97, 48.68, 48.85, 294000, 47.97, 0, 1, 48.415, -999
20140528, 48.93, 48.96, 48.69, 48.69, 422000, 47.81, 0, 1, 48.37, -999
20140527, 48.72, 48.92, 48.69, 48.79, 306200, 47.91, 0, 1, 48.315, -999
20140523, 48.61, 48.79, 48.41, 48.61, 257300, 47.73, 0, 1, 48.17, -999
20140522, 48.75, 48.75, 48.53, 48.64, 254000, 47.76, 0, 1, 48.255, -999
20140521, 48.69, 48.89, 48.48, 48.72, 295400, 47.84, 0, 1, 48.265, -999
20140520, 48.94, 48.94, 48.39, 48.48, 486500, 47.6, 0, 1, 48.27, -999
20140519, 48.42, 48.95, 48.35, 48.89, 508400, 48.01, 0, 1, 48.215, -999
20140516, 48.46, 48.5, 48.02, 48.39, 499500, 47.52, 0, 1, 47.99, -999
20140515, 48.77, 48.77, 48.08, 48.41, 589200, 47.53, 0, 1, 48.15, -999
20140514, 49.28, 49.35, 48.75, 48.91, 360000, 48.03, 0, 1, 48.655, -999
20140513, 49.35, 49.52, 49.14, 49.27, 518700, 48.38, 0, 1, 48.865, -999
20140512, 49.21, 49.46, 49.15, 49.26, 456600, 48.37, 0, 1, 48.79, -999
20140509, 49.27, 49.27, 48.8, 49.13, 390100, 48.24, 0, 1, 48.755, -999
20140508, 49.17, 49.58, 49.01, 49.21, 479200, 48.32, 0, 1, 48.745, -999
20140507, 48.71, 49.34, 48.42, 49.32, 520700, 48.43, 0, 1, 48.57, -999
20140506, 48.79, 48.93, 48.47, 48.67, 624000, 47.79, 0, 1, 48.29, -999
20140505, 48.76, 49.16, 48.62, 49.02, 456100, 48.13, 0, 1, 48.445, -999
20140502, 49.02, 49.47, 48.84, 49.09, 625400, 48.2, 0, 1, 48.61, -999
20140501, 48.8, 49.02, 48.54, 48.99, 526500, 48.1, 0, 1, 48.45, -999
20140430, 48.25, 48.76, 48.01, 48.72, 778500, 47.84, 0, 1, 48.045, -999
20140429, 48.31, 48.66, 48.22, 48.34, 498600, 47.47, 0, 1, 47.89, -999
20140428, 48.11, 48.57, 47.77, 48.26, 712800, 47.39, 0, 1, 47.75, -999
20140425, 49.26, 49.26, 47.75, 48, 1128600, 47.13, 0, 1, 48.195, -999
20140424, 49.5, 49.73, 49.28, 49.71, 701300, 48.81, 0, 1, 49.155, -999
20140423, 49.01, 49.39, 48.97, 49.36, 575900, 48.47, 0, 1, 48.74, -999
20140422, 48.57, 48.96, 48.25, 48.91, 654300, 48.03, 0, 1, 48.3, -999
20140421, 48.69, 48.87, 48.49, 48.68, 547200, 47.8, 0, 1, 48.245, -999
20140417, 48.81, 49.04, 48.59, 48.77, 2604600, 47.89, 0, 1, 48.35, -999
20140416, 48.54, 48.9, 48.29, 48.81, 644900, 47.93, 0, 1, 48.235, -999
20140415, 47.7, 48.28, 47.42, 48.16, 749700, 47.29, 0, 1, 47.495, -999
20140414, 47.68, 47.84, 47.36, 47.72, 656600, 46.86, 0, 1, 47.27, -999
20140411, 47.29, 47.53, 47, 47.11, 790500, 46.26, 0, 1, 46.775, -999
20140410, 47.95, 48.44, 47.52, 47.53, 724700, 46.67, 0, 1, 47.31, -999
20140409, 47.57, 47.93, 47.37, 47.85, 465500, 46.99, 0, 1, 47.28, -999
20140408, 47.34, 47.6, 47, 47.5, 687300, 46.64, 0, 1, 46.99, -999
20140407, 48.21, 48.49, 47.45, 47.48, 796600, 46.62, 0, 1, 47.415, -999
20140404, 48.45, 48.69, 48.13, 48.19, 920700, 47.32, 0, 1, 47.885, -999
20140403, 48.09, 48.5, 47.9, 48.25, 507300, 47.38, 0, 1, 47.735, -999
20140402, 47.68, 48.22, 47.61, 48.14, 680200, 47.27, 0, 1, 47.475, -999
20140401, 47.66, 48.18, 47.3, 47.83, 1245600, 46.97, 0, 1, 47.315, -999
20140331, 47.78, 48.7, 47.78, 48.66, 1076600, 47.78, 0, 1, 47.78, -999
20140328, 47.9, 48.31, 47.87, 48.25, 757100, 47.38, 0, 1, 47.64, -999
20140327, 47.84, 47.96, 47.55, 47.85, 662600, 46.99, 0, 1, 47.415, -999
20140326, 48.1, 48.35, 47.98, 48.01, 454800, 47.14, 0, 1, 47.62, -999
20140325, 48.19, 48.31, 47.74, 47.95, 318100, 47.08, 0, 1, 47.635, -999
20140324, 47.99, 48.16, 47.78, 47.98, 536800, 47.11, 0, 1, 47.55, -999
20140321, 47.99, 48.1, 47.45, 47.92, 1594500, 47.05, 0, 1, 47.52, -999
20140320, 46.93, 47.62, 46.66, 47.58, 419600, 46.72, 0, 1, 46.825, -999
20140319, 47.43, 47.5, 46.95, 47.07, 384500, 46.22, 0, 1, 46.825, -999
20140318, 47.04, 47.52, 46.97, 47.42, 339800, 46.56, 0, 1, 46.8, -999
20140317, 47.17, 47.31, 46.76, 47.01, 855800, 46.16, 0.44, 1, 46.665, -999
20140314, 47.18, 47.6, 47.15, 47.3, 559500, 46.01, 0, 1, 46.595, -999
20140313, 47.9, 47.95, 47.17, 47.18, 586100, 45.9, 0, 1, 46.9, -999
20140312, 47.27, 47.66, 47.12, 47.63, 388600, 46.33, 0, 1, 46.8, -999
20140311, 47.71, 47.84, 47.29, 47.43, 504000, 46.14, 0, 1, 46.925, -999
20140310, 47.7, 47.83, 47.5, 47.67, 466000, 46.37, 0, 1, 47.035, -999
20140307, 47.82, 47.99, 47.58, 47.84, 548100, 46.54, 0, 1, 47.18, -999
20140306, 47.1, 47.8, 47.07, 47.65, 637100, 46.35, 0, 1, 46.725, -999
20140305, 47.09, 47.17, 46.89, 47.09, 415800, 45.81, 0, 1, 46.45, -999
20140304, 46.85, 47.21, 46.79, 47.12, 723400, 45.84, 0, 1, 46.345, -999
20140303, 46.68, 46.73, 46.24, 46.46, 411000, 45.2, 0, 1, 45.94, -999
20140228, 46.7, 47.1, 46.51, 46.88, 569200, 45.6, 0, 1, 46.15, -999
20140227, 46.42, 46.73, 46.24, 46.65, 456700, 45.38, 0, 1, 45.9, -999
