Ticker: CLX  Created on: 12/6/2014 5:24:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 99.6, 99.72, 98.3, 98.86, 1629400, 98.86, 0, 1, 99.23, -999
20141204, 99.54, 99.91, 98.29, 99.61, 2177500, 99.61, 0, 1, 99.575, -999
20141203, 100.38, 100.42, 97.85, 99.18, 2701500, 99.18, 0, 1, 99.78, -999
20141202, 101.12, 101.42, 100.31, 100.53, 1456900, 100.53, 0, 1, 100.825, -999
20141201, 100.28, 102.2, 100.28, 101.3, 1099000, 101.3, 0, 1, 100.79, -999
20141128, 100.47, 102.29, 100.4, 101.62, 651600, 101.62, 0, 1, 101.045, -999
20141126, 99.5, 99.95, 99.3, 99.9, 782300, 99.9, 0, 1, 99.7, -999
20141125, 99.34, 99.92, 99.13, 99.78, 1581700, 99.78, 0, 1, 99.56, -999
20141124, 99.99, 100.01, 99.16, 99.34, 1234100, 99.34, 0, 1, 99.665, -999
20141121, 100.71, 100.85, 99.5, 99.71, 1302500, 99.71, 0, 1, 100.21, -999
20141120, 100.85, 100.96, 100.15, 100.24, 797400, 100.24, 0, 1, 100.545, -999
20141119, 101, 101, 100.2, 100.8, 941000, 100.8, 0, 1, 100.9, -999
20141118, 101.02, 101.22, 100.13, 100.77, 953400, 100.77, 0, 1, 100.895, -999
20141117, 100.06, 101.13, 99.83, 101.02, 1000400, 101.02, 0, 1, 100.54, -999
20141114, 101.63, 101.76, 99.73, 100.12, 1291800, 100.12, 0, 1, 100.875, -999
20141113, 101.9, 102.24, 101.59, 101.91, 938200, 101.91, 0, 1, 101.905, -999
20141112, 101.43, 101.64, 101.11, 101.52, 812400, 101.52, 0, 1, 101.475, -999
20141111, 101.42, 101.98, 100.9, 101.35, 968000, 101.35, 0, 1, 101.385, -999
20141110, 101, 101.69, 100.58, 101.67, 905000, 101.67, 0, 1, 101.335, -999
20141107, 100.27, 101, 99.91, 100.79, 826000, 100.79, 0, 1, 100.53, -999
20141106, 101, 101.21, 100.13, 100.36, 1180400, 100.36, 0, 1, 100.68, -999
20141105, 101.5, 101.67, 100.37, 100.73, 880500, 100.73, 0, 1, 101.115, -999
20141104, 99.59, 102.18, 99.59, 100.93, 1241800, 100.93, 0, 1, 100.26, -999
20141103, 99.98, 100.47, 98.86, 99.83, 1205100, 99.83, 0, 1, 99.905, -999
20141031, 100, 100, 98.4, 99.5, 1092400, 99.5, 0, 1, 99.75, -999
20141030, 98.08, 98.63, 97.34, 98.6, 898100, 98.6, 0, 1, 98.34, -999
20141029, 97.86, 98.23, 97.01, 97.73, 1362400, 97.73, 0, 1, 97.795, -999
20141028, 98.65, 98.9, 97.51, 97.8, 1230200, 97.8, 0, 1, 98.225, -999
20141027, 99.06, 99.5, 98.33, 98.37, 829300, 98.37, 0.74, 1, 98.715, -999
20141024, 98.85, 99.81, 98.61, 99.47, 651700, 98.73, 0, 1, 98.79, -999
20141023, 99.57, 99.57, 98.37, 98.43, 1091000, 97.7, 0, 1, 98.635, -999
20141022, 98.69, 99.53, 98.69, 99.05, 822300, 98.31, 0, 1, 98.5, -999
20141021, 97.98, 99.6, 97.15, 98.8, 907200, 98.06, 0, 1, 98.02, -999
20141020, 96.2, 97.78, 96.2, 97.73, 1140600, 97, 0, 1, 96.6, -999
20141017, 96.53, 96.66, 95.7, 96.3, 1392900, 95.58, 0, 1, 96.055, -999
20141016, 96.09, 96.93, 95.57, 96.13, 1154900, 95.41, 0, 1, 95.75, -999
20141015, 96.59, 97.54, 95.49, 97.24, 1435400, 96.52, 0, 1, 96.555, -999
20141014, 96.04, 97.18, 95.28, 97.03, 1145500, 96.31, 0, 1, 96.175, -999
20141013, 97.09, 97.3, 95.86, 95.92, 880100, 95.21, 0, 1, 96.15, -999
20141010, 97.77, 98.14, 97.06, 97.09, 883600, 96.37, 0, 1, 97.07, -999
20141009, 98.5, 99.09, 97.32, 97.46, 810800, 96.73, 0, 1, 97.615, -999
20141008, 96.97, 98.89, 96.75, 98.76, 1342600, 98.03, 0, 1, 97.5, -999
20141007, 96.3, 97.46, 96.16, 96.66, 1397900, 95.94, 0, 1, 96.12, -999
20141006, 97, 97.03, 95.98, 96.38, 644900, 95.66, 0, 1, 96.33, -999
20141003, 96.38, 96.71, 96.2, 96.47, 1375900, 95.75, 0, 1, 96.065, -999
20141002, 95.81, 96.21, 95.28, 95.96, 1013800, 95.25, 0, 1, 95.53, -999
20141001, 96, 96, 95.19, 95.46, 1297400, 94.75, 0, 1, 95.375, -999
20140930, 95.99, 96.3, 95.75, 96.04, 1144400, 95.33, 0, 1, 95.66, -999
20140929, 94.97, 96.34, 94.79, 96.27, 1330200, 95.55, 0, 1, 95.26, -999
20140926, 95.2, 95.9, 94.98, 95.64, 932800, 94.93, 0, 1, 95.065, -999
20140925, 95.16, 95.73, 94.77, 95.14, 1210800, 94.43, 0, 1, 94.795, -999
20140924, 94.63, 95.9, 94.6, 95.54, 1411700, 94.83, 0, 1, 94.73, -999
20140923, 94.51, 95.91, 94.16, 94.85, 3522900, 94.14, 0, 1, 94.325, -999
20140922, 94.8, 98.31, 94.13, 97.23, 8863700, 96.51, 0, 1, 95.655, -999
20140919, 90.44, 90.69, 90, 90.57, 1090500, 89.9, 0, 1, 90.17, -999
20140918, 89.96, 90.22, 89.37, 89.9, 545900, 89.23, 0, 1, 89.595, -999
20140917, 90.04, 90.27, 89.4, 89.82, 690700, 89.15, 0, 1, 89.595, -999
20140916, 89.77, 90.62, 89.01, 90.18, 685100, 89.51, 0, 1, 89.64, -999
20140915, 89.11, 89.64, 88.99, 89.49, 480400, 88.82, 0, 1, 88.965, -999
20140912, 89.73, 89.99, 88.71, 88.98, 1075900, 88.32, 0, 1, 89.025, -999
20140911, 89.94, 90.26, 89.62, 90.08, 749800, 89.41, 0, 1, 89.675, -999
20140910, 89.5, 90.08, 89.16, 89.94, 777300, 89.27, 0, 1, 89.385, -999
20140909, 89.05, 89.55, 88.69, 89.5, 849000, 88.83, 0, 1, 88.94, -999
20140908, 89.43, 89.78, 89.09, 89.29, 631100, 88.63, 0, 1, 89.03, -999
20140905, 88.97, 89.81, 88.61, 89.81, 866600, 89.14, 0, 1, 89.055, -999
20140904, 88.74, 89.4, 88.65, 88.81, 994200, 88.15, 0, 1, 88.445, -999
20140903, 88.66, 89.19, 88.63, 88.74, 682000, 88.08, 0, 1, 88.37, -999
20140902, 88.65, 89.07, 88.23, 88.66, 770300, 88, 0, 1, 88.325, -999
