Ticker: CMA  Created on: 12/6/2014 5:24:08 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 47.64, 48.89, 47.51, 48.2, 2626600, 48.2, 0, 1, 47.92, -999
20141204, 46.74, 47.25, 46.54, 47.2, 1552900, 47.2, 0, 1, 46.97, -999
20141203, 46.34, 47.16, 46.27, 46.87, 2442500, 46.87, 0, 1, 46.605, -999
20141202, 45.44, 46.69, 45.44, 46.43, 3015900, 46.43, 0, 1, 45.935, -999
20141201, 46.22, 46.42, 44.68, 45.23, 4306300, 45.23, 0, 1, 45.725, -999
20141128, 48.61, 48.69, 46.52, 46.61, 1834500, 46.61, 0, 1, 47.61, -999
20141126, 48.54, 48.84, 48.43, 48.55, 688100, 48.55, 0, 1, 48.545, -999
20141125, 48.71, 48.94, 48.38, 48.6, 937500, 48.6, 0, 1, 48.655, -999
20141124, 48.05, 48.69, 48.05, 48.66, 958900, 48.66, 0, 1, 48.355, -999
20141121, 48.59, 48.84, 47.84, 47.92, 1179600, 47.92, 0, 1, 48.255, -999
20141120, 47.68, 48.13, 47.41, 48.11, 1448200, 48.11, 0, 1, 47.895, -999
20141119, 48.21, 48.28, 47.65, 47.93, 2115600, 47.93, 0, 1, 48.07, -999
20141118, 48.51, 48.7, 48.12, 48.17, 1433500, 48.17, 0, 1, 48.34, -999
20141117, 48.58, 48.62, 48.11, 48.61, 1058500, 48.61, 0, 1, 48.595, -999
20141114, 48.55, 49.02, 48.44, 48.59, 915800, 48.59, 0, 1, 48.57, -999
20141113, 49.03, 49.2, 48.45, 48.57, 1135600, 48.57, 0, 1, 48.8, -999
20141112, 48.15, 49.09, 48.02, 49.04, 1136100, 49.04, 0, 1, 48.595, -999
20141111, 48.54, 48.7, 48.38, 48.52, 789800, 48.52, 0, 1, 48.53, -999
20141110, 48.26, 48.83, 48.26, 48.41, 840100, 48.41, 0, 1, 48.335, -999
20141107, 48.63, 48.96, 48.28, 48.4, 1629700, 48.4, 0, 1, 48.515, -999
20141106, 48.14, 48.94, 48.07, 48.9, 1244100, 48.9, 0, 1, 48.52, -999
20141105, 48.06, 48.32, 47.92, 48.29, 1327500, 48.29, 0, 1, 48.175, -999
20141104, 47.82, 48.09, 47.27, 47.74, 1162000, 47.74, 0, 1, 47.78, -999
20141103, 47.57, 48.16, 47.51, 47.84, 1234800, 47.84, 0, 1, 47.705, -999
20141031, 47.51, 47.8, 47.29, 47.74, 1410200, 47.74, 0, 1, 47.625, -999
20141030, 46.75, 47.17, 46.57, 46.93, 1307200, 46.93, 0, 1, 46.84, -999
20141029, 46.3, 47.1, 46.09, 46.86, 1861500, 46.86, 0, 1, 46.58, -999
20141028, 45.62, 46.42, 45.55, 46.4, 1133900, 46.4, 0, 1, 46.01, -999
20141027, 45.34, 45.63, 45.09, 45.57, 1527300, 45.57, 0, 1, 45.455, -999
20141024, 44.89, 45.53, 44.89, 45.51, 1267600, 45.51, 0, 1, 45.2, -999
20141023, 45, 45.35, 44.76, 44.93, 1498600, 44.93, 0, 1, 44.965, -999
20141022, 44.73, 45.1, 44.48, 44.56, 2006500, 44.56, 0, 1, 44.645, -999
20141021, 44.2, 44.91, 43.99, 44.69, 2728100, 44.69, 0, 1, 44.445, -999
20141020, 43.4, 44.2, 43.03, 43.79, 2778000, 43.79, 0, 1, 43.595, -999
20141017, 43.71, 44.24, 42.73, 43.06, 4974200, 43.06, 0, 1, 43.385, -999
20141016, 42.93, 44.52, 42.83, 44.42, 2926100, 44.42, 0, 1, 43.675, -999
20141015, 45.51, 45.51, 43.07, 43.88, 4357200, 43.88, 0, 1, 44.695, -999
20141014, 46.03, 46.63, 45.75, 45.9, 2273800, 45.9, 0, 1, 45.965, -999
20141013, 46.64, 47.07, 46.02, 46.02, 1885500, 46.02, 0, 1, 46.33, -999
20141010, 47.54, 48.05, 46.62, 46.63, 2506400, 46.63, 0, 1, 47.085, -999
20141009, 49.19, 49.19, 47.34, 47.48, 2819600, 47.48, 0, 1, 48.335, -999
20141008, 48.64, 49.35, 48.42, 49.31, 1133500, 49.31, 0, 1, 48.975, -999
20141007, 49.15, 49.56, 48.62, 48.64, 1224900, 48.64, 0, 1, 48.895, -999
20141006, 49.85, 50.06, 49.43, 49.46, 946700, 49.46, 0, 1, 49.655, -999
20141003, 49.75, 50.14, 49.64, 49.79, 1007600, 49.79, 0, 1, 49.77, -999
20141002, 49.13, 49.62, 48.78, 49.32, 1151000, 49.32, 0, 1, 49.225, -999
20141001, 49.93, 49.96, 49.08, 49.24, 1078100, 49.24, 0, 1, 49.585, -999
20140930, 50.21, 50.47, 49.79, 49.86, 902100, 49.86, 0, 1, 50.035, -999
