Ticker: CMCSA  Created on: 12/6/2014 5:24:08 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 56.31, 56.73, 56.17, 56.34, 7633500, 56.34, 0, 1, 56.325, -999
20141204, 56.85, 57.23, 56.1, 56.38, 15036200, 56.38, 0, 1, 56.615, -999
20141203, 57.06, 57.25, 56.52, 57.14, 10377100, 57.14, 0, 1, 57.1, -999
20141202, 56.49, 57.16, 56.3, 57.02, 9929100, 57.02, 0, 1, 56.755, -999
20141201, 56.97, 56.97, 56.28, 56.6, 11351300, 56.6, 0, 1, 56.785, -999
20141128, 57.28, 57.28, 56.78, 57.04, 5535500, 57.04, 0, 1, 57.16, -999
20141126, 56.77, 56.91, 56.45, 56.86, 9200800, 56.86, 0, 1, 56.815, -999
20141125, 55.64, 56.69, 55.4, 56.62, 17547400, 56.62, 0, 1, 56.13, -999
20141124, 54.32, 55.04, 54.26, 55.02, 12912900, 55.02, 0, 1, 54.67, -999
20141121, 54.85, 55.19, 53.86, 54.08, 18891900, 54.08, 0, 1, 54.465, -999
20141120, 54.37, 54.47, 54.05, 54.38, 9240400, 54.38, 0, 1, 54.375, -999
20141119, 54.33, 54.41, 53.91, 54.38, 16690500, 54.38, 0, 1, 54.355, -999
20141118, 54.2, 54.58, 53.77, 54.42, 13817800, 54.42, 0, 1, 54.31, -999
20141117, 54.01, 54.35, 53.69, 54.15, 13055700, 54.15, 0, 1, 54.08, -999
20141114, 54.48, 54.48, 53.77, 54.1, 10018600, 54.1, 0, 1, 54.29, -999
20141113, 53.7, 54.61, 53.41, 54.3, 20752800, 54.3, 0, 1, 54, -999
20141112, 53, 53.99, 52.88, 53.6, 28902800, 53.6, 0, 1, 53.3, -999
20141111, 52.88, 53.09, 51.56, 52.96, 38985300, 52.96, 0, 1, 52.92, -999
20141110, 55.24, 55.25, 51.79, 52.95, 66126300, 52.95, 0, 1, 54.095, -999
20141107, 55.45, 55.45, 54.4, 55.15, 17522200, 55.15, 0, 1, 55.3, -999
20141106, 55.27, 55.45, 54.6, 55.38, 10014600, 55.38, 0, 1, 55.325, -999
20141105, 54.87, 55.24, 54.46, 55.09, 9417900, 55.09, 0, 1, 54.98, -999
20141104, 55.62, 55.73, 54.2, 54.63, 13622000, 54.63, 0, 1, 55.125, -999
20141103, 55.26, 55.81, 55.26, 55.6, 11794800, 55.6, 0, 1, 55.43, -999
20141031, 55.69, 55.69, 54.76, 55.35, 17692900, 55.35, 0, 1, 55.52, -999
20141030, 54.42, 54.9, 54.08, 54.35, 13216700, 54.35, 0, 1, 54.385, -999
20141029, 54.59, 54.93, 54.35, 54.9, 16643700, 54.9, 0, 1, 54.745, -999
20141028, 54.15, 55.05, 54.15, 54.73, 14529600, 54.73, 0, 1, 54.44, -999
20141027, 54.21, 54.54, 53.82, 54.05, 13283200, 54.05, 0, 1, 54.13, -999
20141024, 53.69, 54.67, 53.43, 54.26, 22404900, 54.26, 0, 1, 53.975, -999
20141023, 52.18, 53.52, 51.91, 53.22, 21880200, 53.22, 0, 1, 52.7, -999
20141022, 52.19, 52.6, 51.35, 51.49, 22382100, 51.49, 0, 1, 51.84, -999
20141021, 51.68, 52.78, 51.62, 52.19, 28118500, 52.19, 0, 1, 51.935, -999
20141020, 50.68, 51.46, 50.23, 51.3, 14195500, 51.3, 0, 1, 50.99, -999
20141017, 49.98, 51.5, 49.98, 50.68, 29237900, 50.68, 0, 1, 50.33, -999
20141016, 50.1, 50.26, 49.53, 49.59, 44782400, 49.59, 0, 1, 49.845, -999
20141015, 50.76, 51.28, 49.33, 50.85, 41247500, 50.85, 0, 1, 50.805, -999
20141014, 52.05, 52.35, 51.36, 51.47, 26904300, 51.47, 0, 1, 51.76, -999
20141013, 52.33, 53.03, 51.57, 51.64, 22121700, 51.64, 0, 1, 51.985, -999
20141010, 53.43, 53.86, 52.59, 52.62, 27577400, 52.62, 0, 1, 53.025, -999
20141009, 54.77, 54.78, 53.29, 53.32, 18968500, 53.32, 0, 1, 54.045, -999
20141008, 53.39, 55.21, 53.13, 54.77, 22685800, 54.77, 0, 1, 54.08, -999
20141007, 53.18, 53.52, 52.63, 53.22, 12404500, 53.22, 0, 1, 53.2, -999
20141006, 53.74, 53.9, 53.25, 53.39, 8218300, 53.39, 0, 1, 53.565, -999
20141003, 52.88, 54.04, 52.88, 53.65, 14501400, 53.65, 0, 1, 53.265, -999
20141002, 52.83, 52.97, 51.64, 52.84, 18053200, 52.84, 0, 1, 52.835, -999
20141001, 53.69, 53.73, 52.75, 52.93, 15980000, 52.93, 0, 1, 53.31, -999
20140930, 54.23, 54.49, 53.68, 53.78, 14718500, 53.78, 0, 1, 54.005, -999
20140929, 53.67, 54.33, 53.41, 54.16, 12347300, 54.16, 0.225, 1, 53.915, -999
20140926, 53.78, 54.28, 53.69, 54.24, 10536200, 54.02, 0, 1, 53.9, -999
