Ticker: CMG  Created on: 12/6/2014 5:24:01 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 665.84, 665.84, 660, 660.57, 169700, 660.57, 0, 1, 663.205, -999
20141204, 652.53, 665.8, 651.53, 663.97, 377800, 663.97, 0, 1, 658.25, -999
20141203, 656.84, 661.5, 651.14, 651.27, 391000, 651.27, 0, 1, 654.055, -999
20141202, 659.88, 664.71, 655.6, 660.04, 286900, 660.04, 0, 1, 659.96, -999
20141201, 664.66, 670.2, 660.4, 660.88, 272000, 660.88, 0, 1, 662.77, -999
20141128, 661.49, 671.99, 661.49, 663.62, 172800, 663.62, 0, 1, 662.555, -999
20141126, 656.83, 661.17, 655, 660.21, 162300, 660.21, 0, 1, 658.52, -999
20141125, 662, 664.5, 654.12, 654.9, 460400, 654.9, 0, 1, 658.45, -999
20141124, 659.75, 660.94, 646.59, 659.54, 454900, 659.54, 0, 1, 659.645, -999
20141121, 667.49, 667.72, 656.92, 657.88, 349000, 657.88, 0, 1, 662.685, -999
20141120, 657.44, 663.83, 656.09, 662.83, 211700, 662.83, 0, 1, 660.135, -999
20141119, 659.99, 660.95, 654.28, 658.56, 234200, 658.56, 0, 1, 659.275, -999
20141118, 656, 663.58, 656, 658.09, 245300, 658.09, 0, 1, 657.045, -999
20141117, 668, 669.73, 657.34, 658.32, 367200, 658.32, 0, 1, 663.16, -999
20141114, 671.1, 675.24, 667.96, 669.8, 277800, 669.8, 0, 1, 670.45, -999
20141113, 666, 671.79, 662.7, 670.75, 348900, 670.75, 0, 1, 668.375, -999
20141112, 654.97, 668.93, 654.51, 664.25, 418900, 664.25, 0, 1, 659.61, -999
20141111, 649.4, 656.82, 647.49, 656.65, 356000, 656.65, 0, 1, 653.025, -999
20141110, 647.92, 650.4, 645.5, 648.86, 275600, 648.86, 0, 1, 648.39, -999
20141107, 647.38, 651.38, 642.29, 649.03, 300800, 649.03, 0, 1, 648.205, -999
20141106, 643.11, 647.33, 640.55, 647.12, 232800, 647.12, 0, 1, 645.115, -999
20141105, 651, 652.1, 640.41, 642.59, 328200, 642.59, 0, 1, 646.795, -999
20141104, 640.37, 649.3, 638, 647.68, 407800, 647.68, 0, 1, 644.025, -999
20141103, 638.28, 641, 635.32, 638.53, 306000, 638.53, 0, 1, 638.405, -999
20141031, 643.51, 646.5, 636.9, 638, 441500, 638, 0, 1, 640.755, -999
20141030, 640.52, 644.94, 637.27, 639.68, 263800, 639.68, 0, 1, 640.1, -999
20141029, 645.6, 648.82, 638.71, 639.86, 441800, 639.86, 0, 1, 642.73, -999
20141028, 631.49, 647.29, 630.56, 645.85, 601900, 645.85, 0, 1, 638.67, -999
20141027, 614.75, 633.37, 614.75, 630.11, 565800, 630.11, 0, 1, 622.43, -999
20141024, 613.03, 617.9, 608.8, 615.78, 493600, 615.78, 0, 1, 614.405, -999
20141023, 612.74, 615.67, 609.15, 610, 619100, 610, 0, 1, 611.37, -999
20141022, 611.27, 619.5, 607.57, 608.99, 1001500, 608.99, 0, 1, 610.13, -999
20141021, 624.95, 629.5, 607.55, 607.55, 2252700, 607.55, 0, 1, 616.25, -999
20141020, 643, 654.73, 641.19, 653.03, 1216100, 653.03, 0, 1, 648.015, -999
20141017, 647.96, 654.49, 638.03, 641.72, 687000, 641.72, 0, 1, 644.84, -999
20141016, 644.19, 650, 635.01, 645.98, 498700, 645.98, 0, 1, 645.085, -999
20141015, 641.37, 653.66, 631, 647.38, 613600, 647.38, 0, 1, 644.375, -999
20141014, 645.5, 652.02, 639, 651.17, 534500, 651.17, 0, 1, 648.335, -999
20141013, 657.75, 658.3, 638, 639.53, 481700, 639.53, 0, 1, 648.64, -999
20141010, 659.1, 668.58, 655.01, 655.58, 625900, 655.58, 0, 1, 657.34, -999
20141009, 670.34, 673.5, 657.74, 660.61, 392000, 660.61, 0, 1, 665.475, -999
20141008, 663.81, 672.66, 660.66, 672.1, 362100, 672.1, 0, 1, 667.955, -999
20141007, 667.05, 669.78, 661.76, 662.82, 348300, 662.82, 0, 1, 664.935, -999
20141006, 677, 681.8, 670.62, 671.13, 378800, 671.13, 0, 1, 674.065, -999
20141003, 666.39, 675.03, 663.73, 674.5, 402900, 674.5, 0, 1, 670.445, -999
20141002, 661.13, 666.65, 659.37, 662.57, 306400, 662.57, 0, 1, 661.85, -999
20141001, 666.5, 667.44, 656.16, 662.23, 387200, 662.23, 0, 1, 664.365, -999
20140930, 663.8, 669.78, 657.83, 666.59, 460500, 666.59, 0, 1, 665.195, -999
20140929, 655.99, 665.74, 651.5, 662.94, 240800, 662.94, 0, 1, 659.465, -999
20140926, 653.3, 664.94, 653.3, 660.77, 253500, 660.77, 0, 1, 657.035, -999
20140925, 659.51, 663.84, 651.41, 653.39, 276900, 653.39, 0, 1, 656.45, -999
20140924, 658.13, 666.98, 656.79, 664.71, 267100, 664.71, 0, 1, 661.42, -999
20140923, 654.64, 659.04, 653.84, 654.58, 164500, 654.58, 0, 1, 654.61, -999
20140922, 660.77, 663.96, 651.25, 656.1, 285400, 656.1, 0, 1, 658.435, -999
20140919, 666.25, 668.08, 661.46, 664.09, 395200, 664.09, 0, 1, 665.17, -999
20140918, 655.5, 665.7, 652.61, 664.32, 339900, 664.32, 0, 1, 659.91, -999
20140917, 650.5, 657.02, 642.64, 653.24, 530200, 653.24, 0, 1, 651.87, -999
20140916, 655.85, 656.87, 651, 654.2, 486700, 654.2, 0, 1, 655.025, -999
20140915, 664.42, 664.85, 650.03, 655.85, 519000, 655.85, 0, 1, 660.135, -999
20140912, 671.84, 672.64, 663.16, 664.81, 302800, 664.81, 0, 1, 668.325, -999
20140911, 670.29, 673.7, 666.62, 672.73, 317400, 672.73, 0, 1, 671.51, -999
20140910, 673, 677.19, 664.16, 671.36, 366600, 671.36, 0, 1, 672.18, -999
20140909, 679.1, 679.1, 669.27, 669.95, 282800, 669.95, 0, 1, 674.525, -999
20140908, 677.9, 679.77, 674.45, 678.37, 205600, 678.37, 0, 1, 678.135, -999
20140905, 679.81, 683.14, 676.35, 677.95, 240000, 677.95, 0, 1, 678.88, -999
20140904, 681, 685.44, 677.24, 680.54, 270600, 680.54, 0, 1, 680.77, -999
20140903, 684.5, 692.9, 678.8, 680.1, 306900, 680.1, 0, 1, 682.3, -999
20140902, 678.85, 683.5, 675.25, 682.9, 232700, 682.9, 0, 1, 680.875, -999
20140829, 678.97, 680.5, 674.15, 678.65, 180800, 678.65, 0, 1, 678.81, -999
20140828, 676.15, 679.66, 674.25, 677.84, 153000, 677.84, 0, 1, 676.995, -999
20140827, 681.38, 683.87, 676.14, 677.03, 259800, 677.03, 0, 1, 679.205, -999
20140826, 676.72, 685.98, 676.72, 683.89, 289600, 683.89, 0, 1, 680.305, -999
20140825, 679, 680.22, 675.02, 676.24, 213700, 676.24, 0, 1, 677.62, -999
20140822, 678.17, 681.41, 673.89, 676.95, 358900, 676.95, 0, 1, 677.56, -999
20140821, 697, 697.93, 677.5, 681.07, 716100, 681.07, 0, 1, 689.035, -999
20140820, 680.76, 680.76, 675.02, 678.41, 305900, 678.41, 0, 1, 679.585, -999
20140819, 686.35, 689.45, 680.82, 681.08, 231600, 681.08, 0, 1, 683.715, -999
20140818, 681, 684.87, 680.41, 684.83, 201100, 684.83, 0, 1, 682.915, -999
20140815, 682.48, 684.15, 673.76, 678.18, 331700, 678.18, 0, 1, 680.33, -999
20140814, 683.78, 685.97, 675.81, 679.29, 303900, 679.29, 0, 1, 681.535, -999
20140813, 675, 688.43, 675, 683.68, 387500, 683.68, 0, 1, 679.34, -999
20140812, 678.16, 679.66, 672, 676.23, 225900, 676.23, 0, 1, 677.195, -999
20140811, 673.46, 682.74, 668.08, 680.54, 355000, 680.54, 0, 1, 677, -999
20140808, 668, 670.21, 664.24, 669.7, 354200, 669.7, 0, 1, 668.85, -999
20140807, 677.5, 679.95, 669.16, 671.84, 289800, 671.84, 0, 1, 674.67, -999
20140806, 671, 681.56, 668.67, 673, 374800, 673, 0, 1, 672, -999
20140805, 682.93, 682.93, 671.53, 674.71, 333600, 674.71, 0, 1, 678.82, -999
20140804, 678.03, 686.05, 674.44, 682.98, 445500, 682.98, 0, 1, 680.505, -999
20140801, 674.81, 677.18, 667.64, 675.14, 341600, 675.14, 0, 1, 674.975, -999
20140731, 678.01, 679.5, 672, 672.5, 462400, 672.5, 0, 1, 675.255, -999
20140730, 678, 682.67, 676, 681.83, 404200, 681.83, 0, 1, 679.915, -999
20140729, 677.42, 680.37, 673.31, 674.36, 282400, 674.36, 0, 1, 675.89, -999
20140728, 675.11, 678.96, 671.99, 678.01, 470700, 678.01, 0, 1, 676.56, -999
20140725, 657.8, 674, 657.8, 673.58, 595800, 673.58, 0, 1, 665.69, -999
20140724, 663.13, 663.77, 656.79, 660.2, 373800, 660.2, 0, 1, 661.665, -999
20140723, 658.71, 662.69, 655.16, 661.27, 554500, 661.27, 0, 1, 659.99, -999
20140722, 649.9, 667.9, 649.27, 659.77, 2260800, 659.77, 0, 1, 654.835, -999
20140721, 593.29, 596.9, 582.69, 589.93, 1099600, 589.93, 0, 1, 591.61, -999
20140718, 583.71, 593.41, 583.02, 592.42, 432500, 592.42, 0, 1, 588.065, -999
20140717, 591.02, 592, 579.81, 581.65, 415400, 581.65, 0, 1, 586.335, -999
20140716, 601, 601.32, 590, 590.47, 387000, 590.47, 0, 1, 595.735, -999
20140715, 605, 606.87, 590.34, 597.45, 558700, 597.45, 0, 1, 601.225, -999
20140714, 601.7, 608.77, 600.09, 604.92, 325500, 604.92, 0, 1, 603.31, -999
20140711, 600.44, 601.5, 597.5, 598.49, 224600, 598.49, 0, 1, 599.465, -999
20140710, 596, 607.55, 595.05, 600.61, 425400, 600.61, 0, 1, 598.305, -999
20140709, 588.55, 605, 588.55, 604.17, 597000, 604.17, 0, 1, 596.36, -999
20140708, 591.26, 592.75, 575.92, 586.59, 520900, 586.59, 0, 1, 588.925, -999
20140707, 601.65, 603.16, 592.83, 593.83, 298600, 593.83, 0, 1, 597.74, -999
20140703, 600.25, 604.78, 598.55, 603.6, 140600, 603.6, 0, 1, 601.925, -999
20140702, 603.49, 603.49, 597, 599.32, 240100, 599.32, 0, 1, 601.405, -999
20140701, 596.35, 604.08, 594.53, 603.26, 312200, 603.26, 0, 1, 599.805, -999
20140630, 596.41, 597.08, 592.06, 592.51, 311100, 592.51, 0, 1, 594.46, -999
20140627, 599.81, 600.68, 595.7, 596.14, 314400, 596.14, 0, 1, 597.975, -999
20140626, 596.22, 600.78, 593.3, 600.32, 231900, 600.32, 0, 1, 598.27, -999
20140625, 595.7, 600.3, 592.06, 599.5, 224700, 599.5, 0, 1, 597.6, -999
20140624, 599, 601.61, 595.46, 595.62, 365100, 595.62, 0, 1, 597.31, -999
20140623, 592.99, 602.21, 590.75, 599.59, 370300, 599.59, 0, 1, 596.29, -999
20140620, 595, 595.84, 590.65, 592.43, 412100, 592.43, 0, 1, 593.715, -999
20140619, 594.45, 597.45, 591.55, 594.54, 359200, 594.54, 0, 1, 594.495, -999
20140618, 591.88, 595.33, 587.2, 594.91, 322700, 594.91, 0, 1, 593.395, -999
20140617, 593.14, 596.16, 590.54, 593.52, 322300, 593.52, 0, 1, 593.33, -999
20140616, 587.03, 595.48, 584.38, 594.01, 451100, 594.01, 0, 1, 590.52, -999
20140613, 576.84, 589, 576.84, 588.26, 586900, 588.26, 0, 1, 582.55, -999
20140612, 571.75, 583.27, 570.01, 581.85, 916200, 581.85, 0, 1, 576.8, -999
20140611, 560.92, 571.51, 560.01, 570.34, 325600, 570.34, 0, 1, 565.63, -999
20140610, 566, 568.8, 563.17, 564.76, 282900, 564.76, 0, 1, 565.38, -999
20140609, 568.25, 570.68, 565.93, 568.5, 246800, 568.5, 0, 1, 568.375, -999
20140606, 560.75, 570.22, 559.14, 569.17, 394600, 569.17, 0, 1, 564.96, -999
20140605, 557.55, 564.21, 556.49, 561.03, 345600, 561.03, 0, 1, 559.29, -999
20140604, 549.46, 559.38, 546.82, 558.84, 375800, 558.84, 0, 1, 554.15, -999
20140603, 548.13, 552.5, 548, 550.59, 357700, 550.59, 0, 1, 549.36, -999
20140602, 548, 552.85, 545.27, 551.56, 399200, 551.56, 0, 1, 549.78, -999
20140530, 546.97, 549.27, 542.5, 547.09, 454100, 547.09, 0, 1, 547.03, -999
20140529, 538.85, 546.9, 538.5, 545.42, 617900, 545.42, 0, 1, 542.135, -999
