Ticker: CMI  Created on: 12/6/2014 5:24:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 149.97, 150.92, 149.43, 150.86, 1248400, 150.86, 0, 1, 150.415, -999
20141204, 149.95, 150.6, 149.1, 149.96, 1240700, 149.96, 0, 1, 149.955, -999
20141203, 148.68, 151.25, 147.31, 150.6, 2060900, 150.6, 0, 1, 149.64, -999
20141202, 145.28, 146.33, 144.7, 146.19, 1342500, 146.19, 0, 1, 145.735, -999
20141201, 145.64, 146.22, 144.37, 145.34, 1563600, 145.34, 0, 1, 145.49, -999
20141128, 148.02, 148.06, 145.08, 145.62, 1106100, 145.62, 0, 1, 146.82, -999
20141126, 148.98, 149.4, 147.75, 148.92, 1438100, 148.92, 0, 1, 148.95, -999
20141125, 148.61, 149.48, 147.75, 149.22, 1400800, 149.22, 0, 1, 148.915, -999
20141124, 148.3, 149.3, 147.56, 147.99, 1481000, 147.99, 0, 1, 148.145, -999
20141121, 146.99, 149.71, 146.5, 148.45, 2400900, 148.45, 0, 1, 147.72, -999
20141120, 142.18, 144.36, 142, 143.96, 869800, 143.96, 0, 1, 143.07, -999
20141119, 144.8, 144.8, 142.97, 143.14, 1219900, 143.14, 0, 1, 143.97, -999
20141118, 144.27, 145.62, 144.27, 144.84, 1185800, 144.84, 0, 1, 144.555, -999
20141117, 145.09, 145.2, 143.86, 144.78, 1001800, 144, 0, 1, 144.545, -999
20141114, 144.73, 145.27, 143.8, 145.06, 701200, 144.28, 0, 1, 144.505, -999
20141113, 146.47, 146.61, 143.88, 144.52, 1252100, 143.74, 0, 1, 145.105, -999
20141112, 146.42, 147.22, 145.52, 146.49, 958400, 145.7, 0, 1, 146.06, -999
20141111, 146.18, 147.25, 145.66, 146.6, 1024900, 145.81, 0, 1, 145.995, -999
20141110, 146.39, 147.25, 145.73, 146.5, 1358000, 145.71, 0, 1, 146.05, -999
20141107, 146.53, 147.43, 145.49, 146.04, 1346500, 145.25, 0, 1, 145.89, -999
20141106, 144.99, 146.72, 144.22, 146.64, 1666600, 145.85, 0, 1, 145.42, -999
20141105, 144.53, 144.85, 141.57, 144.12, 2785900, 143.34, 0, 1, 143.935, -999
20141104, 143.49, 144.4, 141.26, 141.77, 4094100, 141.01, 0, 1, 142.25, -999
20141103, 146.02, 146.25, 144.48, 145.09, 1720000, 144.31, 0, 1, 145.165, -999
20141031, 146.81, 147.14, 145.51, 146.18, 2090800, 145.39, 0, 1, 146.1, -999
20141030, 144.04, 145.99, 143.13, 144.62, 1731000, 143.84, 0, 1, 143.94, -999
20141029, 144.25, 145.18, 143.14, 144.51, 1854600, 143.73, 0, 1, 143.99, -999
20141028, 140.93, 145.15, 139.78, 144.59, 3787400, 143.81, 0, 1, 142.37, -999
20141027, 136.03, 136.39, 134.31, 135.37, 1787500, 134.64, 0, 1, 135.335, -999
20141024, 136.34, 137.52, 135.28, 137.25, 1232600, 136.51, 0, 1, 136.425, -999
20141023, 134.21, 137.33, 134.21, 136.36, 1380600, 135.63, 0, 1, 134.92, -999
