Ticker: CNP  Created on: 12/6/2014 5:23:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 23.74, 23.93, 23.48, 23.55, 3944600, 23.55, 0, 1, 23.645, -999
20141204, 24.06, 24.17, 23.87, 23.92, 4794300, 23.92, 0, 1, 23.99, -999
20141203, 23.81, 24.15, 23.76, 24.09, 3590000, 24.09, 0, 1, 23.95, -999
20141202, 23.47, 23.9, 23.41, 23.77, 5478200, 23.77, 0, 1, 23.62, -999
20141201, 23.85, 23.88, 23.4, 23.5, 5473000, 23.5, 0, 1, 23.675, -999
20141128, 24.25, 24.37, 23.85, 23.94, 3599900, 23.94, 0, 1, 24.095, -999
20141126, 24.37, 24.43, 24.22, 24.27, 1887800, 24.27, 0, 1, 24.32, -999
20141125, 24.42, 24.44, 24.15, 24.31, 3464500, 24.31, 0, 1, 24.365, -999
20141124, 24.4, 24.55, 24.3, 24.35, 2973200, 24.35, 0, 1, 24.375, -999
20141121, 24.59, 24.61, 24.18, 24.34, 6072900, 24.34, 0, 1, 24.465, -999
20141120, 24.31, 24.51, 24.22, 24.33, 1806000, 24.33, 0, 1, 24.32, -999
20141119, 24.5, 24.63, 24.34, 24.38, 2604800, 24.38, 0, 1, 24.44, -999
20141118, 24.37, 24.66, 24.24, 24.59, 2906000, 24.59, 0, 1, 24.48, -999
20141117, 24.05, 24.45, 23.95, 24.38, 2971500, 24.38, 0, 1, 24.215, -999
20141114, 24.11, 24.21, 23.98, 24.04, 3989700, 24.04, 0, 1, 24.075, -999
20141113, 24.62, 24.73, 24.16, 24.19, 4326600, 24.19, 0, 1, 24.405, -999
20141112, 24.74, 24.94, 24.56, 24.57, 5329600, 24.57, 0, 1, 24.655, -999
20141111, 25.43, 25.56, 25.13, 25.3, 3106600, 25.06, 0, 1, 25.245, -999
20141110, 25.25, 25.39, 25.1, 25.38, 3213700, 25.14, 0, 1, 25.195, -999
20141107, 24.98, 25.27, 24.92, 25.23, 4157700, 24.99, 0, 1, 24.985, -999
20141106, 25.08, 25.11, 24.53, 24.94, 5957100, 24.71, 0, 1, 24.895, -999
20141105, 24.95, 25.21, 24.43, 25.13, 9388400, 24.89, 0, 1, 24.92, -999
20141104, 24.79, 24.92, 24.39, 24.64, 4808700, 24.41, 0, 1, 24.6, -999
20141103, 24.63, 25.1, 24.56, 24.88, 6256500, 24.65, 0, 1, 24.64, -999
20141031, 24.5, 24.58, 24.24, 24.55, 5079900, 24.32, 0, 1, 24.41, -999
20141030, 24.22, 24.56, 24.18, 24.41, 4420500, 24.18, 0, 1, 24.2, -999
20141029, 24.33, 24.45, 23.88, 24.2, 2371000, 23.97, 0, 1, 24.15, -999
20141028, 24.1, 24.29, 24.04, 24.29, 3193000, 24.06, 0, 1, 24.08, -999
20141027, 24.02, 24.22, 23.9, 24.01, 3847700, 23.78, 0, 1, 23.9, -999
20141024, 23.88, 24.14, 23.8, 24, 2016700, 23.77, 0, 1, 23.825, -999
20141023, 23.69, 24.02, 23.58, 23.82, 3148200, 23.6, 0, 1, 23.645, -999
20141022, 23.87, 24.16, 23.51, 23.52, 5155000, 23.3, 0, 1, 23.585, -999
20141021, 23.63, 23.99, 23.53, 23.87, 3943400, 23.65, 0, 1, 23.64, -999
20141020, 23.16, 23.65, 23.06, 23.54, 3750900, 23.32, 0, 1, 23.24, -999
20141017, 22.73, 23.32, 22.53, 23.17, 7457600, 22.95, 0, 1, 22.84, -999
20141016, 21.9, 22.83, 21.77, 22.55, 9922700, 22.34, 0, 1, 22.12, -999
20141015, 22.51, 22.59, 21.07, 22.14, 9788900, 21.93, 0, 1, 22.22, -999
20141014, 23.28, 23.31, 22.63, 22.81, 9142700, 22.6, 0, 1, 22.94, -999
20141013, 24.04, 24.15, 23.13, 23.16, 10151100, 22.94, 0, 1, 23.49, -999
20141010, 24.29, 24.46, 23.94, 24.08, 5240900, 23.85, 0, 1, 24.07, -999
20141009, 24.75, 24.84, 24.1, 24.19, 4097900, 23.96, 0, 1, 24.355, -999
20141008, 24.47, 24.79, 24.41, 24.75, 4941800, 24.52, 0, 1, 24.495, -999
20141007, 24.58, 24.72, 24.47, 24.48, 3213800, 24.25, 0, 1, 24.415, -999
20141006, 24.75, 24.84, 24.51, 24.62, 1999300, 24.39, 0, 1, 24.57, -999
20141003, 24.57, 24.83, 24.46, 24.73, 2168500, 24.5, 0, 1, 24.535, -999
20141002, 24.54, 24.68, 24.43, 24.53, 3064400, 24.3, 0, 1, 24.42, -999
20141001, 24.52, 24.75, 24.49, 24.54, 2987000, 24.31, 0, 1, 24.415, -999
20140930, 24.49, 24.7, 24.39, 24.47, 3960300, 24.24, 0, 1, 24.365, -999
20140929, 24.35, 24.51, 24.29, 24.46, 3074000, 24.23, 0, 1, 24.29, -999
20140926, 23.94, 24.5, 23.81, 24.39, 6338500, 24.16, 0, 1, 24.05, -999
20140925, 23.84, 24.21, 23.8, 23.94, 4138900, 23.71, 0, 1, 23.775, -999
20140924, 23.89, 24.01, 23.79, 23.87, 3851000, 23.65, 0, 1, 23.77, -999
20140923, 23.8, 23.88, 23.73, 23.86, 5104800, 23.64, 0, 1, 23.72, -999
20140922, 24.17, 24.17, 23.83, 23.85, 4821000, 23.63, 0, 1, 23.9, -999
20140919, 24.22, 24.28, 24.03, 24.06, 7954100, 23.83, 0, 1, 24.025, -999
20140918, 24.37, 24.43, 24.14, 24.22, 2475700, 23.99, 0, 1, 24.18, -999
20140917, 24.5, 24.62, 24.16, 24.36, 4665200, 24.13, 0, 1, 24.315, -999
20140916, 24.23, 24.53, 24.22, 24.43, 2780800, 24.2, 0, 1, 24.215, -999
20140915, 24.29, 24.44, 24.23, 24.27, 2884600, 24.04, 0, 1, 24.165, -999
20140912, 24.67, 24.7, 24.19, 24.25, 2217800, 24.02, 0, 1, 24.345, -999
20140911, 24.62, 24.78, 24.57, 24.75, 1775700, 24.52, 0, 1, 24.57, -999
20140910, 24.69, 24.74, 24.5, 24.61, 3226700, 24.38, 0, 1, 24.535, -999
20140909, 24.79, 24.95, 24.67, 24.69, 2935500, 24.46, 0, 1, 24.625, -999
20140908, 25.02, 25.09, 24.75, 24.85, 2578200, 24.62, 0, 1, 24.82, -999
20140905, 24.77, 25.06, 24.77, 25.02, 2073500, 24.78, 0, 1, 24.775, -999
20140904, 24.84, 24.92, 24.62, 24.75, 2362100, 24.52, 0, 1, 24.68, -999
20140903, 24.76, 24.97, 24.76, 24.88, 1577300, 24.65, 0, 1, 24.705, -999
20140902, 24.85, 24.9, 24.61, 24.74, 2273100, 24.51, 0, 1, 24.68, -999
20140829, 24.87, 24.9, 24.7, 24.84, 2789100, 24.61, 0, 1, 24.74, -999
20140828, 24.55, 24.85, 24.55, 24.84, 993200, 24.61, 0, 1, 24.58, -999
20140827, 24.61, 24.72, 24.55, 24.63, 1759500, 24.4, 0, 1, 24.505, -999
20140826, 24.86, 24.88, 24.52, 24.56, 1718700, 24.33, 0, 1, 24.595, -999
20140825, 24.55, 24.85, 24.53, 24.79, 2845300, 24.56, 0, 1, 24.555, -999
20140822, 24.65, 24.75, 24.46, 24.52, 2102600, 24.29, 0, 1, 24.47, -999
20140821, 24.74, 24.9, 24.67, 24.69, 1732300, 24.46, 0, 1, 24.6, -999
20140820, 24.83, 24.91, 24.53, 24.73, 2588500, 24.5, 0, 1, 24.665, -999
20140819, 24.4, 24.66, 24.38, 24.65, 2548900, 24.42, 0, 1, 24.41, -999
20140818, 24.58, 24.69, 24.34, 24.39, 2434200, 24.16, 0, 1, 24.37, -999
20140815, 24.5, 24.7, 24.29, 24.51, 4625800, 24.28, 0, 1, 24.39, -999
20140814, 24.28, 24.54, 24.21, 24.5, 2438800, 24.27, 0, 1, 24.275, -999
20140813, 24.17, 24.35, 24.07, 24.23, 2980500, 24, 0.238, 1, 24.085, -999
20140812, 24.36, 24.53, 24.29, 24.39, 3571700, 23.92, 0, 1, 24.14, -999
20140811, 24.36, 24.55, 24.26, 24.36, 4147700, 23.9, 0, 1, 24.13, -999
20140808, 23.99, 24.35, 23.97, 24.33, 2854600, 23.87, 0, 1, 23.93, -999
20140807, 23.6, 24.01, 23.6, 23.88, 3876000, 23.42, 0, 1, 23.51, -999
20140806, 23.98, 24.01, 23.47, 23.56, 9841000, 23.11, 0, 1, 23.545, -999
20140805, 24.3, 24.36, 23.87, 23.94, 4632300, 23.48, 0, 1, 23.89, -999
20140804, 24.48, 24.48, 23.98, 24.45, 5408500, 23.98, 0, 1, 24.23, -999
20140801, 24.29, 24.65, 24.25, 24.49, 3434700, 24.02, 0, 1, 24.155, -999
20140731, 24.45, 24.65, 24.3, 24.32, 4623500, 23.86, 0, 1, 24.155, -999
20140730, 25.02, 25.1, 24.48, 24.56, 3241200, 24.09, 0, 1, 24.555, -999
20140729, 25.18, 25.23, 24.89, 24.98, 2983300, 24.5, 0, 1, 24.84, -999
20140728, 24.84, 25.24, 24.83, 25.15, 2244700, 24.67, 0, 1, 24.755, -999
20140725, 25.07, 25.14, 24.86, 24.87, 1339600, 24.4, 0, 1, 24.735, -999
20140724, 25.05, 25.22, 24.91, 25.16, 2250300, 24.68, 0, 1, 24.865, -999
20140723, 25.12, 25.13, 24.99, 25, 1192200, 24.52, 0, 1, 24.82, -999
20140722, 25.17, 25.28, 25.12, 25.12, 1288900, 24.64, 0, 1, 24.905, -999
20140721, 24.99, 25.23, 24.94, 25.13, 2195700, 24.65, 0, 1, 24.82, -999
20140718, 25, 25.1, 24.8, 25.07, 2906300, 24.59, 0, 1, 24.795, -999
20140717, 24.83, 25.14, 24.78, 24.81, 3407500, 24.34, 0, 1, 24.585, -999
20140716, 24.9, 24.95, 24.69, 24.92, 2523400, 24.44, 0, 1, 24.67, -999
20140715, 24.76, 24.95, 24.72, 24.9, 2708000, 24.43, 0, 1, 24.595, -999
20140714, 25, 25.09, 24.69, 24.72, 2253600, 24.25, 0, 1, 24.625, -999
20140711, 25.04, 25.15, 24.91, 24.97, 1817400, 24.49, 0, 1, 24.765, -999
20140710, 24.85, 25.06, 24.77, 25.06, 2049800, 24.58, 0, 1, 24.715, -999
20140709, 24.9, 25.02, 24.77, 24.9, 2051900, 24.43, 0, 1, 24.665, -999
20140708, 24.74, 25.03, 24.74, 24.83, 2977100, 24.36, 0, 1, 24.55, -999
20140707, 24.76, 24.93, 24.72, 24.78, 2465900, 24.31, 0, 1, 24.535, -999
20140703, 24.92, 25.01, 24.66, 24.77, 1931600, 24.3, 0, 1, 24.61, -999
20140702, 25.34, 25.35, 24.86, 24.91, 2982100, 24.43, 0, 1, 24.885, -999
20140701, 25.58, 25.62, 25.38, 25.38, 4410300, 24.9, 0, 1, 25.24, -999
