Ticker: COH  Created on: 12/6/2014 5:24:06 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 34.66, 34.88, 34.2, 34.5, 2773400, 34.5, 0, 1, 34.58, -999
20141204, 35.01, 35.17, 34.58, 34.7, 2798700, 34.7, 0, 1, 34.855, -999
20141203, 34.73, 35.12, 34.51, 35.09, 5648900, 35.09, 0, 1, 34.91, -999
20141202, 36, 36.17, 34.94, 35.19, 8236900, 34.85, 0, 1, 35.425, -999
20141201, 36.89, 36.95, 35.66, 36.1, 4762800, 35.75, 0, 1, 36.32, -999
20141128, 36.83, 37.29, 36.76, 37.12, 2526400, 36.76, 0, 1, 36.795, -999
20141126, 37.13, 37.18, 36.59, 36.66, 3292800, 36.31, 0, 1, 36.72, -999
20141125, 37.44, 37.59, 36.48, 37.09, 5520000, 36.73, 0, 1, 37.085, -999
20141124, 36.65, 37.6, 36.58, 37.41, 6164400, 37.05, 0, 1, 36.85, -999
20141121, 36.6, 37, 36.36, 36.46, 4231400, 36.11, 0, 1, 36.355, -999
20141120, 35.36, 36.45, 35.36, 36.13, 3606000, 35.78, 0, 1, 35.57, -999
20141119, 35.23, 35.6, 35.13, 35.44, 2346900, 35.1, 0, 1, 35.165, -999
20141118, 35.1, 35.49, 34.92, 35.3, 3739900, 34.96, 0, 1, 35.03, -999
20141117, 35.04, 35.4, 35.03, 35.11, 3266400, 34.77, 0, 1, 34.905, -999
20141114, 34.76, 35.36, 34.7, 35.19, 3271600, 34.85, 0, 1, 34.805, -999
20141113, 35.16, 35.42, 34.58, 34.7, 4174000, 34.37, 0, 1, 34.765, -999
20141112, 34.33, 35.22, 34.25, 35.16, 3701100, 34.82, 0, 1, 34.575, -999
20141111, 34.1, 34.5, 34.03, 34.29, 3688500, 33.96, 0, 1, 34.03, -999
20141110, 33.68, 34.13, 33.63, 33.9, 4150500, 33.57, 0, 1, 33.625, -999
20141107, 33.45, 34, 33.33, 33.66, 3587800, 33.34, 0, 1, 33.395, -999
20141106, 33.03, 33.5, 32.86, 33.46, 4958300, 33.14, 0, 1, 33.085, -999
20141105, 33, 33.13, 32.72, 33.02, 4532600, 32.7, 0, 1, 32.85, -999
20141104, 33.62, 33.73, 32.92, 33, 5350000, 32.68, 0, 1, 33.15, -999
20141103, 34.44, 34.57, 33.9, 33.94, 4652700, 33.61, 0, 1, 34.025, -999
20141031, 34.64, 34.64, 34.09, 34.38, 4478000, 34.05, 0, 1, 34.345, -999
20141030, 33.56, 34.32, 33.53, 34.27, 5857800, 33.94, 0, 1, 33.75, -999
20141029, 33.5, 34.19, 33.5, 33.8, 5736400, 33.48, 0, 1, 33.49, -999
20141028, 34.68, 35.04, 33.25, 34, 15696800, 33.67, 0, 1, 34.175, -999
20141027, 35.88, 36.27, 35.43, 36.15, 4729400, 35.8, 0, 1, 35.84, -999
20141024, 35.89, 36.05, 35.64, 35.97, 3368800, 35.62, 0, 1, 35.755, -999
