Ticker: COL  Created on: 12/6/2014 5:25:57 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 84.56, 85.41, 84.56, 85.16, 958600, 85.16, 0, 1, 84.86, -999
20141204, 85.19, 85.4, 84.35, 84.59, 1152100, 84.59, 0, 1, 84.89, -999
20141203, 84.78, 85.35, 84.32, 85.05, 2043400, 85.05, 0, 1, 84.915, -999
20141202, 84.96, 85.04, 84.45, 84.84, 677500, 84.84, 0, 1, 84.9, -999
20141201, 85.44, 85.46, 84.72, 84.88, 775600, 84.88, 0, 1, 85.16, -999
20141128, 85.49, 86.2, 85.32, 85.53, 505600, 85.53, 0, 1, 85.51, -999
20141126, 85.2, 85.34, 84.98, 85.09, 499400, 85.09, 0, 1, 85.145, -999
20141125, 85.2, 85.39, 84.95, 85.11, 820300, 85.11, 0, 1, 85.155, -999
20141124, 84.61, 85.55, 84.4, 85.16, 859100, 85.16, 0, 1, 84.885, -999
20141121, 85.19, 85.56, 84.28, 84.48, 2083800, 84.48, 0, 1, 84.835, -999
20141120, 84.04, 84.53, 83.63, 84.37, 442600, 84.37, 0, 1, 84.205, -999
20141119, 83.92, 84.37, 83.49, 84.34, 655800, 84.34, 0, 1, 84.13, -999
20141118, 83.77, 84.08, 83.56, 83.92, 858100, 83.92, 0, 1, 83.845, -999
20141117, 84.16, 84.31, 83.56, 83.69, 796900, 83.69, 0, 1, 83.925, -999
20141114, 84.61, 84.61, 83.69, 84.15, 957600, 84.15, 0, 1, 84.38, -999
20141113, 84.98, 85.48, 84.62, 84.81, 684100, 84.81, 0, 1, 84.895, -999
20141112, 85.01, 85.64, 84.93, 85.23, 389200, 84.93, 0, 1, 84.97, -999
20141111, 85.25, 85.75, 84.79, 85.16, 459500, 84.86, 0, 1, 85.055, -999
20141110, 84.8, 85.2, 84.36, 85.13, 643200, 84.83, 0, 1, 84.815, -999
20141107, 84.15, 84.81, 83.61, 84.8, 764200, 84.5, 0, 1, 84.325, -999
20141106, 84.15, 84.41, 83.7, 83.98, 1144000, 83.68, 0, 1, 83.915, -999
20141105, 84.44, 84.5, 83.31, 83.94, 1028000, 83.64, 0, 1, 84.04, -999
20141104, 84.16, 84.85, 84.06, 84.32, 1603000, 84.02, 0, 1, 84.09, -999
20141103, 84.37, 84.93, 84.05, 84.16, 1715200, 83.86, 0, 1, 84.115, -999
20141031, 84.61, 84.95, 83.68, 84.15, 2167700, 83.85, 0, 1, 84.23, -999
20141030, 81.83, 83.22, 81.61, 82.91, 677200, 82.62, 0, 1, 82.225, -999
20141029, 82.01, 82.41, 81.66, 82.24, 706100, 81.95, 0, 1, 81.98, -999
20141028, 80.82, 82.18, 80.75, 82.02, 1048300, 81.73, 0, 1, 81.275, -999
20141027, 79.07, 80.32, 79.03, 80.22, 959600, 79.94, 0, 1, 79.505, -999
20141024, 78.3, 79.17, 78.12, 79.12, 747500, 78.84, 0, 1, 78.57, -999
20141023, 78, 78.63, 77.97, 78.19, 1056900, 77.91, 0, 1, 77.955, -999
20141022, 78.39, 78.7, 77.34, 77.37, 967700, 77.1, 0, 1, 77.745, -999
20141021, 77.17, 78.16, 76.83, 78.15, 1159100, 77.87, 0, 1, 77.52, -999
20141020, 75.99, 76.66, 75.98, 76.6, 648200, 76.33, 0, 1, 76.16, -999
20141017, 75.11, 77.12, 75, 76.25, 1495400, 75.98, 0, 1, 75.545, -999
20141016, 73.13, 74.76, 72.97, 74.23, 1593600, 73.97, 0, 1, 73.55, -999
20141015, 73.58, 74.56, 72.35, 74.1, 1086200, 73.84, 0, 1, 73.71, -999
20141014, 73.68, 75, 73.43, 74.3, 812300, 74.04, 0, 1, 73.86, -999
20141013, 74.94, 75.38, 73.42, 73.48, 766800, 73.22, 0, 1, 74.08, -999
20141010, 75.22, 75.45, 74.61, 74.82, 1045100, 74.56, 0, 1, 74.89, -999
20141009, 76.21, 76.3, 74.74, 74.99, 746700, 74.73, 0, 1, 75.47, -999
20141008, 75.85, 76.48, 75.53, 76.25, 1454000, 75.98, 0, 1, 75.915, -999
20141007, 76.98, 77.14, 75.92, 75.94, 587900, 75.67, 0, 1, 76.325, -999
20141006, 77.78, 78.1, 77.11, 77.29, 531600, 77.02, 0, 1, 77.4, -999
20141003, 77.07, 77.55, 76.7, 77.35, 349100, 77.08, 0, 1, 77.075, -999
20141002, 76.66, 77.1, 76.01, 76.57, 525500, 76.3, 0, 1, 76.48, -999
20141001, 78.14, 78.5, 76.56, 76.86, 672300, 76.59, 0, 1, 77.365, -999
20140930, 78.97, 79.19, 78.21, 78.5, 510000, 78.22, 0, 1, 78.595, -999
20140929, 78.19, 79.2, 78.11, 78.93, 562500, 78.65, 0, 1, 78.42, -999
20140926, 77.88, 78.81, 77.79, 78.72, 605400, 78.44, 0, 1, 78.16, -999
20140925, 78.98, 78.99, 77.92, 78.14, 646000, 77.86, 0, 1, 78.42, -999
20140924, 78.36, 79.31, 78.36, 78.99, 757700, 78.71, 0, 1, 78.535, -999
20140923, 78.85, 79.15, 78.25, 78.49, 687000, 78.21, 0, 1, 78.53, -999
20140922, 79.88, 80.17, 79.32, 79.36, 873900, 79.08, 0, 1, 79.48, -999
20140919, 78.41, 81.9, 78.31, 79.93, 2797900, 79.65, 0, 1, 79.03, -999
20140918, 77.36, 77.89, 77.31, 77.8, 629200, 77.53, 0, 1, 77.445, -999
20140917, 77.26, 77.75, 76.99, 77.31, 369700, 77.04, 0, 1, 77.15, -999
20140916, 76.9, 77.5, 76.36, 77.23, 433800, 76.96, 0, 1, 76.93, -999
20140915, 76.79, 76.92, 76.49, 76.91, 729000, 76.64, 0, 1, 76.715, -999
