Ticker: COST  Created on: 12/6/2014 5:24:11 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 143.18, 143.31, 141.96, 143.25, 1191500, 143.25, 0, 1, 143.215, -999
20141204, 143.49, 143.49, 142.02, 143.02, 1315900, 143.02, 0, 1, 143.255, -999
20141203, 142.98, 143.3, 141.98, 142.69, 1793900, 142.69, 0, 1, 142.835, -999
20141202, 142.43, 143.35, 141.76, 143.06, 1764100, 143.06, 0, 1, 142.745, -999
20141201, 143.32, 143.32, 141.27, 141.98, 1952100, 141.98, 0, 1, 142.65, -999
20141128, 141.3, 142.97, 140.31, 142.12, 1442600, 142.12, 0, 1, 141.71, -999
20141126, 139.5, 140.88, 139.04, 139.75, 1631900, 139.75, 0, 1, 139.625, -999
20141125, 140.1, 140.35, 138.74, 138.87, 1865800, 138.87, 0, 1, 139.485, -999
20141124, 139.33, 139.99, 139.19, 139.8, 1645800, 139.8, 0, 1, 139.565, -999
20141121, 140.8, 140.83, 139.23, 139.72, 1849200, 139.72, 0, 1, 140.26, -999
20141120, 139.06, 140.01, 139.02, 139.25, 1516900, 139.25, 0, 1, 139.155, -999
20141119, 139.09, 140.14, 139.09, 140.01, 1362600, 140.01, 0, 1, 139.55, -999
20141118, 138.48, 139.34, 138.04, 139.21, 1574600, 139.21, 0, 1, 138.845, -999
20141117, 137.21, 138.5, 137.21, 138.47, 1228100, 138.47, 0, 1, 137.84, -999
20141114, 138.93, 138.93, 138.07, 138.48, 1598600, 138.48, 0, 1, 138.705, -999
20141113, 137.64, 138.76, 137.34, 138.71, 2235900, 138.71, 0, 1, 138.175, -999
20141112, 136.7, 137.35, 136.15, 136.9, 1910200, 136.9, 0, 1, 136.8, -999
20141111, 137.78, 137.95, 136.66, 137.05, 1495500, 136.7, 0, 1, 137.24, -999
20141110, 137.85, 137.89, 135.98, 137.69, 1958000, 137.33, 0, 1, 137.59, -999
20141107, 137.05, 137.91, 136.52, 137.71, 1589400, 137.35, 0, 1, 137.2, -999
20141106, 137.39, 137.67, 136.6, 137.09, 1685900, 136.73, 0, 1, 137.06, -999
20141105, 137.49, 137.81, 136.03, 136.5, 2116800, 136.15, 0, 1, 136.82, -999
20141104, 134.61, 136.72, 133.99, 136.55, 2802500, 136.2, 0, 1, 135.405, -999
20141103, 133.82, 134.29, 133.37, 134.27, 1947000, 133.92, 0, 1, 133.87, -999
20141031, 134.45, 134.5, 132.71, 133.37, 2373900, 133.02, 0, 1, 133.735, -999
20141030, 131.5, 133.31, 131.33, 133, 1302000, 132.66, 0, 1, 132.08, -999
20141029, 131.29, 132, 130.93, 131.93, 1705800, 131.59, 0, 1, 131.44, -999
20141028, 130.97, 131.5, 130.16, 131.06, 1439700, 130.72, 0, 1, 130.845, -999
20141027, 129.24, 131.26, 129.24, 130.92, 1629600, 130.58, 0, 1, 129.91, -999
20141024, 128.58, 130.54, 128.56, 130.44, 2490300, 130.1, 0, 1, 129.34, -999
20141023, 131.03, 131.48, 130.35, 130.59, 1763600, 130.25, 0, 1, 130.64, -999
20141022, 130.56, 131.59, 130.32, 130.54, 1880000, 130.2, 0, 1, 130.38, -999
20141021, 128.94, 130.65, 128.17, 130.28, 2105600, 129.94, 0, 1, 129.44, -999
20141020, 124.83, 128.87, 124.65, 128.42, 3499800, 128.09, 0, 1, 126.46, -999
20141017, 123.77, 125.75, 123.18, 124.65, 3198900, 124.33, 0, 1, 124.05, -999
20141016, 122.68, 123.85, 122.05, 122.95, 3542900, 122.63, 0, 1, 122.655, -999
20141015, 125.1, 125.7, 123.28, 124.3, 3784300, 123.98, 0, 1, 124.54, -999
20141014, 127.5, 127.98, 125.27, 126.25, 4003500, 125.92, 0, 1, 126.71, -999
20141013, 128.57, 128.85, 126.89, 126.97, 2445200, 126.64, 0, 1, 127.605, -999
20141010, 128.26, 131.41, 128.26, 128.9, 3353000, 128.57, 0, 1, 128.415, -999
20141009, 128.22, 130.74, 128.19, 128.41, 2962700, 128.08, 0, 1, 128.15, -999
20141008, 128.2, 128.95, 127.16, 128.73, 4262500, 128.4, 0, 1, 128.3, -999
20141007, 125.35, 125.83, 124.75, 125.27, 2334100, 124.95, 0, 1, 125.15, -999
20141006, 127.56, 127.67, 125.93, 126.21, 1907500, 125.88, 0, 1, 126.72, -999
20141003, 126.2, 127.65, 126.01, 127.09, 1770300, 126.76, 0, 1, 126.48, -999
20141002, 124.99, 126.21, 124.82, 125.79, 1545800, 125.46, 0, 1, 125.225, -999
20141001, 125.25, 125.68, 124.45, 124.76, 1408700, 124.44, 0, 1, 124.845, -999
20140930, 124.86, 125.6, 124.77, 125.32, 1665300, 125, 0, 1, 124.93, -999
20140929, 125.03, 125.6, 124.78, 125.32, 1171000, 125, 0, 1, 125.015, -999
20140926, 125.41, 125.67, 124.38, 125.54, 2045300, 125.21, 0, 1, 125.31, -999
20140925, 127.45, 127.55, 125.6, 125.66, 1819900, 125.33, 0, 1, 126.39, -999
20140924, 126.09, 127.78, 125.58, 127.62, 2076300, 127.29, 0, 1, 126.69, -999
20140923, 125.96, 125.99, 125.21, 125.51, 1563100, 125.18, 0, 1, 125.57, -999
20140922, 126.37, 126.5, 125.58, 125.83, 1453700, 125.5, 0, 1, 125.935, -999
20140919, 127.29, 127.29, 126.47, 126.5, 3018500, 126.17, 0, 1, 126.73, -999
20140918, 126.21, 126.8, 125.96, 126.48, 1401500, 126.15, 0, 1, 126.18, -999
20140917, 126.03, 126.56, 125.67, 126.01, 1594000, 125.68, 0, 1, 125.855, -999
20140916, 125.6, 126.79, 125.52, 126.43, 1684400, 126.1, 0, 1, 125.85, -999
20140915, 125.57, 126.53, 125.45, 125.71, 1615300, 125.38, 0, 1, 125.475, -999
20140912, 126.25, 126.25, 125.02, 125.37, 1598300, 125.05, 0, 1, 125.65, -999
20140911, 126.16, 126.53, 125.64, 125.94, 1511200, 125.61, 0, 1, 125.885, -999
20140910, 126.31, 126.49, 125.87, 126.17, 1014900, 125.84, 0, 1, 126.075, -999
20140909, 126.14, 126.49, 125.74, 126.11, 1500500, 125.78, 0, 1, 125.96, -999
20140908, 127.05, 127.32, 126.26, 126.6, 2057400, 126.27, 0, 1, 126.66, -999
20140905, 125.04, 127.03, 124.71, 127.01, 2910600, 126.68, 0, 1, 125.86, -999
20140904, 123, 125.17, 122.56, 125.15, 4440300, 124.83, 0, 1, 123.915, -999
20140903, 121.7, 121.94, 121.11, 121.35, 1901000, 121.04, 0, 1, 121.37, -999
20140902, 121, 121.63, 120.9, 121.56, 1469900, 121.25, 0, 1, 121.125, -999
20140829, 121.68, 121.68, 120.58, 121.08, 1047300, 120.77, 0, 1, 121.225, -999
20140828, 121.01, 121.25, 120.7, 120.97, 799400, 120.66, 0, 1, 120.835, -999
20140827, 121.58, 121.58, 120.83, 121.24, 1028200, 120.93, 0, 1, 121.255, -999
20140826, 121.43, 121.59, 120.86, 121.09, 1385400, 120.78, 0, 1, 121.105, -999
20140825, 121.79, 122, 121.12, 121.39, 1097300, 121.08, 0, 1, 121.435, -999
20140822, 121.9, 122.06, 121.15, 121.29, 1401400, 120.98, 0, 1, 121.44, -999
20140821, 120.79, 121.88, 120.72, 121.62, 1544300, 121.3, 0, 1, 121.045, -999
20140820, 120.45, 121.23, 120.09, 120.91, 1287200, 120.6, 0, 1, 120.525, -999
20140819, 119.38, 120.75, 119.24, 120.61, 1708900, 120.3, 0, 1, 119.84, -999
20140818, 119, 119.68, 118.95, 119.46, 1232900, 119.15, 0, 1, 119.075, -999
