Ticker: COV  Created on: 12/6/2014 5:24:11 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 102.19, 103.79, 102.18, 103.68, 4021600, 103.68, 0, 1, 102.935, -999
20141204, 103.36, 103.83, 102.22, 102.5, 4771800, 102.5, 0, 1, 102.93, -999
20141203, 101.23, 102.48, 100.88, 102.36, 4290100, 102.36, 0, 1, 101.795, -999
20141202, 100.9, 102.04, 100.82, 101.61, 2953700, 101.61, 0, 1, 101.255, -999
20141201, 100.51, 101.4, 99.89, 100.99, 2395600, 100.99, 0, 1, 100.75, -999
20141128, 100.58, 101.66, 100.26, 101, 1482200, 101, 0, 1, 100.79, -999
20141126, 99.66, 100.6, 99.45, 100.54, 2304200, 100.54, 0, 1, 100.1, -999
20141125, 99.2, 99.79, 98.99, 99.32, 2084300, 99.32, 0, 1, 99.26, -999
20141124, 98.81, 99.39, 98.37, 99.36, 2994400, 99.36, 0, 1, 99.085, -999
20141121, 98.88, 98.88, 98.03, 98.44, 3824600, 98.44, 0, 1, 98.66, -999
20141120, 97, 97.94, 96.57, 97.91, 3145200, 97.91, 0, 1, 97.455, -999
20141119, 97.48, 98.16, 97.34, 97.5, 2952700, 97.5, 0, 1, 97.49, -999
20141118, 95, 98.32, 94.66, 98.09, 4725500, 98.09, 0, 1, 96.545, -999
20141117, 94.23, 94.9, 93.68, 94.61, 2739800, 94.61, 0, 1, 94.42, -999
20141114, 93.7, 94.08, 93.31, 93.98, 3051400, 93.98, 0, 1, 93.84, -999
20141113, 92.88, 94.58, 92.87, 93.67, 3096800, 93.67, 0, 1, 93.275, -999
20141112, 93.33, 93.33, 92.59, 92.88, 2113000, 92.88, 0, 1, 93.105, -999
20141111, 93.53, 93.84, 93.3, 93.71, 1622700, 93.71, 0, 1, 93.62, -999
20141110, 92.39, 93.74, 92.19, 93.64, 3528400, 93.64, 0, 1, 93.015, -999
20141107, 92.63, 93.03, 91.8, 92.08, 1480500, 92.08, 0, 1, 92.355, -999
20141106, 93.5, 93.5, 92.3, 92.6, 3719100, 92.6, 0, 1, 93.05, -999
20141105, 92.69, 93.68, 92.69, 93.32, 3538600, 93.32, 0, 1, 93.005, -999
20141104, 90.61, 92.81, 90.39, 92.03, 2764700, 92.03, 0, 1, 91.32, -999
20141103, 92.81, 92.89, 92.1, 92.42, 2183400, 92.42, 0, 1, 92.615, -999
20141031, 92.44, 92.59, 92.03, 92.44, 3685200, 92.44, 0, 1, 92.44, -999
20141030, 91.71, 92.12, 90.71, 91.61, 3342700, 91.61, 0, 1, 91.66, -999
20141029, 90, 91.92, 90, 91.69, 2736300, 91.69, 0, 1, 90.845, -999
20141028, 89.22, 90.33, 89.2, 90, 3439300, 90, 0, 1, 89.61, -999
20141027, 89.51, 89.88, 89.17, 89.32, 3000100, 89.32, 0, 1, 89.415, -999
20141024, 88.7, 89.68, 88.42, 89.64, 3505300, 89.64, 0, 1, 89.17, -999
20141023, 88.01, 89.19, 87.97, 88.45, 2034400, 88.45, 0, 1, 88.23, -999
20141022, 88.9, 89.54, 87.25, 87.41, 4433900, 87.41, 0, 1, 88.155, -999
20141021, 88, 90.22, 87.73, 89.25, 8814200, 89.25, 0, 1, 88.625, -999
20141020, 83.49, 85.73, 82.97, 85.44, 9822600, 85.44, 0, 1, 84.465, -999
20141017, 86.55, 86.66, 81.19, 82.2, 18412700, 82.2, 0, 1, 84.375, -999
20141016, 84.82, 86.97, 84.72, 85.5, 7990000, 85.5, 0, 1, 85.16, -999
20141015, 89.4, 89.97, 80.69, 85.86, 27657200, 85.86, 0, 1, 87.63, -999
20141014, 92.37, 93.24, 92.06, 92.36, 4677600, 92.36, 0, 1, 92.365, -999
20141013, 92.64, 93.06, 91.82, 91.86, 4241800, 91.86, 0, 1, 92.25, -999
20141010, 92.66, 93.91, 92.55, 92.93, 3906100, 92.93, 0, 1, 92.795, -999
